obj_nm_fnd_nm,obj_cls_nm_fnd_cls_nm
Hudson Yards Infrastructure Corporation,Lease Purchase City Guaranteed Debt
City Funding,Funded Debt
City Funding,Temporary Debt
Dormitory Authority of State of NY,Lease Purchase City Guaranteed Debt
Debt Service Reimbursements,Lease Purchase City Guaranteed Debt
Interest Exchange Agreements,Debt Service Funded Debt
Redemption of Bonds - General,Debt Service Funded Debt
Interest Exchange Agreements,Debt Service Funded Debt
Department of Juvenille Justice Revenue,Funded Debt
State Building Aid,Funded Debt
Courts Interest Aid,Lease Purchase City Guaranteed Debt
Swap Receipts,Funded Debt
Letter of Credit & Remarketing Fees,Debt Service Funded Debt
City Funding,Funded Debt
Interest,Temporary Debt
Long Term Debt Service U/A 006,Transitional Finance Authority
Interest on Bonds - General,Debt Service Funded Debt
Department of Juvenille Justice Revenue,Funded Debt
Education Construction Fund,Lease Purchase City Guaranteed Debt
City Funding,Transitional Finance Authority
Interest Exchange Agreements,Debt Service Funded Debt
Build America Bonds Subsidy,Funded Debt
Letter of Credit & Remarketing Fees,Debt Service Funded Debt
Interest Exchange Agreements,Debt Service Funded Debt
Debt Service Reimbursements,Lease Purchase City Guaranteed Debt
Industrial Development Agency,Lease Purchase City Guaranteed Debt
Build America Bonds Subsidy,Funded Debt
City Funding,Lease Purchase City Guaranteed Debt
City Funding,Funded Debt
Interest Exchange Agreements,Debt Service Funded Debt
State Building Aid,Funded Debt
Swap Receipts,Funded Debt
Hudson Yards Infrastructure Corporation,Lease Purchase City Guaranteed Debt
City Funding,Lease Purchase City Guaranteed Debt
City Funding,Lease Purchase City Guaranteed Debt
Redemption of Bonds - General,Debt Service Funded Debt
Interest,Temporary Debt
Letter of Credit & Remarketing Fees,Debt Service Funded Debt
Education Construction Fund,Lease Purchase City Guaranteed Debt
Long Term Debt Service U/A 006,Transitional Finance Authority
Interest on Bonds - General,Debt Service Funded Debt
Interest Exchange Agreements,Debt Service Funded Debt
Dormitory Authority of State of NY,Lease Purchase City Guaranteed Debt
City University Construction Fund,Lease Purchase City Guaranteed Debt
Long Term Debt Service U/A 006,Transitional Finance Authority
Build America Bonds Subsidy,Funded Debt
City University Construction Fund,Lease Purchase City Guaranteed Debt
Interest on Bonds - General,Debt Service Funded Debt
City Funding,Transitional Finance Authority
City Funding,Lease Purchase City Guaranteed Debt
Education Construction Fund,Lease Purchase City Guaranteed Debt
