boo_event,boo_hours,boo_act,boo_trade,boo_misc,+ with boo_sqlidentity,- with boo_sqlidentity
1230327,0.5,20,Plumber,-,,13417593.0
1222000,6.0,10,Carpenter,-,,13411975.0
963299,0.5,10,Plumber,-,,10541657.0
1035509,7.0,10,Painter,-,,11645876.0
934881,1.666667,10,Plumber,-,,10082264.0
1211256,0.5,10,Plumber,-,,13392865.0
851970,1.0,10,Plumber,-,,10206460.0
1120016,2.0,10,Blacksmith,-,,13454906.0
1013412,1.0,20,Carpenter,-,,11321808.0
361828,1.0,10,Plumber,-,,1033380.0
996863,2.0,10,Painter,-,,10918491.0
1086161,0.5,20,Plumber,-,,12333309.0
928367,1.5,10,Maintenance Worker,-,,10833553.0
1110918,1.0,20,Plumber,-,,12441308.0
931888,6.0,10,Painter,-,,10208009.0
1168184,0.75,10,Maintenance Worker,-,,13282985.0
1189845,2.0,10,Maintenance Worker,-,,13370800.0
234659,7.0,10,Carpenter,-,,1278556.0
1137345,1.0,10,Plumber,-,,12620943.0
394818,5.0,10,Electrician,-,,1289583.0
20656,1.5,10,Electrician,-,,1247.0
1229447,3.5,10,Plumber,-,,13416206.0
