boo_sqlidentity,boo_code,boo_entered,boo_cost,boo_date
10833553,10833631,Nov 11 2014 11:21AM,39.21,Nov  7 2014 12:00AM
11140165,11140243,Dec 15 2014  2:00PM,-184.04,Aug  5 2014 12:00AM
13411975,13412061,Nov 14 2015  1:13PM,250.26,Nov 12 2015 12:00AM
112336,112337,May 31 2010  2:00PM,0.0,May 31 2010 12:00AM
1165236,1165301,Mar 21 2011  1:45PM,0.0,Mar 18 2011 12:00AM
13384433,13384519,Oct  5 2015 10:41AM,24.12,Jul 17 2015 12:00AM
10970133,10970211,Nov 26 2014 10:48AM,245.0,Nov 26 2014 12:00AM
12413560,12413638,May 22 2015  2:51PM,12.18,May 22 2015 12:00AM
13385040,13385126,Oct  6 2015  9:41AM,26.14,Oct  5 2015 12:00AM
11765387,11765465,Mar 10 2015 10:59AM,92.02,Feb 23 2015 12:00AM
11786211,11786289,Mar 12 2015  3:15PM,16.079984,Mar 12 2015 12:00AM
13440990,13441076,Jan 15 2016  8:06AM,57.06,Jan 14 2016 12:00AM
13332142,13332228,Sep  1 2015  3:16PM,125.13,Aug 25 2015 12:00AM
12393829,12393907,May 20 2015  2:34PM,20.7045,May 20 2015 12:00AM
1149301,1149366,Mar 18 2011  9:50AM,49.0,Jan 28 2011 12:00AM
13460968,13461055,Mar  3 2016  9:20AM,69.015,Mar  3 2016 12:00AM
12384307,12384385,May 19 2015  2:23PM,260.0,May 14 2015 12:00AM
13451200,13451286,Feb  9 2016  1:01PM,40.833345,Feb  9 2016 12:00AM
13378396,13378482,Sep 26 2015  9:23AM,46.01,Jul 20 2015 12:00AM
1199722,1199787,Mar 29 2011  7:41AM,23.005,Mar 29 2011 12:00AM
13435735,13435821,Jan  5 2016 10:27AM,35.0,Jan  4 2016 12:00AM
13438145,13438231,Jan 11 2016 10:07AM,184.04,Nov 24 2015 12:00AM
13419846,13419932,Dec  1 2015  3:28PM,20.100016,Dec  1 2015 12:00AM
13297383,13297469,Aug 28 2015  1:59PM,69.015,Aug 28 2015 12:00AM
13446052,13446138,Jan 27 2016  1:07PM,23.005,Jan 27 2016 12:00AM
13395276,13395362,Oct 19 2015  9:23AM,48.24,Oct  2 2015 12:00AM
13429160,13429246,Dec 16 2015  2:44PM,210.0,Dec 16 2015 12:00AM
1320361,1320439,Apr 19 2011  7:19AM,92.02,Apr 15 2011 12:00AM
120955,120956,Jun  6 2010  3:27PM,0.0,Jun  6 2010 12:00AM
12435001,12435079,May 25 2015  1:16PM,48.24,May 20 2015 12:00AM
13409986,13410072,Nov 10 2015 12:35PM,12.06,Oct 28 2015 12:00AM
12948107,12948185,Jul 23 2015  8:08AM,23.005,Jul 21 2015 12:00AM
12559968,12560046,Jun  8 2015  3:11PM,23.005,Apr 10 2015 12:00AM
13386833,13386919,Oct  8 2015 10:33AM,46.01,Sep 30 2015 12:00AM
13380159,13380245,Sep 29 2015  1:53PM,69.015,Sep 29 2015 12:00AM
1337387,1337465,Apr 21 2011  3:28PM,24.12,Apr 21 2011 12:00AM
13405451,13405537,Nov  2 2015  3:20PM,48.24,Nov  2 2015 12:00AM
11645876,11645954,Feb 23 2015  9:21AM,245.0,Feb  9 2015 12:00AM
1289583,1289661,Apr 14 2011  7:16AM,245.0,Apr 13 2011 12:00AM
13438275,13438361,Jan 11 2016  1:18PM,230.05,Jan  5 2016 12:00AM
12333309,12333387,May 14 2015  9:30AM,23.005,Apr  8 2015 12:00AM
10225590,10225668,Sep  4 2014  3:09PM,6.535,Sep  4 2014 12:00AM
13393868,13393954,Oct 16 2015  7:59AM,104.275,Oct 13 2015 12:00AM
11507499,11507577,Feb  3 2015  9:07AM,41.71,Feb  3 2015 12:00AM
11263827,11263905,Dec 31 2014 10:00AM,34.5075,Dec 26 2014 12:00AM
13467241,13467328,Mar 18 2016  7:06AM,46.01,Mar  7 2016 12:00AM
13421774,13421860,Dec  4 2015  9:48AM,92.02,Dec  2 2015 12:00AM
13426798,13426884,Dec 11 2015 12:38PM,125.13,Dec  8 2015 12:00AM
13171505,13171583,Aug 15 2015 10:58AM,35.0,Aug 11 2015 12:00AM
10455032,10455110,Sep 30 2014  7:32AM,70.0,Sep 15 2014 12:00AM
12080120,12080198,Apr 16 2015 10:10AM,11.5025,Mar 27 2015 12:00AM
13401180,13401266,Oct 27 2015  7:52AM,46.01,Oct 23 2015 12:00AM
12117684,12117762,Apr 20 2015 12:05PM,260.0,Mar 30 2015 12:00AM
13420961,13421047,Dec  3 2015 11:12AM,96.48,Dec  2 2015 12:00AM
10918491,10918569,Nov 20 2014  2:49PM,70.0,Sep  4 2014 12:00AM
12219205,12219283,May  1 2015 10:18AM,11.5025,Apr 17 2015 12:00AM
10559329,10559407,Oct 11 2014 11:24AM,3.0432,Oct 10 2014 12:00AM
12754434,12754512,Jul  1 2015 10:17AM,72.36,Jun 27 2015 12:00AM
13223866,13223944,Aug 21 2015  8:29AM,46.01,Aug 18 2015 12:00AM
12620943,12621021,Jun 15 2015  2:18PM,46.01,Jun 15 2015 12:00AM
1104055,1104120,Mar  9 2011  8:57AM,69.015,Mar  9 2011 12:00AM
1241,1241,Jul 10 2009  7:13AM,212.05,Jul  7 2009 12:00AM
11459218,11459296,Jan 26 2015 11:54AM,23.005,Jan  5 2015 12:00AM
12931323,12931401,Jul 21 2015 12:35PM,23.005,Jul  4 2015 12:00AM
1032219,1032282,Feb 25 2011  9:07AM,90.3,Feb 24 2011 12:00AM
11082801,11082879,Dec  9 2014  9:34AM,23.005,Nov  6 2014 12:00AM
11827561,11827639,Mar 18 2015  8:55AM,48.24,Mar 18 2015 12:00AM
11287507,11287585,Jan  4 2015  7:37AM,8.6262,Dec 29 2014 12:00AM
12863143,12863221,Jul 14 2015  8:13AM,2.178325,Jun 24 2015 12:00AM
13402548,13402634,Oct 28 2015 11:32AM,23.005,Oct 16 2015 12:00AM
13376569,13376655,Sep 24 2015  9:37AM,13.95,Sep 23 2015 12:00AM
10927337,10927415,Nov 21 2014  2:49PM,17.5,Sep  9 2014 12:00AM
1320195,1320273,Apr 19 2011  5:56AM,35.0,Apr 16 2011 12:00AM
11577460,11577538,Feb 12 2015 10:28AM,46.01,Feb 12 2015 12:00AM
14848268,14848359,Nov 16 2021  9:56AM,0.0,Nov 16 2021 12:00AM
11987231,11987309,Apr  6 2015  8:37AM,161.035,Mar 16 2015 12:00AM
12529795,12529873,Jun  5 2015  8:59AM,41.71,Jun  4 2015 12:00AM
11367205,11367283,Jan 14 2015  7:55AM,13.7643,Jan 13 2015 12:00AM
11471774,11471852,Jan 28 2015  2:58PM,35.0,Jan 20 2015 12:00AM
12074293,12074371,Apr 15 2015  2:19PM,11.5025,Apr  1 2015 12:00AM
1323466,1323544,Apr 19 2011 12:10PM,0.0,Feb  8 2011 12:00AM
1173129,1173194,Mar 23 2011 10:36AM,46.01,Mar 22 2011 12:00AM
13410849,13410935,Nov 12 2015  9:02AM,26.14,Oct 29 2015 12:00AM
13454906,13454993,Feb 18 2016  3:20PM,96.48,Feb 18 2016 12:00AM
12166389,12166467,Apr 26 2015  8:24AM,69.015,Apr 24 2015 12:00AM
1138783,1138848,Mar 16 2011  7:06AM,0.0,Mar 15 2011 12:00AM
13464222,13464309,Mar 11 2016  9:00AM,230.05,Mar  9 2016 12:00AM
13371923,13372009,Sep 17 2015  3:09PM,23.005,Sep 15 2015 12:00AM
1321248,1321326,Apr 19 2011  9:27AM,276.06,Apr  6 2011 12:00AM
1247,1247,Jul 10 2009  7:18AM,70.5,Jul  9 2009 12:00AM
13459847,13459934,Mar  1 2016  7:39AM,184.04,Feb 29 2016 12:00AM
1237688,1237753,Apr  5 2011  7:29AM,46.01,Apr  1 2011 12:00AM
1278556,1278628,Apr 12 2011  7:51AM,291.97,Apr  8 2011 12:00AM
10082264,10082342,Aug 18 2014  1:27PM,76.683349,Aug 15 2014 12:00AM
13366380,13366466,Sep  9 2015  2:17PM,23.005,Aug 26 2015 12:00AM
11147741,11147819,Dec 16 2014  1:40PM,184.04,Dec 16 2014 12:00AM
130653,130657,Jun 13 2010  8:10AM,0.029403,Jun  7 2010 12:00AM
13032181,13032259,Jul 31 2015 11:21AM,46.01,Jun 21 2015 12:00AM
10355103,10355181,Sep 19 2014  8:56AM,46.01,Jun 27 2014 12:00AM
11321808,11321886,Jan  8 2015  9:58AM,41.71,Jan  8 2015 12:00AM
13380467,13380553,Sep 29 2015  3:42PM,41.71,Apr  7 2015 12:00AM
12051387,12051465,Apr 13 2015  1:37PM,8.166683,Apr  8 2015 12:00AM
13465490,13465577,Mar 15 2016  8:39AM,46.01,Feb 25 2016 12:00AM
13408518,13408604,Nov  6 2015  4:07PM,41.71,Oct 30 2015 12:00AM
1016611,1016674,Feb 22 2011  2:43PM,8.35,Feb 22 2011 12:00AM
13366740,13366826,Sep 10 2015  6:58AM,83.42,Sep  8 2015 12:00AM
13198315,13198393,Aug 18 2015 10:15AM,140.0,Aug 12 2015 12:00AM
13282985,13283065,Aug 27 2015  7:36AM,19.605,Aug  6 2015 12:00AM
10885034,10885112,Nov 16 2014  5:13PM,92.02,Oct 29 2014 12:00AM
13114340,13114418,Aug  9 2015  1:12PM,14.265,Jul 26 2015 12:00AM
12276,12276,Sep 23 2009  2:02PM,70.0,Sep 23 2009 12:00AM
10541657,10541735,Oct  9 2014 11:27AM,23.005,Oct  1 2014 12:00AM
13385768,13385854,Oct  7 2015  8:50AM,48.24,Jul 17 2015 12:00AM
13437370,13437456,Jan  8 2016 12:16PM,245.0,Dec 14 2015 12:00AM
13418846,13418932,Nov 30 2015  9:06AM,210.0,Nov 25 2015 12:00AM
13374887,13374973,Sep 22 2015  1:16PM,46.01,Jun 25 2015 12:00AM
13426885,13426971,Dec 11 2015  1:59PM,15.336651,Dec 11 2015 12:00AM
12692913,12692991,Jun 24 2015  9:05AM,46.01,Jun 22 2015 12:00AM
11626849,11626927,Feb 19 2015  3:28PM,11.5025,Oct 12 2014 12:00AM
10208009,10208087,Sep  2 2014  1:13PM,210.0,Sep  2 2014 12:00AM
11086548,11086626,Dec 10 2014 12:01AM,96.48,Jan  3 2013 12:00AM
10096742,10096820,Aug 20 2014  1:53PM,0.816683,Aug 20 2014 12:00AM
13375392,13375478,Sep 22 2015  3:55PM,90.5107,Jul 10 2015 12:00AM
13449912,13449998,Feb  5 2016 11:05AM,250.26,Jan 12 2016 12:00AM
13427828,13427914,Dec 14 2015  1:18PM,80.5175,Nov 24 2015 12:00AM
1293752,1293830,Apr 14 2011  2:22PM,49.0,Apr 14 2011 12:00AM
13466561,13466648,Mar 16 2016  2:49PM,208.55,Feb 29 2016 12:00AM
11786344,11786422,Mar 12 2015  3:19PM,13.07,Mar 12 2015 12:00AM
11169985,11170063,Dec 19 2014  9:43AM,48.72,Dec 18 2014 12:00AM
13443360,13443446,Jan 21 2016  8:34AM,52.5,Jan 17 2016 12:00AM
13193820,13193898,Aug 17 2015  3:59PM,8.713325,Jul 12 2015 12:00AM
1125,1125,Jul  7 2009  1:11PM,42.41,Jul  7 2009 12:00AM
13389857,13389943,Oct 13 2015  1:42PM,15.1833,Sep 14 2015 12:00AM
10847719,10847797,Nov 12 2014  2:26PM,23.005,Oct  8 2014 12:00AM
1323195,1323273,Apr 19 2011 10:41AM,0.0,Jan  6 2011 12:00AM
12407278,12407356,May 22 2015  9:06AM,23.005,May 22 2015 12:00AM
12644495,12644573,Jun 18 2015 12:53PM,100.8,Jun 17 2015 12:00AM
13404571,13404657,Oct 30 2015  2:21PM,23.005,Oct 28 2015 12:00AM
13400599,13400685,Oct 26 2015  1:38PM,48.24,Oct 26 2015 12:00AM
13416032,13416118,Nov 23 2015  9:54AM,41.71,Nov 20 2015 12:00AM
12837584,12837662,Jul 11 2015 10:08AM,8.127,Jul  7 2015 12:00AM
13306073,13306159,Aug 29 2015  1:58PM,23.005,Aug 13 2015 12:00AM
12003087,12003165,Apr  8 2015  6:57AM,13.07,Apr  7 2015 12:00AM
10106815,10106893,Aug 21 2014  2:54PM,26.14,Aug 21 2014 12:00AM
11933091,11933169,Mar 30 2015  3:03PM,53.678349,Mar 30 2015 12:00AM
13423721,13423807,Dec  7 2015  3:16PM,96.48,Dec  7 2015 12:00AM
13378963,13379049,Sep 28 2015 11:12AM,46.01,Sep 23 2015 12:00AM
10206460,10206538,Sep  2 2014 11:59AM,46.01,May  2 2014 12:00AM
13217015,13217093,Aug 20 2015 10:20AM,46.01,Aug 15 2015 12:00AM
13446310,13446396,Jan 28 2016  6:53AM,35.0,Jan 28 2016 12:00AM
12405,12405,Sep 24 2009  7:53AM,35.0,Sep  9 2009 12:00AM
102408,102409,May 29 2010  1:46PM,282.0,Apr 29 2010 12:00AM
13440816,13440902,Jan 14 2016  2:50PM,15.336651,Jan  4 2016 12:00AM
12136139,12136217,Apr 22 2015  7:43AM,46.01,Mar 19 2015 12:00AM
10875840,10875918,Nov 16 2014  7:44AM,52.28,Nov 16 2014 12:00AM
1033380,1033443,Feb 25 2011 10:47AM,42.41,Feb 23 2011 12:00AM
12441308,12441386,May 26 2015 10:52AM,46.01,May  7 2015 12:00AM
13408042,13408128,Nov  6 2015 11:23AM,92.02,Nov  2 2015 12:00AM
13365990,13366076,Sep  9 2015  8:39AM,437.99,Sep  6 2015 12:00AM
11776126,11776204,Mar 11 2015 10:55AM,322.07,Feb 26 2015 12:00AM
10723952,10724030,Oct 30 2014  6:58AM,83.42,Oct 30 2014 12:00AM
1198429,1198494,Mar 28 2011  2:49PM,0.766849,Mar 25 2011 12:00AM
105,105,Jun  8 2009 10:26AM,0.431425,Jun  8 2009 12:00AM
13124259,13124337,Aug 10 2015 10:21AM,46.01,Aug  6 2015 12:00AM
13417593,13417679,Nov 25 2015  9:09AM,23.005,Nov 19 2015 12:00AM
13150986,13151064,Aug 12 2015  3:10PM,24.12,Aug  6 2015 12:00AM
13427492,13427578,Dec 14 2015  9:32AM,92.02,Dec 11 2015 12:00AM
13376958,13377044,Sep 24 2015  2:49PM,11.5025,Sep 24 2015 12:00AM
10992766,10992844,Nov 28 2014  2:49PM,17.5,Nov 20 2014 12:00AM
13391598,13391684,Oct 14 2015  1:56PM,35.0,Jun 24 2015 12:00AM
10117860,10117938,Aug 23 2014  8:38AM,48.24,Feb 27 2014 12:00AM
10107224,10107302,Aug 21 2014  3:25PM,23.005,Aug 19 2014 12:00AM
13392865,13392951,Oct 15 2015  9:38AM,23.005,Oct 14 2015 12:00AM
