ot_hours,agency_start_date
568.25,1996-06-23T00:00:00.000
3.25,2011-03-28T00:00:00.000
352.25,2012-03-19T00:00:00.000
113.5,2008-08-11T00:00:00.000
0.0,2008-07-14T00:00:00.000
0.0,1997-02-02T00:00:00.000
0.0,2024-01-02T00:00:00.000
138.0,2008-04-14T00:00:00.000
0.0,2016-07-11T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
644.5,2020-03-16T00:00:00.000
0.0,2018-11-19T00:00:00.000
0.0,2018-10-29T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2008-02-11T00:00:00.000
231.75,2007-06-04T00:00:00.000
7.5,2011-10-24T00:00:00.000
211.0,2021-07-19T00:00:00.000
533.25,2011-06-20T00:00:00.000
0.0,2007-08-13T00:00:00.000
0.0,2017-02-06T00:00:00.000
0.0,1997-08-25T00:00:00.000
0.0,2007-04-16T00:00:00.000
0.0,1996-06-23T00:00:00.000
31.0,1996-06-23T00:00:00.000
0.0,2015-04-06T00:00:00.000
1299.0,2007-09-24T00:00:00.000
0.0,2016-05-02T00:00:00.000
0.0,2006-06-26T00:00:00.000
0.0,2021-09-13T00:00:00.000
0.0,2016-10-17T00:00:00.000
344.0,2020-02-18T00:00:00.000
0.0,2000-01-10T00:00:00.000
187.75,2012-01-23T00:00:00.000
121.75,1996-06-23T00:00:00.000
199.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1997-07-06T00:00:00.000
0.0,2006-08-21T00:00:00.000
0.0,2006-10-16T00:00:00.000
1.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1997-09-15T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
89.0,2006-10-16T00:00:00.000
484.75,2008-08-11T00:00:00.000
65.0,2021-12-06T00:00:00.000
51.5,2024-09-09T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-11-12T00:00:00.000
78.5,2007-10-15T00:00:00.000
0.0,2006-09-11T00:00:00.000
336.0,2006-05-15T00:00:00.000
0.0,2023-06-26T00:00:00.000
0.0,2008-08-11T00:00:00.000
0.0,2022-01-03T00:00:00.000
198.75,2008-01-14T00:00:00.000
0.0,2007-02-12T00:00:00.000
0.0,2016-04-25T00:00:00.000
7.5,2006-10-16T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
164.5,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2016-05-23T00:00:00.000
218.25,2011-07-04T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-08-19T00:00:00.000
749.75,2007-09-24T00:00:00.000
1304.75,2007-08-13T00:00:00.000
0.0,2007-09-17T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2007-03-19T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2018-01-16T00:00:00.000
0.0,2011-07-04T00:00:00.000
0.0,2011-07-04T00:00:00.000
35.25,2007-09-10T00:00:00.000
103.5,2006-06-26T00:00:00.000
0.0,1996-06-23T00:00:00.000
106.75,2023-06-20T00:00:00.000
0.0,2008-08-11T00:00:00.000
0.0,2004-02-09T00:00:00.000
0.0,2008-02-11T00:00:00.000
10.75,1997-07-06T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2019-12-30T00:00:00.000
0.0,2008-01-07T00:00:00.000
0.0,2016-04-25T00:00:00.000
0.0,1996-06-23T00:00:00.000
0.0,2007-07-16T00:00:00.000
0.0,2006-08-21T00:00:00.000
71.02,2006-06-19T00:00:00.000
43.5,2006-06-19T00:00:00.000
0.0,2017-10-16T00:00:00.000
0.0,2007-01-22T00:00:00.000
0.0,2017-10-16T00:00:00.000
62.0,1996-06-23T00:00:00.000
0.0,2014-03-31T00:00:00.000
2.0,2006-06-05T00:00:00.000
0.0,2006-12-11T00:00:00.000
0.0,2000-02-28T00:00:00.000
0.0,2017-08-07T00:00:00.000
248.25,2016-11-14T00:00:00.000
0.0,2018-07-10T00:00:00.000
89.0,2017-10-16T00:00:00.000
