address,effective_date,council_district,bic_number,bbl
623 DOWD AVENUE,2024-09-01,,BIC-1323,
31-07 FARRINGTON STREET,2025-03-01,20.0,BIC-512384,4044080023.0
106 BROAD STREET,2024-01-01,49.0,BIC-3983,5005320011.0
621A OCEAN FRONT STREET,2026-02-01,,BIC-3674,
3519 170TH STREET,2025-09-01,19.0,BIC-515532,4052980028.0
34-42 12TH STREET,2024-09-01,26.0,BIC-476276,4003260053.0
154 CONOVER STREET,2024-04-01,38.0,BIC-506623,3005540033.0
18 HERVEY ST,2025-08-01,51.0,BIC-513808,5070710034.0
87-40 ELMHURST AVENUE APT# 502,2024-06-01,25.0,BIC-509522,4015560001.0
22-55 31ST STREET SUITE 206B,2025-03-01,22.0,BIC-512183,4008330013.0
81 BROADWAY ST,2024-09-01,,BIC-513784,
54-59 43RD STREET,2024-06-01,30.0,BIC-513032,4025240004.0
25 PAIDGE AVENUE,2024-10-01,33.0,BIC-498436,3024910001.0
PO BOX 350,2024-09-01,,BIC-3641,
2 KINSEY PLACE,2024-02-01,49.0,BIC-2093,5012900080.0
23 MALVERN LANE,2025-12-01,,BIC-3093,
P. O. BOX 2615,2024-03-01,,BIC-289,
2074 RICHMOND TERRACE,2025-07-01,49.0,BIC-4157,
24 RIVER ROAD SUITE 205,2025-09-01,,BIC-2627,
140 VARICK AVENUE,2024-05-01,34.0,BIC-512859,3029690006.0
25319 NORTHERN BOULEVARD,2024-07-01,19.0,BIC-316,4081320048.0
8566 FOREST PARK WAY SECOND FLOOR,2025-03-01,,BIC-4374,
168-46 DOUGLAS AVE,2025-08-01,27.0,BIC-1240,
4215 12 AVE,2025-04-01,39.0,BIC-513983,3055987512.0
3830 BOSTON ROAD,2024-09-01,12.0,BIC-498701,2052590085.0
228 NORTH 15TH STREET,2024-05-01,,BIC-508215,
690 N. QUEENS AVE.,2025-03-01,,BIC-491785,
425 W. SUNRISE HWY,2025-05-01,,BIC-2948,
183 WILSON STREET UNIT 488,2025-11-01,33.0,BIC-512445,3021780001.0
2432 WEBB AVENUE APT 3D,2024-03-01,14.0,BIC-494164,2032190086.0
33-56 11TH STREET,2024-09-01,26.0,BIC-4587,4003190036.0
P.O. BOX 1133,2025-08-01,,BIC-311,
38 KINSEY PLACE SUITE 2,2025-05-01,49.0,BIC-504430,5012900101.0
7310 EDSALL AVENUE,2025-03-01,30.0,BIC-510737,4036660007.0
513 E.13TH STREET STORE WEST,2025-08-01,2.0,BIC-4448,1004070054.0
280 N. MAIN STREET,2025-10-01,,BIC-505874,
138 HINSDALE ST.,2024-11-01,37.0,BIC-513711,3037150021.0
6600 BLVD EAST SUITE 5M,2024-05-01,,BIC-1648,
224 W 35TH ST SUITE 1212,2024-09-01,3.0,BIC-509612,1007840060.0
85 PORETE AVENUE,2024-09-01,,BIC-507603,
207 OLD YORK ROAD,2025-04-01,,BIC-513945,
57-01 FLUSHING AVENUE,2025-08-01,30.0,BIC-265,4026220001.0
266 BANGOR STREET,2024-10-01,,BIC-69,
9220 KIRBY DRIVE STE 500,2024-03-01,,BIC-2174,
80-09 35TH AVENUE APT A11,2024-09-01,25.0,BIC-498311,4012677501.0
110 EDISON AVENUE,2024-03-01,,BIC-959,
"5 FIR COURT, SUITE 4B",2024-07-01,,BIC-495770,
1379 MADISON STREET 3RD FLOOR,2025-10-01,37.0,BIC-493061,3033630033.0
168-31 106 AVE,2025-02-01,27.0,BIC-514255,4102360060.0
340 MASPETH AVENUE,2025-06-01,34.0,BIC-4667,3029270190.0
P.O.BOX 61058,2024-08-01,,BIC-474555,
24 BENJAMIN PLACE,2025-07-01,49.0,BIC-515355,5012770234.0
20-19 UTOPIA PKWY FL 11,2026-02-01,19.0,BIC-503549,4057840001.0
4008 WICKHAM AVE UNIT B1,2024-11-01,12.0,BIC-490697,2049770005.0
220 S. COMMERCE AVENUE,2025-03-01,,BIC-4669,
9 SOUNDVIEW LANE,2025-03-01,,BIC-485221,
43 NIAGRA STREET,2024-09-01,,BIC-497615,
801 NEILL AVENUE #25A,2025-01-01,13.0,BIC-509497,2042900008.0
2955 VETERANS ROAD WEST SUITE 2A,2024-04-01,51.0,BIC-93,5075110001.0
60 SOUTH STREET,2025-04-01,,BIC-491481,
"115 BROADWAY, 14TH FL.",2024-01-01,,BIC-506555,
24 CAYUGA AVE,2024-08-01,49.0,BIC-509361,5006560016.0
825 WILSON AVENUE,2025-10-01,,BIC-1435,
33-19 126 PLACE,2024-09-01,21.0,BIC-252,4018210027.0
83 JEWETT AVENUE,2025-06-01,49.0,BIC-1286,5001940034.0
32 GATES AVENUE,2025-10-01,,BIC-1187,
37-24 24TH STREET SUITE 134,2024-03-01,26.0,BIC-512927,4003660001.0
9851 WIDMER ROAD,2024-10-01,,BIC-513994,
3330 DELAVALL AVENUE,2024-03-01,12.0,BIC-504073,2052460045.0
182 HOWELL ST,2024-04-01,,BIC-488557,
"2080 CABOT BOULEVARD W, SUITE 201",2026-01-01,,BIC-515456,
1328 LELAND AVENUE #3,2024-10-01,18.0,BIC-490706,2038800123.0
529 NY 303,2024-05-01,,BIC-504288,
855 ST. NICHOLAS AVENUE,2025-11-01,7.0,BIC-515571,1020670047.0
22 VAN ST,2025-07-01,49.0,BIC-506674,5001870152.0
2413 EAST 15TH ST,2024-11-01,48.0,BIC-513604,3074170072.0
1358 HOOPER AVE #600,2024-04-01,,BIC-507959,
136-44 222ND STREET,2025-09-01,31.0,BIC-490924,4131160001.0
166 27TH STREET,2024-03-01,38.0,BIC-509305,3006600023.0
PO BOX 790057,2025-11-01,,BIC-3916,
781 RT 15 S. SUITE 102,2025-11-01,,BIC-515589,
319 AVENUE P,2025-03-01,,BIC-4640,
P.O. BOX 497,2025-08-01,,BIC-604,
130-17 140TH ST,2025-03-01,28.0,BIC-514323,4120760130.0
136 ALLEN BOULEVARD,2025-06-01,,BIC-486536,
87-25 124TH STREET,2024-06-01,29.0,BIC-504261,4093330069.0
505 BRITTON AVENUE,2024-04-01,50.0,BIC-2107,5029110034.0
317 LIBERTY AVENUE,2025-05-01,37.0,BIC-4468,3036850001.0
"7135 CHARLOTTE PIKE, SUITE 100",2024-04-01,,BIC-4219,
1253 EAST 69TH STREET,2025-03-01,46.0,BIC-505897,3083560020.0
1645 STEPHEN STREET,2025-10-01,34.0,BIC-507538,4035520086.0
4430 BORDENTOWN AVENUE STE A,2023-10-01,,BIC-501894,
835 BOWLING GREEN DRIVE,2024-08-01,,BIC-483530,
442 NORTHFIELD AVENUE,2025-09-01,49.0,BIC-4095,5012900235.0
3203 BARNES AVE,2024-02-01,12.0,BIC-503306,2046030023.0
3714 BAYVIEW AVENUE,2025-04-01,47.0,BIC-4414,3069560031.0
69 BIRCH HILL ROAD,2025-11-01,,BIC-512568,
3532 HAMPTON ROAD,2025-11-01,,BIC-500459,
1827A 42ND STREET,2024-05-01,22.0,BIC-513103,4007910123.0
58-86 GRAND AVENUE,2024-02-01,30.0,BIC-15,4026810044.0
425 W SUNRISE HWY,2024-03-01,,BIC-1722,
1014 GRAND BLVD STE 6,2024-05-01,,BIC-489180,
"30 COOPER STREET, APT 4A",2025-08-01,10.0,BIC-515029,1022390025.0
199-28 24TH ROAD,2024-02-01,19.0,BIC-3177,4057990019.0
62-23 64TH STREET,2025-06-01,30.0,BIC-492410,4027720020.0
111 WEST JACKSON BLVD. SUITE 1900,2025-09-01,,BIC-2342,
240/220 FRONTAGE ROAD,2025-05-01,,BIC-4500,
298 BROOME ST,2024-12-01,1.0,BIC-514172,1004190073.0
454 YETMAN AVENUE FLOOR 2,2024-07-01,51.0,BIC-497336,5078900044.0
20 DIVISION PLACE,2024-12-01,34.0,BIC-513952,3028490015.0
157 13TH STREET,2025-12-01,39.0,BIC-502696,3010270066.0
"101-21 92ND STREET, 2ND FLOOR",2025-11-01,32.0,BIC-514381,4090990061.0
1440 GATES AVENUE 1ST FL,2025-06-01,37.0,BIC-492408,3033440011.0
41 OREGON STREET,2026-01-01,,BIC-484087,
10 MARCONI BLVD,2025-05-01,,BIC-3113,
149 E 89TH ST,2024-12-01,45.0,BIC-509410,3047490020.0
14 SUNSET LANE,2025-04-01,,BIC-511864,
914 REVERE AVENUE,2025-11-01,13.0,BIC-512405,2055310123.0
182 CALCUTTA STREET,2024-02-01,,BIC-4578,
1014 GRAND BLVD #6,2025-10-01,,BIC-493046,
308 WILSON PLACE,2024-09-01,,BIC-489952,
200 INNER BELT ROAD,2024-04-01,,BIC-4105,
22 VAN STREET,2025-11-01,49.0,BIC-2734,5001870152.0
127-50 NORTHERN BLVD,2024-09-01,21.0,BIC-1272,4018290040.0
161 MCKINLEY STREET,2025-08-01,,BIC-390,
"300 FRANK W. BURR BLVD, STE. 39",2025-05-01,,BIC-1181,
"1036 GRAND BLVD,",2025-10-01,,BIC-493374,
315 DEWITT AVENUE APT 3,2024-01-01,42.0,BIC-507427,3038730104.0
37-39 9TH STREET,2025-06-01,26.0,BIC-4206,4003590004.0
8 FOSSE COURT,2025-11-01,,BIC-491037,
7330 TULIP STREET,2025-04-01,,BIC-491170,
860 HUMBOLDT STREET,2024-03-01,33.0,BIC-501970,3025820105.0
"1466 ASTOR AVE, BSMT",2024-04-01,,BIC-508315,
87-06 31ST AVENUE 1ST FLOOR,2025-10-01,25.0,BIC-515583,4013990003.0
106 HARBOR DRIVE,2025-10-01,,BIC-500158,
235 HAMPTON GRN,2024-05-01,51.0,BIC-512932,5060180102.0
227 MILFORD STREET,2025-10-01,37.0,BIC-493163,3042270008.0
29 MAPLE AVENUE,2023-12-01,49.0,BIC-502878,5010730032.0
23 BOWLING GREEN PLACE,2025-10-01,50.0,BIC-4141,5021150007.0
75 KENT STREET,2024-06-01,33.0,BIC-512594,3025490025.0
50 HANCOCK PLACE,2024-08-01,,BIC-509827,
46 HENRY STREET,2024-02-01,,BIC-3353,
11 DANA STREET,2024-05-01,49.0,BIC-2808,5002590031.0
"2105 W County line Rd, Suite 1",2025-03-01,,BIC-485099,
53 TORRE PLACE,2025-07-01,,BIC-4296,
1680 ALBANY AVENUE,2025-02-01,45.0,BIC-490871,3077440047.0
700 ROCKAWAY TURNPIKE SUITE 488,2025-08-01,,BIC-1361,
162-15 12th ROAD,2024-05-01,19.0,BIC-3215,4045920125.0
110-32A 15TH AVENUE,2024-09-01,19.0,BIC-498400,4040610013.0
6405 34Th Ave,2024-04-01,26.0,BIC-104,4011860067.0
333 WEST 52ND STREET #1200,2024-02-01,3.0,BIC-512741,1010430013.0
9 PROSPECT PARK WEST,2024-08-01,39.0,BIC-2012,3010680037.0
481 GRAND AVENUE,2024-04-01,,BIC-512668,
90-10 195TH STREET,2025-03-01,23.0,BIC-511364,4104580011.0
131 STANLEY AVENUE,2025-01-01,,BIC-511273,
4822 3RD AVENUE,2025-09-01,38.0,BIC-3356,3007720042.0
