authorized_recycling_collection_type,city,census_tract,application_type
Source-Separated recycling,CARLE PLACE,,License
Source-Separated recycling,STATEN ISLAND,323.0,License
Source-Separated recycling,STONY BROOK,,License
Source-Separated recycling,SECAUCUS,,License
Source-Separated recycling,STATEN ISLAND,207.0,License
Source-Separated recycling,BOGOTA,,License
Source-Separated recycling,BROOKLYN,449.0,License
Single-stream collection and recycling,LITTLE NECK,1479.0,License
Source-Separated recycling,WOODHAVEN,,License
Single-stream collection and recycling,JAMAICA,444.0,License
Source-Separated recycling,BROOKLYN,224.0,License
Source-Separated recycling,BRONX,46202.0,License
Source-Separated recycling,BLOOMFIELD,,License
Source-Separated recycling,LINDENHURST,,License
Source-Separated recycling,FREEPORT,,License
Source-Separated recycling,BROOKLYN,535.0,License
Source-Separated recycling,BRONX,263.0,License
Source-Separated recycling,QUEENS,85.0,License
Single-stream collection and recycling,BETHPAGE,,License
,STATEN ISLAND,323.0,License
Source-Separated recycling,GLENDALE,623.0,License
Source-Separated recycling,NEW YORK,34.0,License
Source-Separated recycling,FREEPORT,,License
Source-Separated recycling,BROOKLYN,1144.0,License
Source-Separated recycling,WEST NEW YORK,,License
Source-Separated recycling,NEW YORK,109.0,License
Source-Separated recycling,NORTH ARLINGTON,,License
Source-Separated recycling,FLEMINGTON,,License
Single-stream collection and recycling,MASPETH,535.0,License
Source-Separated recycling,LINDENHURST,,License
Source-Separated recycling,HOUSTON,,License
Source-Separated recycling,JACKSON HEIGHTS,285.0,License
Source-Separated recycling,MOUNT VERNON,,License
Source-Separated recycling,OAKLAND,,License
Source-Separated recycling,BROOKLYN,439.0,License
,JAMAICA,440.0,License
Source-Separated recycling,BROOKLYN,449.0,License
Single-stream collection and recycling,STATEN ISLAND,,License
Source-Separated recycling,STATEN ISLAND,31902.0,License
,WHITESTONE,99701.0,License
Source-Separated recycling,BRONX,426.0,License
Source-Separated recycling,RUSSELLVILLE,,License
Source-Separated recycling,SANDSPOINT,,License
Source-Separated recycling,MILLER PLACE,,License
Source-Separated recycling,BRONX,228.0,License
Single-stream collection and recycling,STATEN ISLAND,226.0,License
Source-Separated recycling,MT VERNON,,License
Source-Separated recycling,NEW YORK,,License
Source-Separated recycling,STATEN ISLAND,16901.0,License
Source-Separated recycling,NEWARK,,License
Source-Separated recycling,CORONA,38301.0,License
Source-Separated recycling,STATEN ISLAND,13302.0,License
Single-stream collection and recycling,INWOOD,,License
Source-Separated recycling,LONG ISLAND CITY,33.0,License
Source-Separated recycling,LENEXA,,License
Source-Separated recycling,BRONX,46201.0,License
Source-Separated recycling,JERSEY CITY,,License
Source-Separated recycling,LANGHORNE,,License
Source-Separated recycling,BRONX,76.0,License
Source-Separated recycling,ORANGEBURG,,License
Source-Separated recycling,NEW YORK,23501.0,License
Source-Separated recycling,STATEN ISLAND,13302.0,License
Source-Separated recycling,BROOKLYN,590.0,License
Source-Separated recycling,TOMS RIVER,,License
Source-Separated recycling,JAMAICA,358.0,License
Source-Separated recycling,BROOKLYN,101.0,License
Source-Separated recycling,MIDDLE VILLAGE,,License
Source-Separated recycling,LAKE HOPATCONG,,License
Source-Separated recycling,NEWARK,,License
Single-stream collection and recycling,KEARNY,,License
Source-Separated recycling,JAMAICA,792.0,License
Source-Separated recycling,FARMINGDALE,,License
Source-Separated recycling,RICHMOND HILL,14201.0,License
Source-Separated recycling,STATEN ISLAND,50.0,License
Source-Separated recycling,BROOKLYN,1198.0,License
Source-Separated recycling,NASHVILLE,,License
,BROOKLYN,69601.0,License
Source-Separated recycling,RIDGEWOOD,555.0,License
Source-Separated recycling,OLD BRIDGE,,License
Source-Separated recycling,WESTBURY,,License
Source-Separated recycling,STATEN ISLAND,323.0,License
,BRONX,372.0,License
Source-Separated recycling,BROOKLYN,336.0,License
Source-Separated recycling,BREWSTER,,License
Source-Separated recycling,OCEANSIDE,,License
Source-Separated recycling,ASTORIA,12301.0,License
Source-Separated recycling,MASPETH,525.0,License
Source-Separated recycling,FREEPORT,,License
Source-Separated recycling,DEER PARK,,License
Source-Separated recycling,NEW YORK,295.0,License
Source-Separated recycling,WHITESTONE,99701.0,License
Source-Separated recycling,MIDDLE VILLAGE,603.0,License
Source-Separated recycling,CHICAGO,,License
Source-Separated recycling,WEST HAVEN,,License
Source-Separated recycling,NEW YORK,18.0,License
Source-Separated recycling,STATEN ISLAND,24401.0,License
Source-Separated recycling,BROOKLYN,449.0,License
,BROOKLYN,117.0,License
Source-Separated recycling,OZONE PARK,4001.0,License
Source-Separated recycling,BROOKLYN,433.0,License
Source-Separated recycling,LONG BEACH,,License
Source-Separated recycling,COPIAGUE,,License
Source-Separated recycling,BROOKLYN,934.0,License
Source-Separated recycling,GARDEN CITY,,License
Source-Separated recycling,BRONX,166.0,License
Source-Separated recycling,NEWARK,,License
Source-Separated recycling,DEER PARK,,License
Source-Separated recycling,BELLMORE,,License
Source-Separated recycling,SOMERVILLE,,License
Source-Separated recycling,STATEN ISLAND,13302.0,License
Single-stream collection and recycling,FLUSHING,38301.0,License
Single-stream collection and recycling,CLOSTER,,License
Single-stream collection and recycling,TEANECK,,License
Source-Separated recycling,WESTBURY,,License
Source-Separated recycling,BROOKLYN,1098.0,License
Source-Separated recycling,LONG ISLAND CITY,39.0,License
Source-Separated recycling,AIRMONT,,License
Source-Separated recycling,PHILADELPHIA,,License
,BROOKLYN,579.0,License
Source-Separated recycling,BRONX,,License
Source-Separated recycling,EAST ELMHURST,339.0,License
Source-Separated recycling,JERSEY CITY,,License
Source-Separated recycling,STATEN ISLAND,17010.0,License
Source-Separated recycling,BROOKLYN,1194.0,License
,STATEN ISLAND,207.0,License
Source-Separated recycling,STATEN ISLAND,29103.0,License
Source-Separated recycling,BROOKLYN,565.0,License
Source-Separated recycling,VALLEY STREAM,,License
Source-Separated recycling,SECAUCUS,,License
Source-Separated recycling,STATEN ISLAND,67.0,License
Source-Separated recycling,JACKSON,,License
Source-Separated recycling,YONKERS,,License
Source-Separated recycling,BROOKLYN,776.0,License
Source-Separated recycling,LAWRENCE,,License
Co-collection of recyclables,BEECHHURST,991.0,License
Source-Separated recycling,COLLEGE POINT,929.0,License
Source-Separated recycling,Woodside,293.0,License
Source-Separated recycling,NEW YORK,133.0,License
Source-Separated recycling,BROOKLYN,165.0,License
Source-Separated recycling,NEW HAVEN,,License
Source-Separated recycling,HOLLIS,482.0,License
Source-Separated recycling,YONKERS,,License
Single-stream collection and recycling,BROOKLYN,20.0,License
