bin,account_name,postcode,boro,state,phone
,CONSTITUTION WORKGROUP LLC,66215,,KS,913-340-7791
2097473.0,UNITED BROTHERS PRO CONSTRUCTION CORP,10475,BRONX,NY,(718) 882-0218
,"DOING IT RIGHT TECHNOLOGIES, LLC",07306,,NJ,(201) 500-4556
,"ATLANTIC RECOVERY SERVICES, INC.",19047,,PA,215-945-4827
2113333.0,"REMOVEALLMYJUNK, INC.",10472,BRONX,NY,(917) 557-0725
,ALL BORO ENTERPRISES CORP.,10962,,NY,718-280-1731
1061631.0,"WATSON'S PLUMBING, HEATING & BUILDING SERVICES, INC.",10031,MANHATTAN,NY,212-368-3434
5106635.0,GREEN ENVIRONMENTAL SERVICES CORP,10310,STATEN IS,NY,718-448-3000
3203032.0,D. B. C. INTERIOR INC.,11235,BROOKLYN,NY,917-418-3847
,IMWOTH LLC,08753,,NJ,732-244-0950
4281645.0,M&G OPERATING GROUP CORP,11413,QUEENS,NY,(646) 377-7478
3009727.0,SAJID ENTERPRISES INC,11232,BROOKLYN,NY,718-924-2556
,USA SHRED LLC,11379,,NY,(718) 326-0384
,EASTSIDE BULK TRANSPORT LLC,07849,,NJ,973-303-1200
,"ENVIRONMENTAL PROTECTION & IMPROVEMENT COMPANY, LLC",07105,,NJ,443-589-9000
,M & M SANITATION CORP.,07032,,NJ,(973) 274-1002
4262292.0,"F.C. CONSTRUCTION CONTRACTING, INC.",11436,QUEENS,NY,(917) 769-1628
,EAST COAST ENVIRONMENTAL RESTORATION INC.,11735,,NY,(631) 600-2000
4196114.0,"DR JUNK REMOVAL, INC.",11418,QUEENS,NY,(646) 581-4425
5043762.0,N & M DEMOLITION INC.,10304,STATEN IS,NY,(718) 351-6273
3326720.0,GREEN OIL RECYCLING INC.,11207,BROOKLYN,NY,(718) 301-9797
,"MYDATT SERVICES, INC.",37209,,TN,(917) 273-8368
3235657.0,RRR BROOKLYN CORP,11234,BROOKLYN,NY,(718) 419-8285
4085671.0,DONPAN LLC,11385,QUEENS,NY,718-326-6969
,C&C RECYCLING INC.,08857,,NJ,(732) 416-6877
,OCEAN & RIVER CLEAN INC.,11590,,NY,(646) 706-2660
5000000.0,APACHE ENVIRONMENTAL & DEVELOPMENT LLC,10303,STATEN IS,NY,(718) 727-0100
2056368.0,5 BOROUGH WASTE REMOVAL INC,10467,BRONX,NY,7184806489
3188002.0,"CODE CONSTRUCTION, LLC",11224,BROOKLYN,NY,(718) 273-9130
,TAULAND KITCHEN & BATH INC.,10509,,NY,914-663-6363
,"DATA-STRUCTION, INC.",11572,,NY,7189453500
4619750.0,ECD NY INC.,11105,QUEENS,NY,718-388-6705
4540084.0,"RAREFORM CARTING, INC.",11378,QUEENS,NY,(718) 205-5188
,S. & M. PROMPT RUBBISH REMOVAL SERVICE INC.,11520,,NY,(516) 223-2010
,HV SHRED INC.,11729,,NY,(845) 705-7279
1064966.0,SOLUTIONS ALL IN ONE LLC,10034,MANHATTAN,NY,3476002706
4129872.0,GOOD NEWS USA CORPORATION,11357,QUEENS,NY,(917) 842-5780
4062059.0,"J & T BRO, INC.",11379,QUEENS,NY,347-294-0082
,"DANIELS SHARPSMART, INC.",60604,,IL,(312) 285-9087
,LAKIN TIRE EAST INCORPORATED,06516,,CT,(203) 932-5801
1005596.0,ISSEKS BROS. LLC,10002,MANHATTAN,NY,212-267-2688
5088011.0,"RONYS SERVICES, INC.",10307,STATEN IS,NY,6464277881
3069971.0,HAWK. AA LLC,11222,BROOKLYN,NY,347-678-9010
3332170.0,"THE FASTWAY GROUP, LLC.",11215,BROOKLYN,NY,(646) 326-9047
4620225.0,ONESTYLE CLEANING SOLUTIONS CORPORATION,11416,QUEENS,NY,3478584894
3390312.0,"DANILO, A, RECYCLING, INC",11237,BROOKLYN,NY,(917) 681-0137
,GREEN MACHINE ENTERPRISES LLC,11561,,NY,5169039437
,"R & C RUBBISH REMOVAL, INC.",11726,,NY,(631) 608-9099
3104779.0,H & O HAULING INC,11236,BROOKLYN,NY,(917) 749-4477
,TRIBORO TRUCKING CORP,11530,,NY,516-489-6758
2079423.0,"HANDS IN UNITY, LLC",10465,BRONX,NY,347-674-6024
,T.E.V. CORP.,07114,,NJ,862-218-0954
,MEDXWASTE-NY LLC,11729,,NY,(844) 733-2247
,"CLEANOUTS R US, INC.",11710,,NY,(718) 4962572
,"TRIUMVIRATE ENVIRONMENTAL, INC.",02143,,MA,(617) 628-8098
5106635.0,PERCIBALLI CONTAINER SERVICE INC.,10310,STATEN IS,NY,(718) 351-3373
4437268.0,TULLY ENVIRONMENTAL INC.,11368,QUEENS,NY,(718) 446-7000
,FILCO CARTING CORP.,07624,,NJ,833-GO-FILCO
,ACTION CARTING ENVIRONMENTAL SERVICES INC.,07666,,NJ,(973) 623-7600
,ACE OIL MANAGEMENT INC,11590,,NY,(929) 888-5599
3391348.0,"CLEAN COLLECTION, INC.",11207,BROOKLYN,NY,(926) 610-2406
4004361.0,"B & H RESTORATION, INC.",11101,QUEENS,NY,(718) 274-5598
,SUPREME LOCKS CORP.,10952,,NY,(917) 440-6660
,"G.T.O. SERVICES, INC.",19136,,PA,(215) 332-2100
3392243.0,COGENT WASTE SOLUTIONS LLC,11222,BROOKLYN,NY,(718) 349-7555
,CMP CONTRACTING INC,10469,,NY,(718) 798-4383
4033912.0,LUIS CONSTRUCTION NY INC,11369,QUEENS,NY,347-605-6521
,IRON MOUNTAIN SECURE SHREDDING INC,07305,,NJ,201-984-6248
5078147.0,SATRIANO ENVIRONMENTAL LLC,10312,STATEN IS,NY,917-957-3815
3391219.0,WILLO TRUCKING LLC,11208,BROOKLYN,NY,(917) 488-0794
5025269.0,D.R.P.K. DEMOLITION INC,10302,STATEN IS,NY,(862) 295-6306
5035868.0,"JERRY THE RUBBISH MAN & COMPANY, INC.",10314,STATEN IS,NY,(718) 236-8771
3397336.0,NOVA CONSTRUCTION SERVICES LLC,11222,BROOKLYN,NY,718-349-7770
,GREENWORLD NY LLC,11580,,NY,(347) 833-5349
,"WILENTA CARTING OF NY, INC.",07094,,NJ,(201) 863-3035
5007157.0,AARDVARK TRUCKING INC,10301,STATEN IS,NY,(718) 208-5462
,CYNTOX LIMITED LIABILITY COMPANY,08527,,NJ,(855) 429-6869
,RON'S TRUCKING CORPORATION,10703,,NY,(914) 423-1773
3213981.0,FLAT RATE JUNK REMOVAL CORP,11210,BROOKLYN,NY,(800) 299-5865
,REGENCY RECYCLING CORP.,11559,,NY,(718) 525-7100
4104197.0,EVEREST REMOVAL INC.,11357,QUEENS,NY,(347) 247-9057
4443231.0,IMVROS WASTE INC,11356,QUEENS,NY,(718) 663-2200
4027126.0,"RITE-WAY INTERNAL REMOVAL, INC.",11377-2230,QUEENS,NY,(718) 458-8900
1025240.0,"LAUMONT PHOTOGRAPHICS, INC.",10019,MANHATTAN,NY,718-361-3361
3024821.0,"DUN-RITE RUBBISH REMOVAL, INC.",11215,BROOKLYN,NY,(718) 398-6343
,"MCVAC ENVIRONMENTAL SERVICES, INC.",06513,,NY,203-498-1427
4222291.0,4D CONSTRUCTION INC.,11423,QUEENS,NY,(516) 303-0776
,PURE GREEN RECYCLING LLC,10705,,NY,786-718-5063
3012518.0,MIDDLE EAST MANAGEMENT CORP,11220,BROOKLYN,NY,718-965-1483
