pub_dt,ref_yr,ind,unit,value
20210114,2020,Financial Activities,Thousands of Jobs,461.0
20210426,2021,Leisure & Hospitality,Thousands of Jobs,301.4
20210114,2021,Other Services,Thousands of Jobs,175.7
20210426,2020,Professional & Business Services,Thousands of Jobs,709.4
20200116,2019,Other Services,Thousands of Jobs,196.732
20210426,2020,Leisure & Hospitality,Thousands of Jobs,271.8
20210114,2019,Construction,Thousands of Jobs,159.9
20210426,2020,Government,Thousands of Jobs,588.0
20210426,2022,Construction,Thousands of Jobs,152.3
20200416,2021,Securities,Thousands of Jobs,178.262
20210426,2020,Securities,Thousands of Jobs,179.9
20200416,2019,Professional & Business Services,Thousands of Jobs,794.276
20200116,2019,Wholesale & Retail Trade,Thousands of Jobs,492.959
20200416,2021,Private,Thousands of Jobs,3927.259
20200116,2020,Financial Activities,Thousands of Jobs,481.299
20200116,2019,Health & Social Services,Thousands of Jobs,790.046
20200416,2019,Financial Activities,Thousands of Jobs,482.403
20200416,2019,Government,Thousands of Jobs,587.988
20200416,2019,Education,Thousands of Jobs,256.536
20220216,2020,Manufacturing,Thousands of Jobs,53.0
20200116,2020,Construction,Thousands of Jobs,160.48
20210114,2020,Information,Thousands of Jobs,203.3
20210114,2019,Manufacturing,Thousands of Jobs,67.3
20210114,2021,Information,Thousands of Jobs,209.4
20200416,2021,Other Services,Thousands of Jobs,191.288
20210426,2022,Wholesale & Retail Trade,Thousands of Jobs,458.0
20200116,2019,Private,Thousands of Jobs,4045.167
20210426,2021,Manufacturing,Thousands of Jobs,54.8
20210114,2020,Government,Thousands of Jobs,573.3
20200416,2021,Leisure & Hospitality,Thousands of Jobs,444.514
20200116,2020,Private,Thousands of Jobs,4101.728
20220216,2020,Wholesale & Retail Trade,Thousands of Jobs,407.3
20210426,2021,Professional & Business Services,Thousands of Jobs,763.4
20210426,2021,Transportation & Utilities,Thousands of Jobs,136.9
20210114,2019,Transportation & Utilities,Thousands of Jobs,147.5
20200116,2018,Leisure & Hospitality,Thousands of Jobs,462.983
20200416,2019,Securities,Thousands of Jobs,181.972
20200116,2020,Manufacturing,Thousands of Jobs,67.815
20210114,2021,Manufacturing,Thousands of Jobs,54.3
20200416,2020,Total,Thousands of Jobs,4304.906
20200116,2019,Professional & Business Services,Thousands of Jobs,783.243
20210114,2019,Health & Social Services,Thousands of Jobs,799.4
20200116,2019,Transportation & Utilities,Thousands of Jobs,143.729
20210114,2019,Securities,Thousands of Jobs,182.1
20200116,2018,Manufacturing,Thousands of Jobs,70.567
20210426,2020,Transportation & Utilities,Thousands of Jobs,127.0
20210426,2021,Financial Activities,Thousands of Jobs,473.4
20210114,2021,Health & Social Services,Thousands of Jobs,802.5
20210426,2022,Information,Thousands of Jobs,223.9
20210114,2019,Financial Activities,Thousands of Jobs,482.4
20200116,2019,Information,Thousands of Jobs,209.465
20210114,2019,Total,Thousands of Jobs,4651.4
20210426,2021,Private,Thousands of Jobs,3697.7
20200116,2019,Total,Thousands of Jobs,4639.431
20200116,2018,Information,Thousands of Jobs,204.392
20200116,2020,Government,Thousands of Jobs,594.244
20200116,2018,Securities,Thousands of Jobs,181.342
20200116,2019,Government,Thousands of Jobs,594.264
20200416,2020,Securities,Thousands of Jobs,174.987
20200116,2020,Leisure & Hospitality,Thousands of Jobs,470.177
20200416,2020,Education,Thousands of Jobs,217.976
20220216,2020,Transportation & Utilities,Thousands of Jobs,127.0
20210114,2021,Professional & Business Services,Thousands of Jobs,752.4
20200416,2020,Construction,Thousands of Jobs,152.913
20200416,2021,Transportation & Utilities,Thousands of Jobs,116.27
20200116,2020,Education,Thousands of Jobs,259.732
20200116,2018,Health & Social Services,Thousands of Jobs,751.075
20210426,2020,Wholesale & Retail Trade,Thousands of Jobs,407.3
20210426,2022,Financial Activities,Thousands of Jobs,490.3
20200416,2021,Construction,Thousands of Jobs,152.751
20210426,2021,Wholesale & Retail Trade,Thousands of Jobs,422.6
20200416,2021,Wholesale & Retail Trade,Thousands of Jobs,433.121
20200416,2019,Private,Thousands of Jobs,4067.351
20200116,2019,Manufacturing,Thousands of Jobs,69.243
20210114,2020,Leisure & Hospitality,Thousands of Jobs,278.6
20210114,2021,Leisure & Hospitality,Thousands of Jobs,322.0
20200116,2019,Leisure & Hospitality,Thousands of Jobs,467.681
20210426,2020,Other Services,Thousands of Jobs,158.1
20200116,2018,Professional & Business Services,Thousands of Jobs,762.108
20200416,2020,Health & Social Services,Thousands of Jobs,835.489
20200416,2021,Health & Social Services,Thousands of Jobs,860.883
20210426,2021,Other Services,Thousands of Jobs,163.2
20210426,2020,Construction,Thousands of Jobs,138.0
20200416,2021,Professional & Business Services,Thousands of Jobs,760.526
20210114,2021,Securities,Thousands of Jobs,182.6
20200416,2019,Other Services,Thousands of Jobs,194.897
20220216,2020,Education,Thousands of Jobs,234.8
20200416,2020,Private,Thousands of Jobs,3713.922
20210114,2020,Wholesale & Retail Trade,Thousands of Jobs,427.6
20220216,2021,Private,Thousands of Jobs,3589.5
20210426,2022,Education,Thousands of Jobs,246.7
20210426,2021,Total,Thousands of Jobs,4284.8
20210114,2019,Professional & Business Services,Thousands of Jobs,794.1
20210426,2022,Manufacturing,Thousands of Jobs,57.0
20220216,2021,Total,Thousands of Jobs,4177.7
20210426,2022,Health & Social Services,Thousands of Jobs,813.7
20220216,2020,Private,Thousands of Jobs,3545.5
20210426,2022,Other Services,Thousands of Jobs,175.2
20220216,2020,Leisure & Hospitality,Thousands of Jobs,271.8
20210114,2021,Transportation & Utilities,Thousands of Jobs,129.7
20200416,2020,Professional & Business Services,Thousands of Jobs,735.623
20210426,2020,Total,Thousands of Jobs,4133.5
20210114,2020,Construction,Thousands of Jobs,137.4
20220216,2020,Professional & Business Services,Thousands of Jobs,709.4
20200116,2020,Transportation & Utilities,Thousands of Jobs,146.545
20210114,2020,Manufacturing,Thousands of Jobs,56.2
20200416,2019,Wholesale & Retail Trade,Thousands of Jobs,485.835
20200116,2019,Education,Thousands of Jobs,257.687
20200416,2020,Wholesale & Retail Trade,Thousands of Jobs,400.487
20200116,2018,Financial Activities,Thousands of Jobs,474.683
20210114,2020,Total,Thousands of Jobs,4140.5
20200116,2019,Financial Activities,Thousands of Jobs,474.929
20200416,2019,Total,Thousands of Jobs,4655.339
20220216,2020,Total,Thousands of Jobs,4133.5
20210114,2020,Professional & Business Services,Thousands of Jobs,715.4
20220216,2020,Information,Thousands of Jobs,206.8
20200116,2019,Securities,Thousands of Jobs,180.838
20200116,2018,Government,Thousands of Jobs,588.325
20210426,2021,Education,Thousands of Jobs,234.1
20210114,2021,Education,Thousands of Jobs,237.9
20200116,2018,Wholesale & Retail Trade,Thousands of Jobs,490.067
20200416,2020,Transportation & Utilities,Thousands of Jobs,111.095
20210114,2021,Construction,Thousands of Jobs,153.0
20210114,2020,Securities,Thousands of Jobs,174.5
20200416,2020,Other Services,Thousands of Jobs,188.12
20200116,2018,Total,Thousands of Jobs,4551.342
20210426,2022,Securities,Thousands of Jobs,198.3
20210114,2021,Total,Thousands of Jobs,4331.7
20220216,2021,Securities,Thousands of Jobs,174.6
20210426,2020,Manufacturing,Thousands of Jobs,53.0
