borough,supervision_closing_type,month,year,supervision_closing_count
Citywide,Adjournment in Contemplation of Dismissal,June,2022,7
Citywide,Adjournment in Contemplation of Dismissal,February,2022,6
Citywide,Every Child Has An Opportunity To Excel And Succeed,March,2020,0
Citywide,Juvenile Justice Initiative,September,2020,7
Citywide,Every Child Has An Opportunity To Excel And Succeed,December,2019,3
Citywide,Every Child Has An Opportunity To Excel And Succeed,February,2022,2
Citywide,Juvenile Justice Initiative,April,2020,7
Citywide,Juvenile Justice Initiative,November,2019,7
Citywide,Adjournment in Contemplation of Dismissal,November,2021,4
Citywide,General Supervision,June,2022,28
Citywide,Every Child Has An Opportunity To Excel And Succeed,July,2022,1
Citywide,Adjournment in Contemplation of Dismissal,March,2022,11
Citywide,General Supervision,September,2020,24
Citywide,Juvenile Justice Initiative,April,2021,0
Citywide,Juvenile Justice Initiative,July,2022,7
Citywide,Adjournment in Contemplation of Dismissal,January,2021,8
Citywide,General Supervision,December,2021,17
Citywide,Enhanced Supervision Program,March,2022,6
Citywide,Enhanced Supervision Program,January,2021,13
Citywide,Adjournment in Contemplation of Dismissal,October,2019,23
Citywide,Enhanced Supervision Program,July,2022,13
Citywide,Juvenile Justice Initiative,May,2021,3
Citywide,Advocate Intervene Mentor,July,2021,3
Citywide,Enhanced Supervision Program,July,2021,10
Citywide,General Supervision,April,2020,22
Citywide,Adjournment in Contemplation of Dismissal,May,2022,4
Citywide,Every Child Has An Opportunity To Excel And Succeed,April,2022,0
Citywide,General Supervision,November,2021,15
Citywide,Every Child Has An Opportunity To Excel And Succeed,February,2020,0
Citywide,Adjournment in Contemplation of Dismissal,August,2020,14
Citywide,Advocate Intervene Mentor,November,2024,3
Citywide,Enhanced Supervision Program,April,2020,10
Citywide,Enhanced Supervision Program,August,2020,21
Citywide,Juvenile Justice Initiative,March,2021,21
Citywide,Advocate Intervene Mentor,February,2020,8
Citywide,General Supervision,January,2020,46
Citywide,Advocate Intervene Mentor,September,2021,2
Citywide,Enhanced Supervision Program,April,2021,10
Citywide,Advocate Intervene Mentor,September,2020,5
Citywide,Every Child Has An Opportunity To Excel And Succeed,September,2020,1
Citywide,Adjournment in Contemplation of Dismissal,May,2021,8
Citywide,Every Child Has An Opportunity To Excel And Succeed,July,2021,0
Citywide,Every Child Has An Opportunity To Excel And Succeed,August,2020,2
Citywide,Juvenile Justice Initiative,February,2020,9
Citywide,Adjournment in Contemplation of Dismissal,October,2020,3
Citywide,Enhanced Supervision Program,November,2021,12
Citywide,Advocate Intervene Mentor,May,2021,2
Citywide,Advocate Intervene Mentor,March,2021,3
Citywide,Advocate Intervene Mentor,April,2021,1
Citywide,Pathways to Excellence Achievement and Knowledge,November,2024,0
Citywide,Enhanced Supervision Program,August,2021,8
Citywide,Advocate Intervene Mentor,November,2020,4
Citywide,General Supervision,November,2024,28
Citywide,Enhanced Supervision Program,December,2019,20
Citywide,Every Child Has An Opportunity To Excel And Succeed,September,2021,0
Citywide,General Supervision,December,2020,39
Citywide,Advocate Intervene Mentor,December,2019,4
Citywide,Enhanced Supervision Program,February,2021,7
Citywide,Advocate Intervene Mentor,July,2022,0
Citywide,General Supervision,August,2021,25
Citywide,Enhanced Supervision Program,March,2021,12
Citywide,Adjournment in Contemplation of Dismissal,March,2020,16
Citywide,Every Child Has An Opportunity To Excel And Succeed,December,2021,0
Citywide,Advocate Intervene Mentor,May,2020,1
Citywide,Advocate Intervene Mentor,December,2021,1
Citywide,General Supervision,January,2021,32
Citywide,Every Child Has An Opportunity To Excel And Succeed,February,2021,0
Citywide,General Supervision,March,2021,37
Citywide,Advocate Intervene Mentor,January,2020,7
Citywide,Juvenile Justice Initiative,June,2021,2
Citywide,IMPACT,November,2024,0
Citywide,Adjournment in Contemplation of Dismissal,April,2022,6
Citywide,Adjournment in Contemplation of Dismissal,November,2019,16
Citywide,Enhanced Supervision Program,June,2020,11
Citywide,Advocate Intervene Mentor,June,2022,0
Citywide,Enhanced Supervision Program,May,2022,7
Citywide,Juvenile Justice Initiative,April,2022,3
Citywide,Every Child Has An Opportunity To Excel And Succeed,June,2020,2
Citywide,Every Child Has An Opportunity To Excel And Succeed,November,2021,0
Citywide,Every Child Has An Opportunity To Excel And Succeed,December,2020,0
Citywide,Advocate Intervene Mentor,May,2022,1
Citywide,Juvenile Justice Initiative,November,2024,11
Citywide,General Supervision,March,2022,29
Citywide,Every Child Has An Opportunity To Excel And Succeed,June,2021,3
Citywide,Enhanced Supervision Program,November,2019,27
Citywide,General Supervision,June,2020,30
Citywide,Enhanced Supervision Program,July,2020,7
Citywide,General Supervision,February,2020,32
Citywide,Every Child Has An Opportunity To Excel And Succeed,July,2020,0
Citywide,Adjournment in Contemplation of Dismissal,April,2020,11
Citywide,Enhanced Supervision Program,May,2020,9
Citywide,Enhanced Supervision Program,January,2020,16
Citywide,Enhanced Supervision Program,December,2020,7
Citywide,Enhanced Supervision Program,September,2021,14
Citywide,Juvenile Justice Initiative,February,2021,5
Citywide,Juvenile Justice Initiative,May,2020,1
Citywide,General Supervision,May,2022,26
Citywide,General Supervision,July,2020,20
Citywide,Advocate Intervene Mentor,June,2021,2
Citywide,Advocate Intervene Mentor,August,2021,0
Citywide,Every Child Has An Opportunity To Excel And Succeed,May,2020,2
Citywide,Adjournment in Contemplation of Dismissal,July,2022,7
Citywide,Advocate Intervene Mentor,August,2020,1
Citywide,Adjournment in Contemplation of Dismissal,September,2021,9
Citywide,Enhanced Supervision Program,October,2019,18
Citywide,Juvenile Justice Initiative,February,2022,4
Citywide,Every Child Has An Opportunity To Excel And Succeed,January,2021,0
Citywide,General Supervision,August,2020,31
Citywide,Every Child Has An Opportunity To Excel And Succeed,March,2022,1
Citywide,Adjournment in Contemplation of Dismissal,March,2021,9
Citywide,Advocate Intervene Mentor,March,2022,0
Citywide,General Supervision,June,2021,14
Citywide,Juvenile Justice Initiative,August,2020,7
Citywide,Advocate Intervene Mentor,January,2021,0
Citywide,Enhanced Supervision Program,May,2021,15
Citywide,Every Child Has An Opportunity To Excel And Succeed,April,2021,0
Citywide,Adjournment in Contemplation of Dismissal,July,2020,12
Citywide,Every Child Has An Opportunity To Excel And Succeed,November,2020,2
Citywide,Juvenile Justice Initiative,March,2022,1
Citywide,Juvenile Justice Initiative,January,2020,9
Citywide,Advocate Intervene Mentor,February,2022,2
Citywide,General Supervision,March,2020,28
Citywide,Enhanced Supervision Program,February,2020,7
Citywide,Adjournment in Contemplation of Dismissal,November,2024,23
Citywide,Juvenile Justice Initiative,January,2021,4
Citywide,General Supervision,July,2022,11
Citywide,Every Child Has An Opportunity To Excel And Succeed,November,2019,2
Citywide,Enhanced Supervision Program,September,2020,13
Citywide,Juvenile Justice Initiative,October,2019,4
Citywide,Every Child Has An Opportunity To Excel And Succeed,August,2021,1
Citywide,Adjournment in Contemplation of Dismissal,December,2019,18
Citywide,Enhanced Supervision Program,June,2021,9
Citywide,Juvenile Justice Initiative,December,2020,8
Citywide,Every Child Has An Opportunity To Excel And Succeed,April,2020,0
Citywide,Juvenile Justice Initiative,October,2020,7
Citywide,Advocate Intervene Mentor,November,2019,7
Citywide,General Supervision,November,2020,27
Citywide,General Supervision,July,2021,33
Citywide,Advocate Intervene Mentor,March,2020,2
Citywide,Advocate Intervene Mentor,April,2022,4
