race,borough,concurrent_hiv_aids_among_all,hiv_aids_concurrent_num
Black,Bronx,,0.0
"Asian/Pacific
Islander",Bronx,,0.0
Latino/Hispanic,Bronx,16.7,1.0
"Asian/Pacific
Islander",Bronx,50.0,1.0
Latino/Hispanic,Bronx,0.0,0.0
White,Brooklyn,16.7,7.0
Black,All,17.3,92.0
"Asian/Pacific
Islander",Brooklyn,0.0,0.0
All,Brooklyn,21.3,73.0
White,Brooklyn,33.3,2.0
"Asian/Pacific
Islander",Bronx,100.0,1.0
Latino/Hispanic,Brooklyn,23.9,22.0
Other/Unknown,Bronx,,0.0
White,Bronx,13.3,2.0
All,Bronx,16.7,1.0
All,Bronx,8.3,3.0
All,Bronx,21.8,19.0
All,Bronx,21.4,3.0
White,Bronx,0.0,0.0
Black,Bronx,8.0,2.0
"Asian/Pacific
Islander",Bronx,100.0,1.0
All,Brooklyn,14.3,1.0
Latino/Hispanic,Bronx,17.5,34.0
Other/Unknown,Bronx,0.0,0.0
White,Bronx,0.0,0.0
White,All,14.4,24.0
"Asian/Pacific
Islander",All,29.7,27.0
Other/Unknown,Brooklyn,25.0,1.0
Other/Unknown,Bronx,,0.0
Black,Bronx,11.1,2.0
Black,Bronx,33.3,1.0
"Asian/Pacific
Islander",Bronx,50.0,1.0
Other/Unknown,Brooklyn,0.0,0.0
Black,Bronx,28.6,2.0
"Asian/Pacific
Islander",Bronx,,0.0
Latino/Hispanic,Bronx,13.6,3.0
"Asian/Pacific
Islander",Bronx,,0.0
All,Bronx,22.7,5.0
Black,Brooklyn,20.2,40.0
All,Bronx,17.0,9.0
Black,Bronx,20.0,4.0
Black,Bronx,0.0,0.0
White,Bronx,,0.0
White,Bronx,50.0,1.0
White,All,15.0,28.0
All,Bronx,10.0,1.0
"Asian/Pacific
Islander",Bronx,,0.0
Latino/Hispanic,Bronx,27.3,12.0
Black,Bronx,31.8,7.0
White,Bronx,,0.0
Other/Unknown,Brooklyn,20.0,1.0
All,Brooklyn,23.5,27.0
Black,Bronx,36.4,4.0
All,All,21.3,61.0
Black,Brooklyn,19.8,49.0
Black,Brooklyn,27.4,20.0
White,Bronx,0.0,0.0
All,Brooklyn,25.5,25.0
Latino/Hispanic,Bronx,22.7,10.0
Black,Bronx,19.5,30.0
Black,Brooklyn,26.8,22.0
White,Brooklyn,20.0,1.0
Latino/Hispanic,Bronx,28.6,2.0
All,Bronx,24.0,12.0
"Asian/Pacific
Islander",Brooklyn,24.0,6.0
White,Bronx,,0.0
Black,Bronx,12.5,1.0
White,Bronx,25.0,1.0
Other/Unknown,Bronx,0.0,0.0
"Asian/Pacific
Islander",All,44.4,4.0
"Asian/Pacific
Islander",Bronx,66.7,4.0
White,Brooklyn,17.0,8.0
Other/Unknown,Brooklyn,0.0,0.0
Other/Unknown,Bronx,,0.0
Other/Unknown,Bronx,,0.0
Latino/Hispanic,Brooklyn,13.6,3.0
All,Bronx,13.2,7.0
Black,Bronx,5.6,1.0
"Asian/Pacific
Islander",Bronx,,0.0
Latino/Hispanic,All,19.7,117.0
Latino/Hispanic,Bronx,16.7,27.0
Latino/Hispanic,Bronx,23.7,9.0
All,Bronx,8.3,1.0
"Asian/Pacific
Islander",Bronx,,0.0
Other/Unknown,Bronx,0.0,0.0
Other/Unknown,Bronx,0.0,0.0
Other/Unknown,Bronx,,0.0
Black,Bronx,13.8,4.0
All,All,19.2,306.0
All,Bronx,35.3,6.0
All,Bronx,8.7,4.0
White,Bronx,0.0,0.0
White,Bronx,0.0,0.0
Black,Bronx,18.2,2.0
Black,Bronx,20.8,5.0
Black,Bronx,20.5,8.0
"Asian/Pacific
Islander",Bronx,100.0,1.0
Other/Unknown,Bronx,,0.0
White,Bronx,0.0,0.0
"Asian/Pacific
Islander",Bronx,,0.0
White,Bronx,25.0,1.0
Latino/Hispanic,Bronx,27.0,10.0
White,Bronx,0.0,0.0
White,Brooklyn,28.6,2.0
Black,Bronx,23.1,12.0
All,Brooklyn,20.7,86.0
"Asian/Pacific
Islander",Brooklyn,0.0,0.0
Other/Unknown,Bronx,0.0,0.0
