neighborhood,aids_diagnoses_num,hiv_diagnoses_num
"Fordham - Bronx
Park",16.0,14.0
"High Bridge -
Morrisania",1.0,1.0
Northeast Bronx,15.0,25.0
"Fordham - Bronx
Park",2.0,1.0
"Bensonhurst - Bay
Ridge",4.0,7.0
All,121.0,194.0
Northeast Bronx,0.0,1.0
"Fordham - Bronx
Park",2.0,1.0
All,101.0,167.0
All,44.0,91.0
All,2.0,4.0
Crotona - Tremont,1.0,0.0
Crotona - Tremont,21.0,18.0
"Hunts Point - Mott
Haven",7.0,3.0
"Pelham - Throgs
Neck",1.0,2.0
"Bedford Stuyvesant -
Crown Heights",0.0,1.0
"Fordham - Bronx
Park",12.0,7.0
"Kingsbridge -
Riverdale",0.0,0.0
"Pelham - Throgs
Neck",14.0,22.0
"High Bridge -
Morrisania",0.0,0.0
Crotona - Tremont,22.0,22.0
All,107.0,198.0
Northeast Bronx,30.0,53.0
"High Bridge -
Morrisania",21.0,20.0
"High Bridge -
Morrisania",6.0,9.0
"Kingsbridge -
Riverdale",1.0,0.0
Crotona - Tremont,4.0,2.0
All,114.0,187.0
"Kingsbridge -
Riverdale",3.0,10.0
"High Bridge -
Morrisania",0.0,0.0
"High Bridge -
Morrisania",22.0,44.0
"Pelham - Throgs
Neck",20.0,22.0
"Kingsbridge -
Riverdale",0.0,0.0
All,2.0,5.0
"Bedford Stuyvesant -
Crown Heights",67.0,115.0
"High Bridge -
Morrisania",15.0,11.0
All,260.0,286.0
All,161.0,247.0
"Bedford Stuyvesant -
Crown Heights",40.0,73.0
Northeast Bronx,0.0,1.0
"Bedford Stuyvesant -
Crown Heights",52.0,98.0
"Fordham - Bronx
Park",31.0,44.0
All,153.0,154.0
"Bedford Stuyvesant -
Crown Heights",53.0,82.0
All,3.0,5.0
"High Bridge -
Morrisania",6.0,7.0
"Pelham - Throgs
Neck",37.0,50.0
All,6.0,25.0
"Pelham - Throgs
Neck",0.0,0.0
"Pelham - Throgs
Neck",4.0,8.0
"Pelham - Throgs
Neck",1.0,4.0
Northeast Bronx,0.0,1.0
All,7.0,9.0
All,5.0,6.0
All,20.0,47.0
"Bedford Stuyvesant -
Crown Heights",0.0,1.0
"Pelham - Throgs
Neck",1.0,0.0
"Pelham - Throgs
Neck",1.0,0.0
"Bedford Stuyvesant -
Crown Heights",8.0,22.0
Crotona - Tremont,52.0,53.0
"Hunts Point - Mott
Haven",15.0,18.0
All,0.0,0.0
All,369.0,593.0
All,94.0,162.0
"Fordham - Bronx
Park",27.0,38.0
"Kingsbridge -
Riverdale",7.0,12.0
"Hunts Point - Mott
Haven",0.0,0.0
All,2.0,2.0
"Hunts Point - Mott
Haven",0.0,
All,1.0,0.0
Crotona - Tremont,36.0,29.0
All,1053.0,1592.0
Northeast Bronx,11.0,17.0
"Hunts Point - Mott
Haven",35.0,46.0
"Hunts Point - Mott
Haven",2.0,4.0
All,3.0,3.0
Crotona - Tremont,15.0,11.0
"Fordham - Bronx
Park",33.0,24.0
Northeast Bronx,23.0,39.0
Crotona - Tremont,1.0,1.0
"Kingsbridge -
Riverdale",0.0,0.0
Northeast Bronx,0.0,1.0
"High Bridge -
Morrisania",0.0,0.0
"Pelham - Throgs
Neck",1.0,4.0
"High Bridge -
Morrisania",16.0,37.0
"Hunts Point - Mott
Haven",3.0,5.0
"Bedford Stuyvesant -
Crown Heights",5.0,7.0
All,55.0,52.0
All,246.0,416.0
"Bedford Stuyvesant -
Crown Heights",1.0,3.0
All,3.0,2.0
