street_num,block,taxclass,taxyear,bin,community_board
138,470,4,2021,1090453.0,102.0
84,68,4,2021,1001113.0,101.0
30,123,4,2021,1089428.0,101.0
31,465,4,2021,1006764.0,103.0
79,282,4,2021,1084614.0,103.0
370,211,4,2021,1088921.0,101.0
416,196,4,2021,1002341.0,101.0
246,491,4,2021,1088431.0,102.0
246,491,4,2021,1088431.0,102.0
88,413,4,2021,1090650.0,103.0
246,491,4,2021,1088431.0,102.0
377,187,4,2021,1087575.0,101.0
246,491,4,2021,1088431.0,102.0
140,56,4,2021,1001063.0,101.0
246,491,4,2021,1088431.0,102.0
86,292,4,2021,1088640.0,103.0
161,72,4,2021,1089746.0,101.0
246,491,4,2021,1088431.0,102.0
246,491,4,2021,1088431.0,102.0
27,227,4,2021,1088405.0,102.0
246,491,4,2021,1088431.0,102.0
