summons_number,issue_date,reduction_amount,violation,amount_due,state
7883800711,09/08/2009,,,,NJ
8286521249,06/10/2016,0.0,FAIL TO DISP. MUNI METER RECPT,0.0,NY
7840914196,07/12/2015,,,,MD
1452471940,11/16/2018,75.0,TRAFFIC LANE,0.0,NY
8108507224,01/28/2017,0.0,FIRE HYDRANT,0.0,NY
8119500222,06/20/2016,125.0,NO STANDING-COMM METER ZONE,0.0,NJ
4647471883,09/05/2018,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NJ
8123037685,09/30/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
7883806270,10/14/2009,,,,NY
8119500994,07/05/2016,0.0,NO STANDING-EXC. TRUCK LOADING,0.0,NY
7840913520,07/10/2015,,,,NY
7031866819,06/24/2016,0.0,DOUBLE PARKING,0.0,NY
7840916016,07/25/2015,,,,GA
8070074735,07/16/2016,0.0,REG. STICKER-EXPIRED/MISSING,0.0,NY
1452471770,11/16/2018,23.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
7883807985,10/27/2009,,,,PA
1452471769,11/19/2018,23.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8214011530,05/04/2016,0.0,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
5102499725,06/24/2018,0.0,FAILURE TO STOP AT RED LIGHT,0.0,NY
4009270743,08/23/2018,0.04,BUS LANE VIOLATION,0.0,NY
7031866248,06/22/2016,0.0,NO STANDING-BUS STOP,0.0,IN
5103115566,07/29/2018,0.0,FAILURE TO STOP AT RED LIGHT,0.0,CT
5102499750,06/24/2018,0.0,FAILURE TO STOP AT RED LIGHT,0.0,NY
4639356213,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8622997911,05/15/2019,80.0,DOUBLE PARKING,0.0,NY
4650171660,11/20/2018,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
4632088250,03/24/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8752757171,06/25/2019,0.0,REG. STICKER-EXPIRED/MISSING,0.0,NY
8622997066,05/07/2019,10.0,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
4656400890,05/08/2019,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
1447587820,02/03/2019,115.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
8119063636,08/02/2016,0.0,NO STANDING-COMM METER ZONE,0.0,NY
8602886494,05/18/2018,0.16,FAIL TO DSPLY MUNI METER RECPT,0.0,CT
7373254226,12/05/2016,0.0,NO PARKING-DAY/TIME LIMITS,0.0,NY
4639356870,11/03/2017,0.13,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
4644236380,03/27/2018,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8119063478,08/01/2016,37.0,FAIL TO DISP. MUNI METER RECPT,0.0,NY
8119063466,08/01/2016,25.0,FAIL TO DISP. MUNI METER RECPT,0.0,NY
8070074814,07/16/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
1452472208,11/20/2018,115.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NJ
8752766421,08/31/2019,0.0,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
8070074760,07/16/2016,0.0,INSP. STICKER-EXPIRED/MISSING,0.0,NY
8752765570,08/29/2019,0.0,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
8622986652,03/04/2019,0.0,NO STANDING-BUS STOP,0.0,OR
8123039724,10/10/2016,10.0,FIRE HYDRANT,0.0,NY
1419828691,01/26/2017,0.04,NO STANDING-EXC. AUTH. VEHICLE,0.0,NY
7840914690,07/14/2015,,,,TN
8070074851,07/16/2016,0.0,NO PARKING-STREET CLEANING,0.0,NY
8123039300,10/07/2016,115.0,DOUBLE PARKING,0.0,NY
8281073998,02/28/2017,0.0,NO PARKING-DAY/TIME LIMITS,0.0,PA
7840913490,07/10/2015,,,,NY
8286521821,06/13/2016,37.0,FAIL TO DISP. MUNI METER RECPT,0.0,NY
1452472105,11/20/2018,0.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
1447587133,01/22/2019,0.0,FIRE HYDRANT,0.0,NY
5102499774,06/24/2018,0.0,FAILURE TO STOP AT RED LIGHT,0.0,NY
8752765751,08/29/2019,35.0,FAIL TO DSPLY MUNI METER RECPT,0.0,CA
8328525409,08/15/2016,0.21,NO PARKING-DAY/TIME LIMITS,0.0,NY
1452472221,11/20/2018,33.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NY
8622997868,05/15/2019,40.0,NO PARKING-DAY/TIME LIMITS,0.0,NY
8752736672,08/30/2019,0.0,REG. STICKER-EXPIRED/MISSING,0.0,NY
1452472087,11/20/2018,0.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NJ
1452472245,11/20/2018,115.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NY
8752755010,06/11/2019,0.0,REG. STICKER-EXPIRED/MISSING,0.0,NY
8281074619,03/08/2017,0.0,NO PARKING-STREET CLEANING,0.0,NY
8286521523,06/11/2016,0.0,NO STANDING-COMM METER ZONE,0.0,IL
7883710096,09/02/2008,,,,IN
8752762592,08/02/2019,10.0,NO STANDING-EXC. TRUCK LOADING,0.0,NY
4650171623,11/20/2018,3.99,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
7840916132,07/25/2015,,,,IN
7031867010,06/25/2016,0.79,INSP. STICKER-EXPIRED/MISSING,0.0,NY
8123038707,10/05/2016,0.0,FAIL TO DISP. MUNI METER RECPT,0.0,NJ
4647471895,09/05/2018,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8286521687,06/13/2016,65.0,PLTFRM LFTS LWRD POS COMM VEH,0.0,IN
4639356766,11/03/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8752761083,07/25/2019,0.0,INSP. STICKER-EXPIRED/MISSING,0.0,NY
8281072374,02/16/2017,0.0,DOUBLE PARKING,0.0,NY
4630464128,02/06/2017,0.0,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8108508113,02/05/2017,0.0,NO STANDING-BUS STOP,0.0,NJ
1452472166,11/20/2018,33.0,DOUBLE PARKING-MIDTOWN COMML,0.0,NY
4639357072,11/03/2017,0.13,PHTO SCHOOL ZN SPEED VIOLATION,0.0,NY
8239534314,10/03/2016,0.12,FAIL TO DSPLY MUNI METER RECPT,0.0,NY
8108508241,02/05/2017,0.0,NO STANDING-DAY/TIME LIMITS,0.0,NY
