summons_image,violation_status,plate,county,judgment_entry_date,fine_amount
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekZPVkVGNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,HSY5075,Q,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVVOUVWWGxPVkZGM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GYV2665,NY,12/01/2016,60.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPYWtVd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,20228135,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2ROUkdONFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,X9263P,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FMVVRVE5OZW1zMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,KHS0514,K,,60.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkdkNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,53200JA,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkVWM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GTL2378,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdONFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HFT6124,NY,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRPZWtsNVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,DLW2378,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtFeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,42133JM,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSVE5OVkZreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GTS6925,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVFOVVaM2xQUkZVelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,FSY2798,NY,05/18/2017,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVRVEpOZWxsNlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING PENDING,HCX4654,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYWxWNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GZH1129,BX,10/13/2016,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpOVkVFMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,JAV7223,Q,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPUkVVMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,5BX6375,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRk1VMVVRVEpOYW1jelRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HCJ5164,K,01/12/2017,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelZQUkZrMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,91029MJ,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpPYWsxNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HYR4781,Q,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpPYWxGNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,JJS4867,Q,,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMTZWWHBOYW1ONVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,FJM1656,QN,01/19/2017,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelZPZWtFeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HXY8889,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVTVEZQVkVrelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GGS4793,K,,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrNXFVVEJPVkdzelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,T672720C,BX,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGRQVkdNelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,DTJ1011,Q,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVFOVVaM2xQUkZVMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HLT4443,NY,05/18/2017,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FOUVTVEZQUkdjeFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,HEF1893,,,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VNXFVWGROUkdjMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HHX8189,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBPZWxrMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HBY7407,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSVE5OVkZsNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GNJ4909,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZM3BPYWxrMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,AHE7529,NY,,60.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRk1rMXFWVEJPVkUxNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING PENDING,HDT1707,K,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtsM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,XCKM38,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OVkdzMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,67228JR,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkZrMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,2194153,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkd0NVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,AN385U,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZWVFJQUkZFMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,D334WD,Q,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVWWGROUkdjelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,DZJ9979,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQVkUxM1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,16077TC,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQUkZGNlRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,XCMZ80,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPZWtFeFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,61799MH,BX,12/08/2016,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVVOUVWWGxPUkZFMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEM8519,NY,11/23/2016,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FMVVRVE5OYWswelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,EPG3527,K,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNTZVVE5OVkdkM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,V13JHJ,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZWVFJQUkZFelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HXU2261,Q,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrMUVVVEpPUkVWNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GEB5029,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkVWNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,XEKG32,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtFMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,AS498B,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hOZWxWNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,14901PB,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,86303MJ,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGRPZWxrelRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GUY2179,Q,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1FNUVWWGRQUkZsM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,BLG3293,Q,05/19/2016,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wTk0wMTZTVEZPUkVVMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,HCR1490,NY,,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FMVVRVE5OZW1zeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,91032MG,K,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVRVEpOZWtrd1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING PENDING,P99CMZ,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZWVFJPZW1jelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,FHN3706,Q,,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkVVMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,HC1797,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OVkdNelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,96285JE,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVFOVVRVEpOZWtVMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING PENDING,HAN4542,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYWtVMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,T701181C,BX,10/06/2016,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOUkVFeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,74132JS,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWtGNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HPA1756,BK,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZM3BPYWxrelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,AHE7529,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMXFVVFZQVkdNeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HYW7142,BX,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGhOVkZWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,GVG7530,Q,,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWtsNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GEX3691,BX,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBQUkdOM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,AR335A,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVrMVVaekpPYW1zelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,T688899C,BX,10/13/2016,60.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wMUVRVE5PUkdkNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,GZR2656,NY,,45.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWxreFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HHU8408,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYW1zeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,FPN5993,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMXFhelZQUkZGNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,XFLE64,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOYW1jelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,44756PC,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpPVkZVelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HMY3552,Q,,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtFeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,44388JW,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSamVVNVVhM2xPVkdONFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,EVYX26,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNUVTWHBPYWsweFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GCV6543,ST,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wak1rOUVUVE5OZW1kNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GXD4009,K,07/28/2016,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OVkdNeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,60077MJ,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5FMUVWVFZPUkVWNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,M14218,,10/16/2014,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYW1NeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HFL3448,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrMXFRVFJQUkVreFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEE9207,BK,06/15/2017,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkdkNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,86631MB,NY,,65.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hOZWxFMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,15531PB,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtsNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,87482JV,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWtFelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HCB2688,QN,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtWM1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,71466ME,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWsxNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HPU5752,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVFOVVaM2xQUkZrMVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,GXE5549,NY,05/11/2017,95.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRPZWxGNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY REDUCTION,75474MC,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPZWswelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HCX4367,BX,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWtreFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HDU2936,BK,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwOVVTVE5OUkdNd1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING ADJOURNMENT,DTU8495,BX,01/24/2019,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRPZWtVeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GWC5569,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZZelZOZW1ONlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,XJ327U,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmQwOUVWWGRQUkVsNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,7C54A,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZZM2hOUkVFMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,401167,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMXFZekpPVkdNeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,8FDL446,Q,,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPVkdONlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,19215X,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPUkdjeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,2722AH,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1FNTZWVFJPZW1kNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,HWH7263,Q,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVVMTZRWHBPZWtGNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,17457MC,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNTZVVE5OVkdjMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-GUILTY,HYG2473,BK,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPUkdONFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,31198AV,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrOVVUVEZPYWxsNFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,7RP558,BK,01/25/2018,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNTZVVE5OVkdzMVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,DDE9192,QN,,50.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFVVE5OYWtrd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",HEARING HELD-NOT GUILTY,50029PC,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk5FMTZaM2RPUkZreVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,YJR77R,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk5FNXFWWGxOVkZWNVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,S988846,NY,,115.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMXFaelJPYWxFMVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,AK09223,Q,09/20/2018,35.0
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wbk1FMUVhM2hPYWtGNFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GST130,,,
"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmVFNUVRWGRPVkZVMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,GXE5969,Q,07/21/2016,65.0
