dbn,location_name,_01_principal,_01_removals,_08_superintendent,_03_expulsions,_06_removals,_12_superintendent,_06_superintendent,_08_expulsions,administrative_district,_09_superintendent,_03_principal,_02_superintendent,_11_expulsions,_12_removals,_11_superintendent,_08_principal,_02_expulsions
01M458,Forsyth Satellite Academy,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
02M420,High School for Health Professions and Human Servi,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M933,City Knoll Middle School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
01M539,"New Explorations into Science, Technology and Math",R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
03M247,M.S. M247 Dual Language Middle School,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R
04M037,River East Elementary,R,R,R,R,R,R,R,R,4,R,R,R,R,R,R,R,R
02M225,Ella Baker School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M158,P.S. 158 Bayard Taylor,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
03M242,P.S. 242 - The Young Diplomats Magnet Academy,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R
01M184,P.S. 184m Shuang Wen,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
02M130,P.S. 130 Hernando De Soto,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
03M862,Mott Hall II,R,R,R,R,11,R,R,R,3,R,R,R,R,R,R,R,R
02M500,Unity Center for Urban Technologies,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M041,P.S. 041 Greenwich Village,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
03M258,Community Action School - MS 258,R,R,7,R,9,R,R,R,3,R,R,R,R,R,R,R,R
02M605,Humanities Preparatory Academy,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M545,High School for Dual Language and Asian Studies,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
01M364,Earth School,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
01M034,P.S. 034 Franklin D. Roosevelt,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
02M290,P.S. 290 Manhattan New School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
01M140,P.S. 140 Nathan Straus,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
02M615,Chelsea Career and Technical Education High School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M560,High School M560 - City As School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M519,Talent Unlimited High School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M294,Essex Street Academy,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M542,Manhattan Bridges High School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M343,The Peck Slip School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M550,Liberty High School Academy for Newcomers,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
01M020,P.S. 020 Anna Silver,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
02M006,P.S. 006 Lillie D. Blake,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M131,M.S. 131,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,6,R
02M124,P.S. 124 Yung Wing,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M183,P.S. 183 Robert L. Stevenson,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
01M134,P.S. 134 Henrietta Szold,R,10,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
01M064,P.S. 064 Robert Simon,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
02M414,N.Y.C. Museum School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
03M494,High School of Arts and Technology,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R
01M019,P.S. 019 Asher Levy,R,R,R,R,R,R,R,R,1,R,R,R,R,R,R,R,R
02M411,Baruch College Campus High School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M580,Richard R. Green High School of Teaching,R,R,R,R,R,R,R,R,2,12,R,R,R,R,R,R,R
03M415,Wadleigh Secondary School for the Performing & Vis,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
02M586,Harvey Milk High School,R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
03M299,The Maxine Greene HS for Imaginative Inquiry,R,R,R,R,R,R,R,R,3,R,R,R,R,R,R,R,R
02M267,"East Side Elementary School, PS 267",R,R,R,R,R,R,R,R,2,R,R,R,R,R,R,R,R
