location_name,_01_superintendent,_09_expulsions,_10_superintendent,_10_removals,_05_principal,_07_principal,_10_principal,_06_principal,_0k_superintendent,_07_superintendent,_0k_removals,_12_expulsions,_0k_expulsions,_04_expulsions,_09_removals,_08_removals,_05_removals,_04_superintendent
P.S. 188 The Island School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 260 Clinton School Writers & Artists,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
NYC iSchool,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 163 Alfred E. Smith,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 166 The Richard Rodgers School of The Arts an,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Urban Assembly Academy of Government and Law, The",R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R
P.S. 059 Beekman Hill International,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Cascades High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Quest to Learn,R,R,R,R,R,14,R,7,R,15,R,R,R,R,R,R,R,R
East Side Community School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 191 Amsterdam,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 116 Mary Lindley Murray,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"High School for Law, Advocacy and Community Justic",R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R
Stuyvesant High School,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R
Landmark High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Pace High School,R,R,R,R,R,R,7,R,R,R,R,R,R,R,7,R,R,R
P.S. 051 Elias Howe,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 77 Lower Lab School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Beacon High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 142 Amalia Castro,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Jacqueline Kennedy Onassis High School,R,R,13,9,R,R,18,R,R,R,R,R,R,R,R,R,R,R
High School for Environmental Studies,R,R,R,R,R,R,30,R,R,R,R,R,R,R,R,R,R,R
Lower East Side Preparatory High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bard High School Early College,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 199 Jessie Isador Straus,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Urban Assembly School of Business for Young Women,",R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R
P.S. 001 Alfred E. Smith,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Global Learning Collaborative,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
