dbn,_07_removals,_11_principal,_12_principal,_03_superintendent,_01_expulsions,_02_principal,_04_principal,_05_superintendent,location_category,sy1617_total_removals_suspensions,_07_expulsions,_02_removals,_05_expulsions,_09_principal,_0k_principal,_06_expulsions,_10_expulsions,_11_removals,_03_removals,_04_removals
01M063,R,R,R,R,R,R,R,R,Elementary,31,R,R,R,R,R,R,R,R,R,15
02M408,R,R,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R
02M437,R,13,R,R,R,R,R,R,High school,80,R,R,R,16,R,R,R,R,R,R
02M150,R,R,R,R,R,R,R,R,Elementary,0,R,R,R,R,R,R,R,R,R,R
03M333,R,R,R,R,R,R,R,R,K-8,25,R,R,R,R,R,R,R,R,R,R
01M361,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R
02M104,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,41,R,R,R,R,R,R,R,R,R,R
03M075,R,R,R,R,R,R,R,R,Elementary,6,R,R,R,R,R,R,R,R,R,R
02M003,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R
02M114,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,10,R,R,R,R,R,R,R,R,R,R
02M282,R,R,R,R,R,R,R,R,High school,14,R,R,R,7,R,R,R,R,R,R
02M212,R,R,R,R,R,R,R,R,Elementary,0,R,R,R,R,R,R,R,R,R,R
01M301,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,23,R,R,R,R,R,R,R,R,R,R
02M347,R,R,R,R,R,R,R,R,K-8,11,R,R,R,R,R,R,R,R,R,R
02M544,R,R,R,R,R,R,R,R,High school,15,R,R,R,R,R,R,R,R,R,R
02M308,R,R,R,R,R,R,R,R,High school,37,R,R,R,20,R,R,R,R,R,R
01M332,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,30,R,R,R,R,R,R,R,R,R,R
03M054,10,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,46,R,R,R,R,R,R,R,R,R,R
02M281,R,R,R,R,R,R,R,R,Elementary,0,R,R,R,R,R,R,R,R,R,R
02M565,R,R,R,R,R,R,R,R,High school,0,R,R,R,R,R,R,R,R,R,R
02M399,R,6,R,R,R,R,R,R,High school,31,R,R,R,R,R,R,R,R,R,R
02M902,R,R,R,R,R,R,R,R,Ungraded,0,R,R,R,R,R,R,R,R,R,R
02M630,R,R,R,R,R,R,R,R,High school,38,R,R,R,10,R,R,R,R,R,R
02M449,R,6,R,R,R,R,R,R,High school,15,R,R,R,R,R,R,R,R,R,R
02M418,R,R,R,R,R,R,R,R,High school,13,R,R,R,R,R,R,R,R,R,R
02M520,R,R,R,R,R,R,R,R,High school,43,R,R,R,14,R,R,R,R,R,R
02M427,R,R,R,R,R,R,R,R,High school,31,R,R,R,12,R,R,R,R,R,R
02M042,R,R,R,R,R,R,R,R,Elementary,0,R,R,R,R,R,R,R,R,R,R
01M363,R,R,R,R,R,R,R,R,Elementary,0,R,R,R,R,R,R,R,R,R,R
03M208,R,R,R,R,R,R,R,R,Elementary,15,R,R,R,R,R,R,R,R,R,R
