current_fy_projected_actual,current_fy_authorized_budget,agency_name,next_fy_authorized_budget
$294.10,$286.00,DEPARTMENT FOR THE AGING,$310.00
$20.00,$21.60,DEPARTMENT OF CORRECTION,$21.70
$551.30,$743.50,HUMAN RESOURCES ADMINISTRATION,$540.40
$174.10,$160.40,OFFICE OF TECHNOLOGY AND INNOVATION,$165.60
$271.00,$374.90,DEPARTMENT OF SANITATION,$265.50
"1,008",*,DEPARTMENT OF SANITATION,*
$6.00,$6.90,DEPARTMENT OF HOMELESS SERVICES,$5.50
$367.70,$355.80,DEPARTMENT OF TRANSPORTATION,$359.40
$38.70,$227.00,NEW YORK CITY HOUSING AUTHORITY,$563.00
$370.40,$313.70,DEPARTMENT OF SMALL BUSINESS SERVICES,$262.00
$475.60,$474.50,DEPARTMENT OF PARKS AND RECREATION,$454.70
$3.40,$3.80,DEPARTMENT OF INVESTIGATION,$3.80
367,435,DEPT OF CONSUMER & WORKER PROTECTION,435
"8,749","9,328",CITY UNIVERSITY OF NEW YORK,"9,450"
$88.60,$134.40,HUMAN RESOURCES ADMINISTRATION,$39.40
30,*,ADMIN FOR CHILDREN'S SERVICES,*
"$1,169.90","$1,112.40",DEPARTMENT OF HOMELESS SERVICES,"$1,080.90"
"$1,502.60","$1,484.80",DEPARTMENT OF SANITATION,"$1,567.10"
510,*,CITY UNIVERSITY OF NEW YORK,*
$9.80,$9.80,DEPARTMENT OF EDUCATION,$9.90
$593.90,$589.60,DEPARTMENT OF YOUTH & COMMUNITY DEV,$658.40
"13,690","14,557",HUMAN RESOURCES ADMINISTRATION,"14,495"
"$1,190.50","$1,214.30",DEPARTMENT OF CITYWIDE ADMIN SERVICES,"$1,183.20"
705,*,DEPARTMENT OF CITYWIDE ADMIN SERVICES,*
71,*,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,*
$18.10,$18.10,HUMAN RESOURCES ADMINISTRATION,$18.10
337,366,311,405
-,*,FIRE DEPARTMENT,*
72,81,BUSINESS INTEGRITY COMMISSION,80
"$1,136.00","$1,712.80",DEPARTMENT OF ENVIRONMENTAL PROTECTION,"$1,253.60"
$3.80,$2.60,CITY UNIVERSITY OF NEW YORK,$1.60
"1,491","1,776",DEPARTMENT OF CORRECTION,"1,933"
945,"1,073",DEPARTMENT OF PROBATION,"1,030"
$1.60,$2.10,DEPARTMENT OF CITY PLANNING,$2.10
$163.10,$870.60,ECONOMIC DEVELOPMENT CORPORATION,$667.30
$6.80,$6.40,DEPARTMENT OF RECORDS & INFORMATION SVS,$6.50
$45.50,$43.20,DEPARTMENT OF INVESTIGATION,$31.00
$153.60,$401.50,DEPARTMENT OF CORRECTION,$469.30
$153.80,$717.40,DEPARTMENT OF CULTURAL AFFAIRS,$112.60
$1.20,$0.90,DEPARTMENT OF RECORDS & INFORMATION SVS,$1.00
$13.60,$13.60,CIVILIAN COMPLAINT REVIEW BOARD,$15.10
$108.70,$108.70,DEPARTMENT OF BUILDINGS,$154.40
$958.50,$958.20,DEPARTMENT OF TRANSPORTATION,$880.00
264,313,DEPARTMENT OF INVESTIGATION,308
"16,233","16,614",POLICE DEPARTMENT,"17,328"
$11.10,$11.10,DEPARTMENT OF PARKS AND RECREATION,$10.90
$36.60,$23.00,DEPARTMENT OF ENVIRONMENTAL PROTECTION,$22.60
$20.40,$53.00,DEPARTMENT OF HOMELESS SERVICES,$36.60
$130.50,$83.90,DEPARTMENT OF SANITATION,$99.80
$6.90,$5.00,LANDMARKS PRESERVATION COMM.,$4.00
$21,$21,DEPARTMENT OF RECORDS & INFORMATION SVS,$0
"11,399","11,318",NEW YORK CITY HOUSING AUTHORITY,"11,221"
"2,105","2,331",DEPARTMENT OF CITYWIDE ADMIN SERVICES,"2,316"
$2.30,$2.30,BOARD OF ELECTIONS,$2.30
$372.30,$375.60,CITY UNIVERSITY OF NEW YORK,$399.80
"8,756","9,537",DEPARTMENT OF CORRECTION,"9,653"
$533.80,$535.00,OFFICE OF TECHNOLOGY AND INNOVATION,$553.10
$67.70,$68.90,DEPARTMENT OF PARKS AND RECREATION,$70.10
$40,$40,OFFICE OF ADMIN TRIALS & HEARINGS,$40
$40.40,$41.40,DEPT OF CONSUMER & WORKER PROTECTION,$41.30
$154,$154,DEPARTMENT OF YOUTH & COMMUNITY DEV,$154
$95.20,$405.20,DEPARTMENT OF CITYWIDE ADMIN SERVICES,$292.30
$998.80,$974.70,CITY UNIVERSITY OF NEW YORK,$993.20
$249.30,$241.50,DEPARTMENT FOR THE AGING,$260.00
455,443,ECONOMIC DEVELOPMENT CORPORATION,446
$40.40,$534.70,PUBLIC LIBRARIES,$176.90
$346,$296,DEPARTMENT OF INVESTIGATION,$46
153,370,DEPARTMENT OF EMERGENCY MANAGEMENT,58
$534,$534,DEPARTMENT OF PROBATION,$534
226,*,HUMAN RESOURCES ADMINISTRATION,*
$1,$1,LAW DEPARTMENT,$1
$65.70,$41.40,HOUSING PRESERVATION AND DEVELOPMENT,$22.60
$767,$767,DEPARTMENT OF EMERGENCY MANAGEMENT,$106
$17.40,$17.40,ADMIN FOR CHILDREN'S SERVICES,$17.40
-,*,DEPARTMENT FOR THE AGING,*
"3,008","3,469",DEPARTMENT OF PARKS AND RECREATION,"3,199"
115,*,HOUSING PRESERVATION AND DEVELOPMENT,*
"$2,070.90","$2,623.20",DEPARTMENT OF ENVIRONMENTAL PROTECTION,"$2,246.10"
"34,618","34,483",POLICE DEPARTMENT,"35,780"
$178.50,$182.90,LAW DEPARTMENT,$186.60
$6.80,$4.30,DEPARTMENT OF BUILDINGS,$3.40
$103.90,$94.20,POLICE DEPARTMENT,$95.30
"1,551","1,468",LAW DEPARTMENT,"1,542"
$115.00,$113.90,BOARD OF ELECTIONS,$140.30
146,187,CIVILIAN COMPLAINT REVIEW BOARD,189
"3,705","3,926",PUBLIC LIBRARIES,"3,832"
$179,$179,DEPT OF CONSUMER & WORKER PROTECTION,$158
638,"1,485",BOARD OF ELECTIONS,"1,555"
"$1,480.90","$1,439.30",DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"$1,285.90"
"3,862","3,993",DEPARTMENT OF PARKS AND RECREATION,"4,005"
"38,748","38,333",HEALTH AND HOSPITALS CORP,"39,033"
$293.00,$274.20,DEPARTMENT OF BUILDINGS,$214.90
"$1,271.00","$1,688.70",DEPARTMENT OF TRANSPORTATION,"$1,963.60"
$2.10,$2.10,OFFICE OF CHIEF MEDICAL EXAMINER,$2.00
"$9,728.70","$9,878.90",HUMAN RESOURCES ADMINISTRATION,"$9,787.10"
$32.90,$28.30,DEPT OF CONSUMER & WORKER PROTECTION,$28.00
$0,$0,DEPARTMENT OF CULTURAL AFFAIRS,$0
