current_fy_authorized_budget,agency,resource_indicators
$307.00,FDNY,"Overtime Paid ($000,000)"
$6.90,DHS,"Overtime Paid ($000,000)"
313,DOI,Personnel
696,DFTA,Personnel
$18.30,DSNY,"Revenues ($000,000)"
$490.10,H + H,"Capital Commitments ($000,000)"
*,HRA,Work Experience Program (WEP) Participants Assigned
"$20,906.20",DOE,"Expenditures ($000,000)"
*,HPD,Work Experience Program (WEP) Participants Assigned
$0,DFTA,Overtime Paid ($000)
$11.10,DPR,"Overtime paid ($000,000)"
$165.70,DCLA,"Expenditures ($000,000)"
"5,603",DOHMH,Personnel
"5,447",FDNY,Personnel (civilian)
"1,073",DOP,Personnel
*,DCAS,Work Experience Program (WEP) Participants Assigned
$72.50,NYCEM,"Expenditures ($000,000)"
$18.10,HRA,"Overtime Paid ($000,000)"
$974.70,CUNY,"Expenditures ($000,000)"
$41.40,HPD,"Revenues ($000,000)"
$265.60,DOF,"Expenditures ($000,000)"
$2.30,BOE,"Overtime Paid ($000,000)"
$958.20,DOT,"Expenditures ($000,000)"
676,OCME,Personnel
$355.80,DOT,"Revenues ($000,000)"
"$1,684.20",ACS,"Human Services Contract Budget ($000,000)"
$0.90,HPD,"Overtime Paid ($000,000)"
187,CCRB,Personnel
$21.60,DOC,"Revenues ($000,000)"
"$2,951.70",ACS,"Expenditures ($000,000)"
$701.70,DOF,"Revenues ($000,000)"
$581.20,NYPD,"Overtime Paid ($000,000)"
"$1,112.40",DHS,"Expenditures ($000,000)"
370,NYCEM,Personnel
$30.50,DFTA,"Capital Commitments ($000,000)"
$11,CCHR,Overtime Paid ($000)
"$1,840.10",DPR,"Capital Commitments ($000,000)"
*,DOE,Work Experience Program (WEP) Participants Assigned
$28.30,DCWP,"Revenues ($000,000)"
$534.70,LIB,"Capital Commitments ($000,000)"
"$1,356",DOF,Overtime Paid ($000)
435,DCWP,Personnel
"34,483",NYPD,Personnel (uniformed)
"$2,623.20",DEP,"Capital Commitments ($000,000)"
$3.80,DOI,"Revenues ($000,000)"
*,DOHMH,Work Experience Program (WEP) Participants Assigned
"9,537",DOC,Personnel (Uniformed)
$113.90,BOE,"Expenditures ($000,000)"
$474.50,DPR,"Expenditures ($000,000)"
"6,722",ACS,Personnel
"$8,349.10",H + H,"Revenues ($000,000)"
$1.30,DDC,"Overtime Paid ($000,000)"
$870.60,EDC,"Capital Commitments ($000,000)"
"$1,484.80",DSNY,"Expenditures ($000,000)"
$286.00,DFTA,"Expenditures ($000,000)"
$94.20,NYPD,"Revenues ($000,000)"
$3.40,ACS,"Revenues ($000,000)"
$401.50,DOC,"Capital Commitments ($000,000)"
"7,449",DSNY,Personnel (Uniformed)
"1,468",LAW,Personnel
$767,NYCEM,Overtime Paid ($000)
$534,DOP,Overtime Paid ($000)
$0,CCRB,Overtime Paid ($000)
$0,DCLA,Overtime Paid ($000)
*,DOT,Work Experience Program (WEP) Participants Assigned
"6,249",DEP,Personnel
$868.60,DHS,"Human Services Contract Budget ($000,000)"
$154,DYCD,Overtime Paid ($000)
"$3,149.10",NYCHA,"Expenditures ($000,000)"
$28,BIC,Overtime Paid ($000)
*,FDNY,Work Experience Program (WEP) Participants Assigned
$46.00,311,"Expenditures ($000,000)"
