organization_name,amnt_requested,council_district
"New York Classical Theatre, Inc.","$57,750.00 ",CD09
New York City Mission Society,"* 500,000.00",CD09
Early Childhood Discovery and Design  Magnet School,"* 122,618.33",CD09
"Playwrights Horizons, Inc.","* 51,000.00",CD03
P.S. 290 - The Manhattan New School,"* 1,500,000.00",CD05
"Friends of Bogardus Garden, Inc.","* 300,000.00",CD01
South Street Seaport Museum's,"* 300,000.00",CD01
Smithsonian National Museum of the American Indian,"* 200,000.00",CD01
Angelo DelToro Educational Complex,"* 125,606.45",CD08
New York Restoration Project,"* 250,000.00",CD10
Lower Lab School,"$300,000.00 ",CD04
"Fourth Arts Block, Inc.","* 545,568.00",CD02
"NEST+m New Explorations into Science, Technology + Math","* 836,344.00",CD02
Metropolitan Museum of Art,"* 2,000,000.00",CD08
Robert Louis Stevenson School,"* 284,318.00",CD06
Booker T. Washington,"* 607,935.00",CD08
"Lenox Hill Neighborhood House, Inc.","* 850,000.00",CD08
The New York Presbyterian Hospital,"* 500,000.00",CD10
Harriet Tubman Learning Center,"* 31,113.28",CD09
Yeshiva University,"* 500,000.00",CD10
Bilingual Bicultural Mini School,"* 71,000.00",CD08
"Chinatown Manpower Project, Inc.","* 272,500.00",CD01
(1)Lab Middle School for Collaborative Studies                      (2) Lab School for Collaborative Studies (3) Museum School,"* 400,000.00",CD03
"New York Classical Theatre, Inc.","* 16,250.00",CD09
"Lower Eastside Service Center, Inc.","* 150,000.00",CD01
"La Mama Experimental Theatre Club, Inc.","* 500,000.00",CD02
Harlem Dowling-West Side Center for Children & Family Services,"* 750,000.00",CD09
The Lexington Academy,"* 35,000.00",CD08
The Battery Conservancy,"* 500,000.00",CD01
"Neighborhood Defender Service, Inc.","* 27,290.00",CD09
"Hudson Square District Management Association, Inc.","* 760,000.00",CD03
Muscota New School,"* 69,167.00",CD10
"Neighborhood Defender Service, Inc.","* 22,900.00",CD09
"Manhattan Theatre Club, Inc. ","* 50,000",CD03
Society of Third Street Music School Settlement,"* 100,000.00",CD02
"Theater for the New City Foundation, Inc.","* 250,000.00",CD02
Lower Eastside Tenement Museum,"* 250,000.00",CD01
"Quality Services for the Autism Community, Inc. (QSAC)","* 39,315.00",CD03
Business of Sports School,"* 500,000.00",CD03
American Museum of Natural History,"* 750,000.00",CD06
"Stanley M. Isaacs Neighborhood Center, Inc.","* 270,701.00",CD04
"Department of Transportation, NYC","$1, 000,000.00",CD02
"Barrier Free Living, Inc.","* 600,000.00",CD02
Atlantic Theater Company,"* 250,000.00",CD03
Lenox Hill Hospital,"$186,872.00 ",CD04
Community Action School,"$80,000.00 ",CD06
"Riverbend Housing Company, Inc.","* 1,337,401.00",CD09
CUNY Graduate Center,"* 200,000.00",CD03
"Department of Transportation, NYC","* 500,000.00",CD10
South Street Seaport Museum's,"* 250,000.00",CD01
The Ellen Lurie School,"* 200,000.00",CD10
William Sherman School,"* 300,000.00",CD06
"Downtown Art Company, Inc.","* 240,000.00",CD02
Henry Street Settlement,"* 325,000.00",CD01
Professional Performing Arts School,"* 60,401.36",CD04
John Jay College of Criminal Justice ,"* 900,000.00",CD06
Parents Association of Stuyvesant High School,"* 300,000.00",CD01
"NYC AIDS Memorial, Inc.","* 1,000,000.00",CD03
Robert E. Simon School,"* 54,000.00",CD08
Baruch College Campus High School,"* 400,000.00",CD02
"Outstanding Renewal Enterprises, Inc. (Lower East Side Ecology Center)","* 500,000.00",CD02
