project_description,project_title,organization_name,agency,school_number
(1) Redesign the campus network to optimize computing. (2) Build/Create a home for the Max Bond Centerthat facilitates collaboration and exchange both within and outside The City College of New York. (3) Renovate/restore the Wingate Pool mechanical infras,Network Infrastructure Modernization; Max Bond Center; Wingate Pool Restoration,The City College of New York,CUNY,
"Removal/Demolition of existing, non-historicelements, furniture, cabinetry, architectural mill work, etc.  Application/installation of finishes such as wall, floor and ceiling treatments. Installation/testing of furniture, exhibit interactive technology, ",ImagiNATIONS Education Center Project,Smithsonian National Museum of the American Indian,DCA,
"Purchase of a broadcast quality high-def cameras, computers and software to operate rthe robotic cameras remotely, necessary mixing equipment, and state of the artmicrophones and audio equipment.",Audio Visual Technology Equipment Upgrade ,"Town Hall Foundation, Inc.",DCA,
"Replace the roofing system over the 8th Floor Stafe Roof, and 7th Floor North and 7th Floor South Roofs (Siplast Roof-torched applied modified bitumen roofing system, including fully adjered insulation and cover board. Third floor South roof will be repla",Phase II of Roof replacement Project,"Metropolitan Opera Association, Inc.",DCA,
"Install new drop ceilings infrastructure and energy efficient lighting in both centers, updated kitchen in the Youth Center and room dividers for the multi-space rooms---the dining room in the Senior Center and the classrooms in the Youth Center.",Youth and Senior Center Renovation Completion Project,"Stanley M. Isaacs Neighborhood Center, Inc.",NYCHA,
"Create new Riverfront parkland by transforming an abandoned parking lot in Riverside Park into a landscaped overlook of the Hudson River and the Hudson River Greenway.  (development, design and construction, restrooms, maintenance building, solar power, c",The Green Outlook Project,Riverside Park Conservancy,DPR,
Complete structural renovation with technological upgrades to the information services offered.,Fashion Center Information Kiosk Renovation Project,Fashion Center Business Improvement District ,DOT,
"Furnish and Install 28 lamp posts along Laurel Hill Terrace between 182nd Street thru 187th Streets to improve pedestrian safety and to add lighting to the Street during night hours.  Hire desigh consultants, expedite permits, excavation of the area, inst",Street Lamps Project,Yeshiva University,DOT,
"Purchase a projection of high-definition Panasonic Projector, lens, projector mount",Projection System Upgrade Project,Eyebeam,DCA,
Upgrade school auditorium technology and ventilation system  which is windowless to meet the technical needs of present theater productions providing technical training opportunities for the students. ,Auditorium Upgrade Project,The Sarah Anderson School & M.S. 243 The Center School,DOE,M009   M243           
"Purchase of 5 Bishop's Crook lampposts to replace the existing lampposts on West 95th Street, between Central Park West and Columbus Avenue. ",West 95th Street Lampost Replacement,Friends of West 95th Street,DOT,
"Renovation of inpatient clinical areas = install handicapped accessible bathrooms for (5) inpatient rooms, demolition of 3,000 sq ft., carpentry, ceilings, bedroom finishes, HVAC Improvements, Sprinklers, Asbestos Abatement, etc.",Dr. Muriel Petioni Geriatric Center of Excellence,Harlem Hospital Center,HHC,
"(1)Reconfiguration of space to create additional classrooms and non-science instructional lab.  (2)Installation of air-conditioning units for the college's 17 IT closets on each floor of the North and South Towers. (3) Installation of new 350-ton rooftop air-conditioning unit on the South  tower penthouse, current unit has not functioned for years.","Instructional Spaces Upgrade, HVAC Upgrades to IT Closets, Replacement of Rooftop AC Unit",Borough of Manhattan Community College ,CUNY,
Cleaning and/or replacement of their expansive duct system; change out of the sump pump and heater incorporating the cooling tower into the automation system; installation of an additional set of double fire proof glass doors at their Café entrance; insta,Gallery Environmental Stabilization Project,"Amigos Del Museo Del Barrio, Inc.",DCA,
"Demolition of a 700 SF floor area at basement through L5, construction of new vertical riser shafts, enclosed fire stairs and a new shelter passenger elevator servicing on the first floor, fourth floor and basement.  New steam, domestic water, sanitary, f",New North Core Project,"Seventh Regiment Armory Conservancy, Inc.",DCA,
"Renovation of space that was left behind when the NYC Opera left. They seek to create a new public gathering space, convert and expand rehersal space, and expand office space. ",Concourse Renovation,"City Center of Music and Drama, Inc. (Koch Theater)",DCA,
"Purchase and Installation of audio-visual equipment (computer control systems and software, (20 overhead video projection systems (including hidden screens and ceiling mounted projectors), ans ouund equipment (including amplifiers, pre-amplifiers, mixers,",Audio Visual Technology Upgrade for Large-group Venues.,CUNY Graduate Center,CUNY,
"Installation of a new hurricane resistant roof and double hung, storm grade windows for their mainstage theater located at 336 West 20th Street.  This exterior upgrade will protect and preserve 2012 interior improvements.",Mainstage Theater Restoration Project,Atlantic Theater Company,DCA,
"Replacement and reconstruction of roof dormers and skylights on historic red slate roofs along Columbus Avenue, 77th Street and / or Central Park West that are past their useful life and are actively leaking.",Historic Skylights and Dormers Project,American Museum of Natural History,DCA,
"Phase I: Development the design for entire building. PhaseII: Window repalcement, removal of hazardous material caulking at windows, masonry façade and cornices, remove and replace parapet, remove and replace windows, recaulking windows, encapsulating lea",Building Envelope Renovation Project,East Harlem Arts and Education LDC,DCA,
"The Medical Emergency Evacuation Vehicle is a multi-purpose vehicle capable of acting a mass evacuation ambulance for patients ranging from ambulatory to wheelchair and stretcher bound to patients requiring advanced life support treatments. It could also be utilized as mobile command center, triage and treatment center.",Emergency evacuation vehicle,Lenox Hill Hospital,,
"Repairs to sinking roadways, curbs, and sidewalksalong Fairview Avenue to West 190th Street.  (project in final design at DDC).",Wadsworth Terrace Reconstruction Project ,"Department of Transportation, NYC",DOT,
"Morgan Stanley Children's Hospital of Presbyterian Hospital - Pediatric Operating Rooms is in dire need of technology to support complex surgical casesin urology, ear, nose and throat, gastroenterology; neurology; and orthopedics. The following instrument",Technological Improvement Project,The New York Presbyterian Hospital,DDC,
"comprehensive plan of energy-efficiency and environmental soundness. Includes the purchase and installation of a) rooftop equipment that will provide central heating and air conditioning, eliminating need for individual air conditioning units in rooms; b) ""Low E"" thermally-broken windows with insulated glass; and c)rain screened cladding integrated with Trespa for the facade. ",Central HVAC Project,"YM & YWHA of Washington Heights and Inwood, Inc.",EDC,
"Phase I - Contract with preservation experts for a complete assessment of the Monument's overall condition, and make initial repairs to arrest the monument accelerating deterioration and eliminate public safety hazards.",Preservation Study and Assessment and Restoration of the Landmark Soldiers' Monument Project.,Riverside Park Conservancy and Soldier's and Sailors' Memorial Association,DPR,
Conversion of adjacent 4th floor spaces into a state of the arts Media Lab Space.  Modify the fourth-floor library space into a multimedia  and mulitmodal Media Commons to serve as a stdent-sentered space for collaboration and critical thinking.  Upgrade audiovisual and lighting for the basement-level auditorium into the CAS Media Center for the exhibition of work.,Media Arts Education Infrastructure,City-As-School High School,DOE,M560
Vehicle will support their food rescue and delivery operations.,Purchase of a 14-foot hybrid refrigerated truck.,"City Harvest, Inc.",DDC,
Increase technology in their classrooms and computer labs.,Technology and Common Core Standards,P.S. 138,DOE,M138
Conduct a Feasibility Study of Roof to ascertain whether their roofcan withstand the added weight of a Green Roof.,Green Roof Project,The Lexington Academy,DOE,M072
"(1) - Strip existing roof surface to remove the remainingineffective waterproofing membrane, demolish seteriorated concrete structural planks, repair and patch the existing concrete from the mezzanine level to maintain structural capacity sufficient for c",HRP Pier 40 Roof Repair & HRP Clinton Cove Lawn Upgrade,Hudson River Park Trust,DPR,
"Architectural, structural, electrical, plumbing, and general construction work.  Work will meet current life safety and ADA regulations.  (Componenet of capital plan set forth in 2008).",Carriage House Renovation Project,"Ballet Hispanico of New York, Inc.",DCA,
Installation of 404 seats in the auditorium and Installation of 24 light fixtures in the gymnasium.,Auditorium Seating and Gymnasium Lighting Upgrade,Asher Levy School,DOE,M019
"Installation of bleachers, padding on gym walls, repainting/polishing of floor, repainting gym walls, installation of scoreboard equipment, and installation of new doors, lockers, and shelving in locker room equipment storage spaces.",Gymnasium Upgrade,Business of Sports School,DOE,M393
"Renovate the 8,400 square foot firehouse on 125th street.  The concept for the design consists of refinishing the façade and adapting the building,  landmark by NYC Landmarks Preservation Commission, to a new vibrant program that includes a café, gallery space, flexible multi-purpose space, computer center, recording studio, and offices.",125th Street Firehouse,Visual Arts Research and Resource Center Relating to the Caribbean ,DCA,
"Dermolition/Renovation of the Eastside Loft and hallway on the 7th Floor of the building at 59 East 4th Street in Manhattan for the Offices of Creative Time. (Concrete/masonry, carpentry, architectural woodwork, caulking & firestopping, doors and frames, ",Infrastructure and interior space Renovation Project,"Creative Time , Inc.",DCA,
Purchase and install (12) sound isolation rooms in the basement level of the Martin Luther King Jr. Campus.  Students will participate in private music instruction and ensemble courses  throughout the school day. ,School Expansion - Sound Installation Rooms,Special Music School,DOE,M859
"Purchase and install two new elevators and boys and girls lockers for gym.  Elevators are constantly breaking down, which causes a dangerous situation in an emergency.  Lockers are unsafe for students to secure their personal items such as jackets, coats, textbooks, etc.",School Student Locker and Elevator Upgrade,Norman Thomas Educational Campus,DOE,M432 M620 M500 M427 
"Copnstruction of curbs and pedestrian ramps for enhanced traffic delineation and tactile warnings for blind pedestrians.  Fixed seating, in-ground plantings, lighting are some of the amenities.",Flatiron Plaza Construction Project,"Department of Transportation, NYC",DOT,
Purchase 35 - 21.5 inch iMac computers for their computer lab; 60-MacBook Laptops for grades 6 and 7; Security carts to hold the laptops; 3- printers for computer lab and carts; MacPro Servcer to stroe and share information on all computers.,Computer Upgrade Project,Angelo DelToro Educational Complex,DOE,M108
"Purchase Laptop computer carts and computers for the various grades Kindergarten through 5th Grade.  (Equipment = Lenovo x1 Carbon model or similar, 16 unit laptop mobile cart, printer, cables, extension cords, 6 outlet power strip, document scanner, extra key set for laptop carts, iPad 32 GB, integrator fees. ",Laptop Cart Upgrade Project,The Ellen Lurie School,DOE,M005
"Purchase theatrical lights, dimmers, power and safety cables, clamps, and a light control board and monitor for Pop-Up Classics.",Lighting Control Console ,"New York Classical Theatre, Inc.",DCA,
Conversion of (1) classroom into a news network consisting of a sound proof roomallowing editors to monitor the visual and audio displayed and heard on the monitors., Broadcast News Network System Project ,The Magnet School for Technology and Communication,DOE,M145
"Partial Demolition of Recreation Hall existing space, removal of existing fixtures, ciling tiles, wallpaper, flooring, etc. Replacing with the washington Heights Assembly and telecommunications HUB, a state-of-the art, free-to-the-community meeting venue,",Recreation Hall Renovation Project,"Isabella Geriatric Center, Inc.",,
Purchase laptops and security carts for the use of providing technology access for their K - 5 classes.  Limited space in school does not provide them with a lab.,BBMS(P.S.182) Mobile Laptop Lab,Bilingual Bicultural Mini School,DOE,M182
"Renovation/Update of building, including the roofing, common areas, and interior of (8) apartment uniits.",Building Rehabilitation Project,Association to Benefit Children,HPD,
"Create an enclosed greenroof of 1200 square feet, new roof, pavers, relocation of vents, new bulkhead to roof for two means of access and chain-link fencing around the roof. This project will be ancillary to the school's science curriculum.",Green Roof & Green House Project,P.S. 290 - The Manhattan New School,DOE,M290
"Repalce 177 lampposts on City sidewalks in the Garment District from 35th Street to 40th Street, 5th Avenue to 9th Avenue; currentlighting styles are not energy efficient.",Garment District Lamppost Unification and Modernization Project,"Fashion Center Business Improvement District (Fashion Center DMA, Inc.)",DOT,
"HVAC System: Purchase aa 260 ton roof-top air conditioning chiller, 6 supply air fans, 3 return  air fans and new duct work with noise attenuation devices to replace outdated noisy system;  New flooring lighting upgrade, refurbish restrooms, dressing room",Studio Upgrade Project,"New York City Center, Inc.",DCA,
"Upgrade 2 elevators, roof repair, plumbing, water heating system, new water tower, renovate onsite food pantry, fire escapes, security system, enhance the internal structure of the building, energy efficient windows and boiler (oil to gas) will be used to",Building Renovation Project,"Puerto Rican Family Institute, Inc.",,
,Safety & Security/ Technology Upgrade Project ,The Luis Belliard School,DOE,M008
"Create 1500 square feet in the School 3rd floor internal courtyard for a hydroponic ""Greenhouse Lab"" classroom.",Rooftop Greenhouse Science Center Project,Jesse Isidor Straus Elementary School,DOE,M199
"Installation of new windows, insulation, boiler and hot water heating systems, roof work, exterior pointing and waterproofing, and various apartment rehab. Low flow shower heads, Energy Star appliances and other upgrades  to enhance efficiency of utility ",Rehabilitation Project for Phase II Affordable Housing Tenement Preservation ,"Asian Americans for Equality, Inc. ",HPD,
"Repair seats, replace drapes, upgrade sound and lighting system, purchase a technology cart/tv screens. ",Auditorium Upgrade Project,William Sherman School,DOE,M087
Design and construct a wetland for its compost operation in EastRiver Park.  This will create a green infrastructure that will protect low-lying residential areas from floodwaters during storm events.,East River Park Constructed Wetland,"Outstanding Renewal Enterprises, Inc. (Lower East Side Ecology Center)",DPR,
"Construction of a 10-story building with 60 affordable rental units including 12 studio units set aside for youth aging out of foster care and veterans on the 9th and 10th floors.  The cellar will consists of 16,000 square feet of program and administrati",A Home for Harlem Dowling Project,Harlem Dowling-West Side Center for Children & Family Services,HPD,
"Org is seeking funding for components that were not included onto the project, such as enhancement to green components, including landscaping of the entrance, rooftop farm, and upgrading flooring materials. ",Completion of Sugar Hill Project,"Broadway Housing Communities, Inc.",HPD,
"Total upgrade of auditorium  = seating, lighting, cracked flooring, missing tiles, uneven and hazardous surface, broken stage curtain.  Space used by (3) schools.",Renovation of School Auditorium,(1)Lab Middle School for Collaborative Studies                      (2) Lab School for Collaborative Studies (3) Museum School,DOE,M312   M412   M414
"Purchase 36 Lenovo X131e (yellow Cover) laptops with computrace, 2-datamation DS-Netvault Notebook wheeled carts to store and move them securely, 8-Epson projectors, 16-Epson Brightlink, 16-Epson Interactive Pen A for BrightLink, 8-Elite Whiteboard Universal Screen, 8-B&H Photo Projector Screen Mounting/Reg, 8- B&H Photo A/V Installation of Whiteboard Screen/Cables.  Current technology/computers are out of warranty or broken.",Laptop and Projector Upgrade,Professional Performing Arts School,DOE,M408
"Reconstruction of the sidewalk, expansion of treepits, and installation of permeable pavers in the street at the curb line as a means to address strom water overflow.",East 4th Street Cultural District Green Infrastructure Program Project,"Fourth Arts Block, Inc.",DOT,
"Purchase speakers for PA system to be installed throughout the building (8 floors) including clasrooms and hallways, along with a control panel in each office allowing for proper communication in the event of an emergency.",Buildingwide Sound System/PA Upgrade Project,Community Action School,DOE,M258
"Demolition and removal of 8 existing light poles and foundations of streetlights on Spring Street, cap conduit, remove junction boxes, asphalt repairs/resurfacing, permeable pavement, permeable concrete pavers, structural soil including excavation, repair",Streetscape Improvement Plan,"Hudson Square District Management Association, Inc.",DPR,
"Used as a Communication and Operations hub during emergency situations such as major snow storms, natural disasters, and localized operations.",DSNY Mobile Command Center,Department of Sanitation,DOS,
"Create an Auditorium/Performance/Community Space at Park East High School to organize school events, and student performances for the entire school population and the broader East Harlem Community.",Gymatorium Project,Park East High School,DOE,M495
CMP will renovate existing classroom space and expand bathroom facilities to accommodate the number of students that they serve. ,Renovation of  infrastructure and interior space Project,"Chinatown Manpower Project, Inc.",EDC,
Demolish existing areas to receive a new 30 LF thermal Glass storefront inclusive of interior vestibule and installation of a 30 LF x 20'D sculptural façade art piece consisting of 75 theater chairs with approximately 20 coats and other miscellaneous arti,Demolition/ Facility Upgrade,"Theater for the New City Foundation, Inc.",DCA,
"Gut renovation of water-damaged building to code, create a new entrance and install an elevator to make the entire building accessible, repair/replace the existing façade and roof, and finish the ground and 1st floors with basic finishes",Additional Funding - Phase I Renovation Completion Project - 70 East 4th Street,"Downtown Art Company, Inc.",DCA,
"Implementation of a modern State of the Art EMR system for their Mental Health program.  This system will be shared by all clinic staff, through internet or a proprietyary network, allowing centralized, accessible, secure record- keeping and collaboration",Electronic Medical Records System Upgrade.,"Union Settlement Association, Inc.",,
"Replacement of the current tile floor throughout the Center, replace existing doors with fire rated and unrated door openings, Wall repair, including: repairing, patching, priming and painting, upgrade elictrical systems, installation of door alarms on al",Hudson Guild Children's Renovation Project,"Hudson Guild, Inc.",,
"Purchase and Install site elements such as a comprehensive architectural site lighting package, landscape elements including bioswales and new plant materials.",Bogardus Capital Improvement Project,"Friends of Bogardus Garden, Inc.",DOT,
"Purchase 380 Mid-size laptops,180 USB Headsets, 13 Laptop Security Carts, and 145 Lockers. Computers will allow students to develop essential skills; and the new lockers will replace the broken onesin the hallways.",Technology Upgrade and Locker Safety Renovation ,Patricia Mirabel Middle School,DOE,M324
"Replace existing hydraulic freight elevator - cab, frame, platform, door operator, all hydraulic equipment, entrance frame, all wiring, controls and motors.",Freight Elevator Replacement Project,South Street Seaport Museum's,DCA,
"Create a new Battery Family Comfort Station and District One Park Office. Bathrooms are dilapidated and crumbling. Rusty stall doors and missing toilet seats, new attractions in the park desires better amenities.",Rebuild the Battery Family Comfort Station and Park Office,The Battery Conservancy,DPR,
"Paint and cement, replace the fencing around the entire yard to ensure better safety for the children, extend/replace the rubber matting that is already in place, oaint a mini-track to provide students with another sports option, paint a half court for basketball as a structured play option, 3 new backboards for basketball, paint bases for basketball/softball and a baseball diamond.",Playground Project,Robert E. Simon School,DOE,M165
"Demolition of existing building to double the size of gallery and performance space, install insulation and soundproofing, install an elevator and make building ADA compliant, install new energy-and-water-efficient building-wide systems.",Multi Use Arts Center Project,ABC No Rio,DCA,
"Build a science lab equipped with hydroponic farmingtechnology with nutrient film technique, vertical growing systems, integrated pest  management, a fish farm and a rain water cachment system.",NEST+m GreenLab Project,"NEST+m New Explorations into Science, Technology + Math",DOE,M539
"Construction of 40,000 sq. ft facility inot a 199 seat Performing Arts Venue for live nusic and dance engagements, off-broadway theatre, film festival screenings, special events, and rental opportunities; reharsal space and dressing areas, exhibition spac",New Building Project,"Irish Arts Center     An Claidheamh Soluis, Inc.",DCA,
"The Friedman’s upgrade to its sound system includes the purchase of a Clear-Com intercom system and amps. These upgrades will provide outstanding levels of audio performance with regard to clarity, reliability and functionality.",MTC- Friedman Sound and Lights,"Manhattan Theatre Club, Inc. ",DCA,
"Arbrons Arts Center is in need of renovation to prevent water penetration, improve the building's structural integrity, and improve temperature control.  Work includes; scaffolding, repointing, flashingthroughout and window replacement where necessary.",Building Envelope Renovation Project,Henry Street Settlement,DCA,
Complete Renovation of to 541 & 545 West 22nd Street to house exhibitions and programming spaces for new commissions and a variety of events.  Additional capital renovations at 535 West 22nd Street will create an expanded area for hosting Dia's ongoing pu,Renovation Project,DIA Center for the Arts / (Dia Art Foundation),DCA,
