bin,nta
1004301.0,Lower East Side                                                            
1005894.0,East Village                                                               
1075643.0,East Harlem South                                                          
1083281.0,Yorkville                                                                  
1030196.0,Upper West Side                                                            
,East Village                                                               
1001499.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
,
1059949.0,Manhattanville                                                             
1064146.0,Washington Heights North                                                   
,Lincoln Square                                                             
1061605.0,Hamilton Heights                                                           
1081042.0,Upper West Side                                                            
1014347.0,Midtown-Midtown South                                                      
1024753.0,Midtown-Midtown South                                                      
1074333.0,East Harlem North                                                          
1014423.0,Midtown-Midtown South                                                      
1023391.0,Midtown-Midtown South                                                      
1013096.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1032522.0,Upper West Side                                                            
1082642.0,East Village                                                               
1039972.0,Turtle Bay-East Midtown                                                    
1013043.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1004377.0,Lower East Side                                                            
1058640.0,Central Harlem South                                                       
1076625.0,Upper West Side                                                            
1082185.0,Upper East Side-Carnegie Hill                                              
1082642.0,East Village                                                               
1022615.0,Midtown-Midtown South                                                      
1084848.0,Lenox Hill-Roosevelt Island                                                
1081864.0,Washington Heights South                                                   
1084936.0,Gramercy                                                                   
1054502.0,East Harlem North                                                          
1087680.0,Lenox Hill-Roosevelt Island                                                
,
1085798.0,Battery Park City-Lower Manhattan                                          
1046668.0,Upper East Side-Carnegie Hill                                              
1009757.0,West Village                                                               
1079152.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1014251.0,Midtown-Midtown South                                                      
1076121.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1034190.0,Upper West Side                                                            
1075815.0,Lower East Side                                                            
1063861.0,Washington Heights North                                                   
1001835.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
1048492.0,Upper East Side-Carnegie Hill                                              
1083346.0,Battery Park City-Lower Manhattan                                          
1081050.0,Upper West Side                                                            
1051499.0,East Harlem South                                                          
1024683.0,Midtown-Midtown South                                                      
1066494.0,Chinatown                                                                  
,
1008117.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
1066406.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
1044838.0,Lenox Hill-Roosevelt Island                                                
1076625.0,Upper West Side                                                            
1016163.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1051410.0,Central Harlem South                                                       
1059835.0,Morningside Heights                                                        
1004070.0,Lower East Side                                                            
1023449.0,Midtown-Midtown South                                                      
1006416.0,East Village                                                               
1087782.0,Central Harlem South                                                       
1083346.0,Battery Park City-Lower Manhattan                                          
1082642.0,East Village                                                               
1055990.0,Morningside Heights                                                        
1083810.0,park-cemetery-etc-Manhattan                                                
1000866.0,Battery Park City-Lower Manhattan                                          
1076741.0,Washington Heights South                                                   
1000027.0,Battery Park City-Lower Manhattan                                          
1030351.0,Lincoln Square                                                             
1051374.0,Yorkville                                                                  
1004072.0,Lower East Side                                                            
1059835.0,Morningside Heights                                                        
1014480.0,Midtown-Midtown South                                                      
1086514.0,Gramercy                                                                   
1051584.0,East Harlem South                                                          
1001831.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
1081340.0,East Harlem South                                                          
1012326.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
