project_title,latitude,longitude,borough,census_tract
Audio Visual Technology Upgrade for Large-group Venues.,40.748822,-73.984268,MANHATTAN,74.0
Audio/ Visual System Upgrade Project.,40.761574,-73.983962,MANHATTAN,131.0
21st Century Families in the Heights Technology Project ,40.839305,-73.936159,MANHATTAN,249.0
Wadsworth Terrace Reconstruction Project ,40.703597,-74.009781,MANHATTAN,9.0
Emergency evacuation vehicle,40.774178,-73.961148,MANHATTAN,128.0
Expansion / New Construction Project,40.739386,-74.008754,MANHATTAN,79.0
Outfit a newly reconstructed Community Center space in Loisaida.,40.846109,-73.904721,BRONX    ,231.0
New North Core Project,40.767491,-73.966448,MANHATTAN,120.0
CSV Sprinkler Safety Egress ADA Project,40.718943,-73.986122,MANHATTAN,1402.0
Renovation and New Construction Project,40.728261,-73.984785,MANHATTAN,34.0
Gymatorium Project,40.790543,-73.944356,MANHATTAN,170.0
Building Rehabilitation Project,40.776514,-73.948491,MANHATTAN,14402.0
Auditorium Upgrade Project,40.781958,-73.977638,MANHATTAN,161.0
"Restoration, Repair/ Renovation of  Property Project",40.726494,-73.990169,MANHATTAN,38.0
Bogardus Capital Improvement Project,40.715282,-74.00944,MANHATTAN,21.0
Green It Upgrades Phase II,,,,
Completion of Sugar Hill Project,40.821356,-73.957193,MANHATTAN,22301.0
Central HVAC Project,40.859993,-73.929129,MANHATTAN,285.0
Mobile Mac Laptop Classroom Integration,40.776687,-73.988782,MANHATTAN,155.0
HVAC Project,40.829244,-73.943446,MANHATTAN,23501.0
Green Roof/Rooftop Garden,40.789526,-73.967574,MANHATTAN,177.0
Peter J. Sharp Boathouse Repair Project,40.749734,-73.993532,MANHATTAN,101.0
MTC- Friedman Sidewalk and Windows,40.759974,-73.986428,MANHATTAN,125.0
Technology Upgrade Project,40.800256,-73.937558,MANHATTAN,194.0
Vehicle Purchase Project,40.752289,-73.991612,MANHATTAN,109.0
Studio Upgrade Project,40.764151,-73.978889,MANHATTAN,137.0
Rolling Carts of Macbook Pros and Smartboards Project,40.742867,-74.002136,MANHATTAN,89.0
Buildingwide Sound System/PA Upgrade Project,40.791728,-73.970845,MANHATTAN,177.0
Additional Funding - Phase I Renovation Completion Project - 70 East 4th Street,40.726755,-73.990735,MANHATTAN,38.0
Kennedy Center Renovation Project,40.757271,-73.963692,MANHATTAN,108.0
Mainstage Theater Restoration Project,40.741915,-74.004659,MANHATTAN,83.0
Interior Safety and Structural Renovation Project,40.720822,-73.980602,MANHATTAN,2202.0
A Home for Harlem Dowling Project,40.808639,-73.948582,MANHATTAN,222.0
Auditorium Upgrade Project,40.799178,-73.964842,MANHATTAN,189.0
Moveable End of Life Equipment Replacement Project,40.774178,-73.961148,MANHATTAN,128.0
Infrastructure and interior space Renovation Project,40.726785,-73.990807,MANHATTAN,38.0
Audio Visual Technology Equipment Upgrade ,40.755843,-73.984382,MANHATTAN,119.0
Green Roof Project ,40.763894,-73.947916,MANHATTAN,23802.0
Phase II Master Plan: Facade and Roof Project,40.833063,-73.946478,MANHATTAN,241.0
Triangle Upgrade at Union Square Park Project,40.734163,-73.988627,MANHATTAN,50.0
Technology and Common Core Standards,40.805953,-73.935179,MANHATTAN,242.0
Smart Board Upgrade and Professional Development; Electronic Message Board Project,40.763842,-73.964222,MANHATTAN,110.0
