dbn,school_name
13K133,P.S. 133 William A. Butler (13K133)
32K106,P.S. 106 Edward Everett Hale (32K106)
26Q159,P.S. 159 (26Q159)
02M077,P.S. 77 Lower Lab School (02M077)
30Q076,P.S. 76 William Hallet (30Q076)
10X046,P.S. 046 Edgar Allan Poe (10X046)
19K224,P.S. 224 Hale A. Woodruff (19K224)
25Q120,P.S. 120 Queens (25Q120)
01M064,P.S. 64 Robert Simon (01M064)
20K204,P.S. 204 Vince Lombardi (20K204)
11X160,P.S. 160 Walt Disney (11X160)
05M154,P.S. 154 Harriet Tubman (05M154)
11X153,P.S. 153 Helen Keller (11X153)
19K013,P.S. 013 Roberto Clemente (19K013)
24Q013,P.S. 013 Clement C. Moore (24Q013)
27Q215,P.S. 215 Lucretia Mott (27Q215)
11X178,P.S. 178 Dr. Selman Waksman (11X178)
29Q131,P.S. 131 Abigail Adams (29Q131)
14K059,P.S. 59 William Floyd (14K059)
24Q113,P.S. 113 Isaac Chauncey (24Q113)
29Q037,Cynthia Jenkins School (29Q037)
07X359,Concourse Village Elementary School (07X359)
22K152,P.S. 152 (22K152)
26Q041,P.S. 041 Crocheron (26Q041)
11X096,P.S. 096 Richard Rodgers (11X096)
26Q221,P.S. 221 North Hills (26Q221)
06M028,P.S. 28 Wright Brothers (06M028)
32K274,P.S. 274 Kosciusko (32K274)
20K748,P.S. 748 Brooklyn School for Global Scholars (20K748)
28Q144,P.S. 144 Col Jeromus Remsen (28Q144)
29Q033,P.S. 33 Edward M. Funk (29Q033)
23K599,Brooklyn Landmark Elementary School (23K599)
15K516,P.S. 516 Sunset Park Avenues Elementary School (15K516)
20K264,P.S. 264 Bay Ridge Elementary School for the Arts (20K264)
24Q081,P.S. 81Q Jean Paul Richter (24Q081)
