the_geom,long,y,street_2,street_1
"{'type': 'Point', 'coordinates': [-73.91041596919169, 40.66841475668825]}",-73.9104159691917,182810.625898391,BELMONT AVENUE,ROCKAWAY AVENUE
"{'type': 'Point', 'coordinates': [-74.23306198030555, 40.50675612379223]}",-74.2330619803055,123987.805880234,BEDELL AVENUE,HYLAN BOULEVARD
"{'type': 'Point', 'coordinates': [-73.92613940880307, 40.703239374153874]}",-73.9261394088031,195494.173365891,TROUTMAN STREET,KNICKERBOCKER AVENUE
"{'type': 'Point', 'coordinates': [-74.01381390056461, 40.64174524695346]}",-74.0138139005646,173081.777902067,5 AVENUE,56 STREET
"{'type': 'Point', 'coordinates': [-73.93038144323519, 40.65173405417281]}",-73.9303814432352,176728.348364815,CHURCH AVENUE,UTICA AVENUE
"{'type': 'Point', 'coordinates': [-74.06375933387355, 40.59893485965744]}",-74.0637593338735,157490.96623598,MC CLEAN AVENUE,LILY POND AVENUE
"{'type': 'Point', 'coordinates': [-73.92873773232064, 40.704716950288734]}",-73.9287377323206,196031.901621148,KNICKERBOCKER AVENUE,FLUSHING AVENUE
"{'type': 'Point', 'coordinates': [-73.97493633172772, 40.74607779637226]}",-73.9749363317277,211093.895447224,QUEENS MIDTOWN TUNNEL APPROACH,2 AVENUE
"{'type': 'Point', 'coordinates': [-73.92115285934439, 40.82639737488943]}",-73.9211528593444,240365.893005475,SHERIDAN AVENUE,EAST 161 STREET
"{'type': 'Point', 'coordinates': [-73.90649600996335, 40.87687722741354]}",-73.9064960099633,258761.607198223,WEST 230 STREET,BROADWAY
"{'type': 'Point', 'coordinates': [-73.99382785643776, 40.718144476602816]}",-73.9938278564378,200915.979451388,CHRYSTIE STREET,GRAND STREET
"{'type': 'Point', 'coordinates': [-73.98863862792096, 40.72293371945398]}",-73.988638627921,202660.991709396,ALLEN STREET,EAST HOUSTON STREET
"{'type': 'Point', 'coordinates': [-73.87156150417326, 40.68168445663512]}",-73.8715615041733,187658.565677553,CRESCENT STREET,ATLANTIC AVENUE
