the_geom,x
"{'type': 'Point', 'coordinates': [-73.93088430131385, 40.8481189380799]}",1003371.87709856
"{'type': 'Point', 'coordinates': [-73.79394796530589, 40.7086233454781]}",1041376.83586539
"{'type': 'Point', 'coordinates': [-74.15735080819645, 40.608054665482626]}",940559.488287881
"{'type': 'Point', 'coordinates': [-73.88245058528706, 40.74994028339315]}",1016819.77310297
"{'type': 'Point', 'coordinates': [-73.925351749641, 40.77202145145675]}",1004926.16532855
"{'type': 'Point', 'coordinates': [-73.92027632011495, 40.862605896719536]}",1006301.92701273
"{'type': 'Point', 'coordinates': [-73.79165400543361, 40.704856671435564]}",1042016.08688347
"{'type': 'Point', 'coordinates': [-74.00531369164149, 40.728604494287794]}",982777.247356132
"{'type': 'Point', 'coordinates': [-73.97493633172772, 40.74607779637226]}",991194.871268883
"{'type': 'Point', 'coordinates': [-73.94446784085605, 40.62948005179687]}",999664.289697468
"{'type': 'Point', 'coordinates': [-73.94548195195377, 40.807772627022665]}",999342.37104997
"{'type': 'Point', 'coordinates': [-73.93357644845085, 40.8027521805066]}",1002639.58853689
"{'type': 'Point', 'coordinates': [-73.8281474373839, 40.763941059705886]}",1031855.68758489
"{'type': 'Point', 'coordinates': [-73.79243099200043, 40.75308481254269]}",1041759.02374931
"{'type': 'Point', 'coordinates': [-73.92115285934439, 40.82639737488943]}",1006071.34676522
"{'type': 'Point', 'coordinates': [-73.90649600996335, 40.87687722741354]}",1010108.07097521
"{'type': 'Point', 'coordinates': [-73.91579117442271, 40.764267771016016]}",1007576.98023689
"{'type': 'Point', 'coordinates': [-73.96853234139625, 40.576305031601244]}",992991.567150548
"{'type': 'Point', 'coordinates': [-73.94281007343203, 40.79413145196437]}",1000085.27868488
"{'type': 'Point', 'coordinates': [-73.99427200575106, 40.71562086413223]}",985837.890841141
"{'type': 'Point', 'coordinates': [-73.99260322283926, 40.72413644924569]}",986300.241950557
"{'type': 'Point', 'coordinates': [-73.91894225644816, 40.86446291205693]}",1006670.30882189
"{'type': 'Point', 'coordinates': [-73.94161922607768, 40.798623638853364]}",1000413.92074414
"{'type': 'Point', 'coordinates': [-73.92516155426875, 40.672953600285815]}",1005009.68222189
"{'type': 'Point', 'coordinates': [-73.80774200946132, 40.70058168733745]}",1037558.94684763
"{'type': 'Point', 'coordinates': [-73.9220713378152, 40.68948984073938]}",1005861.52763106
"{'type': 'Point', 'coordinates': [-73.99382785643776, 40.718144476602816]}",985960.951290548
"{'type': 'Point', 'coordinates': [-73.94565042661112, 40.74581819689425]}",999309.736600801
"{'type': 'Point', 'coordinates': [-73.94369913620099, 40.81530637744512]}",999834.148281634
"{'type': 'Point', 'coordinates': [-73.94968015187398, 40.80202338445881]}",998181.375996634
"{'type': 'Point', 'coordinates': [-73.94842603673781, 40.5836685161373]}",998575.423764974
"{'type': 'Point', 'coordinates': [-73.88524098830993, 40.749651152999064]}",1016046.76611881
"{'type': 'Point', 'coordinates': [-73.9786254596998, 40.689838940366656]}",990177.653487056
"{'type': 'Point', 'coordinates': [-73.94647961835958, 40.63170816197684]}",999105.376445219
"{'type': 'Point', 'coordinates': [-73.85529275957798, 40.70259550071783]}",1024372.96304905
"{'type': 'Point', 'coordinates': [-73.91041596919169, 40.66841475668825]}",1009101.69831605
"{'type': 'Point', 'coordinates': [-73.95625889745429, 40.81338943322651]}",996357.940010965
"{'type': 'Point', 'coordinates': [-73.91123038440122, 40.673078484890446]}",1008874.04785272
"{'type': 'Point', 'coordinates': [-73.98776905997904, 40.74978702856705]}",987638.872475386
"{'type': 'Point', 'coordinates': [-73.89467912451619, 40.647529334895644]}",1013476.43694189
"{'type': 'Point', 'coordinates': [-73.72984944290198, 40.66534761169346]}",1059196.38651231
"{'type': 'Point', 'coordinates': [-73.97875234948579, 40.719933706333414]}",990139.804481387
"{'type': 'Point', 'coordinates': [-73.9251848653289, 40.818012668045974]}",1004958.07799439
"{'type': 'Point', 'coordinates': [-73.99771358990922, 40.623680269238925]}",984884.70344305
"{'type': 'Point', 'coordinates': [-73.96818687760135, 40.76222682091534]}",993062.935118049
"{'type': 'Point', 'coordinates': [-73.93160743419706, 40.66355672297092]}",1003224.31177689
"{'type': 'Point', 'coordinates': [-73.87182050927116, 40.66670665927747]}",1019809.45183489
"{'type': 'Point', 'coordinates': [-73.94475648853391, 40.82403155616314]}",999539.467112467
"{'type': 'Point', 'coordinates': [-73.9315563888567, 40.66275540408501]}",1003238.70151189
"{'type': 'Point', 'coordinates': [-73.92459294076461, 40.67903197617785]}",1005165.50540106
"{'type': 'Point', 'coordinates': [-73.94085555139354, 40.814105941770016]}",1000621.55123439
"{'type': 'Point', 'coordinates': [-74.02803565486205, 40.6235717738346]}",976467.338716134
"{'type': 'Point', 'coordinates': [-73.79568993243034, 40.70514836383068]}",1040896.83846581
"{'type': 'Point', 'coordinates': [-73.91648590031349, 40.657859089738594]}",1007421.49268697
"{'type': 'Point', 'coordinates': [-73.98694873854555, 40.75603590259453]}",987865.822808892
"{'type': 'Point', 'coordinates': [-73.87156150417326, 40.68168445663512]}",1019873.30374131
"{'type': 'Point', 'coordinates': [-73.88969542441734, 40.63380239959145]}",1014865.7054888
"{'type': 'Point', 'coordinates': [-74.02042199813586, 40.64205723754842]}",978582.449971467
"{'type': 'Point', 'coordinates': [-73.91817205338927, 40.74104715752419]}",1006925.34768189
"{'type': 'Point', 'coordinates': [-73.990315176745, 40.76160631549391]}",986932.934254721
"{'type': 'Point', 'coordinates': [-73.84461984746635, 40.84636016097007]}",1027239.32870738
"{'type': 'Point', 'coordinates': [-73.99381109307386, 40.601950488726885]}",985968.589070559
"{'type': 'Point', 'coordinates': [-73.98630429192393, 40.669172665528826]}",988049.313255548
"{'type': 'Point', 'coordinates': [-73.96548618202627, 40.597833093528585]}",993834.68554306
"{'type': 'Point', 'coordinates': [-74.00410651635896, 40.63406012097001]}",983110.215522215
"{'type': 'Point', 'coordinates': [-73.92347379178536, 40.82541321980992]}",1005429.33033273
"{'type': 'Point', 'coordinates': [-73.89285169122816, 40.861832192972905]}",1013888.04373021
"{'type': 'Point', 'coordinates': [-73.93393675713563, 40.74287417890357]}",1002556.28850664
"{'type': 'Point', 'coordinates': [-73.95980097987726, 40.58008047197333]}",995416.466828302
"{'type': 'Point', 'coordinates': [-73.95298672709704, 40.67872199536486]}",997290.03919664
"{'type': 'Point', 'coordinates': [-73.99404155219521, 40.720320979561336]}",985901.659742475
"{'type': 'Point', 'coordinates': [-73.94714602404584, 40.67594185064902]}",998910.681952715
"{'type': 'Point', 'coordinates': [-73.92985647969822, 40.76732655234376]}",1003679.80955355
"{'type': 'Point', 'coordinates': [-73.95131894916952, 40.6891318502364]}",997750.521871477
"{'type': 'Point', 'coordinates': [-73.99543724467641, 40.71599802467991]}",985514.860975385
"{'type': 'Point', 'coordinates': [-73.72459261095402, 40.76542822462696]}",1060540.11742064
"{'type': 'Point', 'coordinates': [-73.83350675492422, 40.77161911791107]}",1030365.76274322
"{'type': 'Point', 'coordinates': [-73.90331845372546, 40.8627352828914]}",1010992.49505939
"{'type': 'Point', 'coordinates': [-74.23306198030555, 40.50675612379223]}",919439.140764892
"{'type': 'Point', 'coordinates': [-73.99994759219895, 40.6739319717764]}",984264.537360549
"{'type': 'Point', 'coordinates': [-73.92613940880307, 40.703239374153874]}",1004729.12832105
"{'type': 'Point', 'coordinates': [-73.8715965832961, 40.87864613584546]}",1019758.38599214
"{'type': 'Point', 'coordinates': [-74.01381390056461, 40.64174524695346]}",980416.323272228
"{'type': 'Point', 'coordinates': [-73.99951049453068, 40.59644180795153]}",984385.941317216
"{'type': 'Point', 'coordinates': [-73.98700001480103, 40.6877731158012]}",987855.307738051
"{'type': 'Point', 'coordinates': [-74.12005266701026, 40.56039320671753]}",950892.000103131
"{'type': 'Point', 'coordinates': [-73.98526614228449, 40.596743845284756]}",988341.743773058
"{'type': 'Point', 'coordinates': [-73.9312119990827, 40.694712769549966]}",1003325.10455431
"{'type': 'Point', 'coordinates': [-73.93541084888348, 40.79600549471535]}",1002133.54099256
"{'type': 'Point', 'coordinates': [-74.13982184768574, 40.61629982531396]}",945431.424082056
