median_speed_fps,median_calculation_timestamp,borough,link_name
6.41,2024-07-08T16:38:20.000,Manhattan,3rd Avenue - Northbound - 49th St to 57th St
0.0,2024-07-08T04:24:20.000,Manhattan,57th Street - Eastbound - Madison Ave to Lexington Ave
0.0,2024-07-08T18:39:16.000,Manhattan,42nd Street - Westbound - Madison Ave to 5th Ave
0.0,2024-07-08T09:20:20.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
0.0,2024-07-08T07:43:16.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
32.9,2024-07-08T04:22:20.000,Manhattan,3rd Avenue - Northbound - 49th St to 57th St
9.58,2024-07-08T07:44:20.000,Manhattan,34th Street - Eastbound - Madison Ave to 3rd Ave
7.83,2024-07-08T07:30:20.000,Manhattan,49th Street - Westbound - 3rd Ave to Lexington Ave
6.78,2024-07-08T16:08:20.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
0.0,2024-07-08T05:01:16.000,Manhattan,42nd Street - Westbound - Madison Ave to 5th Ave
17.06,2024-07-08T09:59:16.000,Manhattan,49th Street - Westbound - Madison Ave to 5th Ave
3.54,2024-07-08T00:59:16.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
17.52,2024-07-08T02:08:20.000,Manhattan,34th Street - Eastbound - Madison Ave to 3rd Ave
4.78,2024-07-08T10:12:20.000,Manhattan,49th Street - Westbound - Lexington Ave to Madison Ave
12.88,2024-07-08T21:55:17.000,Manhattan,34th Street - Eastbound - Madison Ave to 3rd Ave
4.01,2024-07-08T21:53:17.000,Manhattan,3rd Avenue - Northbound - 49th St to 57th St
21.19,2024-07-08T06:15:16.000,Manhattan,57th Street - Eastbound - Madison Ave to Lexington Ave
8.96,2024-07-08T10:54:20.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
0.0,2024-07-08T05:36:20.000,Manhattan,42nd Street - Westbound - Lexington Ave to Madison Ave
0.0,2024-07-08T08:21:17.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
0.0,2024-07-08T04:54:20.000,Manhattan,49th Street - Westbound - Madison Ave to 5th Ave
9.12,2024-07-08T14:16:20.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
8.1,2024-07-08T10:30:20.000,Manhattan,3rd Avenue - Northbound - 49th St to 57th St
16.34,2024-07-08T22:34:20.000,Manhattan,Madison Avenue - Northbound - 49th St to 57th St
12.37,2024-07-08T23:22:20.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
13.59,2024-07-08T11:51:16.000,Manhattan,34th Street - Westbound - Madison Ave to 5th Ave
12.05,2024-07-08T10:48:20.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
10.55,2024-07-08T23:58:20.000,Manhattan,49th Street - Westbound - 3rd Ave to Lexington Ave
0.0,2024-07-08T17:24:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
0.0,2024-07-08T14:51:16.000,Manhattan,49th Street - Westbound - Lexington Ave to Madison Ave
2.72,2024-07-08T19:22:20.000,Manhattan,42nd Street - Westbound - 3rd Ave to Lexington Ave
0.0,2024-07-08T03:06:20.000,Manhattan,57th Street - Eastbound - Madison Ave to Lexington Ave
2.43,2024-07-08T10:15:16.000,Manhattan,49th Street - Westbound - 3rd Ave to Lexington Ave
7.12,2024-07-08T11:08:20.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
17.88,2024-07-08T08:04:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
3.61,2024-07-08T21:25:16.000,Manhattan,3rd Avenue - Northbound - 49th St to 57th St
12.15,2024-07-08T19:31:16.000,Manhattan,3rd Avenue - Northbound - 42nd St to 49th St
10.93,2024-07-08T07:39:16.000,Manhattan,34th Street - Westbound - Madison Ave to 5th Ave
9.96,2024-07-08T05:59:16.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
38.48,2024-07-08T03:00:20.000,Manhattan,3rd Avenue - Northbound - 42nd St to 49th St
3.94,2024-07-08T14:24:20.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
0.0,2024-07-08T22:41:16.000,Manhattan,42nd Street - Westbound - Madison Ave to 5th Ave
9.24,2024-07-08T04:47:16.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
23.74,2024-07-08T22:04:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
16.87,2024-07-08T13:31:16.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
13.61,2024-07-08T19:29:16.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
33.21,2024-07-08T02:04:20.000,Manhattan,Madison Avenue - Northbound - 49th St to 57th St
17.62,2024-07-08T05:12:20.000,Manhattan,34th Street - Eastbound - Madison Ave to 3rd Ave
10.59,2024-07-08T14:46:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
7.2,2024-07-08T17:02:20.000,Manhattan,Lexington Avenue - Southbound - 49th St to 42nd St
9.75,2024-07-08T13:59:16.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
0.0,2024-07-08T17:25:16.000,Manhattan,42nd Street - Eastbound - 3rd Ave to 2nd Ave
8.67,2024-07-08T21:00:20.000,Manhattan,34th Street - Westbound - Madison Ave to 5th Ave
6.5,2024-07-08T23:45:16.000,Manhattan,49th Street - Westbound - Lexington Ave to Madison Ave
21.93,2024-07-08T07:35:16.000,Manhattan,3rd Avenue - Northbound - 49th St to 57th St
40.23,2024-07-08T04:27:16.000,Manhattan,Madison Avenue - Northbound - 49th St to 57th St
0.0,2024-07-08T04:37:16.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
21.32,2024-07-08T05:50:20.000,Manhattan,57th Street - Eastbound - 3rd Ave to 2nd Ave
31.17,2024-07-08T04:01:16.000,Manhattan,42nd Street - Eastbound - Lexington Ave to 3rd Ave
9.31,2024-07-08T22:19:16.000,Manhattan,49th Street - Westbound - Madison Ave to 5th Ave
10.72,2024-07-08T03:33:16.000,Manhattan,34th Street - Eastbound - Madison Ave to 3rd Ave
0.0,2024-07-08T03:04:20.000,Manhattan,57th Street - Eastbound - Madison Ave to Lexington Ave
9.66,2024-07-08T14:00:20.000,Manhattan,49th Street - Westbound - Lexington Ave to Madison Ave
5.63,2024-07-08T10:57:16.000,Manhattan,42nd Street - Eastbound - 3rd Ave to 2nd Ave
26.87,2024-07-08T15:52:20.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
22.85,2024-07-08T04:00:20.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
13.61,2024-07-08T15:28:20.000,Manhattan,Lexington Avenue - Southbound - 57th St to 49th St
15.23,2024-07-08T08:38:20.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
11.24,2024-07-08T17:53:16.000,Manhattan,Madison Avenue - Northbound - 34th St to 42nd St
0.0,2024-07-08T06:19:16.000,Manhattan,42nd Street - Westbound - Madison Ave to 5th Ave
2.36,2024-07-08T17:25:16.000,Manhattan,42nd Street - Eastbound - Lexington Ave to 3rd Ave
20.21,2024-07-08T07:31:16.000,Manhattan,Madison Avenue - Northbound - 49th St to 57th St
9.94,2024-07-08T08:23:16.000,Manhattan,42nd Street - Eastbound - Madison Ave to Lexington Ave
7.59,2024-07-08T05:36:20.000,Manhattan,49th Street - Westbound - 3rd Ave to Lexington Ave
30.78,2024-07-08T21:55:17.000,Manhattan,3rd Avenue - Northbound - 42nd St to 49th St
8.16,2024-07-08T11:53:16.000,Manhattan,42nd Street - Eastbound - Lexington Ave to 3rd Ave
10.31,2024-07-08T00:45:16.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
0.0,2024-07-08T08:19:16.000,Manhattan,57th Street - Westbound - 3rd Ave to Lexington Ave
9.31,2024-07-08T02:48:20.000,Manhattan,42nd Street - Eastbound - 3rd Ave to 2nd Ave
1.45,2024-07-08T14:17:16.000,Manhattan,42nd Street - Eastbound - Lexington Ave to 3rd Ave
19.41,2024-07-08T01:22:20.000,Manhattan,42nd Street - Eastbound - Lexington Ave to 3rd Ave
0.0,2024-07-08T23:41:16.000,Manhattan,57th Street - Westbound - Lexington Ave to Madison Ave
1.52,2024-07-08T04:53:16.000,Manhattan,57th Street - Eastbound - Madison Ave to Lexington Ave
