the_geom,shape_leng,boroname,ntaname
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93298420763749, 40.63955446223741], [-73.93391820703276, 40.63949666733303], [-73.9348875040951, 40.639438596518644], [-73.93537774498009, 40.63940800242174], [-73.93585629308835, 40.63937813097508], [-73.93679195475151, 40.639319142633965], [-73.9370413303326, 40.641658799331154], [-73.93728427248608, 40.6439577220251], [-73.9363486870851, 40.644017055842426], [-73.93538239913546, 40.64407436719263], [-73.93441051540462, 40.64413417865119], [-73.93347837846225, 40.644192779592295], [-73.93323426647333, 40.641894613938085], [-73.93302326537264, 40.63991995175206], [-73.93298420763749, 40.63955446223741]]]]}",5510.79876481,Brooklyn,East Flatbush-Farragut
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91746991635154, 40.621512428609115], [-73.91741279788268, 40.62095853067417], [-73.91726440925842, 40.61954803796828], [-73.91826562963043, 40.61948427618001], [-73.91920055491559, 40.61942644892271], [-73.92013375124505, 40.61936966511039], [-73.92110242801024, 40.61930919820453], [-73.92097112918647, 40.61812359000237], [-73.92085197859551, 40.616971435842736], [-73.92182333752011, 40.61691126107683], [-73.92275533938091, 40.61685390618896], [-73.92300753155868, 40.61919286338609], [-73.9232613529739, 40.62160068410337], [-73.92232973423631, 40.62165803398704], [-73.92135912271041, 40.6217177441445], [-73.92038944356148, 40.6217769620927], [-73.91982948633265, 40.621811575597015], [-73.91945570413255, 40.62183467421124], [-73.91900416275413, 40.621862893995214], [-73.91852229366357, 40.62189300034415], [-73.91801813081604, 40.62192533131849], [-73.91751556159461, 40.62194031579216], [-73.91746991635154, 40.621512428609115]]]]}",6663.14362636,Brooklyn,Flatlands
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00474646711004, 40.64356697977728], [-74.00532944413116, 40.64300644448842], [-74.00591235211326, 40.64244496956113], [-74.00649698801892, 40.641884284960646], [-74.00707894260734, 40.64132528050812], [-74.00928151062453, 40.64265634138009], [-74.01148370452388, 40.64398661340751], [-74.010902224838, 40.64454699976925], [-74.01031893880946, 40.6451066629451], [-74.00973537056362, 40.64566683595484], [-74.0091528209351, 40.646226735160596], [-74.00695078858615, 40.64489723903702], [-74.00474646711004, 40.64356697977728]]]]}",5203.9793279,Brooklyn,Sunset Park East
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88371830492846, 40.637679758682744], [-73.88444426064454, 40.63719737964735], [-73.88518197993609, 40.63670758691193], [-73.88594417756666, 40.63622681167491], [-73.88664641970718, 40.635774678987964], [-73.88669930711585, 40.63582219784455], [-73.88701548264211, 40.6361062356464], [-73.88850752849541, 40.637446575524585], [-73.89032791622309, 40.63907941948053], [-73.88961349439121, 40.63954186296521], [-73.88887037353761, 40.64002489803869], [-73.88812746511795, 40.6405016500332], [-73.88738553527432, 40.64098063300277], [-73.88676137874651, 40.64042670538115], [-73.8861865451543, 40.63990444802871], [-73.88556522801865, 40.63934667118815], [-73.88495249679407, 40.63878658512877], [-73.88437159166368, 40.63827141940552], [-73.88377841535308, 40.63773420142419], [-73.88371830492846, 40.637679758682744]]]]}",5294.22320135,Brooklyn,Canarsie
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94722949801006, 40.675052711204295], [-73.94731223877704, 40.674161887708216], [-73.94739574630316, 40.673271676555345], [-73.94748050653838, 40.67237964713722], [-73.9502511329594, 40.672529868268334], [-73.95301930018383, 40.6726810663684], [-73.95293648353115, 40.67357148010141], [-73.9528490516301, 40.67446186548719], [-73.95276824053983, 40.675354467812255], [-73.95000107466053, 40.67520429902112], [-73.94722949801006, 40.675052711204295]]]]}",5033.48598215,Brooklyn,Crown Heights North
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00343557036693, 40.62069540384769], [-74.00401906907375, 40.620136189069065], [-74.00459906977372, 40.61957685399818], [-74.005226659917, 40.61897315402657], [-74.00585319934184, 40.618370477260555], [-74.00643394992089, 40.61781471690192], [-74.00701531620906, 40.61725394643714], [-74.00759806889573, 40.61669446086931], [-74.0097998573523, 40.618023814725], [-74.00921772651256, 40.61858223981409], [-74.00863712356524, 40.61914217358746], [-74.00805376795847, 40.61970027835653], [-74.00742666810375, 40.62030364221056], [-74.00680205262027, 40.6209056603851], [-74.00621887870271, 40.6214643940125], [-74.00563745682207, 40.62202355728935], [-74.00343557036693, 40.62069540384769]]]]}",5279.39727322,Brooklyn,Dyker Heights
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90377394897381, 40.641652857442416], [-73.90462641561378, 40.64110236881184], [-73.90520058384547, 40.64072908258958], [-73.90597221388826, 40.640238248737], [-73.90674187400086, 40.63973557588609], [-73.90745386973812, 40.639275454985736], [-73.90911926743973, 40.64077015835976], [-73.91012024837882, 40.64167092346021], [-73.91076410034859, 40.64224565023108], [-73.91005029443558, 40.642708780282994], [-73.90927970102157, 40.64320402774255], [-73.9080234272856, 40.64401706270216], [-73.9075796721109, 40.64430395423767], [-73.90708399180873, 40.64462319340351], [-73.90655850939281, 40.64415219210356], [-73.90541680534773, 40.643128809895735], [-73.90448450777686, 40.642291709969044], [-73.90377394897381, 40.641652857442416]]]]}",5517.26274687,Brooklyn,Canarsie
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92308304799766, 40.70397548617403], [-73.92233171431549, 40.70354296093349], [-73.92157981795008, 40.70311462659686], [-73.92082687795602, 40.70268644910185], [-73.92007482182785, 40.70225876247546], [-73.92163116397205, 40.70067556137892], [-73.9230816944169, 40.699200671882004], [-73.92383266991749, 40.699627798216774], [-73.92458241318437, 40.70005525202627], [-73.9253295998091, 40.700481194533474], [-73.92608301619079, 40.700910145119074], [-73.92683805761695, 40.70133421036639], [-73.92538977579035, 40.70281006661583], [-73.9238344977471, 40.704397416156255], [-73.92308304799766, 40.70397548617403]]]]}",5385.17094207,Brooklyn,Bushwick North
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93534896372627, 40.625835032595795], [-73.93631792195528, 40.62577464503403], [-73.93728861481252, 40.62571445614544], [-73.93822067921211, 40.62565653462723], [-73.93851401950434, 40.62563872727311], [-73.93915724418619, 40.62559953621175], [-73.93935602931188, 40.6274581702207], [-73.93960544146321, 40.62979489026353], [-73.93867362745215, 40.629852803880404], [-73.93773796826883, 40.629913185947785], [-73.9367674395246, 40.62997355764742], [-73.93580024323316, 40.63003138411911], [-73.93554872032529, 40.62769178368606], [-73.93534896372627, 40.625835032595795]]]]}",5187.84492383,Brooklyn,Flatlands
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93753749374089, 40.608557389754964], [-73.9382967955253, 40.60806269360591], [-73.93901246938964, 40.60759947730705], [-73.93933968959354, 40.60738556023579], [-73.9393926909823, 40.60735090934695], [-73.9397261393271, 40.6071329151229], [-73.93843493575841, 40.605973863058786], [-73.93791557907792, 40.60549790060331], [-73.93609407296226, 40.60387316224379], [-73.9342626672588, 40.60223071136699], [-73.93503274566054, 40.60173379090118], [-73.93655774141634, 40.60309499907738], [-73.93682747858846, 40.60334437571569], [-73.93773810518582, 40.60416126749797], [-73.9386747858081, 40.60500138257622], [-73.9389159228333, 40.605222939718836], [-73.9392097868506, 40.60547889853825], [-73.94003133542176, 40.60620314169837], [-73.94050812697783, 40.606642403762905], [-73.94116729880949, 40.60724379628829], [-73.94154700777685, 40.607582288304904], [-73.9423117585933, 40.60826819732584], [-73.94187230011019, 40.608555467466886], [-73.94154757693073, 40.60876773629731], [-73.94082897916039, 40.609229317663356], [-73.9401152876221, 40.60969107767297], [-73.93934703447131, 40.61018714136911], [-73.93753749374089, 40.608557389754964]]]]}",8403.55014018,Brooklyn,Madison
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95791873735388, 40.64414326559375], [-73.95875335836047, 40.643772256720204], [-73.95972713518834, 40.64333185191732], [-73.95937694894458, 40.64147155523351], [-73.96050179995993, 40.64094058727479], [-73.96138536962722, 40.6405251270064], [-73.96228158164404, 40.640101325352376], [-73.96318588314621, 40.63967181829412], [-73.96355684630169, 40.64160992507839], [-73.96408758355717, 40.644406417265316], [-73.9631244909098, 40.64451197767658], [-73.96216160873865, 40.64461720575631], [-73.9612134072085, 40.6447228802047], [-73.96001600744538, 40.64485312683706], [-73.95897898403, 40.644966469810036], [-73.9580217647043, 40.645069962320854], [-73.95797764682956, 40.644576255516505], [-73.95791873735388, 40.64414326559375]]]]}",6293.56260371,Brooklyn,Flatbush
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94181428761928, 40.80123649161335], [-73.9422717512097, 40.800608199873444], [-73.94273380479531, 40.799978342517534], [-73.9429647902603, 40.79966832643989], [-73.94323386401436, 40.79930718664977], [-73.94374198883924, 40.79861507762979], [-73.94391130118711, 40.79838357805667], [-73.94396683034356, 40.798307652951806], [-73.9441702689505, 40.79802949059467], [-73.94432290472277, 40.797820789329975], [-73.94442935688569, 40.79767523506538], [-73.94463158311375, 40.797398719729046], [-73.94469410526997, 40.79731322842944], [-73.94476157518521, 40.797220973636044], [-73.94486067310096, 40.79708546827279], [-73.94492765571252, 40.796993876879874], [-73.9450961463569, 40.796763483463565], [-73.94522698885575, 40.796820133297174], [-73.94556506780818, 40.79696479511533], [-73.94566684714073, 40.79700834433972], [-73.94670030971344, 40.797450543718], [-73.94722520890936, 40.79767168595846], [-73.94831125388248, 40.798129217566526], [-73.94820641538013, 40.79827285109837], [-73.94815384324836, 40.79834487657842], [-73.94810109026562, 40.798417148381446], [-73.94805130202991, 40.798485359854325], [-73.9478467911888, 40.798765542700856], [-73.94781663052815, 40.798806862971986], [-73.94775716468848, 40.79888833204087], [-73.94771055979315, 40.79895218061348], [-73.94741996235193, 40.7993502952957], [-73.94737599844727, 40.799410524218], [-73.9473277151459, 40.79947667147866], [-73.9472801829742, 40.79954178928657], [-73.94697366806989, 40.79996170341282], [-73.94646133852031, 40.80066530588232], [-73.94596789749369, 40.801342395172476], [-73.94550863918158, 40.80197023174224], [-73.94505127984516, 40.80259859871751], [-73.94343585256632, 40.80191926448627], [-73.94195597543727, 40.801295959982134], [-73.94181428761928, 40.80123649161335]]]]}",5771.87384935,Manhattan,East Harlem North
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.01004189178258, 40.624686202492164], [-74.01029663257064, 40.62444088792647], [-74.01037840558328, 40.62436213034713], [-74.01062410400387, 40.624125514122184], [-74.0112061054603, 40.623565992475925], [-74.01156835664975, 40.62321804011075], [-74.01183245632667, 40.62296437370594], [-74.01212465395972, 40.62268318277417], [-74.01245837055107, 40.6223620388643], [-74.01304073202054, 40.62180286914411], [-74.01362246814834, 40.62124382165817], [-74.01420288284814, 40.6206847443858], [-74.01640622335891, 40.622014177389474], [-74.01582540140983, 40.622573608194116], [-74.01524185216776, 40.62313302667511], [-74.01466131817894, 40.623691812537466], [-74.01403349690514, 40.624293942070175], [-74.0134087723857, 40.62489587947142], [-74.01282730885728, 40.62545573546108], [-74.01224533997598, 40.62601560712521], [-74.01004189178258, 40.624686202492164]]]]}",5280.33883591,Brooklyn,Dyker Heights
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9190087992064, 40.612120502428624], [-73.92038860196269, 40.613366707362175], [-73.92081911236352, 40.613755516654024], [-73.92052694107498, 40.61394269500626], [-73.92010699963082, 40.614212128891005], [-73.91960797147065, 40.61453446453847], [-73.91937088698582, 40.61469022304979], [-73.91893348463408, 40.61496778028131], [-73.9186283821214, 40.61516860665799], [-73.9178875335176, 40.615646580379554], [-73.91739073173478, 40.61596630640253], [-73.91719587388143, 40.616091716413315], [-73.91690302737105, 40.61627422991109], [-73.9169765168347, 40.6169322128547], [-73.91700809992273, 40.617201923723314], [-73.91711554441459, 40.61792519123928], [-73.91716779456259, 40.6183879621651], [-73.91678184722558, 40.618041163114334], [-73.91569464110174, 40.61706419650062], [-73.91387690387846, 40.6154318066527], [-73.91467032529606, 40.614920245574396], [-73.91538776044973, 40.61445775481878], [-73.91609507675528, 40.61399870076918], [-73.91680665126391, 40.613538016717925], [-73.9175614118372, 40.613055015383736], [-73.91828922113933, 40.61257930440572], [-73.9190087992064, 40.612120502428624]]]]}",6255.09029683,Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basin
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95392245016285, 40.60621661031639], [-73.95486939420455, 40.60611367908789], [-73.95583074074815, 40.606007204699225], [-73.95679474176515, 40.60590270563883], [-73.95718715888233, 40.6058636892159], [-73.95772401273773, 40.60579983320428], [-73.95828056952232, 40.608747354279494], [-73.95859278495766, 40.61040303093509], [-73.95804731927223, 40.61046276244426], [-73.95766801379435, 40.61050371521898], [-73.95670471406346, 40.61061187782894], [-73.9557406698918, 40.61071482695364], [-73.95479552709989, 40.610820766155186], [-73.95469559436981, 40.610266059790646], [-73.9543891391047, 40.6086748702632], [-73.95392245016285, 40.60621661031639]]]]}",5520.89472736,Brooklyn,Madison
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94526519230124, 40.59789362694904], [-73.94622941179414, 40.59778899208439], [-73.94719207003335, 40.59768208727084], [-73.94812013074082, 40.59757939994927], [-73.94855032686569, 40.59753296361025], [-73.94904681622317, 40.59747936153664], [-73.94944810515335, 40.59959756723467], [-73.94987458880875, 40.60185315696847], [-73.94894926078035, 40.60195392402286], [-73.94802259326018, 40.602056519308306], [-73.94705837472739, 40.60216200684758], [-73.94652440251737, 40.602221770241506], [-73.94609624165321, 40.602269685425426], [-73.94603166528474, 40.601928546537074], [-73.94600677168553, 40.60179704976838], [-73.94586617572816, 40.60105421501967], [-73.94584715271276, 40.60095373497191], [-73.94574628739123, 40.60042079423799], [-73.94566886811036, 40.60001176686964], [-73.94561084934067, 40.599705724108354], [-73.94543178268721, 40.59876121624505], [-73.94526519230124, 40.59789362694904]]]]}",5342.00109832,Brooklyn,Madison
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96528613372128, 40.614992637070294], [-73.96621451220791, 40.614891766939245], [-73.96728599074099, 40.61477218213299], [-73.96837620639091, 40.614652321768396], [-73.96865662785416, 40.6146214921716], [-73.96893331455703, 40.61459087833389], [-73.97002975185498, 40.61446956305112], [-73.97095543469057, 40.614368798335974], [-73.97188096069814, 40.61426576549255], [-73.97290326943252, 40.61415296888713], [-73.97335879350726, 40.61654171579923], [-73.97233734757239, 40.616653732609244], [-73.9714119417168, 40.616757319304696], [-73.970482823634, 40.616859158312124], [-73.96939034497962, 40.6169717615867], [-73.96926611164892, 40.61698562479025], [-73.96911050452687, 40.61700298832522], [-73.96882927049984, 40.61703452142007], [-73.96826363058202, 40.6171031209961], [-73.96773971023343, 40.61716059051054], [-73.96666442629514, 40.61727780152448], [-73.96573927568069, 40.617380324720045], [-73.96539460853353, 40.6155740191604], [-73.96528613372128, 40.614992637070294]]]]}",6032.53550589,Brooklyn,Ocean Parkway South
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93140358512959, 40.59847680641868], [-73.93173217202086, 40.59825930004674], [-73.93257531401879, 40.59771858445517], [-73.93348304222292, 40.597141301958175], [-73.93341293223459, 40.5967562429879], [-73.93397438982875, 40.596694051899625], [-73.93441032160992, 40.59664576362463], [-73.93536880924118, 40.59654154864442], [-73.93553436420866, 40.59744777993898], [-73.9355514588902, 40.59754135426316], [-73.93560736964221, 40.59784739933596], [-73.9356239251744, 40.59793801444252], [-73.93570147159618, 40.59836247837245], [-73.93571678225985, 40.59844628454496], [-73.9358039975266, 40.598923666382], [-73.9359392580459, 40.59890858834112], [-73.93675736758374, 40.598817383897334], [-73.93694429131153, 40.59879659756319], [-73.93755506778697, 40.59872867179428], [-73.93771133641519, 40.5987112925184], [-73.93817886092033, 40.59865960304508], [-73.93863736969836, 40.59860890583287], [-73.93895266499695, 40.598575527874004], [-73.93909628948684, 40.59856032323815], [-73.9395610928414, 40.598511112330584], [-73.9401666162705, 40.598443609014154], [-73.94027565948915, 40.59843145252178], [-73.94048860934916, 40.59840771236466], [-73.94137709415426, 40.59831511711232], [-73.94148000390203, 40.59830439123593], [-73.94248473340741, 40.59820036561234], [-73.94278946000966, 40.59979454990714], [-73.94283742407704, 40.600045693639444], [-73.9428895406154, 40.60031864969622], [-73.94189057649263, 40.60042741932569], [-73.9411660980562, 40.60050801622872], [-73.9408926360581, 40.60053783648952], [-73.9399669929643, 40.600639448293876], [-73.93952543849434, 40.600688097278876], [-73.93904134714633, 40.600741432095354], [-73.93811308681073, 40.600843757169905], [-73.93715063009022, 40.60094886618557], [-73.93619686434418, 40.60105507045559], [-73.9352598196141, 40.60114234811643], [-73.93447158901418, 40.601231511897375], [-73.9342271132134, 40.60101020358843], [-73.93392151266282, 40.60073923195586], [-73.93322184684375, 40.60010737304132], [-73.93292657506866, 40.59981792626609], [-73.93140358512959, 40.59847680641868]]]]}",8653.41638314,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
