the_geom,point_x,latitude
"{'type': 'Point', 'coordinates': [-73.92463200843837, 40.75851086027111]}",1005129.75525,40.75851059
"{'type': 'Point', 'coordinates': [-74.13246244755634, 40.61029878127835]}",947471.298,40.61029816
"{'type': 'Point', 'coordinates': [-73.80503220421846, 40.76283516294326]}",1038259.834,40.76283646
"{'type': 'Point', 'coordinates': [-73.98840528075816, 40.63738259173736]}",987468.013,40.63738251
"{'type': 'Point', 'coordinates': [-73.85201661362578, 40.725757504481514]}",1025267.083,40.7257576
"{'type': 'Point', 'coordinates': [-73.98572657515363, 40.68081435524196]}",988208.886,40.68081284
"{'type': 'Point', 'coordinates': [-73.84008871303975, 40.776574333505046]}",1028539.38,40.77657318
"{'type': 'Point', 'coordinates': [-73.85406437094642, 40.7214794112615]}",1024702.096,40.72147751
"{'type': 'Point', 'coordinates': [-73.88656940871171, 40.67282269901632]}",1015714.941,40.67282104
"{'type': 'Point', 'coordinates': [-73.7169141632229, 40.7318733476831]}",1062706.611,40.73187256
"{'type': 'Point', 'coordinates': [-74.18011454782204, 40.64077980408765]}",934263.36125,40.6407798
"{'type': 'Point', 'coordinates': [-73.83894716421989, 40.860566562534466]}",1028799.283,40.86056519
"{'type': 'Point', 'coordinates': [-74.17313205040897, 40.544420356428326]}",936131.804,40.54442215
"{'type': 'Point', 'coordinates': [-74.12790212889554, 40.62665364266261]}",948746.187,40.62665176
"{'type': 'Point', 'coordinates': [-73.91288614514617, 40.8418260039588]}",1008353.611,40.84182739
"{'type': 'Point', 'coordinates': [-73.83833618031831, 40.684880350145846]}",1029086.4185,40.6848793
"{'type': 'Point', 'coordinates': [-73.85436649199744, 40.836842941852304]}",1024548.473,40.83684158
"{'type': 'Point', 'coordinates': [-73.75436985093444, 40.66455767434681]}",1052394.65,40.66455841
"{'type': 'Point', 'coordinates': [-73.80569266405638, 40.715757895161225]}",1038114.92,40.7157579
"{'type': 'Point', 'coordinates': [-73.90801109088773, 40.81865228566394]}",1009711.36,40.81865311
"{'type': 'Point', 'coordinates': [-73.92264957545409, 40.61533050023428]}",1005725.026,40.61532974
"{'type': 'Point', 'coordinates': [-74.10908500854732, 40.63477313664242]}",953973.233,40.63477325
"{'type': 'Point', 'coordinates': [-73.90614008471415, 40.60741217776906]}",1010311.694,40.60741043
"{'type': 'Point', 'coordinates': [-74.17361554758087, 40.545797060305446]}",935998.421,40.54579544
"{'type': 'Point', 'coordinates': [-73.86228559638785, 40.67870381832273]}",1022447.746,40.67870381
"{'type': 'Point', 'coordinates': [-74.1614457269805, 40.595376852382884]}",939413.969,40.59537685
"{'type': 'Point', 'coordinates': [-74.07469873271091, 40.610510180588214]}",963509.67325,40.61051018
"{'type': 'Point', 'coordinates': [-73.73277569633196, 40.70894278203164]}",1058336.122,40.70894241
"{'type': 'Point', 'coordinates': [-73.79456804377382, 40.77221777714884]}",1041150.586,40.7722168
"{'type': 'Point', 'coordinates': [-74.19540484734357, 40.51998674132948]}",929921.72875,40.5199852
"{'type': 'Point', 'coordinates': [-73.84843953431951, 40.74040077655552]}",1026249.32325,40.74040222
"{'type': 'Point', 'coordinates': [-73.99463256503688, 40.69398892775767]}",985738.421,40.6939888
"{'type': 'Point', 'coordinates': [-73.90191909655502, 40.7686750207802]}",1011417.9335,40.76867676
"{'type': 'Point', 'coordinates': [-73.90933857416454, 40.672826843151874]}",1009398.917,40.67282867
"{'type': 'Point', 'coordinates': [-73.98914034871231, 40.661898802480124]}",987262.894,40.66189957
"{'type': 'Point', 'coordinates': [-73.9362215908767, 40.59002014290445]}",1001963.702,40.59001923
"{'type': 'Point', 'coordinates': [-73.85277863221114, 40.67834652867348]}",1025084.90225,40.67834473
"{'type': 'Point', 'coordinates': [-74.14396635619805, 40.56425342130275]}",944249.62625,40.56425476
"{'type': 'Point', 'coordinates': [-74.12747947764348, 40.61480738128922]}",948857.228,40.61480713
"{'type': 'Point', 'coordinates': [-73.99075215801308, 40.663790630526165]}",986815.642,40.66379166
"{'type': 'Point', 'coordinates': [-73.72485402779134, 40.75377740880686]}",1060481.036,40.75377655
"{'type': 'Point', 'coordinates': [-73.84627432755713, 40.64789807766885]}",1026908.472,40.64789963
"{'type': 'Point', 'coordinates': [-73.83039236355336, 40.83978213634869]}",1031180.31,40.83978271
"{'type': 'Point', 'coordinates': [-74.12822635009628, 40.60290583426859]}",948643.523,40.60290527
"{'type': 'Point', 'coordinates': [-74.09549901118689, 40.61613291570008]}",957736.649,40.61613464
"{'type': 'Point', 'coordinates': [-73.93402551261029, 40.72357798832002]}",1002536.989,40.72357941
"{'type': 'Point', 'coordinates': [-73.77721706300798, 40.72053947119648]}",1046004.339,40.72053909
"{'type': 'Point', 'coordinates': [-73.87145946928507, 40.67389159534602]}",1019905.77,40.67389297
"{'type': 'Point', 'coordinates': [-73.93705141468021, 40.631837734003405]}",1001722.28,40.63183594
"{'type': 'Point', 'coordinates': [-74.17163712918669, 40.55804675634629]}",936557.01075,40.55804825
"{'type': 'Point', 'coordinates': [-73.94211812863108, 40.7463323395719]}",1000288.378,40.74633408
"{'type': 'Point', 'coordinates': [-74.18586824259428, 40.53959262832965]}",932588.33625,40.53959274
"{'type': 'Point', 'coordinates': [-73.94660604880382, 40.702071722033075]}",999054.658,40.70207214
"{'type': 'Point', 'coordinates': [-73.90335767822536, 40.7458260197777]}",1011028.63775,40.74582672
"{'type': 'Point', 'coordinates': [-73.88615246393285, 40.866299480113604]}",1015738.985,40.86629868
"{'type': 'Point', 'coordinates': [-73.88693232269944, 40.812353787865916]}",1015548.654,40.81235504
"{'type': 'Point', 'coordinates': [-73.91359772369948, 40.773251640151855]}",1008181.367,40.77325058
"{'type': 'Point', 'coordinates': [-73.92348147443283, 40.64084981362962]}",1005485.942,40.64085007
"{'type': 'Point', 'coordinates': [-74.13078673502662, 40.56813052613953]}",947913.628,40.56813049
"{'type': 'Point', 'coordinates': [-73.80092417659463, 40.75549067123906]}",1039403.916,40.75548935
"{'type': 'Point', 'coordinates': [-73.81008449289814, 40.704540882964665]}",1036906.301,40.70454025
"{'type': 'Point', 'coordinates': [-73.80028321892448, 40.815047939107124]}",1039532.021,40.81504822
"{'type': 'Point', 'coordinates': [-73.89891916739577, 40.73918718957934]}",1012261.296,40.73918533
"{'type': 'Point', 'coordinates': [-74.14173059559356, 40.55256790203316]}",944863.933,40.55256653
"{'type': 'Point', 'coordinates': [-73.86830862261174, 40.840664695258596]}",1020688.43425,40.84066391
"{'type': 'Point', 'coordinates': [-73.99983651077127, 40.65798175326063]}",984295.361,40.65798187
"{'type': 'Point', 'coordinates': [-73.81783001309229, 40.60722094572196]}",1034832.504,40.60722095
"{'type': 'Point', 'coordinates': [-73.90771813841127, 40.69582152858815]}",1009839.59,40.69581985
"{'type': 'Point', 'coordinates': [-73.73352442438537, 40.683923471442895]}",1058156.272,40.68392181
"{'type': 'Point', 'coordinates': [-73.91289250895464, 40.64434661766513]}",1008423.396,40.64434814
"{'type': 'Point', 'coordinates': [-73.77866390032852, 40.69572399879642]}",1045626.128,40.69572449
"{'type': 'Point', 'coordinates': [-73.91489830091666, 40.801547024084314]}",1007811.123,40.801548
"{'type': 'Point', 'coordinates': [-73.73926695994402, 40.68735222969732]}",1056559.882,40.68735123
"{'type': 'Point', 'coordinates': [-73.92644002042485, 40.61581706571438]}",1004672.525,40.61581802
"{'type': 'Point', 'coordinates': [-73.87226629411714, 40.65980919217597]}",1019689.447,40.65980911
"{'type': 'Point', 'coordinates': [-73.95303997851815, 40.72505714515936]}",997266.219,40.72505569
"{'type': 'Point', 'coordinates': [-74.0089378411168, 40.648888023514054]}",981769.808,40.64888763
"{'type': 'Point', 'coordinates': [-73.85223506759952, 40.71765175786744]}",1025211.515,40.71765137
"{'type': 'Point', 'coordinates': [-73.99608586486568, 40.686524733328106]}",985335.534,40.68652344
"{'type': 'Point', 'coordinates': [-73.9762453032587, 40.6540268321433]}",990841.264,40.65402603
"{'type': 'Point', 'coordinates': [-74.13743029670428, 40.57589464135472]}",946072.292,40.5758934
"{'type': 'Point', 'coordinates': [-73.89346519273985, 40.746221498141914]}",1013769.57175,40.74621964
"{'type': 'Point', 'coordinates': [-73.95339708646, 40.66789853208399]}",997178.316,40.66790009
"{'type': 'Point', 'coordinates': [-73.83972428254935, 40.88983375496667]}",1028564.812,40.88983536
"{'type': 'Point', 'coordinates': [-73.95707739917155, 40.60711882919369]}",996168.195,40.60712051
"{'type': 'Point', 'coordinates': [-73.73483096293614, 40.668487606080255]}",1057810.932,40.66848755
"{'type': 'Point', 'coordinates': [-74.11327944482538, 40.60186097300685]}",952793.553,40.60186097
"{'type': 'Point', 'coordinates': [-73.9187389628049, 40.75803467686619]}",1006762.51,40.75803375
"{'type': 'Point', 'coordinates': [-73.85765467543328, 40.87024136621709]}",1023618.822,40.87024307
"{'type': 'Point', 'coordinates': [-73.843435253934, 40.86921390511705]}",1027552.19,40.8692131
"{'type': 'Point', 'coordinates': [-73.94575934406558, 40.652028993120496]}",999300.715,40.65202713
"{'type': 'Point', 'coordinates': [-73.8110475665077, 40.72071121390456]}",1036626.57,40.72071075
"{'type': 'Point', 'coordinates': [-73.87377611214528, 40.748862347235466]}",1019223.8,40.74886322
"{'type': 'Point', 'coordinates': [-74.12801234072082, 40.61065154825418]}",948707.074,40.61065292
"{'type': 'Point', 'coordinates': [-73.77017754140762, 40.711097774609286]}",1047964.6805,40.71109772
"{'type': 'Point', 'coordinates': [-73.94337853660109, 40.73391184024882]}",999942.059,40.73391342
"{'type': 'Point', 'coordinates': [-73.85212612377761, 40.86156344730634]}",1025153.204,40.86156464
"{'type': 'Point', 'coordinates': [-73.82148269888899, 40.71320814133872]}",1033739.584,40.71320724
"{'type': 'Point', 'coordinates': [-74.11141560456177, 40.640569201928315]}",953329.0575,40.64056778
"{'type': 'Point', 'coordinates': [-74.09500368394126, 40.57039488390688]}",957856.094,40.57039642
"{'type': 'Point', 'coordinates': [-73.94707857999033, 40.63605048922133]}",998938.17,40.63605118
"{'type': 'Point', 'coordinates': [-73.87894458577803, 40.64510225805915]}",1017843.975,40.64510345
"{'type': 'Point', 'coordinates': [-74.24293774013593, 40.502797581093226]}",916688.855,40.50279617
"{'type': 'Point', 'coordinates': [-74.0925423591207, 40.620074835122146]}",958559.02,40.62007523
"{'type': 'Point', 'coordinates': [-74.13680314935922, 40.61634538708291]}",946269.527,40.61634445
"{'type': 'Point', 'coordinates': [-73.95717909181424, 40.71652117731797]}",996120.474,40.71652222
"{'type': 'Point', 'coordinates': [-73.72331844683077, 40.76258509315528]}",1060896.342,40.76258469
"{'type': 'Point', 'coordinates': [-74.18239266544923, 40.54305201564519]}",933556.988,40.54305267
"{'type': 'Point', 'coordinates': [-73.93377166246044, 40.707222678416926]}",1002611.857,40.70722198
"{'type': 'Point', 'coordinates': [-73.72251194951129, 40.736396895801455]}",1061149.9815,40.73639679
"{'type': 'Point', 'coordinates': [-73.96391011720085, 40.602441816073515]}",994271.676,40.6024437
"{'type': 'Point', 'coordinates': [-73.91147293739287, 40.63402697951728]}",1008821.144,40.63402557
"{'type': 'Point', 'coordinates': [-73.94246151222634, 40.72508604768946]}",1000198.315,40.72508621
"{'type': 'Point', 'coordinates': [-73.88960919846667, 40.847310811465405]}",1014791.609,40.84730911
"{'type': 'Point', 'coordinates': [-73.92482136925426, 40.83858620390694]}",1005052.257,40.8385849
"{'type': 'Point', 'coordinates': [-73.96259175367022, 40.64955967210373]}",994630.437,40.64955902
"{'type': 'Point', 'coordinates': [-73.86684422142899, 40.89974145612519]}",1021060.909,40.89974213
"{'type': 'Point', 'coordinates': [-74.0787090552376, 40.62846449101085]}",962402.073,40.62846375
"{'type': 'Point', 'coordinates': [-73.85783647336021, 40.84749073789855]}",1023581.994,40.84749222
"{'type': 'Point', 'coordinates': [-74.24001237209542, 40.51718437092391]}",917516.761,40.51718521
"{'type': 'Point', 'coordinates': [-73.93569187481359, 40.73528872722269]}",1002071.97,40.73529053
"{'type': 'Point', 'coordinates': [-73.89767479861499, 40.821596400028206]}",1012572.559,40.82159805
"{'type': 'Point', 'coordinates': [-73.78951062442839, 40.71465967079435]}",1042601.77825,40.71466064
"{'type': 'Point', 'coordinates': [-73.95200336693904, 40.65152639617146]}",997568.222,40.6515274
"{'type': 'Point', 'coordinates': [-73.74251270694663, 40.688333422508244]}",1055658.681,40.6883316
"{'type': 'Point', 'coordinates': [-73.96313057572907, 40.620037507663554]}",994485.446,40.62003708
"{'type': 'Point', 'coordinates': [-73.78271322729341, 40.730175475476535]}",1044472.124,40.73017502
"{'type': 'Point', 'coordinates': [-73.90709554918274, 40.81372669608313]}",1009966.6735,40.81372833
"{'type': 'Point', 'coordinates': [-73.94220059829911, 40.75018278893615]}",1000264.601,40.75018311
"{'type': 'Point', 'coordinates': [-73.85715326310178, 40.832633360902804]}",1023779.843,40.83263397
"{'type': 'Point', 'coordinates': [-73.81291877374154, 40.7641521571808]}",1036074.081,40.76415253
"{'type': 'Point', 'coordinates': [-73.75860656430484, 40.74119402130957]}",1051142.3285,40.74119568
"{'type': 'Point', 'coordinates': [-73.91929836341966, 40.62981775426419]}",1006650.57,40.62981796
"{'type': 'Point', 'coordinates': [-74.09038587080495, 40.63553165671916]}",959163.5,40.63553238
"{'type': 'Point', 'coordinates': [-73.89306065778776, 40.82073601502391]}",1013848.521,40.82073593
"{'type': 'Point', 'coordinates': [-73.94016077072145, 40.7012134073673]}",1000841.96775,40.7012134
"{'type': 'Point', 'coordinates': [-73.82794556863338, 40.71106972667924]}",1031949.443,40.71107101
"{'type': 'Point', 'coordinates': [-74.01414982424036, 40.6438235906286]}",980323.219,40.64382172
"{'type': 'Point', 'coordinates': [-73.86709128325577, 40.68270374216946]}",1021112.586,40.68270493
"{'type': 'Point', 'coordinates': [-73.74513662708152, 40.657599766862155]}",1054963.572,40.6576004
"{'type': 'Point', 'coordinates': [-73.99880324731038, 40.62628280940712]}",984582.2035,40.62628174
"{'type': 'Point', 'coordinates': [-73.89965053860304, 40.71271453834801]}",1012069.669,40.71271515
"{'type': 'Point', 'coordinates': [-73.84437320697019, 40.653720123427554]}",1027432.259,40.65372086
"{'type': 'Point', 'coordinates': [-73.9237028320579, 40.67740279965768]}",1005412.91,40.6774025
"{'type': 'Point', 'coordinates': [-73.89896469763835, 40.818063381824295]}",1012215.533,40.81806183
"{'type': 'Point', 'coordinates': [-73.98715643152194, 40.7023922075582]}",987811.1475,40.7023922
"{'type': 'Point', 'coordinates': [-73.86441915248642, 40.6647270844909]}",1021863.845,40.66472626
"{'type': 'Point', 'coordinates': [-73.84739396226371, 40.833202879919575]}",1026480.161,40.83320236
"{'type': 'Point', 'coordinates': [-73.70870173506339, 40.728170630471624]}",1064987.145,40.7281723
"{'type': 'Point', 'coordinates': [-73.8840323095837, 40.66646209212808]}",1016421.784,40.66646194
"{'type': 'Point', 'coordinates': [-73.73854904400253, 40.73760908031438]}",1056704.33325,40.73760986
"{'type': 'Point', 'coordinates': [-73.72888277862388, 40.695674559216215]}",1059430.365,40.6956749
"{'type': 'Point', 'coordinates': [-74.19747394232706, 40.543864856657954]}",929366.072,40.5438652
"{'type': 'Point', 'coordinates': [-73.9813706343926, 40.6801616210187]}",989417.103,40.68016052
"{'type': 'Point', 'coordinates': [-73.89135627286109, 40.83269074710838]}",1014314.856,40.83269119
"{'type': 'Point', 'coordinates': [-73.9221611826012, 40.67104453870352]}",1005842.583,40.6710434
"{'type': 'Point', 'coordinates': [-73.86539919324647, 40.67760980335345]}",1021584.743,40.67760849
"{'type': 'Point', 'coordinates': [-74.22072317421052, 40.546961245648276]}",922907.269,40.54696274
"{'type': 'Point', 'coordinates': [-73.81017434804299, 40.72657805044571]}",1036863.989,40.72657776
"{'type': 'Point', 'coordinates': [-73.943601462602, 40.62218083000597]}",999906.486,40.62218094
"{'type': 'Point', 'coordinates': [-73.90312157047453, 40.8759722163039]}",1011041.62,40.87597275
"{'type': 'Point', 'coordinates': [-73.97775994316136, 40.61399173724911]}",990424.697,40.61399078
"{'type': 'Point', 'coordinates': [-73.73968978809816, 40.68829447448579]}",1056441.598,40.68829346
"{'type': 'Point', 'coordinates': [-73.84815189272693, 40.65367762903953]}",1026383.803,40.65367889
"{'type': 'Point', 'coordinates': [-73.88081689482523, 40.746933242001596]}",1017273.915,40.74693298
"{'type': 'Point', 'coordinates': [-73.95613443624202, 40.654190163672155]}",996421.437,40.65419006
"{'type': 'Point', 'coordinates': [-73.86821010427765, 40.72427116438223]}",1020779.49375,40.72426987
"{'type': 'Point', 'coordinates': [-74.14190883082597, 40.54590322247752]}",944810.469,40.54590225
"{'type': 'Point', 'coordinates': [-73.9873998996428, 40.67145811660925]}",987745.262,40.6714592
"{'type': 'Point', 'coordinates': [-73.87743341548992, 40.7093942538901]}",1018230.564,40.70939255
"{'type': 'Point', 'coordinates': [-73.93672054913836, 40.62876176316004]}",1001814.926,40.62876129
"{'type': 'Point', 'coordinates': [-73.92583935923146, 40.761564737240406]}",1004794.332,40.76156616
