the_geom,unitid,boro
"{'type': 'Point', 'coordinates': [-73.9221611826012, 40.67104453870352]}",H320975,3
"{'type': 'Point', 'coordinates': [-73.86539919324647, 40.67760980335345]}",H330725,3
"{'type': 'Point', 'coordinates': [-74.13246244755634, 40.61029878127835]}",H507171,5
"{'type': 'Point', 'coordinates': [-73.93377166246044, 40.707222678416926]}",H312477,3
"{'type': 'Point', 'coordinates': [-73.88081689482523, 40.746933242001596]}",H434815,4
"{'type': 'Point', 'coordinates': [-73.95613443624202, 40.654190163672155]}",H314844,3
"{'type': 'Point', 'coordinates': [-74.07469873271091, 40.610510180588214]}",H515324,5
"{'type': 'Point', 'coordinates': [-73.95947318174078, 40.62491713868687]}",H319071,3
"{'type': 'Point', 'coordinates': [-73.85201661362578, 40.725757504481514]}",H430542,4
"{'type': 'Point', 'coordinates': [-73.94211812863108, 40.7463323395719]}",H440231,4
"{'type': 'Point', 'coordinates': [-73.73352442438537, 40.683923471442895]}",H405295,4
"{'type': 'Point', 'coordinates': [-73.89891916739577, 40.73918718957934]}",H435345,4
"{'type': 'Point', 'coordinates': [-73.86830862261174, 40.840664695258596]}",H210144,2
"{'type': 'Point', 'coordinates': [-73.97737391595571, 40.632460902072104]}",H313918,3
"{'type': 'Point', 'coordinates': [-74.11141560456177, 40.640569201928315]}",H507644,5
"{'type': 'Point', 'coordinates': [-73.90335767822536, 40.7458260197777]}",H437326,4
"{'type': 'Point', 'coordinates': [-73.86709128325577, 40.68270374216946]}",H330626,3
"{'type': 'Point', 'coordinates': [-73.93672054913836, 40.62876176316004]}",H324356,3
"{'type': 'Point', 'coordinates': [-73.87894458577803, 40.64510225805915]}",H331063,3
"{'type': 'Point', 'coordinates': [-74.09549901118689, 40.61613291570008]}",H513210,5
"{'type': 'Point', 'coordinates': [-73.9187389628049, 40.75803467686619]}",H438973,4
"{'type': 'Point', 'coordinates': [-74.12747947764348, 40.61480738128922]}",H507007,5
"{'type': 'Point', 'coordinates': [-73.94016077072145, 40.7012134073673]}",H311869,3
"{'type': 'Point', 'coordinates': [-73.85223506759952, 40.71765175786744]}",H430307,4
"{'type': 'Point', 'coordinates': [-73.90312157047453, 40.8759722163039]}",H201771,2
"{'type': 'Point', 'coordinates': [-73.85783647336021, 40.84749073789855]}",H210706,2
"{'type': 'Point', 'coordinates': [-73.73483096293614, 40.668487606080255]}",H407026,4
"{'type': 'Point', 'coordinates': [-73.72485402779134, 40.75377740880686]}",H417730,4
"{'type': 'Point', 'coordinates': [-74.0089378411168, 40.648888023514054]}",H304374,3
"{'type': 'Point', 'coordinates': [-73.99075215801308, 40.663790630526165]}",H304613,3
"{'type': 'Point', 'coordinates': [-73.87226629411714, 40.65980919217597]}",H329697,3
"{'type': 'Point', 'coordinates': [-74.17361554758087, 40.545797060305446]}",H505308,5
"{'type': 'Point', 'coordinates': [-73.7580000627204, 40.6665235252806]}",H407295,4
"{'type': 'Point', 'coordinates': [-73.91929836341966, 40.62981775426419]}",H325062,3
"{'type': 'Point', 'coordinates': [-73.83894716421989, 40.860566562534466]}",H211005,2
"{'type': 'Point', 'coordinates': [-73.85765467543328, 40.87024136621709]}",H208675,2
"{'type': 'Point', 'coordinates': [-74.13078673502662, 40.56813052613953]}",H511859,5
"{'type': 'Point', 'coordinates': [-73.78951062442839, 40.71465967079435]}",H413257,4
"{'type': 'Point', 'coordinates': [-74.13743029670428, 40.57589464135472]}",H509317,5
"{'type': 'Point', 'coordinates': [-73.99702302165667, 40.67678176475857]}",H301465,3
"{'type': 'Point', 'coordinates': [-73.93402551261029, 40.72357798832002]}",H312552,3
"{'type': 'Point', 'coordinates': [-73.86295097220767, 40.741029894388646]}",H432349,4
"{'type': 'Point', 'coordinates': [-73.91288614514617, 40.8418260039588]}",H203150,2
"{'type': 'Point', 'coordinates': [-73.83039236355336, 40.83978213634869]}",H212996,2
