project_descr,city_prior_actual,noncity_yr1_plan,noncity_yr5_plan,managing_agcy_cd,managing_agcy,pub_date
Pier 11 Intermodal Ferry,1235,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Shaft 17 Elevator Replacement,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",70404,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
HRA FACILITIES & EQUIPMENT  OUTYEARS FOR UPGRADES,0,0,0,96,HUMAN RESOURCES ADMINISTRATION,20200116
Repairs & Remediate Corrosion Issues - CT 3,10019,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Pier 11 Intermodal Ferry,508,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
CITYWIDE HVAC PROGRAM,354,0,0,56,POLICE DEPARTMENT,20200116
WWTP - CYCLICAL EQUIPMENT REPLACEMENT,1683,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"REPLACE DOORS, EAST-OF-HUDSON DISTRICT",4606,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Roof and Waterproofing Project - EC202,1432,0,0,57,FIRE DEPARTMENT,20200116
Installation of LED Exterior Lighting Citywide,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
Renovation projects for field offices,0,0,0,68,ADMIN FOR CHILDREN'S SERVICES,20200116
Female Firefighter Toilet Upgrade - EC24,3639,0,0,57,FIRE DEPARTMENT,20200116
CA Hudson River Drainage Chamber,4432,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Shaft 4 Gate Valve Replacements,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
WTO Training Sites,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
EMERGENCY FUNDING FOR VARIOUS CLINICS,4560,0,0,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,20200116
OCME - Agencywide Physical Security System Upgrades,0,0,0,816,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,20200116
Catskill Watershed Corporation Arkville Office,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Security Gate Construction at Six Locations in Delaware Dist,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
SCHOHARIE RESERVOIR/GILBOA DAM AND INTAKE/OUTLET CHAMBER,444885,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
ASHOKAN RESERVOIR/OLIVE BRIDGE DAM & UPPER/LOWER OUTLET& SCR,128468,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Sandy - Rockaway Beach: Long-Term RC,2,0,8659,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
MISC INFRASTRUCTURE RECON,480,0,0,72,DEPARTMENT OF CORRECTION,20200116
BWS JOC Contracts (E-O-H & W-O-H),0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
4101 WHITE PLAINS RD - HVAC UPGRADE,0,0,0,856,DEPT OF CITYWIDE ADMIN SERVS,20200416
FAD 13-17 WAP and Forestry,28599,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Rockaway Boardwalk - Water Main Improvement,1390,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Air Monitoring Analysis,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Amawalk Dam Ogee Spillway Replacement,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
EDTO & NTO TURBINE REPLACEMENT,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
WATER EFFICIENCY UPGRADES AT DOE SCHOOLS,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
SCA29,0,0,0,40,DEPARTMENT OF EDUCATION,20190425
Air Monitoring Analysis,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
DISTRICT HEALTH CENTER,1032,0,0,819,HEALTH AND HOSPITALS CORP,20200116
DR-30 Culvert Repair & Embankment Stabilization,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Replace 5 and 27 KV Feeders,377,0,0,72,DEPARTMENT OF CORRECTION,20200116
SECURITY CAMERAS AT NYCHA FACILITY IN DISTRICT 8,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
DIGITAL VAN,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
EDC - Hurricane Sandy - Asset Management,0,0,30294,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Passenger Ship Terminal - Cruise Industry Develp.,194807,197,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Gas Risers,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
Roof and Waterproofing Project - EC46,233,0,0,57,FIRE DEPARTMENT,20200116
GILBOA HLO,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
EDTO VALVE,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
LEAD PAINT ABATEMENT & REMOVAL,1896,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"BOILERS AT MTS, HWY 3, 75 & 77 PRECINCTS",0,0,0,56,POLICE DEPARTMENT,20200116
CleaNYC - Graffiti Free Trucks,1953,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
GI - GREEN INFRASTRUCTURE GRANT PROGRAM,10448,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
FIREARMS TACTICAL TRAINING CENTERS,3834,0,0,56,POLICE DEPARTMENT,20200116
PSA4 HVAC,0,0,0,56,POLICE DEPARTMENT,20210805
Spofford Redevelopment,0,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Multi - Component Renovaitons - EC 227,9803,0,0,57,FIRE DEPARTMENT,20200116
"ELEVATOR REHABILITATION FOR 20TH, 25TH",0,0,0,56,POLICE DEPARTMENT,20200116
MODIFICATION OF CHAMBERS AT HILLVIEW,83705,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
CITYWIDE ELEVATOR REPAIRS,9871,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
CONSTRUCTION OF CARBON ADDITION FACILITY AT VARIOUS WWTPs,105246,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
CITYWIDE LOCKER ROOM RENOVATION,26036,0,0,56,POLICE DEPARTMENT,20200116
CAT/DEL UV LIGHT TREATMENT FACILITIES,1572652,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
BWSO Facilities Improvement Program,20930,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
CANNONSVILLE EMERGENCY GATE TOWER,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
DEP- DEMAND CONTROLLED VENTILATION UPGRADE,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
SBLT - She Built NY Project 1,0,0,0,126,DEPARTMENT OF CULTURAL AFFAIRS,20200116
FAD 18-22 WAP AND FORESTRY,40764,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Tenant Improvement Fund,0,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Acquistion Fund,0,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Project Management for NYC Health + Hospitals Sandy Projects,0,17503,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Riser Valve Control Mechanism at DA Chambers,500,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
RECONSTRUCTION GRAND GORGE WWTP,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Facilities Improvement Program,26100,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
BEAUTIFICATION OF QUEENSBRIDGE HOUSES AND WOODSIDE HOUSES,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
GENERAL CONSTRUCTION CITYWIDE,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
KENSICO SPILLWAY CRACK RECONSTRUCTION,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
MULTI COMPONENT RENOVATIONS - EMS 4,523,0,0,57,FIRE DEPARTMENT,20200116
"BOILER REPLACEMENT AT 68TH, 76TH AND 102ND PCTS",105,0,0,56,POLICE DEPARTMENT,20200116
NEW JAIL FACILITIES,0,0,0,72,DEPARTMENT OF CORRECTION,20200116
Shaft 18 Traveling Screens & Other Work,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
PAMOJA - BOILER,1103,0,0,850,DEPT OF DESIGN & CONSTRUCTION,20201123
HVAC Upgrades at Grahamsville WWTP,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
LEAD PAINT REMOVAL AT BWS FACILITIES,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
FY21 CitywideTree Guards,0,0,0,846,DEPT OF PARKS AND RECREATION,20201123
ROOF WORK TO PREVENT MOLD  AT VARIOUS DEVELOPMENTS,333328,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
ELLIOTT CHELSEA AND FULTON LIGHTING FOR PARKS,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
BEN NESIN FACILITY/ASHOKAN RECONSTRUCTION,11054,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
49TH & 115TH & MTN PCT HVAC REPLACEMENT,0,0,0,56,POLICE DEPARTMENT,20200116
"JOC JOB ORDER CONTRACTING WORK IN REGIONS NORTH,SOUTH & EAST",0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
SECURITY ENHANCEMENTS AT VARIOUS LOCATIONS,7855,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
Volunteers of America,0,0,0,71,DEPT OF HOMELESS SERVICES,20200116
Housing Fund,0,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Randall's Island Water Tank Replacement,193,0,0,57,FIRE DEPARTMENT,20200116
Kensico Waterfowl Facility Construction & Paving,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
DELAWARE CHAMBERS HVAC IMPROVEMENT,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
To Increase the Capacity of Upper Catskill Aqueduct,213368,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Arcady Road Reconstruction,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
BWS Emergency Services Contract,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
CUNY Incubator Network,0,0,0,42,CITY UNIVERSITY,20200116
"CITY TUNNEL 3, REPAIR LEAK@ SHAFT 15B",0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"Removal and reconstruction of DEP bridges, upstate watershed",2647,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
New York City Ferry - Ferry Purchase and Upgrade,6000,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
WEST BRANCH AUXILIARY DAM-CREEP REMEDIATION,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Aqueduct Restoration at Lake Street - EOH,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
WOH Catskill Acqueduct  Chambers Rehab & Restoration,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
INSTANTANEOUS HOT WATER HEATERS,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
East River Waterfront,8062,1308,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
CROSS RIVER AND CROTON FALLS PUMPING STATIONS,94189,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
WATER METER INSTALLATION AT JFK AIRPORT,8586,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Replacement/Rehabilitation of Honk Falls Dam,3838,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Del Repair: HYDRAULIC INV - RONDOUT-WEST BRANCH TUNNEL,58481,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Development of Hydroelectric Cannonsville Dam. incl P'wrhse,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
GI - FUNDING FOR HPD GREEN INFRASTRUCTURE PROJECTS,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
NEW CROTON LAKE GATE HOUSE HVAC REHABILITATION,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
REPLACEMENT OF DIVIDING WEIR BRIDGE,1000,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Cellar Reconstruction - EC299,0,0,0,57,FIRE DEPARTMENT,20200116
MOBLE BOILERS AT VARIOUS NYCHA DEVELOPMENTS,1500,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH, & EAST",65492,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Rehabilitation of Ferry Landings,2923,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Downsville Water Connection,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
DAM STABILITY IMPROVEMENTS,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
CATSKILL AQUEDUCT RECONST.-KENSICO TO HILVIEW,28509,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
HEATING SYSTEM IMPROVEMENTS AT NYCHA DEVELOPMENTS CITYWIDE,123754,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
Gazebo - Manholes Project on 7th Avenue & West 14th Street.,0,0,0,57,FIRE DEPARTMENT,20200116
FORT TOTEN DEMOLITION,0,0,0,57,FIRE DEPARTMENT,20200116
ADA COMPLIANCE RENOVATIONS AT NYPD PRECINCTS,0,0,0,56,POLICE DEPARTMENT,20200116
Raise Shoreline- Phase 1,0,0,0,801,DEPT OF  SMALL BUSINESS SERVICES,20200116
Construction of a New Training Academy,0,0,0,72,DEPARTMENT OF CORRECTION,20200116
TRC - RESIDUAL CHLORINE REDUCTION PROGRAM,84370,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
SENIOR CENTER RENOVATION- DYCKMAN AND MARBLE HILL,0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
SECURITY INITIATIVES - LIGHTING AT VARIOUS DEVELOPMENTS,44365,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
UV FOUNDATION DRAIN MH PHASE 2,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"Citywide  Gas Risers, Steam Distribution, Condensate Lines",0,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
"CITY TUNNELS1 & 2, REPLACE VENTURI LINES @ SHAFTS",0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
EXTERNAL COMPACTORS-BULK CRUSHERS,732,0,0,806,HOUSING PRESERVATION AND DEVEL,20200116
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Asbestos Removal,1462,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Conversion of Kensico Lab to EOH Operations HQ,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
HILLVIEW MAINTENANCE SHOP,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Deep Sewer Manholes,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
"BOILERS AT 26TH, 42ND & 46TH PRECINCTS",137,0,0,56,POLICE DEPARTMENT,20200116
Town fo Wawarsing Public Water Project,7000,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
REPLACEMENT OF ESOPUS AND ROUTE 28A RAILROAD BRIDGES,16081,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
Hillview Reservoir Dry Scrubbers - Downtake Chambers 1 & 2,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
CAC BATHROOM RENOVATION,0,0,0,56,POLICE DEPARTMENT,20200116
"Bureau of Police & Security Academy Renovation, Kingston",0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
UPGRADES AT CSO FACILITIES,0,0,0,826,DEPT ENVIRONMENTAL PROTECTION,20200116
BOILERS REPLACEMENT AT BMS & SRG4,0,0,0,56,POLICE DEPARTMENT,20200116
ELECTRICAL CONDUIT REPLACEMENT (SANDY),0,3988,0,56,POLICE DEPARTMENT,20200116
