scope_text,city_plan_total,city_yr4_plan,city_yr5_plan,noncity_rtc,city_rtc,site_descr,city_yr3_plan,typ_category_name,noncity_yr3_plan
CONCRETE SLABS,16310,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
ADA COMPLIANCE RENOVATION AT NYPD PRECINTS,29337,0,0,0,0,,9337,POLICE FACILITIES,0
ASHOKAN RESERVIOR/OLIVE BRIDGE DAM & UPPER/LOWER OUTLET& SCREEN CHAMBERS RECONSTRUCTION,624626,0,162000,0,330000,UPSTATE,0,DAM SAFETY PROGRAM,0
DESIGN FOR CROSS RIVER AND CROTON FALLS PUMPING STATIONS,94471,0,0,0,0,CROSS RIVER & CROTON FALLS,0,WATER FOR THE FUTURE,0
BATHROOM RENOVATION,1407,0,0,0,0,,0,POLICE FACILITIES,0
TUNNEL WORK,216819,12000,30000,0,168000,,0,WATER QUALITY PRESERVATION,0
LEAD PAINT ABATEMENT & REMOVAL,11680,0,2000,0,1500,,0,FACILITY PURCHASES AND RECONSTRUCTION,0
HILLVIEW DRY SCRUBBER,2300,0,2300,0,0,,0,"CITY TUNNEL NO. 3, STAGE 1",0
DR-30 CULVERT REPAIR & EMBANKMENT STABILIZATION,5020,4000,0,0,0,,400,WATER QUALITY PRESERVATION,0
MULTI COMPONENT RENOVATIONS - EC253,9367,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
FUNDING FOR REHABILITATION AND CAPITAL REPAIRS TO NYCHA DEVELOPMENTS,2200000,200000,200000,0,800000,,250000,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
WATERPROOFING - EC276,3814,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
"MODIFICATION OF CHAMBERS AT HILL VIEW RES IN CONNECTION WITH THE CONSTOF CITY TUNNEL NO 3, STAGE 1, GENERAL, ELECTRICAL, PLUMBING",426508,0,0,0,303500,VALVE CHAMBERS AT HILL VIEW RESERVOIR (UPSTATE),36000,"CITY TUNNEL NO. 3, STAGE 1",0
MULTI - COMPONENT RENOVAITONS - EC 227,10307,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
WTO TRAINING SITES,2000,1000,0,0,0,,1000,WATER QUALITY PRESERVATION,0
REMOVAL AND REPLACEMENT OF HEAVY STEEL DOORS AT VARIOUS WATER SUPPLY STRUCTURES IN THE EAST-OF-HUDSON WATER SUPPLY DISTRICT,4735,0,0,0,0,VARIOUS LOCATIONS THROUGHOUT THE EAST-OF-HUDSON WATER SUPPLY DISTRICT,0,WATER QUALITY PRESERVATION,0
COMPLETE REPLACEMENT OF BEAMS AN CONRETE FLOOR AT THE GARAGE FACILITY,2080,0,0,0,0,"ASHOKAN GARAGE, SHOKAN, ULSTER COUNTY, NY",0,WATER QUALITY PRESERVATION,0
ROCKAWAY BOARDWALK - WATER MAIN IMPROVEMENT,2780,0,1390,0,0,,0,MISCELLANEOUS,0
"JOB ORDER CONTRACTING FOR PLUMBING WORK IN REGION SOUTH (NEWTOWN CREEK, NORTH RIVER, OAKWOOD BEACH, PORT RICHMOND,  AND RED HOOK,",65555,0,0,0,0,VARIOUS LOCATIONS - CITY-WIDE,0,PLANT UPGRADING AND RECONSTRUCTION,0
CITYWIDE FERRY SERVICE FERRY PURCHASE (4),11600,0,0,0,0,,0,WATERFRONT DEVELOPMENT,0
PROCUREMENT CONTRACT FOR JOB ORDER CONTRACTING - CITYWIDE FOR THE BUREAU OF WATER & SEWER OPERATIONS,49050,2980,2360,0,12900,,4000,PLANT UPGRADING AND RECONSTRUCTION,0
RAISE SHORELINE PHASE 1,25941,0,0,0,0,,0,MISCELLANEOUS ENERGY EFFICIENCY AND SUSTAINABILITY,0
THIS PROJECT IS TO REPLACE GREENHOUSE SUPERSTRUCTURE OVER 6 SLUDGE DRYING BEDS AT THE MARGARETVILLE WASTEWATER TREATMENT PLANT (MVWWTP).,2436,0,0,0,0,,0,WATER QUALITY PRESERVATION,0
ADA REHAB,2998,0,0,0,0,,0,RECONSTRUCTION OF FERRY TERMINAL FACILITIES,0
FY21 CITYWIDETREE GUARDS,149,0,0,0,0,FY21 CITYWIDETREE GUARDS,0,LAND ACQUISITION AND TREE PLANTING,0
CROTON LAKE GATE HOUSE HVAC,2000,0,0,0,0,,2000,WATER QUALITY PRESERVATION,0
EASTVIEW MAINTENANCE SHOP,5000,5000,0,0,0,,0,WATER QUALITY PRESERVATION,0
TENANT IMPROVEMENT FUND - 100K JOBS PLAN,7500,0,6300,0,0,,0,INDUSTRIAL DEVELOPMENT,0
ROOF AND WATERPROOFING PROJECT - EC202,1549,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
HEATING SYSTEM IMPROVEMENTS AT NYCHA DEVELOPMENTS CITYWIDE,198863,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
DESIGN COSTS FOR DEEP SEWER MANHOLES,25000,10000,13000,0,0,,0,REPLACEMENT OR AUGMENTATION OF EXISTING SYSTEMS,0
"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",83069,0,0,0,83069,,0,PLANT UPGRADING AND RECONSTRUCTION,0
,9876,0,0,0,0,,0,CONSERVATION FOR WATER METER REPLACEMENTS,0
MULTI COMPONENT RENOVATIONS - EC153,3069,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
REPLACEMENT OF THE BAPTIST CHURCH ROAD BRIDGE,22647,0,0,0,20000,,0,WATER QUALITY PRESERVATION,0
"ARCADY ROAD IS LOCATED IN WESTCHESTER COUNTY, NY ADJACENT TO THE CROTON RESERVOIR. THIS CONSTRUCTION CONTRACT IS FOR THE RECONSTRUCTION OF APPROXIMATELY 1 MILE OF ROADWAY AND REPLACEMENT/RECONSTRUCTION OF ALL DRAINAGE CULVERTS AND GUIDE RAILING.  A PORTION OF THE EXISTING ROADWAY IS COLLAPSED (DUE TO TROPICAL STORM FLOYD IN 1999) AND THE ROAD IS CURRENTLY CLOSED TO TRAFFIC.  THIS SECTION OF ROADWAY WILL NEED TO BE RECONSTRUCTED AND STABILIZED.",8000,6000,0,0,0,,0,WATER QUALITY PRESERVATION,0
FAD - FLOOD HAZARD MITIGATION,23000,0,0,0,0,,0,FILTRATION AVOIDANCE DETERMINATION,0
"THIS PROJECT WILL CONSTRUCT A NEW BUILDING FOR THE DEP POLICE AT THE HILLVIEW RESERVOIR, TO SERVE AS A MORE PERMANENT SITE FOR THE DEP HILLVIEW POLICE PRECINCT. THIS NEW FACILITY IS CURRENTLY ESTIMATED TO BE APPROXIMATELY 11,000 SQUARE FEET OF BUILDING SPACE AND CONTAINS PROGRAMMABLE SPACE FOR ADMINISTRATIVE, INVESTIGATIVE, AND TRAINING PURPOSES. THE FACILITY WILL ALSO BE FULLY EQUIPPED WITH CLOSED-CIRCUIT TELEVISION MONITORING AND ACCESS CONTROL. SOME OF THE SPACES IN THE FACILITY INCLUDE, BUT ARE NOT LIMITED TO, A PRISONER PROCESSING AREA, A HAZARDOUSMATERIALS CLEAN-UP STATION, OFFICE SPACES FOR COMMANDING OFFICERS, A TRAINING ROOM, A CONFERENCE ROOM, LOCKER ROOMS AND LAVATORIES, A GENERAL STORAGE ROOM, AND AN ATTACHED GARAGE.",24100,14000,0,0,0,,2100,WATER QUALITY PRESERVATION,0
21ST CENTURY DEPARTMENT OF CORRECTION PLAN,8684162,2226316,2201113,0,2901284,,823263,New Jail Facilities,0
REPLACEMENT OF ESOPUS AND ROUTE 28A RAILROAD BRIDGES,88093,0,72000,0,0,REPLACEMENT OF ESOPUS AND ROUTE 28A RAILROAD BRIDGES,0,DAM SAFETY PROGRAM,0
BUILDING FACADE WORK AT VARIOUS DEVELOPMENTS,40102,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING REHAB/RECONSTRUCTION,0
MOLD REMOVAL AT VARIOUS DEVELOPMENTS,1301139,111000,111000,0,334000,,111000,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
FEMALE FIREFIGHTER TOILET UPGRADE - EC24,4029,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",38777,0,0,0,35000,,3777,PLANT UPGRADING AND RECONSTRUCTION,0
ROOF AND WATERPROOFING PROJECT - EC46,1737,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
REPAIRS TO EDC-MANAGED CITY-OWNED PROPERTY CAUSED BY HURRICANE SANDY,11570,0,11570,0,0,,0,MISCELLANEOUS,0
KINGSTON FACILITY UPGRADES & REPAIRS,30000,2300,23000,0,0,,0,WATER QUALITY PRESERVATION,0
CLEANYC - GRAFFITI FREE TRUCKS,2760,0,400,0,0,,203,MISCELLANEOUS,0
PAMOJA - BOILER,11043,0,0,0,0,,9940,SHELTERS FOR HOMELESS INDIVIDUALS,0
HURRICANE SANDY HAZMAT MITIGATION-EC265,193,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
DOWNSVILLE WATER CONNECTION,365,0,0,0,0,,255,WATER QUALITY PRESERVATION,0
RECONSTRUCTION GRAND GORDE WWTP,1700,0,0,0,0,,1700,MISCELLANEOUS IMPROVEMENTS UPSTATE,0
EXPAND CAPACITY IN EXISTING CLINICS AND BUILD NEW CLINICS IN UNDERSERVED AREAS.,104661,0,0,0,0,,52473,ROUTINE RECONSTRUCTION,0
SHAFT 17 ELEVATOR REPLACEMENT,300,0,0,0,0,,0,WATER QUALITY PRESERVATION,0
PURCHASE AND INSTALLATION OF TRAVELING SCREENS AT SHAFT 18,5000,0,0,0,0,,5000,WATER QUALITY PRESERVATION,0
"REPLACEMENT OF DOE SCHOOLS TOILETS AND URINALS WITH HIGH EFFICIENCY MODELS, CITYWIDE PROGRAM",11593,0,0,0,0,,0,WATER FOR THE FUTURE,0
DA/CA FASTENERS REPLACMENT & RISER VALVE OPERATORS,10500,8000,0,0,0,,2000,WATER QUALITY PRESERVATION,0
FORT TOTEN DEMOLITION,2719,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
RENOVATION,1000,0,0,0,0,,0,ESSENTIAL RECONSTRUCTION OF FACILITIES,0
"GAS RISERS, STEAM DISTRIBUTION, CONDENSATE LINES, CITYWIDE",73533,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
DEP- DEMAND CONTROLLED VENTILATION UPGRADE,248,0,0,0,0,,0,"BUILDING CONSTRUCTION, RECONSTRUCTION OR RETROFIT",0
BATHROOM RENOVATION,37118,0,0,0,0,,0,POLICE FACILITIES,0
"JOB ORDER CONTRACTING FOR GENERAL CONSTRUCTION /PLUMBING/HVAC AND ELECTRICAL WORK IN VARIOUS REGIONS IN NORTH, SOUTH,  AND EAST AT THE VARIOUS WASTEWATER TREATMENT PLANTS, CITY-WIDE",64310,0,0,0,0,"VARIOUS LOCATIONS, CITY-WIDE",0,PLANT UPGRADING AND RECONSTRUCTION,0
,845,0,0,0,0,,0,ELECTRONICS AND DATA PROCESSING,0
HYDRAULIC INVESTIGATION-RONDOUT-WEST BRANCH TUNNEL,62481,0,0,0,0,HYDRAULIC INVESTIGATION-RONDOUT-WEST BRANCH TUNNEL,2000,WATER FOR THE FUTURE,0
DEVELOPMENT,194807,0,0,0,0,MANHATTAN,0,PORT DEVELOPMENT,0
"CITY TUNNELS1 & 2, REPLACE VENTURI LINES @ SHAFTS",965,0,0,0,0,,965,"CITY TUNNEL NO. 1, RECONSTRUCTION",0
"THE PROJECT INVOLVES IMPROVEMENTS TO INCREASE THE CAPACITY OF UPPER CATSKILL AQUEDUCT,UP TO 60 MGD, WHICH EXTENDS APPROXIMATELY 74 MILES FROM ASHOKAN RESERVOIR TO KENSICO RESERVOIR.",229095,0,0,0,0,"THE PROJECT INVOLVES IMPROVEMENTS TO INCREASE THE CAPACITY OF UPPER CATSKILL AQUEDUCT,UP TO 60 MGD, WHICH EXTENDS APPROXIMATELY 74 MILES FROM ASHOKAN RESERVOIR TO KENSICO RESERVOIR.",482,WATER FOR THE FUTURE,0
WILLIAMSBURG FERRY SHELTERS,499,0,0,0,0,,400,MISCELLANEOUS,0
MERRIMAN DAM & RONDOUT RESERVOIR INTAKE & EFFLUENT CHAMBER,25600,20000,0,0,0,UPSTATE,0,DAM SAFETY PROGRAM,0
DEVELOPMENT OF HYDROELECTRIC CANNONSVILLE DAM. INCL P'WRHSE,8000,8000,0,0,0,,0,WATER QUALITY PRESERVATION,0
ESTIMATES,2372,0,0,0,0,,0,POLICE FACILITIES,0
UV FOUNDATION DRAIN MH PHASE 2,1300,0,0,0,0,,1300,WATER QUALITY PRESERVATION,0
"THIS IS A CENTRAL OFFICE INITIATIVE MANAGED BY THE OFFICE OF FACILITIES DEVELOPMENT, WORKING WITH ENTERPRISE IT SERVICES MANAGEMENT, TO UPGRADE THE IMMEDIATE DISTRIBUTION FRAME (IDF) AND MEDIUM DISTRIBUTION FRAME (MDF) ROOMS AT VARIOUS FACILITIES THROUGHOUT THE PUBLIC HEALTH CARE SYSTEM.",25074,15734,0,0,0,CORPORATE-WIDE,0,ROUTINE RECONSTRUCTION,0
REDEVELOPMENT,10732,0,0,0,1000,,0,COMMERCIAL DEVELOPMENT,0
AQUEDUCT RESTORATION AT LAKE STREET - EOH,2500,0,0,0,0,,2500,WATER QUALITY PRESERVATION,0
AIR MONITORING ANALYSIS,1500,0,0,0,0,,0,FACILITY PURCHASES AND RECONSTRUCTION,0
RENOVATE VARIOUS HEALTH CENTERS,26968,0,0,0,22408,,0,CLINIC RENOVATION AND REHABILITATION,0
EDTO VALVE,800,0,0,0,0,,0,WATER QUALITY PRESERVATION,0
KENSICO WATERFOWL FACILITY CONSTRUCTION & PAVING,8100,0,0,0,0,,0,WATER QUALITY PRESERVATION,0
HOUSING FUND,341997,126837,100955,0,0,,114205,NEIGHBORHOOD REVITALIZATION,0
MODIFICATION OF FACILITY 'S ENTRANCE TO ENSURE COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT (ADA).,5011,0,0,0,0,,0,BUILDING SYSTEMS AND INFRASTRUCTURE,0
INSTALL EXTERNAL COMPACTORS AND BULK CRUSHERS,10050,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
REPLACEMENT OF DIVIDING WEIR BRIDGE,266000,0,0,0,265000,"CATSKILLS, UPSTATE",0,DAM SAFETY PROGRAM,0
"JOB ORDER CONTRACTING FOR GENERAL CONSTRUCTION/PLUMBING/HVAC/ AND ELECTRICAL WORK IN VARIOUS REGIONS NORTH, SOUTH, AND EAST AT THE VARIOUS WPCPS CITY-WIDE",70849,0,0,0,0,VARIOUS LOCATIONS,0,PLANT UPGRADING AND RECONSTRUCTION,0
DISTRICT HEALTH CENTER RENOVATION,1600,0,0,0,0,,0,CLINIC RENOVATION AND REHABILITATION,0
IMPROVED LIGHTING FOR NYCHA PARKS -- LIGHTING IN THE PARK AREAS OF ELLIOT-CHELSEA AND FULTON HOUSES TO MAKE PLAY AREAS SAFE AND SECURE.,600,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
EXTERIOR SITE LIGHTING UPGRADES AT VARIOUS DEVELOPMENTS,55499,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
,19842,0,0,0,0,,12563,OCME,0
GAS RISERS,8689,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
REPLACEMENT OF RELEASE CHAMER VALVE AT EAST DELAWARE.,11190,0,10000,0,0,,0,MISCELLANEOUS IMPROVEMENTS UPSTATE,0
RESURFACING SCHOHARIE ROADS WEST AND BEARKILL BRIDGE,9888,0,0,0,0,UPSTATE,0,DAM SAFETY PROGRAM,0
BWS JOC CONTRACTS (E-O-H & W-O-H),54720,6220,0,0,48500,,0,WATER QUALITY PRESERVATION,0
WOH CATSKILL ACQUEDUCT  CHAMBERS REHABILITATION & RESTORATION,25074,0,1990,0,19900,,3184,WATER QUALITY PRESERVATION,0
ELEVATOR REHABILITATION,2500,0,0,0,0,VARIOUS CITYWIDE,0,POLICE FACILITIES,0
LOAN REPAYMENT FOR CONSTRUCTION OF CWC OFFICE BUILDING,15000,0,0,0,0,,0,FILTRATION AVOIDANCE DETERMINATION,0
INSTALL INSTANTANEOUS HOT WATER HEATERS AT VARIOUS DEVELOPMENTS,29471,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
ELECTRICAL,404,0,0,0,0,,0,POLICE FACILITIES,0
GILBOA HLO,15000,2000,0,0,11000,,2000,WATER QUALITY PRESERVATION,0
KENSICO SPILLWAY CRACK RECONSTRUCTION,4000,4000,0,0,0,,0,WATER QUALITY PRESERVATION,0
"ADA RELATED WORK,PLUMBING",600,0,0,0,0,"PIER 11, MANHATTAN",92,RECONSTRUCTION OF FERRY TERMINAL FACILITIES,0
MOBLE BOILERS AT VARIOUS NYCHA DEVELOPMENTS CITIWIDE,9300,0,0,0,0,CITIWIDE,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
ESTIMATE,2908,0,0,0,0,,2408,POLICE FACILITIES,0
REPLACEMENT/REHABILITATION OF HONK FALLS DAM,18266,0,0,0,0,,0,DAM SAFETY PROGRAM,0
"BEAUTIFICATION OF QUEENSBRIDGE HOUSES AND WOODSIDE HOUSES -- FUNDING FOR ADDITIONAL LIGHTING NEAR GARDENS AND RENOVATION OF GARDENS INCLUDING BUT NOT LIMITED TO BENCHES, PATHWAYS, FENCING AND OTHER CAPITALLY ELIGIBLE WORK.",600,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
"RENOVATION PROJECTS FOR FIELD OFFICES: PAINTING, NEW FLOORING, NEW CEILING SYSTEMS, AS WELL AS, PURCHASE AND INSTALLATION OF NEW MODULAR SYSTEMS FURNITURE AND ASSOCIATED EQUIPMENT",6784,0,1332,0,5149,,0,SOCIAL SERVICE BUILDINGS,0
ESTIMATE,487,0,0,0,0,,0,POLICE FACILITIES,0
RANDALL'S ISLAND WATER TANK REPLACEMENT,1193,0,0,0,0,,0,NEW FACILITIES AND RENOVATIONS,0
PROCUREMENT CONTRACT FOR JOB ORDER CONTRACTING-UPSTATE,64904,3600,0,0,0,,160,WATER QUALITY PRESERVATION,0
SQ FT,701,0,0,0,0,,0,"BUILDING CONSTRUCTION, RECONSTRUCTION OR RETROFIT",0
INDUSTRIAL FUND,11200,0,0,0,0,,10000,INDUSTRIAL DEVELOPMENT,0
MAHOPAC WWTP - EQUIPMENT REPLACEMENT & FACILITY REHAB.,6540,750,750,0,750,,900,WATER QUALITY PRESERVATION,0
GI - FUNDING FOR HPD GREEN INFRASTRUCTURE PROJECTS,1500,1000,0,0,500,,0,GREEN INFRASTRUCTURE PROGRAM,0
CYCLIC EQUIPMENT REPLACEMENT FOR WTO,3000,0,0,0,0,,0,WATER QUALITY PRESERVATION,0
HILLVIEW POLICE PRECINCT,2000,0,0,0,0,,0,WATER QUALITY PRESERVATION,0
CONVERSION OF KENSICO LAB TO EOH OPERATIONS HQ,6300,0,0,0,0,,6300,WATER QUALITY PRESERVATION,0
CITYWIDE FACILITIES AND EQUIPMENT UPGRADES IN OUT YEARS,15688,0,31,0,15657,CITYWIDE,0,SOCIAL SERVICES BUILDINGS,0
CITYWIDE REPAIRS,11084,0,0,0,0,,0,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,0
"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",14400,0,0,0,0,,0,PLANT UPGRADING AND RECONSTRUCTION,0
PAVING OF ROADWAY AT HILLVIEW COMPLEX,600,0,0,0,0,,600,WATER QUALITY PRESERVATION,0
SECURITY GATE CONSTRUCTION AT SIX LOCATIONS IN DELAWARE DISTRICT,3000,3000,0,0,0,,0,WATER QUALITY PRESERVATION,0
DELAWARE CHAMBERS HVAC IMPROVEMENT,500,0,0,0,0,,500,WATER QUALITY PRESERVATION,0
DELAWARE-RONDOUT AQUEDUCT (PARALLEL TUNNEL TO RWBT).,1076476,0,0,0,0,UPSTATE,0,WATER FOR THE FUTURE,0
ESTIMATE,3268,0,0,0,0,,3000,POLICE FACILITIES,0
