project_id,project_descr,boro,delay_desc,orig_bud_amt,noncity_yr2_plan,budget_line,fy_yr1_plan,noncity_plan_total
CSO-UPGRD,UPGRADES AT CSO FACILITIES,CITYWIDE,,20000,0,WP-0169,2020,0
FMC-LEAD,LEAD PAINT ABATEMENT & REMOVAL,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,1986,0,EP-0006,2020,0
CAT-399,CA Hudson River Drainage Chamber,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,2000,0,WM-0030,2020,0
C-591,Hillview Reservoir Dry Scrubbers - Downtake Chambers 1 & 2,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,2875,0,W-0010,2020,0
CRO-611,BWS Emergency Services Contract,CITYWIDE,,9000,0,WM-0030,2020,0
F175TOI24,Female Firefighter Toilet Upgrade - EC24,CITYWIDE,,1348,0,F-0175,2020,0
INFRANEIG,Neighborhood Fund,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,630821,0,ED-0384,2020,0
JOC-12-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH, & EAST",CITYWIDE,,119798,0,WP-0112,2020,0
HAM20DMSC,SENIOR CENTER RENOVATION- DYCKMAN AND MARBLE HILL,CITYWIDE,,2000,0,HA-D001,2020,0
PO79BMAHY,"BOILERS AT 26TH, 42ND & 46TH PRECINCTS",CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,1258,0,PO-0079,2020,0
DEL-395,DELAWARE CHAMBERS HVAC IMPROVEMENT,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,500,0,WM-0030,2020,0
HAM20WMEX,WASTE MANAGEMENT EXTERIOR COMPACTORS,CITYWIDE,,1303,0,HA-D001  HA-0001,2020,0
CAT-210,CAT/DEL UV LIGHT TREATMENT FACILITIES,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,904233,0,WM-0030,2020,0
HAM16MRVR,ROOF WORK TO PREVENT MOLD  AT VARIOUS DEVELOPMENTS,CITYWIDE,,300000,0,HA-0001,2020,0
EE-RRC,TRC - RESIDUAL CHLORINE REDUCTION PROGRAM,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,76848,0,WP-0282,2020,0
C5234A,Pier 11 Intermodal Ferry,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,600,0,FA-0027,2020,0
CLEANYC,CleaNYC - Graffiti Free Trucks,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,2500,0,ED-0075,2020,0
CAT-455,RECONSTRUCTION TANNERSVILLE WWTP,CITYWIDE,,1700,0,WM-0030,2020,0
PO79FATS,FIREARMS TACTICAL TRAINING CENTERS,CITYWIDE,,9614,0,PO-0079,2020,0
CRO-610,Paving of Roadway at Hillview Complex,CITYWIDE,,600,0,WM-0030,2020,0
RS-PH1,Raise Shoreline- Phase 1,CITYWIDE,,17883,0,PU-0100  HW-0001,2020,0
SAND000,Project Management for NYC Health + Hospitals Sandy Projects,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,57008,0,HO-0214,2020,57016
CRO-570,HILLVIEW MAINTENANCE SHOP,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,5000,0,WM-0030,2020,0
JOC-15BWS,Facilities Improvement Program,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,44160,0,WM-0030  WM-0011  WM-0105,2020,0
CAT-178,REPLACEMENT OF DIVIDING WEIR BRIDGE,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,55400,0,WM-0030,2020,0
F175MC153,MULTI COMPONENT RENOVATIONS - EC153,CITYWIDE,,3070,0,F-0175,2020,0
INDUSFUND,Industrial Fund,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,41000,0,ED-0404,2020,0
F175MC253,MULTI COMPONENT RENOVATIONS - EC253,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,4471,0,F-0175,2020,0
F175WPE46,Roof and Waterproofing Project - EC46,CITYWIDE,,1698,0,F-0175,2020,0
PO79BMAHI,"BOILER REPLACEMENT AT 68TH, 76TH AND 102ND PCTS",CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,1430,0,PO-0079,2020,0
HAM18PNAP,Gas Risers,CITYWIDE,,9558,0,HA-0001,2020,0
DEL-SHFT4,Dependability- Connection from Del Aqueduct to Cat Aqueduct,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,57000,0,W-0005,2020,0
CRO-546,Amawalk Dam Ogee Spillway Replacement,CITYWIDE,,3000,0,WM-0030,2020,0
AIR-MON2,Air Monitoring Analysis,CITYWIDE,,1500,0,EP-0006,2020,0
HAM18RAEX,EXTERNAL COMPACTORS-BULK CRUSHERS,CITYWIDE,,10982,0,HA-0001,2020,0
DEL-434,DAM STABILITY IMPROVEMENTS,CITYWIDE,,19500,0,WM-0030,2020,0
SCA29,SCA29,CITYWIDE,,0,0,E-2365,2019,0
PO79BMAKM,PSA4 HVAC,CITYWIDE,,2908,0,PO-0079,2021,0
F175EMS4M,MULTI COMPONENT RENOVATIONS - EMS 4,CITYWIDE,PROJECT DELAYED PENDING RESOLUTION OF LEGAL ISSUES,3576,0,F-0175,2020,0
CRO-609,Cyclic Equipment Replacement for WTO,CITYWIDE,,3000,0,WM-0030,2020,0
CAT-475,GILBOA HLO,CITYWIDE,,14500,0,WM-0030,2020,0
CRO-452,WWTP - CYCLICAL EQUIPMENT REPLACEMENT,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,4500,0,WM-0030,2020,0
HAM14VAUP,Major Renovations-Brickwork and Roofs at Sotomayer Houses,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,10000,0,HA-0001  HA-D001,2020,0
C-75MISC,MISC INFRASTRUCTURE RECON,CITYWIDE,,425881,0,C-0075,2020,0
ACEDEP505,HVAC Upgrades at Margaretville WWTP,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,730,0,PU-0025,2020,0
CT315B,"CITY TUNNEL 3, REPAIR LEAK@ SHAFT 15B",CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,4000,0,W-0013,2020,0
DEL-439,Sludge Drying Greenhouse Recon. at Margaretville WWTP,CITYWIDE,,1990,0,WM-0030,2020,0
HAM20ECFL,ELLIOTT CHELSEA AND FULTON LIGHTING FOR PARKS,CITYWIDE,,600,0,HA-D001,2020,0
PASSSHIP2,Passenger Ship Terminal - Cruise Industry Develp.,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,148871,0,ED-0409,2020,7495
CAT-379,"Bureau of Police & Security Academy Renovation, Kingston",CITYWIDE,,5000,0,WM-0030,2020,0
CAT-477,Catskill Acqueduct Pressure Tunnels,CITYWIDE,,217389,0,WM-0030,2020,0
CWFSFERRY,New York City Ferry - Ferry Purchase and Upgrade,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,11600,0,ED-0409,2020,0
CRO-552,Shaft 18 Traveling Screens & Other Work,CITYWIDE,,5000,0,WM-0030,2020,0
PO79TIME,TIMES SQUARE STATION RENOVATION,CITYWIDE,,1500,0,PO-0079,2020,0
ASB-REM,Asbestos Removal,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,7900,0,EP-0006,2020,0
CAN-HYDRO,Development of Hydroelectric Cannonsville Dam. incl P'wrhse,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,138000,0,WM-0030,2020,0
HAM20QWGR,BEAUTIFICATION OF QUEENSBRIDGE HOUSES AND WOODSIDE HOUSES,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,600,0,HA-D001,2020,0
PO79BMAKN,BOILERS REPLACEMENT AT BMS & SRG4,CITYWIDE,,3000,0,PO-0079,2020,0
F204WATER,Randall's Island Water Tank Replacement,CITYWIDE,,1395,0,F-0204,2020,0
HR25EFOY,HRA FACILITIES & EQUIPMENT  OUTYEARS FOR UPGRADES,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,35921,0,HR-0025,2020,0
CAT-390,Schoharie Reservoir road improvement- NYS Rt. 990V,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,585,0,WM-0030,2020,0
JOC-28-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",CITYWIDE,,20160,0,WP-0112,2020,0
ACEDEP504,HVAC Upgrades at Grahamsville WWTP,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,470,0,PU-0025,2020,0
DEL-428,EDTO VALVE,CITYWIDE,,800,0,WM-0030,2020,0
GI-DDC,GI - DDC PROJECTS-GREEN INFRASTRUCTURE AND PUBLIC BUILDINGS,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,44202,0,WP-0169,2020,0
F1GAZ1904,Gazebo - Manholes Project on 7th Avenue & West 14th Street.,CITYWIDE,,40,0,F-0001,2020,0
FSHELTER,East River Ferry Service Passenger Shelters,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,100,0,FA-D001  FA-0027,2020,0
HAM18RSPL,"Citywide  Gas Risers, Steam Distribution, Condensate Lines",CITYWIDE,,73533,0,HA-0001,2020,0
F212-COOL,Power and Cooling for Data Center 11 MetroTech,CITYWIDE,,845,0,F-0212,2020,0
ACSPDF,Renovation projects for field offices,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,14821,0,CS-0003,2020,0
HAM19DGV2,DIGITAL VAN,CITYWIDE,,160,0,HA-M001,2020,0
CRO-536,EOH Dam Facing,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,21000,0,WM-0030,2020,0
CAT-431,CATSKILL AQUEDUCT RECONST.-KENSICO TO HILVIEW,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,59032,0,WM-0030,2020,0
AIR-MON1,Air Monitoring Analysis,CITYWIDE,,1500,0,EP-0006,2020,0
CRO-551,Conversion of Kensico Lab to EOH Operations HQ,CITYWIDE,,5000,0,WM-0030,2020,0
JOC-20-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,34594,0,WP-0112,2020,0
F175MC227,Multi - Component Renovaitons - EC 227,CITYWIDE,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,7148,0,F-0175,2020,0
HAM18CDCP,BUILDING IMPROVEMENTS,CITYWIDE,,2200000,0,HA-0001,2020,0
JOC-17-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",CITYWIDE,,121700,0,WP-0112,2020,0
PO79BMAKM,PSA4 HVAC,CITYWIDE,,2908,0,PO-0079,2020,0
ARKVILLE,Catskill Watershed Corporation Arkville Office,CITYWIDE,,15000,0,WM-0030,2020,0
PO79-ADA,ADA COMPLIANCE RENOVATIONS AT NYPD PRECINCTS,CITYWIDE,,29337,0,PO-0079,2020,0
CAT-213,ASHOKAN RESERVOIR/OLIVE BRIDGE DAM & UPPER/LOWER OUTLET& SCR,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,110000,0,WM-0030,2020,0
HAM18IHWH,INSTANTANEOUS HOT WATER HEATERS,CITYWIDE,,7642,0,HA-0001,2020,0
CRO-558,Aqueduct Restoration at Lake Street - EOH,CITYWIDE,,3500,0,WM-0030,2020,0
SANDY4-03,Sandy - Rockaway Beach: Long-Term RC,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,341379,0,P-1018,2020,328206
C5234,Pier 11 Intermodal Ferry,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,19350,0,FA-0027,2020,4067
HAM15HMLS,HOMELESS INITIATIVE,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,16940,0,HA-0001,2020,0
HAM19MOCJ,Installation of LED Exterior Lighting Citywide,CITYWIDE,,12478,0,HA-0001,2020,0
GI-HPD,GI - FUNDING FOR HPD GREEN INFRASTRUCTURE PROJECTS,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,750,0,WP-0169,2020,0
PO79BMAJZ,49TH & 115TH & MTN PCT HVAC REPLACEMENT,CITYWIDE,,2755,0,PO-0079,2020,0
JOC-26-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",CITYWIDE,,115000,0,WP-0112,2020,0
CRO-572,HILLVIEW WATERFOWL MGMT FACILITY,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,1000,0,WM-0030,2020,0
CRO-553,KENSICO SPILLWAY CRACK RECONSTRUCTION,CITYWIDE,,4000,0,WM-0030,2020,0
RBWTRMAIN,Rockaway Boardwalk - Water Main Improvement,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,1390,0,WM-0006,2020,0
JOC-16-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",CITYWIDE,,75450,0,WP-0112,2020,0
CRO-607,Shaft 17 Elevator Replacement,CITYWIDE,,300,0,WM-0030,2020,0
P-6TREGRD,FY21 CitywideTree Guards,CITYWIDE,,420,0,P-0822,2021,0
SANDCONDT,ELECTRICAL CONDUIT REPLACEMENT (SANDY),CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,30329,0,PO-0079,2020,3988
DEL-413,Security Gate Construction at Six Locations in Delaware Dist,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,1500,0,WM-0030,2020,0
PVSHEBLT1,SBLT - She Built NY Project 1,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,1000,0,PV-0467,2020,0
HAM11IHWH,INSTANTANEOUS HOT WATER HEATERS,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,25000,0,HA-0001,2020,0
DSMNH,Deep Sewer Manholes,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,3000,0,SE-0001,2020,0
HRCN100VA,Volunteers of America,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,908,0,HH-D025,2020,0
HAM18BOIL,MOBLE BOILERS AT VARIOUS NYCHA DEVELOPMENTS,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,9300,0,HA-0001,2020,0
DEL-431,EDTO & NTO TURBINE REPLACEMENT,CITYWIDE,,1,0,WM-0030,2020,0
HL82VCLIN,EMERGENCY FUNDING FOR VARIOUS CLINICS,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,41723,0,HL-0082,2020,0
DEP-DRA,DELAWARE-RONDOUT AQUEDUCT (PARALLEL TUNNEL TO RWBT),CITYWIDE,,25000,0,W-0005,2020,0
INFRAHOUS,Housing Fund,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,512172,0,ED-0075,2020,0
CAT-212,SCHOHARIE RESERVOIR/GILBOA DAM AND INTAKE/OUTLET CHAMBER,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,390807,0,WM-0030,2020,0
PO79CWAC,CITYWIDE HVAC PROGRAM,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,20800,0,PO-0079,2020,0
PSG6-7,Port Security Grant Funds,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,5469,0,ED-0075,2020,5468
DEL-134,Del Repair: HYDRAULIC INV - RONDOUT-WEST BRANCH TUNNEL,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,47385,0,WM-0030,2020,0
CA207-006,CUNY Incubator Network,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,7500,0,HN-0206,2020,0
PO79LOCK,CITYWIDE LOCKER ROOM RENOVATION,CITYWIDE,,59699,0,PO-0079,2020,0
JFK-12,WATER METER INSTALLATION AT JFK AIRPORT,CITYWIDE,,9811,0,EP-0010,2020,0
PO79BMAKF,CAC BATHROOM RENOVATION,CITYWIDE,,487,0,PO-0079,2020,0
LOWMANHUD,East River Waterfront,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,137980,0,ED-0075  SE-0002M  HW-0001M  WM-0001,2020,154567
CT3CORR,Repairs & Remediate Corrosion Issues - CT 3,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,67000,0,W-0013,2020,0
SANDHM265,HURRICANE SANDY HAZMAT MITIGATION-EC265,CITYWIDE,PROJECT DELAYED PENDING RESOLUTION OF LEGAL ISSUES,1216,0,F-0175,2020,1735
CRO-530,"Removal and reconstruction of DEP bridges, upstate watershed",CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,19000,0,WM-0030,2020,0
HAM16FACD,BUILDING FACADES,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,75000,0,HA-0001,2020,0
CRO-589,EASTVIEW MAINTENANCE SHOP,CITYWIDE,,5000,0,WM-0030,2020,0
AGRI-13,FAD 13-17 WAP and Forestry,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,42000,0,WM-0030,2020,0
CAT-OPTIM,To Increase the Capacity of Upper Catskill Aqueduct,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,139000,0,W-0005,2020,0
PO79BMAKI,"BOILERS AT MTS, HWY 3, 75 & 77 PRECINCTS",CITYWIDE,,3268,0,PO-0079,2020,0
CRO-366,"REPLACE DOORS, EAST-OF-HUDSON DISTRICT",CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,1275,0,WM-0030,2020,0
JOC-BWSO,BWSO Facilities Improvement Program,CITYWIDE,,51348,0,WM-0105,2020,0
DEL-260,DEL Shaft 18 Kensico Electrical Upgrade,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,775,0,WM-0030,2020,0
C75GENREP,"Installation of Replacement Generators RNDC, EMTC,GMDC,RMSC",CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,12540,0,C-0075,2020,0
HAM13VAEL,CITYWIDE ELEVATOR REPAIRS,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,10000,0,HA-D001  HA-0001,2020,0
CT12VENT,"CITY TUNNELS1 & 2, REPLACE VENTURI LINES @ SHAFTS",CITYWIDE,,22000,0,W-0015,2020,0
C75POWRF,Replace 5 and 27 KV Feeders,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,5950,0,C-0075,2020,0
BWS-LEAD,LEAD PAINT REMOVAL AT BWS FACILITIES,CITYWIDE,,4443,0,EP-0006,2020,0
CAT-252,REPLACEMENT OF ESOPUS AND ROUTE 28A RAILROAD BRIDGES,CITYWIDE,PROJECT DELAYED PENDING RELEASE OF NEW TECHNOLOGY,60000,0,WM-0030,2020,0
DEL-194,Merriman Dam Spillway,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,25250,0,WM-0030,2020,0
F175EMS20,EMS 20 EXPANSION AND RENOVATON,CITYWIDE,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,3000,0,F-0175,2020,0
CAT-508,DR-30 Culvert Repair & Embankment Stabilization,CITYWIDE,,5020,0,WM-0030,2020,0
HAM13GCON,GENERAL CONSTRUCTION CITYWIDE,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,4551,0,HA-0001,2020,0
IDF-SPOFF,Spofford Redevelopment,CITYWIDE,,15000,0,ED-0404,2020,0
CRO-286,CROSS RIVER AND CROTON FALLS PUMPING STATIONS,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,67500,0,W-0005,2020,0
DEL-450,Downsville Water Connection,CITYWIDE,,365,0,WM-0030,2020,0
C75ADAOBC,ADA Compliance for OBCC,CITYWIDE,,5602,0,C-0075,2020,0
PFLANDING,Rehabilitation of Ferry Landings,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,3600,0,FA-0027,2020,0
CWFSBARGE,New York City Ferry Barges,CITYWIDE,,55000,0,ED-0409,2020,0
HAM20SCD8,SECURITY CAMERAS AT NYCHA FACILITY IN DISTRICT 8,CITYWIDE,,0,0,HA-D001,2020,0
C11421STC,NEW JAIL FACILITIES,CITYWIDE,,1065627,0,C-0114,2020,0
PO79BMAHD,"BATHROOM RENO AT 67TH, 77TH AND TRAFFIC CONTROL DIVISION",CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,1407,0,PO-0079,2020,0
HAM18HEAT,HEATING SYSTEM IMPROVEMENTS AT NYCHA DEVELOPMENTS CITYWIDE,CITYWIDE,,200000,0,HA-0001,2020,0
SANDHM266,HURRICANE SANDY HAZMAT MITIGATION - EC266,CITYWIDE,PROJECT DELAYED PENDING RESOLUTION OF LEGAL ISSUES,946,0,F-0175,2020,855
F175WU299,Cellar Reconstruction - EC299,CITYWIDE,,994,0,F-0175,2020,0
CAT-454,RECONSTRUCTION GRAND GORGE WWTP,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,1700,0,WM-0030,2020,0
F175WP276,WATERPROOFING - EC276,CITYWIDE,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,2329,0,F-0175,2020,0
HL82DISHC,DISTRICT HEALTH CENTER,CITYWIDE,,1600,0,HL-0082,2020,0
JOC-BWS,BWS JOC Contracts (E-O-H & W-O-H),CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,64000,0,WM-0030,2020,0
DEL-231,CANNONSVILLE EMERGENCY GATE TOWER,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,1150,0,WM-0030,2020,0
SANDEDCAM,EDC - Hurricane Sandy - Asset Management,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,94081,0,ED-0075,2020,30294
AWT2-CARB,CONSTRUCTION OF CARBON ADDITION FACILITY AT VARIOUS WWTPs,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,123537,0,WP-0285,2020,0
CMESECURE,OCME - Agencywide Physical Security System Upgrades,CITYWIDE,,19842,0,HL-0083,2020,0
CRO-208B,NEW CROTON DAM RECONSTRUCTION,CITYWIDE,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,17000,0,WM-0030,2020,0
JOC-13-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,67980,0,WP-0112,2020,0
CRO-534,WEST BRANCH AUXILIARY DAM-CREEP REMEDIATION,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,4000,0,WM-0030,2020,0
CAT-234,"RECONSTRUCT CONCRETE BEAMS AND FLOORS, ASHOKAN GARAGE",CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,850,0,WM-0030,2020,0
02201602,UPGRADE IDF AND MDF ROOMS (LAN ENVIRONMENTALS),CITYWIDE,,8768,0,HO-0214,2020,0
PO79BATH,CITYWIDE BATHROOM RENOVATION,CITYWIDE,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,346,0,PO-0079,2020,0
