project_id,scope_text,city_yr1_plan
HAM20DMSC,"NYCHA - RENOVATION OF DYCKMAN HOUSE AND MARBLE HILL SENIOR CENTERS --CONSTRUCTION OR RENOVATION OF DYCKMAN HOUSE SENIOR CENTER 3758 10TH AVE., MANHATTAN",2000
JOC-27-L,"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",0
C5234,,43
C75GENREP,,10753
C-75MISC,MISCELLANIOUS ITEMSMISCELLANIOUS PROJECETS FOR C-75 BUDGET LINE,145
PSG6-7,PORT SECURITY GRANT FUNDS ROUND 6 & 7,0
HAM18IHWH,INSTALL INSTANTANEOUS HOT WATER  HEATERS,7642
HAM18CSVA,CONCRETE SLABS,3841
PO79-ADA,ADA COMPLIANCE RENOVATION AT NYPD PRECINTS,8000
CAT-213,ASHOKAN RESERVIOR/OLIVE BRIDGE DAM & UPPER/LOWER OUTLET& SCREEN CHAMBERS RECONSTRUCTION,4158
CRO-286,DESIGN FOR CROSS RIVER AND CROTON FALLS PUMPING STATIONS,282
PO79BMAHD,BATHROOM RENOVATION,53
CAT-477,TUNNEL WORK,0
FMC-LEAD,LEAD PAINT ABATEMENT & REMOVAL,6284
C-591,HILLVIEW DRY SCRUBBER,0
CAT-508,DR-30 CULVERT REPAIR & EMBANKMENT STABILIZATION,0
F175MC253,MULTI COMPONENT RENOVATIONS - EC253,728
HAM18CDCP,FUNDING FOR REHABILITATION AND CAPITAL REPAIRS TO NYCHA DEVELOPMENTS,500000
F175WP276,WATERPROOFING - EC276,300
C519,"MODIFICATION OF CHAMBERS AT HILL VIEW RES IN CONNECTION WITH THE CONSTOF CITY TUNNEL NO 3, STAGE 1, GENERAL, ELECTRICAL, PLUMBING",0
F175MC227,MULTI - COMPONENT RENOVAITONS - EC 227,504
CRO-608,WTO TRAINING SITES,0
CRO-366,REMOVAL AND REPLACEMENT OF HEAVY STEEL DOORS AT VARIOUS WATER SUPPLY STRUCTURES IN THE EAST-OF-HUDSON WATER SUPPLY DISTRICT,129
CAT-234,COMPLETE REPLACEMENT OF BEAMS AN CONRETE FLOOR AT THE GARAGE FACILITY,308
RBWTRMAIN,ROCKAWAY BOARDWALK - WATER MAIN IMPROVEMENT,0
JOC-12-L,"JOB ORDER CONTRACTING FOR PLUMBING WORK IN REGION SOUTH (NEWTOWN CREEK, NORTH RIVER, OAKWOOD BEACH, PORT RICHMOND,  AND RED HOOK,",63
CWFSFERRY,CITYWIDE FERRY SERVICE FERRY PURCHASE (4),0
JOC-BWSO,PROCUREMENT CONTRACT FOR JOB ORDER CONTRACTING - CITYWIDE FOR THE BUREAU OF WATER & SEWER OPERATIONS,2880
RS-PH1,RAISE SHORELINE PHASE 1,25941
DEL-439,THIS PROJECT IS TO REPLACE GREENHOUSE SUPERSTRUCTURE OVER 6 SLUDGE DRYING BEDS AT THE MARGARETVILLE WASTEWATER TREATMENT PLANT (MVWWTP).,2436
PFLANDING,ADA REHAB,75
P-6TREGRD,FY21 CITYWIDETREE GUARDS,149
CRO-410,CROTON LAKE GATE HOUSE HVAC,0
CRO-589,EASTVIEW MAINTENANCE SHOP,0
TENANTIMP,TENANT IMPROVEMENT FUND - 100K JOBS PLAN,1200
F175WP202,ROOF AND WATERPROOFING PROJECT - EC202,0
HAM18HEAT,HEATING SYSTEM IMPROVEMENTS AT NYCHA DEVELOPMENTS CITYWIDE,75109
DSMNH,DESIGN COSTS FOR DEEP SEWER MANHOLES,2000
JOC-29-L,"JOB ORDER CONTRACTING WORK IN REGIONS NORTH, SOUTH & EAST",0
JFK-12,,1290
F175MC153,MULTI COMPONENT RENOVATIONS - EC153,2725
CRO-530,REPLACEMENT OF THE BAPTIST CHURCH ROAD BRIDGE,0
CRO-509,"ARCADY ROAD IS LOCATED IN WESTCHESTER COUNTY, NY ADJACENT TO THE CROTON RESERVOIR. THIS CONSTRUCTION CONTRACT IS FOR THE RECONSTRUCTION OF APPROXIMATELY 1 MILE OF ROADWAY AND REPLACEMENT/RECONSTRUCTION OF ALL DRAINAGE CULVERTS AND GUIDE RAILING.  A PORTION OF THE EXISTING ROADWAY IS COLLAPSED (DUE TO TROPICAL STORM FLOYD IN 1999) AND THE ROAD IS CURRENTLY CLOSED TO TRAFFIC.  THIS SECTION OF ROADWAY WILL NEED TO BE RECONSTRUCTED AND STABILIZED.",0
FADFLOOD,FAD - FLOOD HAZARD MITIGATION,0
HVR-500,"THIS PROJECT WILL CONSTRUCT A NEW BUILDING FOR THE DEP POLICE AT THE HILLVIEW RESERVOIR, TO SERVE AS A MORE PERMANENT SITE FOR THE DEP HILLVIEW POLICE PRECINCT. THIS NEW FACILITY IS CURRENTLY ESTIMATED TO BE APPROXIMATELY 11,000 SQUARE FEET OF BUILDING SPACE AND CONTAINS PROGRAMMABLE SPACE FOR ADMINISTRATIVE, INVESTIGATIVE, AND TRAINING PURPOSES. THE FACILITY WILL ALSO BE FULLY EQUIPPED WITH CLOSED-CIRCUIT TELEVISION MONITORING AND ACCESS CONTROL. SOME OF THE SPACES IN THE FACILITY INCLUDE, BUT ARE NOT LIMITED TO, A PRISONER PROCESSING AREA, A HAZARDOUSMATERIALS CLEAN-UP STATION, OFFICE SPACES FOR COMMANDING OFFICERS, A TRAINING ROOM, A CONFERENCE ROOM, LOCKER ROOMS AND LAVATORIES, A GENERAL STORAGE ROOM, AND AN ATTACHED GARAGE.",0
C11421STC,21ST CENTURY DEPARTMENT OF CORRECTION PLAN,139835
CAT-252,REPLACEMENT OF ESOPUS AND ROUTE 28A RAILROAD BRIDGES,12
HAM16FACD,BUILDING FACADE WORK AT VARIOUS DEVELOPMENTS,77
HAM16MRVR,MOLD REMOVAL AT VARIOUS DEVELOPMENTS,239811
F175TOI24,FEMALE FIREFIGHTER TOILET UPGRADE - EC24,390
JOC-20-L,"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",0
F175WPE46,ROOF AND WATERPROOFING PROJECT - EC46,1504
SANDEDCAM,REPAIRS TO EDC-MANAGED CITY-OWNED PROPERTY CAUSED BY HURRICANE SANDY,0
CAT-379,KINGSTON FACILITY UPGRADES & REPAIRS,0
CLEANYC,CLEANYC - GRAFFITI FREE TRUCKS,0
HH112PJBO,PAMOJA - BOILER,0
SANDHM265,HURRICANE SANDY HAZMAT MITIGATION-EC265,173
DEL-450,DOWNSVILLE WATER CONNECTION,0
CAT-454,RECONSTRUCTION GRAND GORDE WWTP,0
02201601,EXPAND CAPACITY IN EXISTING CLINICS AND BUILD NEW CLINICS IN UNDERSERVED AREAS.,7000
CRO-607,SHAFT 17 ELEVATOR REPLACEMENT,0
CRO-552,PURCHASE AND INSTALLATION OF TRAVELING SCREENS AT SHAFT 18,0
DOERETRO,"REPLACEMENT OF DOE SCHOOLS TOILETS AND URINALS WITH HIGH EFFICIENCY MODELS, CITYWIDE PROGRAM",0
DEL-397,DA/CA FASTENERS REPLACMENT & RISER VALVE OPERATORS,0
F204-DEMO,FORT TOTEN DEMOLITION,2719
PVSHEBLT1,RENOVATION,1000
HAM18RSPL,"GAS RISERS, STEAM DISTRIBUTION, CONDENSATE LINES, CITYWIDE",73533
ACEDEP701,DEP- DEMAND CONTROLLED VENTILATION UPGRADE,248
PO79BATH,BATHROOM RENOVATION,543
JOC-16-L,"JOB ORDER CONTRACTING FOR GENERAL CONSTRUCTION /PLUMBING/HVAC AND ELECTRICAL WORK IN VARIOUS REGIONS IN NORTH, SOUTH,  AND EAST AT THE VARIOUS WASTEWATER TREATMENT PLANTS, CITY-WIDE",7963
F212-COOL,,845
DEL-134,HYDRAULIC INVESTIGATION-RONDOUT-WEST BRANCH TUNNEL,0
PASSSHIP2,DEVELOPMENT,0
CT12VENT,"CITY TUNNELS1 & 2, REPLACE VENTURI LINES @ SHAFTS",0
CAT-OPTIM,"THE PROJECT INVOLVES IMPROVEMENTS TO INCREASE THE CAPACITY OF UPPER CATSKILL AQUEDUCT,UP TO 60 MGD, WHICH EXTENDS APPROXIMATELY 74 MILES FROM ASHOKAN RESERVOIR TO KENSICO RESERVOIR.",15245
FSHELTER,WILLIAMSBURG FERRY SHELTERS,18
DEL-194,MERRIMAN DAM & RONDOUT RESERVOIR INTAKE & EFFLUENT CHAMBER,572
CAN-HYDRO,DEVELOPMENT OF HYDROELECTRIC CANNONSVILLE DAM. INCL P'WRHSE,0
PO79BMAJZ,ESTIMATES,2372
CRO-594,UV FOUNDATION DRAIN MH PHASE 2,0
02201602,"THIS IS A CENTRAL OFFICE INITIATIVE MANAGED BY THE OFFICE OF FACILITIES DEVELOPMENT, WORKING WITH ENTERPRISE IT SERVICES MANAGEMENT, TO UPGRADE THE IMMEDIATE DISTRIBUTION FRAME (IDF) AND MEDIUM DISTRIBUTION FRAME (MDF) ROOMS AT VARIOUS FACILITIES THROUGHOUT THE PUBLIC HEALTH CARE SYSTEM.",4876
LOWMANHUD,REDEVELOPMENT,1670
CRO-558,AQUEDUCT RESTORATION AT LAKE STREET - EOH,0
AIR-MON1,AIR MONITORING ANALYSIS,1500
HL82VCLIN,RENOVATE VARIOUS HEALTH CENTERS,0
DEL-428,EDTO VALVE,800
CRO-557,KENSICO WATERFOWL FACILITY CONSTRUCTION & PAVING,0
INFRAHOUS,HOUSING FUND,0
C75ADAOBC,MODIFICATION OF FACILITY 'S ENTRANCE TO ENSURE COMPLIANCE WITH THE AMERICANS WITH DISABILITIES ACT (ADA).,4971
HAM18RAEX,INSTALL EXTERNAL COMPACTORS AND BULK CRUSHERS,9318
CAT-178,REPLACEMENT OF DIVIDING WEIR BRIDGE,0
JOC-13-L,"JOB ORDER CONTRACTING FOR GENERAL CONSTRUCTION/PLUMBING/HVAC/ AND ELECTRICAL WORK IN VARIOUS REGIONS NORTH, SOUTH, AND EAST AT THE VARIOUS WPCPS CITY-WIDE",445
HL82DISHC,DISTRICT HEALTH CENTER RENOVATION,568
HAM20ECFL,IMPROVED LIGHTING FOR NYCHA PARKS -- LIGHTING IN THE PARK AREAS OF ELLIOT-CHELSEA AND FULTON HOUSES TO MAKE PLAY AREAS SAFE AND SECURE.,600
HAM15SLVA,EXTERIOR SITE LIGHTING UPGRADES AT VARIOUS DEVELOPMENTS,11134
CMESECURE,,0
HAM18PNAP,GAS RISERS,8689
DEL-415,REPLACEMENT OF RELEASE CHAMER VALVE AT EAST DELAWARE.,720
CAT-186,RESURFACING SCHOHARIE ROADS WEST AND BEARKILL BRIDGE,39
JOC-BWS,BWS JOC CONTRACTS (E-O-H & W-O-H),0
CAT-452,WOH CATSKILL ACQUEDUCT  CHAMBERS REHABILITATION & RESTORATION,0
PO79BMAHG,ELEVATOR REHABILITATION,2500
ARKVILLE,LOAN REPAYMENT FOR CONSTRUCTION OF CWC OFFICE BUILDING,15000
HAM11IHWH,INSTALL INSTANTANEOUS HOT WATER HEATERS AT VARIOUS DEVELOPMENTS,25518
SANDCONDT,ELECTRICAL,404
CAT-475,GILBOA HLO,0
CRO-553,KENSICO SPILLWAY CRACK RECONSTRUCTION,0
C5234A,"ADA RELATED WORK,PLUMBING",0
HAM18BOIL,MOBLE BOILERS AT VARIOUS NYCHA DEVELOPMENTS CITIWIDE,7800
PO79BMAKM,ESTIMATE,0
DEL-424,REPLACEMENT/REHABILITATION OF HONK FALLS DAM,1128
HAM20QWGR,"BEAUTIFICATION OF QUEENSBRIDGE HOUSES AND WOODSIDE HOUSES -- FUNDING FOR ADDITIONAL LIGHTING NEAR GARDENS AND RENOVATION OF GARDENS INCLUDING BUT NOT LIMITED TO BENCHES, PATHWAYS, FENCING AND OTHER CAPITALLY ELIGIBLE WORK.",600
ACSPDF,"RENOVATION PROJECTS FOR FIELD OFFICES: PAINTING, NEW FLOORING, NEW CEILING SYSTEMS, AS WELL AS, PURCHASE AND INSTALLATION OF NEW MODULAR SYSTEMS FURNITURE AND ASSOCIATED EQUIPMENT",303
PO79BMAKF,ESTIMATE,487
F204WATER,RANDALL'S ISLAND WATER TANK REPLACEMENT,1000
JOC-15BWS,PROCUREMENT CONTRACT FOR JOB ORDER CONTRACTING-UPSTATE,4542
ACEDEP505,SQ FT,701
INDUSFUND,INDUSTRIAL FUND,0
CRO-452,MAHOPAC WWTP - EQUIPMENT REPLACEMENT & FACILITY REHAB.,883
GI-HPD,GI - FUNDING FOR HPD GREEN INFRASTRUCTURE PROJECTS,0
CRO-609,CYCLIC EQUIPMENT REPLACEMENT FOR WTO,1000
CRO-572,HILLVIEW POLICE PRECINCT,0
CRO-551,CONVERSION OF KENSICO LAB TO EOH OPERATIONS HQ,0
HR25EFOY,CITYWIDE FACILITIES AND EQUIPMENT UPGRADES IN OUT YEARS,0
HAM13VAEL,CITYWIDE REPAIRS,1213
JOC-19-L,"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",14400
CRO-610,PAVING OF ROADWAY AT HILLVIEW COMPLEX,0
DEL-413,SECURITY GATE CONSTRUCTION AT SIX LOCATIONS IN DELAWARE DISTRICT,0
DEL-395,DELAWARE CHAMBERS HVAC IMPROVEMENT,0
DEP-DRA,DELAWARE-RONDOUT AQUEDUCT (PARALLEL TUNNEL TO RWBT).,1441
PO79BMAKI,ESTIMATE,0
HAM19MOCJ,"AS PART OF THE MAYOR'S ACTION PLAN FOR NEIGHBORHOOD SAFETY, NYCHA IS REPLACING DEVELOPMENT'S OUTDATED EXTERIOR LIGHTING SYSTEM WITH STATE-OF-THE-ART, ENERGY-EFFICIENT LED LIGHTING FOR ENTRANCES, WALKWAYS AND PARKING AREAS TO IMPROVE SAFETY IN PUBLIC SPACES FOR RESIDENTS, NYCHA STAFF, VISITORS AND VENDORS.
THE NEW LIGHT INSTALLATION AS PART OF MOCJIS DESIGNED TO ENHANCE SAFETY AND REDUCE VIOLENCE AT NYCHA SITES ACCOUNTING FOR A SIGNIFICANT PORTION OF VIOLENT CRIME IN PUBLIC HOUSING.
IN ADDITION, THIS WORK WILL ELIMINATE THE ONGOING OPERATING EXPENSE BEING INCURRED BY MAINTAINING PORTABLE LIGHT-SETS AT MANY OF THE LOCATIONS.",12478
CT315B,"CITY TUNNEL 3, REPAIR LEAK@ SHAFT 15B",0
PO79TIME,RENOVATION,127
CRO-570,HILLVIEW MAINTENANCE SHOP,0
PO79LOCK,LOCKER ROOMS,13381
CRO-208B,NEW CROTON DAM RECONSTRUCTION,500
DEL-SHFT4,TO CONSTRUCT A CONNCECTION FROM SHAFT 4 OF THE DELAWARE AQUEDUCT TO THE CATSKILL AQUEDUCT.,246
EE-RRC,RESIDUAL CHLORINE REDUCTION PROGRAM,10273
DEL-260,DEL SHAFT 18 KENSICO ELECTRICAL UPGRADE,232
PO79BMAHI,BOILER REPLACEMENTS,2325
CRO-536,CATSKILL AQUEDUCT PRESSURE CAPS-MODNA SIPHON,0
PO79BMAKN,ESTIMATE,0
CWFSBARGE,CITYIWDE FERRY SERVICE BARGES,37997
C75POWRF,REPLACE 5 AND 27 KV ELECTRICAL POWER FEEDERS AT RI.,4350
CRO-534,WEST BRANCH AUXILIARY DAM-CREEP REMEDIATION,0
HAM20SCD8,NYCHA SECURITY CAMERAS -- SECURITY CAMERAS AT A NYCHA FACILITY IN DISTRICT 8.,250
F175WU299,WATER UTILITIES- EC299,144
HAM20WMEX,"WASTE MANAGEMENT SYSTEM -- NYCHA WASTE MANAGEMENT SYSTEM THAT INCLUDELARGE OUTDOOR COMPACTORS.
HOUSING AUTHORITY CITY CAPITAL SUBSIDIES --GARBAGE CONTAINMENT COMPACTORS",1303
HAM19DGV2,FUNDING FOR DIGITAL VAN,160
PO79CWAC,HVAC,6000
PO79FATS,TRAINING CENTERS,5779
INFRANEIG,NEIGHBORHOOD FUND,0
BWS-LEAD,"THIS PROJECT IS TO PROVIDE THE NEW YORK CITY DEPARTMENT OF ENVIRONMENTAL PROTECTION (""DEP""), BUREAU OF WATER SUPPLY WITH SERVICES TO REMOVEAND DISPOSE OF CONTAMINATED LEAD AND/OR NON-LEAD BASED PAINT AND CONTAMINANTS.  THIS PROJECT REQUIRES PAINT ABATEMENT AND ASSOCIATED WORK TO STRUCTURES DIRECTLY ABOVE OR ADJOINING ACCESS TO DEP WATER SUPPLY.  IN SOME FACILITIES THE PAINT MAY ALSO CONTAIN ASBESTOS, ARSENIC, CADMIUM, MERCURY, AND POLYCHLORINATED BIPHENYLS (""PCB"").",909
PW77208B,4101 WHITE PLAINS RD - HVAC UPGRADE,0
CAT-259,BEN NESIN FACILITY/ASHOKAN RECONSTRUCTION,263
IDF-SPOFF,SPOFFORD REDEVELOPMENT,15000
F175EMS4M,MULTI COMPONENT RENOVATIONS - EMS 4,0
AIR-MON2,AIR MONITORING ANALYSIS,0
HAM15SCVA,SECURITY ENHANCEMENTS AT VARIOUS LOCATIONS,2145
CA207-006,PROVIDE SPACE IN EACH COMMUNITY COLLEGE TO OFFER RESOURCES FOR SMALL BUSINESS OWNERS.,0
JOC-17-L,"JOB ORDER CONTRACTING FOR SMALL TO MEDIUM SIZED PROJECTS IN GENERAL CONSTRUCTION/ PLUMBING/ HVAC AND ELECTRICAL WORK IN REGIONS NORTH, SOUTH AND EAST AT VARIOUS WASTEWATER TREATMANT PLANTS AND FACILITIES CITY-WIDE.",10084
DEL-400,"INTER GOV'T AGREEMENT-DEP CONTRIBUTE FINANCIAL ASSISTANCE TO THE TOWNOF WAWARSING TO MANAGE, COORDINATE, AND ADMINISTER THE PUBLIC WATER PROJECT WHICH CALLS FOR THE CONSTRUCTION OF A NEW PUBLIC WATER SYSTEM IN THE TOWN OF WAWARSING.",0
CAT-210,CATSKILL & DELAWARE ULTRAVIOLET LIGHT TREATMENT FACILITIES,117
CAT-455,PINE HILL MUNICIPAL WATER LINE EXTENSION,0
GI-GRANT,GREEN INFRASTRUCTURE GRANT PROGRAM,2585
