task_start_date,task_description
2023-10-01T00:00:00.000,ORIGINAL EQUIP  & FURNISHING
2022-02-01T00:00:00.000,DESIGN
2024-03-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2014-06-01T00:00:00.000,DEVELOP SCOPE
2014-09-01T00:00:00.000,PRELIMINARY DESIGN
2022-10-01T00:00:00.000,ORIGINAL EQUIP  & FURNISHING
2021-03-01T00:00:00.000,PRELIMINARY DESIGN
2015-10-01T00:00:00.000,CONSTRUCTION TO 25%
2023-01-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2019-12-01T00:00:00.000,DESIGN
2020-12-01T00:00:00.000,DEVELOP SCOPE
2024-05-01T00:00:00.000,ORIGINAL EQUIP  & FURNISHING
2022-12-01T00:00:00.000,CONSTRUCTION TO 75%
2021-07-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2021-08-01T00:00:00.000,PRELIMINARY DESIGN
2023-02-01T00:00:00.000,CONSTRUCTION TO 50%
2022-05-01T00:00:00.000,CONSTRUCTION TO 25%
2018-10-01T00:00:00.000,CONSTRUCTION
2022-09-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2021-07-01T00:00:00.000,DEVELOP SCOPE
2021-09-01T00:00:00.000,PRELIMINARY DESIGN
2022-01-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2023-11-01T00:00:00.000,CONSTRUCTION
2014-09-01T00:00:00.000,PRELIMINARY DESIGN
2023-07-01T00:00:00.000,SUBSTANTIAL COMPLETION
2007-12-01T00:00:00.000,SUBSTANTIAL COMPLETION
2021-03-01T00:00:00.000,DESIGN
2026-03-01T00:00:00.000,"PUNCHLIST COMPLETE, JOB CLOSED"
2021-11-01T00:00:00.000,BID AWARD AND REGISTER CONTRCT
2022-03-01T00:00:00.000,CONSTRUCTION
2015-10-01T00:00:00.000,CONSTRUCTION TO 25%
