task_end_date,seq_number,project_id,pub_date
2023-10-01T00:00:00.000,10,PO79BMAKN,20220517
2023-02-01T00:00:00.000,5,CA207-006,20220517
2024-01-01T00:00:00.000,2,PO79-ADA2,20220517
2022-09-01T00:00:00.000,2,PO79-GEN,20220517
2017-07-01T00:00:00.000,1,PO79LOCK,20220517
2024-04-01T00:00:00.000,10,PO79BMAHI,20220517
2021-09-01T00:00:00.000,2,PO79BMAKI,20220517
2022-12-01T00:00:00.000,6,PO79BMAKM,20220517
2019-04-01T00:00:00.000,6,PO79LOCK,20220517
2018-08-01T00:00:00.000,4,PO79LOCK,20220517
2022-07-01T00:00:00.000,1,F175FEC52,20220517
2025-08-01T00:00:00.000,10,CA207-006,20220517
2021-11-01T00:00:00.000,3,PO79BMAKN,20220517
2015-07-01T00:00:00.000,3,PO79BMAHY,20220517
2023-04-01T00:00:00.000,7,PO79BMAKN,20220517
2024-08-01T00:00:00.000,7,PO79LOCK,20220517
2022-12-01T00:00:00.000,3,SANDCONDT,20220517
2024-07-01T00:00:00.000,3,PO79-ADA2,20220517
2015-07-01T00:00:00.000,3,PO79BMAHI,20220517
2024-12-01T00:00:00.000,3,F175MC153,20220517
2023-06-01T00:00:00.000,1,F204BGEAR,20220517
2023-05-01T00:00:00.000,6,WFF-CUNY,20220517
2022-01-01T00:00:00.000,2,F175YDE48,20220517
2019-05-01T00:00:00.000,2,F175WPE46,20220517
2020-01-01T00:00:00.000,2,F175EMS4M,20220517
2022-12-01T00:00:00.000,6,PO79BMAKN,20220517
2019-02-01T00:00:00.000,2,PO79CWAC,20220517
2023-01-01T00:00:00.000,2,F175DW211,20220517
2025-02-01T00:00:00.000,5,PO79-ADA2,20220517
2022-03-01T00:00:00.000,2,PO79BMALF,20220517
2023-09-01T00:00:00.000,2,F204BGEAR,20220517
2023-09-01T00:00:00.000,7,WFF-CUNY,20220517
2016-06-01T00:00:00.000,6,PO79BMAHY,20220517
2022-02-01T00:00:00.000,3,PO79CWAC,20220517
2020-10-01T00:00:00.000,7,PO79BMAHI,20220517
2007-01-01T00:00:00.000,5,CA202-006,20220517
2024-10-01T00:00:00.000,9,PO79BATH,20220517
2021-01-01T00:00:00.000,1,PO79-ADA,20220517
2021-07-01T00:00:00.000,2,PO79BMAKN,20220517
2021-12-01T00:00:00.000,1,PO79BMALE,20220517
2024-12-01T00:00:00.000,1,F175RFMR9,20220517
2015-10-01T00:00:00.000,4,PO79BMAHY,20220517
2022-12-01T00:00:00.000,1,F204FTBLD,20220517
2021-08-01T00:00:00.000,1,WFF-CUNY,20220517
2017-11-01T00:00:00.000,2,PO79LOCK,20220517
2007-12-01T00:00:00.000,8,CA202-006,20220517
2023-10-01T00:00:00.000,5,SANDCONDT,20220517
2023-09-01T00:00:00.000,4,PO79BMALF,20220517
2024-01-01T00:00:00.000,8,CA207-006,20220517
2022-08-01T00:00:00.000,1,F175EC287,20220517
2024-04-01T00:00:00.000,10,PO79BMAHY,20220517
2014-09-01T00:00:00.000,1,PO79BMAHD,20220517
2015-01-01T00:00:00.000,2,PO79BMAHD,20220517
2023-01-01T00:00:00.000,8,PO79BMAHD,20220517
2021-07-01T00:00:00.000,2,PO79BMAKM,20220517
2016-02-01T00:00:00.000,5,PO79BMAHI,20220517
2023-04-01T00:00:00.000,3,F175DW211,20220517
2020-06-01T00:00:00.000,1,PO79BMAJZ,20220517
2021-03-01T00:00:00.000,1,PO79BMAKN,20220517
2024-08-01T00:00:00.000,8,PO79BATH,20220517
2023-04-01T00:00:00.000,7,PO79BMAKM,20220517
2022-10-01T00:00:00.000,3,F175WU299,20220517
2021-12-01T00:00:00.000,2,WFF-CUNY,20220517
2023-06-01T00:00:00.000,6,CA207-006,20220517
2022-08-01T00:00:00.000,5,PO79BMAKN,20220517
2019-10-01T00:00:00.000,2,F175WP276,20220517
2022-12-01T00:00:00.000,3,F175FE220,20220517
2021-09-01T00:00:00.000,1,CA207-006,20220517
2022-01-01T00:00:00.000,2,CA207-006,20220517
2022-04-01T00:00:00.000,3,F175YDE48,20220517
2024-11-01T00:00:00.000,2,F175EMS58,20220517
2015-01-01T00:00:00.000,2,PO79BMAHY,20220517
2023-09-01T00:00:00.000,9,PO79BMAKM,20220517
2008-02-01T00:00:00.000,9,CA202-006,20220517
2021-09-01T00:00:00.000,1,F175FE220,20220517
2026-04-01T00:00:00.000,10,PO79-ADA2,20220517
2022-05-01T00:00:00.000,4,PO79BMAKM,20220517
2023-03-01T00:00:00.000,3,PO79BMALC,20220517
2016-02-01T00:00:00.000,5,PO79BMAHD,20220517
