managing_agcy_cd,orig_end_date,managing_agcy,orig_start_date
56,2023-09-01T00:00:00.000,POLICE DEPARTMENT,2022-09-01T00:00:00.000
56,2021-09-01T00:00:00.000,POLICE DEPARTMENT,2020-09-01T00:00:00.000
56,2016-10-01T00:00:00.000,POLICE DEPARTMENT,2016-06-01T00:00:00.000
57,2018-07-01T00:00:00.000,FIRE DEPARTMENT,2018-04-01T00:00:00.000
56,2022-05-01T00:00:00.000,POLICE DEPARTMENT,2021-11-01T00:00:00.000
56,2021-06-01T00:00:00.000,POLICE DEPARTMENT,2020-12-01T00:00:00.000
56,2023-07-01T00:00:00.000,POLICE DEPARTMENT,2023-04-01T00:00:00.000
56,2019-11-01T00:00:00.000,POLICE DEPARTMENT,2019-08-01T00:00:00.000
57,2018-04-01T00:00:00.000,FIRE DEPARTMENT,2017-04-01T00:00:00.000
56,2022-06-01T00:00:00.000,POLICE DEPARTMENT,2021-12-01T00:00:00.000
56,2015-10-01T00:00:00.000,POLICE DEPARTMENT,2015-07-01T00:00:00.000
42,2023-09-01T00:00:00.000,CITY UNIVERSITY,2023-06-01T00:00:00.000
42,2011-09-01T00:00:00.000,CITY UNIVERSITY,2011-05-01T00:00:00.000
57,2018-01-01T00:00:00.000,FIRE DEPARTMENT,2017-08-01T00:00:00.000
56,2016-06-01T00:00:00.000,POLICE DEPARTMENT,2016-02-01T00:00:00.000
57,2019-08-01T00:00:00.000,FIRE DEPARTMENT,2018-08-01T00:00:00.000
56,2016-10-01T00:00:00.000,POLICE DEPARTMENT,2016-06-01T00:00:00.000
56,2023-09-01T00:00:00.000,POLICE DEPARTMENT,2023-06-01T00:00:00.000
56,2021-03-01T00:00:00.000,POLICE DEPARTMENT,2020-12-01T00:00:00.000
56,2024-03-01T00:00:00.000,POLICE DEPARTMENT,2023-09-01T00:00:00.000
57,2023-11-01T00:00:00.000,FIRE DEPARTMENT,2023-05-01T00:00:00.000
56,2015-05-01T00:00:00.000,POLICE DEPARTMENT,2015-02-01T00:00:00.000
56,2018-12-01T00:00:00.000,POLICE DEPARTMENT,2018-08-01T00:00:00.000
56,2024-10-01T00:00:00.000,POLICE DEPARTMENT,2024-07-01T00:00:00.000
56,2022-03-01T00:00:00.000,POLICE DEPARTMENT,2021-12-01T00:00:00.000
56,2017-09-01T00:00:00.000,POLICE DEPARTMENT,2017-06-01T00:00:00.000
56,2022-04-01T00:00:00.000,POLICE DEPARTMENT,2021-04-01T00:00:00.000
56,2017-03-01T00:00:00.000,POLICE DEPARTMENT,2017-01-01T00:00:00.000
56,2023-03-01T00:00:00.000,POLICE DEPARTMENT,2022-03-01T00:00:00.000
56,2026-03-01T00:00:00.000,POLICE DEPARTMENT,2026-01-01T00:00:00.000
42,2024-03-01T00:00:00.000,CITY UNIVERSITY,2024-02-01T00:00:00.000
56,2016-06-01T00:00:00.000,POLICE DEPARTMENT,2016-03-01T00:00:00.000
57,2023-08-01T00:00:00.000,FIRE DEPARTMENT,2022-08-01T00:00:00.000
42,2022-09-01T00:00:00.000,CITY UNIVERSITY,2022-06-01T00:00:00.000
56,2015-09-01T00:00:00.000,POLICE DEPARTMENT,2015-05-01T00:00:00.000
42,2023-01-01T00:00:00.000,CITY UNIVERSITY,2022-09-01T00:00:00.000
57,2018-08-01T00:00:00.000,FIRE DEPARTMENT,2018-02-01T00:00:00.000
56,2016-06-01T00:00:00.000,POLICE DEPARTMENT,2016-02-01T00:00:00.000
56,2016-10-01T00:00:00.000,POLICE DEPARTMENT,2016-06-01T00:00:00.000
56,2023-09-01T00:00:00.000,POLICE DEPARTMENT,2023-07-01T00:00:00.000
56,2022-09-01T00:00:00.000,POLICE DEPARTMENT,2021-09-01T00:00:00.000
56,2020-09-01T00:00:00.000,POLICE DEPARTMENT,2020-06-01T00:00:00.000
56,2017-11-01T00:00:00.000,POLICE DEPARTMENT,2017-09-01T00:00:00.000
56,2021-12-01T00:00:00.000,POLICE DEPARTMENT,2021-07-01T00:00:00.000
57,2022-01-01T00:00:00.000,FIRE DEPARTMENT,2021-07-01T00:00:00.000
57,2023-10-01T00:00:00.000,FIRE DEPARTMENT,2023-07-01T00:00:00.000
57,2024-11-01T00:00:00.000,FIRE DEPARTMENT,2023-11-01T00:00:00.000
57,2022-11-01T00:00:00.000,FIRE DEPARTMENT,2022-08-01T00:00:00.000
57,2025-02-01T00:00:00.000,FIRE DEPARTMENT,2024-11-01T00:00:00.000
57,2018-02-01T00:00:00.000,FIRE DEPARTMENT,2017-08-01T00:00:00.000
56,2016-12-01T00:00:00.000,POLICE DEPARTMENT,2016-07-01T00:00:00.000
56,2023-07-01T00:00:00.000,POLICE DEPARTMENT,2023-04-01T00:00:00.000
56,2023-09-01T00:00:00.000,POLICE DEPARTMENT,2023-03-01T00:00:00.000
56,2020-01-01T00:00:00.000,POLICE DEPARTMENT,2019-11-01T00:00:00.000
56,2017-02-01T00:00:00.000,POLICE DEPARTMENT,2016-11-01T00:00:00.000
56,2025-06-01T00:00:00.000,POLICE DEPARTMENT,2025-02-01T00:00:00.000
57,2021-01-01T00:00:00.000,FIRE DEPARTMENT,2020-07-01T00:00:00.000
57,2023-07-01T00:00:00.000,FIRE DEPARTMENT,2022-07-01T00:00:00.000
42,2006-09-01T00:00:00.000,CITY UNIVERSITY,2006-06-01T00:00:00.000
56,2017-01-01T00:00:00.000,POLICE DEPARTMENT,2016-10-01T00:00:00.000
56,2016-07-01T00:00:00.000,POLICE DEPARTMENT,2016-01-01T00:00:00.000
42,2024-02-01T00:00:00.000,CITY UNIVERSITY,2023-12-01T00:00:00.000
56,2022-03-01T00:00:00.000,POLICE DEPARTMENT,2021-09-01T00:00:00.000
56,2017-11-01T00:00:00.000,POLICE DEPARTMENT,2017-10-01T00:00:00.000
56,2016-03-01T00:00:00.000,POLICE DEPARTMENT,2015-09-01T00:00:00.000
56,2025-10-01T00:00:00.000,POLICE DEPARTMENT,2025-06-01T00:00:00.000
57,2023-11-01T00:00:00.000,FIRE DEPARTMENT,2023-08-01T00:00:00.000
57,2018-05-01T00:00:00.000,FIRE DEPARTMENT,2017-11-01T00:00:00.000
56,2017-01-01T00:00:00.000,POLICE DEPARTMENT,2016-10-01T00:00:00.000
57,2025-12-01T00:00:00.000,FIRE DEPARTMENT,2024-12-01T00:00:00.000
56,2015-10-01T00:00:00.000,POLICE DEPARTMENT,2015-07-01T00:00:00.000
56,2017-06-01T00:00:00.000,POLICE DEPARTMENT,2017-03-01T00:00:00.000
42,2007-09-01T00:00:00.000,CITY UNIVERSITY,2007-05-01T00:00:00.000
57,2022-09-01T00:00:00.000,FIRE DEPARTMENT,2021-09-01T00:00:00.000
56,2015-05-01T00:00:00.000,POLICE DEPARTMENT,2015-02-01T00:00:00.000
56,2018-09-01T00:00:00.000,POLICE DEPARTMENT,2018-03-01T00:00:00.000
56,2017-01-01T00:00:00.000,POLICE DEPARTMENT,2016-10-01T00:00:00.000
56,2022-09-01T00:00:00.000,POLICE DEPARTMENT,2022-06-01T00:00:00.000
42,2010-06-01T00:00:00.000,CITY UNIVERSITY,2009-12-01T00:00:00.000
57,2020-07-01T00:00:00.000,FIRE DEPARTMENT,2020-01-01T00:00:00.000
56,2026-01-01T00:00:00.000,POLICE DEPARTMENT,2025-10-01T00:00:00.000
57,2019-05-01T00:00:00.000,FIRE DEPARTMENT,2019-02-01T00:00:00.000
57,2025-02-01T00:00:00.000,FIRE DEPARTMENT,2024-11-01T00:00:00.000
56,2024-03-01T00:00:00.000,POLICE DEPARTMENT,2023-09-01T00:00:00.000
57,2019-04-01T00:00:00.000,FIRE DEPARTMENT,2019-01-01T00:00:00.000
57,2019-08-01T00:00:00.000,FIRE DEPARTMENT,2019-05-01T00:00:00.000
57,2026-03-01T00:00:00.000,FIRE DEPARTMENT,2025-12-01T00:00:00.000
56,2016-02-01T00:00:00.000,POLICE DEPARTMENT,2015-10-01T00:00:00.000
56,2023-10-01T00:00:00.000,POLICE DEPARTMENT,2023-09-01T00:00:00.000
42,2011-01-01T00:00:00.000,CITY UNIVERSITY,2010-09-01T00:00:00.000
56,2024-01-01T00:00:00.000,POLICE DEPARTMENT,2023-09-01T00:00:00.000
56,2022-09-01T00:00:00.000,POLICE DEPARTMENT,2022-06-01T00:00:00.000
56,2017-07-01T00:00:00.000,POLICE DEPARTMENT,2017-04-01T00:00:00.000
56,2017-04-01T00:00:00.000,POLICE DEPARTMENT,2017-03-01T00:00:00.000
56,2021-09-01T00:00:00.000,POLICE DEPARTMENT,2021-06-01T00:00:00.000
56,2022-12-01T00:00:00.000,POLICE DEPARTMENT,2022-09-01T00:00:00.000
56,2019-04-01T00:00:00.000,POLICE DEPARTMENT,2018-12-01T00:00:00.000
56,2018-08-01T00:00:00.000,POLICE DEPARTMENT,2018-05-01T00:00:00.000
57,2022-07-01T00:00:00.000,FIRE DEPARTMENT,2022-01-01T00:00:00.000
42,2012-03-01T00:00:00.000,CITY UNIVERSITY,2012-02-01T00:00:00.000
56,2021-11-01T00:00:00.000,POLICE DEPARTMENT,2021-07-01T00:00:00.000
56,2015-07-01T00:00:00.000,POLICE DEPARTMENT,2015-01-01T00:00:00.000
56,2023-04-01T00:00:00.000,POLICE DEPARTMENT,2022-12-01T00:00:00.000
56,2019-08-01T00:00:00.000,POLICE DEPARTMENT,2019-04-01T00:00:00.000
56,2016-01-01T00:00:00.000,POLICE DEPARTMENT,2015-09-01T00:00:00.000
56,2024-07-01T00:00:00.000,POLICE DEPARTMENT,2024-01-01T00:00:00.000
56,2015-07-01T00:00:00.000,POLICE DEPARTMENT,2015-01-01T00:00:00.000
57,2019-11-01T00:00:00.000,FIRE DEPARTMENT,2019-08-01T00:00:00.000
57,2023-06-01T00:00:00.000,FIRE DEPARTMENT,2022-06-01T00:00:00.000
42,2023-05-01T00:00:00.000,CITY UNIVERSITY,2023-01-01T00:00:00.000
57,2022-01-01T00:00:00.000,FIRE DEPARTMENT,2021-01-01T00:00:00.000
57,2019-05-01T00:00:00.000,FIRE DEPARTMENT,2018-05-01T00:00:00.000
57,2019-01-01T00:00:00.000,FIRE DEPARTMENT,2018-01-01T00:00:00.000
56,2022-12-01T00:00:00.000,POLICE DEPARTMENT,2022-09-01T00:00:00.000
56,2017-03-01T00:00:00.000,POLICE DEPARTMENT,2016-12-01T00:00:00.000
57,2023-01-01T00:00:00.000,FIRE DEPARTMENT,2022-01-01T00:00:00.000
56,2025-02-01T00:00:00.000,POLICE DEPARTMENT,2024-10-01T00:00:00.000
56,2022-03-01T00:00:00.000,POLICE DEPARTMENT,2021-12-01T00:00:00.000
57,2023-09-01T00:00:00.000,FIRE DEPARTMENT,2023-06-01T00:00:00.000
42,2023-09-01T00:00:00.000,CITY UNIVERSITY,2023-05-01T00:00:00.000
56,2016-06-01T00:00:00.000,POLICE DEPARTMENT,2016-02-01T00:00:00.000
56,2018-03-01T00:00:00.000,POLICE DEPARTMENT,2017-03-01T00:00:00.000
56,2016-10-01T00:00:00.000,POLICE DEPARTMENT,2016-06-01T00:00:00.000
42,2007-01-01T00:00:00.000,CITY UNIVERSITY,2006-09-01T00:00:00.000
56,2017-10-01T00:00:00.000,POLICE DEPARTMENT,2017-08-01T00:00:00.000
56,2021-01-01T00:00:00.000,POLICE DEPARTMENT,2020-07-01T00:00:00.000
56,2021-07-01T00:00:00.000,POLICE DEPARTMENT,2021-03-01T00:00:00.000
56,2021-12-01T00:00:00.000,POLICE DEPARTMENT,2021-07-01T00:00:00.000
57,2024-12-01T00:00:00.000,FIRE DEPARTMENT,2024-06-01T00:00:00.000
56,2015-10-01T00:00:00.000,POLICE DEPARTMENT,2015-07-01T00:00:00.000
57,2022-12-01T00:00:00.000,FIRE DEPARTMENT,2022-06-01T00:00:00.000
42,2021-08-01T00:00:00.000,CITY UNIVERSITY,2021-06-01T00:00:00.000
56,2017-11-01T00:00:00.000,POLICE DEPARTMENT,2017-07-01T00:00:00.000
42,2007-12-01T00:00:00.000,CITY UNIVERSITY,2007-09-01T00:00:00.000
56,2016-10-01T00:00:00.000,POLICE DEPARTMENT,2016-07-01T00:00:00.000
56,2023-09-01T00:00:00.000,POLICE DEPARTMENT,2023-03-01T00:00:00.000
42,2011-12-01T00:00:00.000,CITY UNIVERSITY,2011-09-01T00:00:00.000
57,2022-08-01T00:00:00.000,FIRE DEPARTMENT,2022-02-01T00:00:00.000
56,2017-04-01T00:00:00.000,POLICE DEPARTMENT,2017-03-01T00:00:00.000
56,2014-09-01T00:00:00.000,POLICE DEPARTMENT,2014-06-01T00:00:00.000
56,2015-01-01T00:00:00.000,POLICE DEPARTMENT,2014-09-01T00:00:00.000
56,2017-01-01T00:00:00.000,POLICE DEPARTMENT,2016-10-01T00:00:00.000
56,2021-07-01T00:00:00.000,POLICE DEPARTMENT,2021-03-01T00:00:00.000
56,2016-02-01T00:00:00.000,POLICE DEPARTMENT,2015-10-01T00:00:00.000
57,2023-04-01T00:00:00.000,FIRE DEPARTMENT,2023-01-01T00:00:00.000
56,2020-06-01T00:00:00.000,POLICE DEPARTMENT,2019-12-01T00:00:00.000
56,2021-03-01T00:00:00.000,POLICE DEPARTMENT,2020-12-01T00:00:00.000
56,2017-08-01T00:00:00.000,POLICE DEPARTMENT,2017-05-01T00:00:00.000
56,2023-04-01T00:00:00.000,POLICE DEPARTMENT,2022-12-01T00:00:00.000
57,2021-10-01T00:00:00.000,FIRE DEPARTMENT,2021-07-01T00:00:00.000
42,2021-12-01T00:00:00.000,CITY UNIVERSITY,2021-08-01T00:00:00.000
42,2011-05-01T00:00:00.000,CITY UNIVERSITY,2011-01-01T00:00:00.000
56,2022-08-01T00:00:00.000,POLICE DEPARTMENT,2022-05-01T00:00:00.000
57,2019-02-01T00:00:00.000,FIRE DEPARTMENT,2018-02-01T00:00:00.000
57,2022-12-01T00:00:00.000,FIRE DEPARTMENT,2022-09-01T00:00:00.000
42,2009-08-01T00:00:00.000,CITY UNIVERSITY,2009-05-01T00:00:00.000
42,2009-12-01T00:00:00.000,CITY UNIVERSITY,2009-08-01T00:00:00.000
57,2022-04-01T00:00:00.000,FIRE DEPARTMENT,2022-01-01T00:00:00.000
57,2024-11-01T00:00:00.000,FIRE DEPARTMENT,2023-11-01T00:00:00.000
56,2015-01-01T00:00:00.000,POLICE DEPARTMENT,2014-09-01T00:00:00.000
56,2023-09-01T00:00:00.000,POLICE DEPARTMENT,2023-07-01T00:00:00.000
42,2008-02-01T00:00:00.000,CITY UNIVERSITY,2007-12-01T00:00:00.000
57,2021-09-01T00:00:00.000,FIRE DEPARTMENT,2021-03-01T00:00:00.000
56,2026-04-01T00:00:00.000,POLICE DEPARTMENT,2026-03-01T00:00:00.000
56,2022-05-01T00:00:00.000,POLICE DEPARTMENT,2021-11-01T00:00:00.000
56,2023-03-01T00:00:00.000,POLICE DEPARTMENT,2022-03-01T00:00:00.000
56,2016-02-01T00:00:00.000,POLICE DEPARTMENT,2015-10-01T00:00:00.000
