performance_indicator,actual_fy14,pmmr_goal,target_fy17
Average age of pending waste hauling applications (days) - Renewal,147,1b,*
Pre-complaint resolutions,189,1a,*
Average wait time (tier 2 agency legacy system calls) (minutes:seconds),2:06,1a,*
Average time to approve waste hauling applications (days) - Renewal,94,1b,↓
- Cases closed (%) - probable cause determination,8%,1a,*
Children placed in foster care in their borough,61.6%,1c,*
Children who received child welfare preventive services during the year (annual total),"44,456",1b,*
311 calls (000),"21,346",1a,*
Interpreters deployed on election day,"1,908",1a,*
Calls answered in 30 seconds (%),83%,1a,80%
Waste hauling applications pending,523,1b,300
Wireless sessions,"412,437",1a,"535,681"
Families entering child welfare preventive services,"10,293",1b,"11,000"
Children who re-enter foster care within a year of discharge to family (%)(preliminary),9.3%,1c,7.0%
Cases filed (%) - Employment discrimination,65.0%,1a,*
"Number of moves in foster care per 1,000 care days",1.4,1c,1.4
"Children maltreated during family foster care placement per 100,000 care days",3.1,1c,4.2
Cost per foster care case $ - Congregate care by level of need - Level 3,$363.82,1c,*
Cases filed,497,1a,*
Admissions to Close to Home placement,348,3a,*
Violations issued to legally operating private waste haulers,733,1a,*
School Attendance Rate - Children in Foster Care (%),82.1%,1c,*
Reference queries (000),"4,053",1a,"4,008"
Average family child care voucher enrollment,"21,507",2a,*
"Illegal substance/prescription or OTC medication recovery rate (average per 100 total ADP), detention",0.07,3a,*
Public wholesale market applications approved,68,2b,*
- Children in foster kinship homes,"3,929",1c,*
Cases filed (%) - Housing discrimination,20.00%,1a,*
Voting equipment replacement rate - ballot scanners (%),0.4%,1a,*
Escapes from secure detention,0,3a,0
Average child protective specialist caseload,9.8,1a,12.0
EarlyLearn - Fiscal year spending per child based on average enrollment in Contract Family Child Care,"$8,629",2a,*
CORE customer experience rating of facilities (0-100),93,3a,*
Children receiving child welfare preventive services (daily average),"23,725",1b,*
Number in Close to Home placement,195,3a,*
Children placed in foster care in their community,33.3%,1c,37.0%
"Child abuse/neglect allegations cases (internal) reported as substantiated, detention",22.0,3a,*
Electronic visits to website (000),"10,748",1a,"11,719"
Kinship Guardianship Assistance discharges,251,1e,*
Voter turnout - general election (000),"1,102",1a,*
"In-care youth who were referred for mental health services, detention (%)",48%,3b,*
Public wholesale market applications denied (%),3.2%,2a,*
Average wait time to speak with a customer service agent (minutes),2:07,3a,*
Average EarlyLearn Utilization (%),82.1%,2a,85.0%
Average time to approve waste hauling applications (days) - New and Renewal,96,1b,↓
Eligible voters registered (%),,1a,*
Voting equipment replacement rate - ballot marking devices (%),0.9%,1a,*
Average time to approve public wholesale market applications (days) - New,157,2b,*
Residents seen within 24 hours of sick call report (%),100%,3b,100%
Secure detention - ADP,130.2,3a,*
Number in Close to Home aftercare (average),93,3c,*
"Youth on staff assault with injury rate, Close to home placement",0.05,3a,0.05
"Average daily cost per youth per day, detention ($)",$773,3a,*
- Cases closed (%) - administrative cause,21%,1a,*
Precision of unofficial election results (%),1.8%,1a,*
Cases closed,602,1a,*
Computer sessions (000),"2,152",1a,"2,188"
Violations issued at public wholesale markets,79,2a,*
Voter Registration forms processed,"254,404",1a,*
Cost per foster care case $ - Congregate care by level of need - Level 1,$283.27,1c,*
Average age of complaint caseload (days),297,1a,300
"Youth on youth assaults and altercations with injury rate (per 100 total ADP), detention",0.35,3a,0.35
Average other eligible children voucher enrollment,"12,689",2a,*
Poll worker attendance on Election Day (%),87.5%,1a,*
E-mails responded to in 14 days (%),100%,2a,*
Discharges from Close to Home placement (dispositional order complete),222.0,3a,*
"Child abuse and/or neglect allegation rate (internal) (average per 100 total ADP), detention",0.10,3a,0.09
Cases pending by age - less than one year,496,1a,414
- Cases closed (%) - no probable cause determination,45%,1a,*
"Youth on youth assault with injury rate, Close to home placement",0.14,3a,0.09
"Average length of stay, detention (days)",29,3a,*
Children eligible for adoption (average),"1,248",1e,*
- Children in nonrelative foster boarding homes,"6,915",1c,*
New library card registrations,"205,089",1a,*
Average value of cash settlement for complainant ($),"$15,250",1a,*
Siblings placed simultaneously in the same foster home (%)(preliminary),88.2%,1d,*
Election results reporting timeliness (hours),,1a,*
Cases referred to the Office of Administrative Trials and Hearings,47,1a,*
Children entering foster care who are placed with relatives (%)(preliminary),25.7%,1d,30.0%
Total waste hauling applications denied (%),3.9%,1a,*
Violations admitted to or upheld at the Environmental Control Board (%),94.0%,2a,*
Fiscal year spending per child - Family child care vouchers,"$7,500",2a,*
Median length of stay in foster care before child is adopted (months),55.1,1e,50.0
Waste hauling applications approved - New and Renewal,770,1b,*
Abuse and/or neglect reports responded to within 24 hours of receipt from the State Central Register (%),98.8%,1a,100.0%
Children in complete investigations with repeat investigations within a year (%),24.2%,1a,*
City leases,416,2c,*
Active library cards (000),761,1a,*
Completed customer requests for interpretation,56,3a,*
Interpreters deployed on election day - Queens,832,1a,*
Complaints about 311 per million calls,23.0,1a,*
Calls handled in languages other than English (%),1.8%,1a,*
Number of emails sent to an agency (through NYC.gov or a publicized agency email address),270,2a,*
"Average daily population (ADP), detention",234.1,3a,*
Letters responded to in 14 days (%),100%,3a,*
Total active voters (000),"4,276",1a,*
