performance_indicator,actual_fy16,actual_fy15,agency,_4_month_actual_fy16
Number of agency customers surveyed for overall customer satisfaction,765,792,3-1-1,765
Cases filed,908,697,CCHR,310
Average value of cash settlement for complainant ($),"$34,775","$10,755",CCHR,"$50,212"
School Attendance Rate - Children in Foster Care (%),82.5%,82.5%,ACS,84.6%
Average informal (home-based) child care voucher enrollment,"15,976","17,572",ACS,"16,558"
Election results reporting timeliness (hours),,,BOE,
Average weekly scheduled hours,49.3,45.0,BPL,49.3
Total admissions to detention,"2,528","2,755",ACS,884
Calls handled in languages other than English (%),3.0%,2.5%,3-1-1,3.2%
Children adopted,"1,052","1,004",ACS,254
Children returned to parents (reunifications),"2,507","2,506",ACS,845
"Youth on staff assault with injury rate, Close to home placement",0.07,0.05,ACS,0.06
EarlyLearn - Fiscal year spending per child based on average enrollment in Contract Family Child Care,"$8,715","$8,577",ACS,
"Youth on youth assault with injury rate, Close to home placement",0.10,0.12,ACS,0.13
Average EarlyLearn Utilization (%),83.4%,81.8%,ACS,77.9%
"Child abuse/neglect allegations cases (internal) reported as substantiated, detention",17.0,27.0,ACS,7.0
Pre-complaint resolutions,200,165,CCHR,56
Program attendance,"994,279","928,740",BPL,"325,344"
Poll worker attendance on Election Day (%),89.1%,84.8%,BOE,
Public wholesale market applications denied (%),2.5%,2.5%,BIC,2.5%
Voter turnout - general election (000),236,"1,042",BOE,
Average other eligible children voucher enrollment,"12,659","11,801",ACS,"12,335"
Cases closed,336,608,CCHR,78
Interpreters deployed on election day - Brooklyn,500,539,BOE,
Children eligible for adoption (average),"1,053","1,092",ACS,989
Waste hauling applications pending - New,85,117,BIC,119
Average age of pending waste hauling applications (days) - New,303,387,BIC,321
Average age of pending public wholesale market applications (days),215,324,BIC,188
"Children maltreated during family foster care placement per 100,000 care days",5.2,4.0,ACS,5.7
Abuse and/or neglect reports for children in child care that are substantiated (%),15.1%,27.6%,ACS,20.7%
Average time to approve waste hauling applications (days) - New and Renewal,235,234,BIC,197
Cases pending by age - less than one year,837,505,CCHR,645
Number of emails sent to an agency (through NYC.gov or a publicized agency email address),42,80,3-1-1,10
Voting equipment replacement rate - ballot scanners (%),0.3%,0.4%,BOE,
Discharges from Close to Home placement (dispositional order complete),227.0,260.0,ACS,78.0
Average wait time (tier 1 calls) (minutes:seconds),0:16,0:23,3-1-1,0:14
Maximum answer delay (minutes:seconds),62:58,33:45,3-1-1,33:21
Public wholesale market applications approved - New,16,18,BIC,6
Calls answered in 30 seconds (%),89%,84%,3-1-1,90%
Abuse and/or neglect reports for children in child care,584,492,ACS,191
Violations issued at public wholesale markets,97,45,BIC,40
Customer satisfaction index,85,84,3-1-1,85
Cost per foster care case $ - Congregate care by level of need - Level 1,$341.82,$276.61,ACS,
Children in complete investigations with repeat investigations within a year (%),23.8%,24.4%,ACS,23.9%
"Child abuse and/or neglect allegation rate (internal) (average per 100 total ADP), detention",0.11,0.15,ACS,0.13
Children in substantiated investigations with repeat substantiated investigations within a year (%)(preliminary),15.3%,15.7%,ACS,14.5%
Libraries open six days per week (%),100%,65%,BPL,100%
Violations issued to illegally operating private waste haulers,183,339,BIC,61
Average EarlyLearn Utilization - Center-based (%),83.1%,82.0%,ACS,77.2%
Computer sessions (000),"2,164","2,188",BPL,767
Public wholesale market applications approved,62,49,BIC,13
Cost per foster care case $ - Congregate care by level of need - Level 2,$396.66,$362.64,ACS,
Cases successfully mediated,0,0,CCHR,0
Children in foster care (average),"9,926","11,098",ACS,"10,408"
"Average daily cost per youth per day, detention ($)","$1,431","$1,065",ACS,
Waste hauling applications approved - New and Renewal,994,737,BIC,205
Voter Registration forms processed,"166,961","145,809",BOE,
- Cases closed (%) - no probable cause determination,5%,43%,CCHR,3%
Escapes from secure detention,0,0,ACS,0
Average center-based child care voucher enrollment,"27,132","27,052",ACS,"27,464"
Voter complaints regarding poll workers - service,243,213,BOE,
CORE customer experience rating of facilities (0-100),100,93,BIC,
Fiscal year spending per child - Family child care vouchers,"$7,659","$7,575",ACS,
Children in care 12-23 months discharged to permanency (%),24.4%,20.1%,ACS,
Average age of pending public wholesale market applications (days) - New,373,449,BIC,408
Number of letters sent to an agency,24,31,BIC,11
Waste hauling applications pending - Renewal,515,645,BIC,711
Interpreters deployed on election day - Queens,830,924,BOE,
Average time to approve public wholesale market applications (days),309,382,BIC,259
Average time to approve public wholesale market applications (days) - Renewal,367,339,BIC,459
Cases filed (%) - Employment discrimination,56.0%,63.0%,CCHR,51.0%
Cases filed (%) - Housing discrimination,28.00%,23.00%,CCHR,32.00%
Abscond rate in non-secure detention (average per 100 total ADP in non-secure),0.03,0.05,ACS,0.02
Youth admitted to detention with previous admission(s) to detention (%),56.1%,63.3%,ACS,
Fiscal year spending per child - Legally exempt (informal child care) vouchers,"$4,140","$4,119",ACS,
Average wait time to speak with a customer service agent (minutes),3:02,3:42,BIC,
Waste hauling applications approved - Renewal,807,571,BIC,167
Interpreters deployed on election day - Staten Island,38,46,BOE,
Cases filed (%) - Bias-based profiling by law enforcement,0.5%,,CCHR,1.0%
Children who re-enter foster care within a year of discharge to family (%)(preliminary),7.7%,9.1%,ACS,9.1%
Violations issued to legally operating private waste haulers,709,827,BIC,178
Total days all children spent in foster care,"4,379,682","4,710,116",ACS,"1,529,491"
Completed customer requests for interpretation,93,26,BIC,
EarlyLearn - Budget per slot in contract family child care,"$9,522","$9,347",ACS,
Children who received child welfare preventive services during the year (annual total),"46,207","47,001",ACS,
Average EarlyLearn Utilization - Family child care (%),84.6%,81.4%,ACS,80.2%
Letters responded to in 14 days (%),97.1%,85.4%,ACS,100.0%
- Children in nonrelative foster boarding homes,"5,845","6,533",ACS,"6,118"
Average EarlyLearn contract enrollment,"30,671","30,079",ACS,"28,629"
Violations admitted to or upheld at the Office of Administrative Trials and Hearings (%),98.0%,91.5%,BIC,100.0%
Number in Close to Home placement,151,176,ACS,147
Average child care voucher enrollment,"67,527","66,801",ACS,"68,195"
Cases filed (%) - Violation of an existing conciliation agreement,0.5%,,CCHR,1.0%
E-mails responded to in 14 days (%),97.8%,89.7%,ACS,99.4%
Fiscal year spending per child - Center-based child care vouchers,"$9,280","$8,936",ACS,
Reference queries (000),"4,008","4,406",BPL,"1,084"
311 calls (000),"18,799","21,079",3-1-1,"6,089"
Libraries open seven days per week (%),8%,3%,BPL,8%
Library card holders (000),"1,523","1,362",BPL,
Interpreters deployed on election day,"1,874","2,051",BOE,
Call takers time occupied (%),74%,77%,3-1-1,76%
311 Online site visits (000),"13,018","9,656",3-1-1,"3,985"
Families entering child welfare preventive services,"10,540","11,015",ACS,"3,327"
Median length of stay in foster care before child is adopted (months),50.5,53.3,ACS,
Children discharged to permanency within a year of placement (%),32.0%,30.9%,ACS,
Children entering foster care who are placed with relatives (%)(preliminary),26.3%,28.0%,ACS,27.3%
E-mails responded to in 14 days (%),100%,100%,BIC,100%
Average age of pending public wholesale market applications (days) - Renewal,192,264,BIC,138
311 mobile app contacts (000),"1,010",705,3-1-1,302
Completed requests for interpretation,"556,576","531,194",3-1-1,"191,959"
Non-secure detention - ADP,64.9,74.4,ACS,65.3
- Cases closed (%) - probable cause determination,6%,15%,CCHR,6%
Number of visits made to an agency walk-in facility,"2,104","1,956",BIC,
Completed requests for interpretation,"87,775","79,347",ACS,"25,705"
Waste hauling complaints received,449,513,BIC,212
E-mails responded to in 14 days (%),100%,100%,3-1-1,100%
Circulation (000),"14,933","15,205",BPL,"5,194"
- Children in foster kinship homes,"3,223","3,636",ACS,"3,392"
Number of emails sent to an agency (through NYC.gov or a publicized agency email address),157,166,BIC,62
EarlyLearn - Average center-based enrollment,"23,396","23,077",ACS,"21,730"
"AWOL rate, Close to Home placement",0.3,0.4,ACS,0.4
Cases filed (%) - Bias-related harassment,1%,1%,CCHR,1%
Children placed in foster care in their community,36.3%,36.9%,ACS,36.5%
Average time to approve public wholesale market applications (days) - New,205,459,BIC,193
Waste hauling applications approved - New,187,166,BIC,38
Complaints about 311 per million calls,32.0,26.0,3-1-1,34.0
Violations admitted to or upheld at the Environmental Control Board (%),98.3%,99.4%,BIC,100.0%
Calls resolved at 311 without transfer to agency for resolution (%),93%,94%,3-1-1,92%
Residents seen within 24 hours of sick call report (%),100%,100%,ACS,100%
Eligible voters registered (%),,,BOE,
"Average length of stay, detention (days)",21,23,ACS,20
"Youth on youth assaults and altercations with injury rate (per 100 total ADP), detention",0.39,0.30,ACS,0.38
Modifications for accessibility for people with disabilites,191,155,CCHR,51
Average family child care voucher enrollment,"24,119","22,177",ACS,"23,272"
Voting equipment replacement rate - ballot marking devices (%),0.5%,2.3%,BOE,
Violations issued to private waste haulers,892,"1,166",BIC,239
Public wholesale market applications approved - Renewal,46,31,BIC,7
Average wait time (tier 2 agency legacy system calls) (minutes:seconds),0:10,0:44,3-1-1,0:15
Active library cards (000),630,696,BPL,697
Kinship Guardianship Assistance discharges,343,275,ACS,88
Computers for public use,"1,633","1,436",BPL,"1,633"
Children returned to parent(s) within 12 months (%)(preliminary),59.1%,59.7%,ACS,60.5%
Voter complaints regarding poll workers - procedure,61,233,BOE,
"Illegal substance/prescription or OTC medication recovery rate (average per 100 total ADP), detention",0.07,0.09,ACS,0.05
Median length of stay for children entering foster care for the first time who are returned to parent (months),7.7,6.6,ACS,
Average age of complaint caseload (days),340,250,CCHR,312
EarlyLearn - Average family child care enrollment,"7,275","7,002",ACS,"6,899"
"Number of moves in foster care per 1,000 care days",1.4,1.5,ACS,1.5
Children in care 24 or more months discharged to permanency (%),24.9%,23.2%,ACS,
Precision of unofficial election results (%),1.8%,2.1%,BOE,
- Children in residential care,859,929,ACS,898
Average age of pending waste hauling applications (days),214,208,BIC,199
In-Care Youth who received mental health services (%),46%,50%,ACS,45%
Caseload,"1,318",667,CCHR,952
Children receiving child welfare preventive services (daily average),"23,545","24,889",ACS,"23,690"
