address,fc2_female_insertive_condoms,borough,monday
"119 Christopher Street,n/a",False,Manhattan,8:00 AM - 5:00 PM
4996 Broadway,True,Manhattan,8:00 AM - 5:00 PM
"151 Meserole Street,THE BAR",False,Brooklyn,12:00 PM - 11:00 PM
1684 Woodbine Street,True,Queens,11:00 AM - 4:00 AM
646 Sackett Street,True,Brooklyn,2:00 PM - 4:00 AM
"3058 Bainbridge Avenue,1",True,Bronx,8:30 AM - 4:00 PM
1774 Pitkin Ave,True,Brooklyn,
275 E. GunHill Road,True,Bronx,
3921 Broadway,True,Manhattan,9:00 AM - 10:00 PM
81-09 Roosevelt Avenue,False,Queens,8:00 AM - 5:00 PM
25-50 31st St,True,Queens,
1416 Jerome Avenue,True,Bronx,
"60 East Tremont Avenue,Reception Area",True,Bronx,9:00 AM - 5:00 PM
"80 Grove Street,n/a",False,Manhattan,8:00 AM - 5:00 PM
204 East 58 Street,False,Manhattan,
"156 West 164 Street,first",False,Bronx,8:30 AM - 5:00 PM
"225 West 19 Street,Storefront",True,Manhattan,4:00 PM - 4:00 AM
772 East 80 Street,True,Brooklyn,
3087 Fulton St,True,Brooklyn,
868 E. Tremont Avenue,True,Bronx,
"116 Suffolk Street,n/a",True,Manhattan,9:00 AM - 7:00 PM
5702 Clarendon Road,True,Brooklyn,8:00 AM - 5:00 PM
125 Worth Street,True,Manhattan,8:00 AM - 5:00 PM
471 Lenox Avenue,True,Manhattan,
410 West 40 Street,False,Manhattan,
"1477 Townsend Avenue,BronxWorks - Basement",True,Bronx,9:00 AM - 5:00 PM
"7918 Roosevelt Avenue,1 floor phaarmacy",False,Queens,10:30 AM - 6:30 PM
186 East 104 Street,True,Manhattan,
280 E. 174th Street,True,Bronx,
"78-11 Roosevelt Avenue,Ground",False,Queens,8:00 AM - 5:00 PM
"545 East 142nd Street,3rs room 349",True,Bronx,11:00 AM - 7:00 PM
2839 Church Avenue,True,Brooklyn,12:00 PM - 4:00 AM
1446 Fulton Street,True,Brooklyn,8:00 AM - 5:00 PM
1450 Fulton Street,True,Brooklyn,8:00 AM - 5:00 PM
"3455 Boston Road,FLOOR",True,Bronx,8:00 AM - 5:00 PM
273 Utica Avenue,True,Brooklyn,8:00 AM - 5:00 PM
81-14 Broadway,False,Queens,9:00 AM - 7:30 PM
246 8 Avenue,True,Manhattan,
21 Belmont Ave,True,Brooklyn,
621 Courtlandt Avenue,True,Bronx,
250 West 26 Street,False,Manhattan,
"4 Stuyvesant Avenue,4B",True,Brooklyn,8:00 AM - 5:00 PM
8 Christopher Street,False,Manhattan,8:00 AM - 5:00 PM
208 Utica Avenue,True,Brooklyn,8:00 AM - 5:00 PM
"390 Fort Washington Avenue,Ground Floor",True,Manhattan,9:30 AM - 4:30 PM
32-86 Steinway St.,True,Queens,
366 Myrtle Avenue,True,Brooklyn,8:00 AM - 5:00 PM
6 E.1 84th Street,True,Bronx,
1948 Marmion Avenue,True,Bronx,
"3807 Church Avenue,n/a",False,Brooklyn,9:00 AM - 5:00 PM
630 Morris Avenue,True,Bronx,
194 Utica Avenue,True,Brooklyn,8:00 AM - 5:00 PM
40-14 83 Street,False,Queens,9:30 AM - 10:00 PM
463 Hudson Street,False,Manhattan,8:00 AM - 5:00 PM
909 East. 107th St,True,Brooklyn,
"400 8 Avenue,1st floor",True,Manhattan,8:00 AM - 5:00 PM
"85 Avenue A,""Down the stairs of the Takahachi Japanese Restaurant at 85 Ave A NY, NY, 11210.""",True,Manhattan,8:00 AM - 5:00 PM
1710 University Avenue,True,Bronx,
"146-14 JAMAICA AVENUE,-",False,Queens,9:30 AM - 6:30 PM
363 Utica Avenue,True,Brooklyn,8:00 AM - 5:00 PM
796 E. Tremont Ave,True,Bronx,
56 E. Kingsbridge Road,True,Bronx,
"650 Ashford Street,1 fl",True,Brooklyn,8:30 AM - 8:00 PM
95-54 Roosevelt Ave.,True,Queens,
"1765 Townsend Ave,2",True,Bronx,8:00 AM - 3:30 AM
753 9 Avenue,True,Manhattan,4:00 PM - 4:00 AM
281 Bleecker Street,True,Manhattan,8:00 AM - 5:00 PM
39-06 104th St,True,Queens,
563 w.145th St.,True,Manhattan,
2027 Amsterdam Avenue,True,Manhattan,
"25 Victory Boulevard,3rd Fl.",False,Staten Island,8:00 AM - 5:00 PM
2104 Amsterdam Avenue,False,Manhattan,8:00 AM - 5:00 PM
20 Rockaway Avenue,True,Brooklyn,11:00 AM - 4:00 AM
65 Lenox Avenue,True,Manhattan,
"330 Hinsdale St,SECOND FLOOR OFFICES",True,Brooklyn,9:00 AM - 7:00 PM
2167 Crotona Avenue,True,Bronx,
27 Avenue A,False,Manhattan,11:00 AM - 11:30 AM
603 Vanderbilt Avenue,False,Brooklyn,4:00 PM - 2:00 AM
170 E. 174th Street,True,Bronx,
4A Stuyvesant Ave,True,Brooklyn,
"165 West 127 Street,N/A",True,Manhattan,9:00 AM - 7:00 PM
"45 Suffolk St,3rd Floor",True,Manhattan,9:00 AM - 5:00 PM
478 Rockaway Ave,True,Brooklyn,
180 e. 104th St.,True,Manhattan,
56-15 Northern Boulevard,False,Queens,8:00 AM - 5:00 PM
"2016 Bronxdale Avenue,SUITE 202",False,Bronx,9:00 AM - 5:00 PM
47-02 Vernon Blvd.,True,Queens,
27 Lenox Ave,True,Manhattan,
"440 Seaview Avenue,2nd Floor",True,Staten Island,9:00 AM - 5:00 PM
1028 Rutland Road,True,Brooklyn,8:00 AM - 5:00 PM
1238 Broadway,True,Brooklyn,8:00 AM - 5:00 PM
125 Worth Street,True,Manhattan,9:00 AM - 5:00 PM
2450 Frederick Douglass Boulevard,True,Manhattan,8:00 AM - 5:00 PM
211 Utica Avenue,True,Brooklyn,8:00 AM - 5:00 PM
2006 3 Avenue,False,Manhattan,
708 Ralph Avenue,True,Brooklyn,8:00 AM - 5:00 PM
2447 Creston Avenue,True,Bronx,
"1225 Gerard Avenue,1st floor Administration Suite (Nursing)",True,Bronx,7:30 AM - 7:00 PM
"88-54 165 Street,Ground",True,Queens,
307 W. 38th Street,True,Manhattan,
"88 Visitation Place,2nd Floor",True,Brooklyn,9:00 AM - 4:00 PM
"93 Howard Avenue Brooklyn, NY 11233",True,Brooklyn,
360 East 4 Street,True,Manhattan,
"2611 Webster Ave,N/a",True,Bronx,9:00 AM - 7:00 PM
953 E. 167th Street,True,Bronx,
858 Southern Blvd. (Formerly: 837 Intervale Avenue),True,Bronx,
21 Avenue C,True,Manhattan,
1452 Fulton Street,True,Brooklyn,8:00 AM - 5:00 PM
1880 Amsterdam Ave.,True,Manhattan,
741 Riverdale Avenue,True,Brooklyn,
246 8 Avenue,True,Manhattan,
2425 Grand Avenue,True,Bronx,
"535 Clinton Avenue,Basement",True,Brooklyn,9:00 AM - 5:00 PM
1464 St Johns Place,True,Brooklyn,
"88-01 Parsons Boulevard,1st floor",False,Queens,8:00 AM - 5:00 PM
32-17 Steinway Street,False,Queens,7:00 PM - 4:00 AM
196 SHERMAN AVE.,True,Manhattan,
"859 9 Avenue,ground",False,Manhattan,4:00 PM - 2:00 AM
522 West 181 Street,True,Manhattan,
259 Bristol Street,True,Brooklyn,8:00 AM - 5:00 PM
203 8 Avenue,False,Manhattan,
"264 West 118 Street,1st Floor",True,Manhattan,9:00 AM - 4:30 PM
167 West 4 Street,True,Manhattan,
3175 Villa Avenue,True,Bronx,
171-07A Jamaica Ave,True,Queens,
91-19 37 Avenue,False,Queens,9:00 AM - 9:00 PM
"164-07 Northern Blvd,2nd FL",True,Queens,10:00 AM - 6:00 PM
757 E. 149th Street,True,Bronx,
526 9 Avenue,True,Manhattan,
1016 Longwood Avenue,True,Bronx,
"111-34 Farmers Boulevard,Ground",True,Queens,8:00 AM - 5:00 PM
80-13 Northern Boulevard,False,Queens,10:00 AM - 7:00 PM
4410 Church Avenue,True,Brooklyn,8:00 AM - 5:00 PM
"888 Garrison Avenue,3rd Floor",True,Bronx,8:00 AM - 5:00 PM
7905 Flatlands Avenue,True,Brooklyn,8:00 AM - 5:00 PM
1711 University Avenue,True,Bronx,
"34-33 Junction Boulevard,1st Floor",True,Queens,8:30 AM - 3:30 PM
1399 Fulton Street,True,Brooklyn,8:00 AM - 5:00 PM
150 Sherman Ave.,True,Manhattan,
FLATBUSH AVENUE AND NOSTRAND AVE,True,Brooklyn,
2470 Beaumont Avenue,True,Bronx,
"68-32 Myrtle Avenue,Ground",True,Queens,8:00 AM - 5:00 PM
"227 East 56 Street,6th Floor",False,Manhattan,12:00 AM - 12:00 AM
259 Utica Avenue,True,Brooklyn,8:00 AM - 5:00 PM
"3039 Ocean Parkway,medical office left door",True,Brooklyn,9:00 AM - 6:00 PM
1136 Nostrand Avenue,True,Brooklyn,8:00 AM - 5:00 PM
472 Marcus Garvey Boulevard,True,Brooklyn,8:00 AM - 5:00 PM
503 Hudson Street,True,Manhattan,8:00 AM - 5:00 PM
3154 Fulton St,True,Brooklyn,
986 E. 163rd Street,True,Bronx,
1706 Lexington Avenue,False,Manhattan,9:00 AM - 7:00 PM
647 E. Tremont Avenue,True,Bronx,
5604 Church Avenue,True,Brooklyn,8:00 AM - 5:00 PM
2056 Lexington Avenue,True,Manhattan,8:00 AM - 5:00 PM
