latitude,thursday,wednesday,longitude-saturday
40.680003,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.942566-8:00 AM - 5:00 PM
40.649601,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.930163-8:00 AM - 5:00 PM
40.5842544,9:00 AM - 5:00 PM,9:00 AM - 6:00 PM,-74.0882012-nan
40.8444942,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,-73.9059981-nan
40.663439,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,-73.925218-8:00 AM - 5:00 PM
40.6658962,8:30 AM - 4:30 PM,8:30 AM - 8:00 PM,-73.8833893-nan
40.7551316,,,-73.992355-nan
40.8497663,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,-73.9172273-nan
40.6700199,,,-73.9075873-nan
40.7574,,,-73.994192-nan
40.7510259,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,-73.9969774-nan
40.7157524,9:00 AM - 5:00 PM,9:00 AM - 9:00 AM,-74.002517-nan
