shape_leng,shape_area,status
957.120454002,9183.85555836,Unchanged
196.527172687,1784.36206209,Updated
227.395630881,1566.87912894,Updated
104.515567358,669.075619883,Updated
48.2298322478,133.134551636,Updated
266.41084426,2939.43586201,Updated
498.271254209,4252.80298229,Unchanged
178.340637459,1918.18101079,Unchanged
190.811396355,1840.22112666,Updated
3317.77462887,68406.1822302,Updated
281.457319467,2827.58005606,Updated
660.284795914,8806.55584679,Updated
306.646757249,4192.56801427,Updated
157.246256928,1508.47071211,Unchanged
148.820783284,983.472577587,Updated
453.969537343,3991.92061229,Updated
77.0136843588,319.654215293,Unchanged
522.934961286,6943.86249946,Unchanged
218.339788865,1440.5685105,New
192.509261636,2140.84030431,Updated
302.096825687,3009.3639387,Updated
170.211042507,318.25984463,Updated
527.248050856,6928.72903162,Unchanged
77.8364060997,50.0139403045,Updated
776.558958509,6065.55331383,New
82.0907714508,312.35644682,Unchanged
196.49164655,2408.60981661,Updated
507.230288754,7524.3604009,Unchanged
332.058679275,2250.76333002,New
152.449055959,1450.42740208,Unchanged
109.318452958,474.426066045,Updated
161.650713395,1218.87913384,Updated
77.4283272836,0.363929552272,Updated
369.181811794,6346.05058479,Updated
88.205158032,144.404017026,Updated
135.031790714,731.889079518,Updated
197.234067898,2379.9593675,Updated
256.333268465,788.843538644,Updated
300.200891902,3007.94606381,Unchanged
1339.3283986,18968.1135199,Updated
208.020949369,899.995360813,New
230.335033255,1688.27807398,Unchanged
290.951859621,3049.86960512,Unchanged
848.617763098,7547.24615031,Unchanged
191.035508092,2104.43227464,Updated
206.837280175,610.540089945,Updated
560.030359449,12843.5464252,Unchanged
263.447734145,1778.77531979,Updated
91.2246299745,175.554443519,Updated
604.866259794,10770.1837739,Updated
362.041175886,3547.69020664,Updated
162.826282183,1249.8088797,Unchanged
212.498650903,2834.0934377,Updated
986.00486335,8657.86203362,Updated
1383.84835184,20374.7701962,Unchanged
487.691804761,7318.42112155,Unchanged
284.145252402,3262.53724714,Unchanged
770.643814653,2219.35429279,Updated
732.030264944,11440.3863494,Updated
418.645463371,2115.48658301,Updated
212.001342074,1632.84789834,Updated
140.370171873,1223.81794711,Updated
656.690496817,3997.22812722,Unchanged
606.104860297,10979.4638376,Unchanged
533.173412925,6867.10959724,Unchanged
517.119620945,7115.12555689,Unchanged
916.017097321,3531.24571168,Updated
119.108436102,541.58648794,Updated
117.894712343,576.406069922,Updated
233.787738803,3404.7341815,Updated
192.876573398,876.0393395,Unchanged
137.919414034,785.826066092,Unchanged
325.44934506,4638.96241434,Unchanged
6739.70041181,87691.1264381,Updated
32.4434516648,52.0436979797,Updated
145.944674171,1327.31383752,Unchanged
485.570026332,3435.82801592,Unchanged
40.6400290771,98.6438662954,Updated
278.367074545,2471.70061776,Updated
1028.90565734,2537.87444837,Updated
1241.77262505,34516.0447044,Updated
83.2685472615,389.877121244,Unchanged
143.790956919,1290.23121585,Updated
252.132151782,2986.3726789,Updated
578.711724479,11779.3382969,Unchanged
301.555545917,716.368784607,Updated
285.574713427,2884.0566144,Unchanged
285.760710563,1387.73754178,Updated
130.925792802,741.787880136,Updated
129.553946946,576.67183225,Updated
526.611523439,9642.52306226,Unchanged
