latitude,longitude,y_coordinate
40.83395,-73.876147,243132
40.822052,-73.895879,238790
40.649111,-74.009845,175765
40.661083,-73.908024,180140
40.874872,-73.86706,258045
40.708879,-73.943443,197545
40.662289,-73.938916,180572
40.86942,-73.829027,256077
40.579782,-73.970866,150508
40.713723,-74.003586,199305
40.687303,-73.950965,189683
40.693614,-73.982305,191979
40.692671,-73.991785,170243
40.604258,-73.971654,159425
40.701676,-73.956155,194919
40.878744,-73.915679,259439
40.819754,-73.848209,237972
40.701304,-73.981762,194781
40.607755,-73.962822,160700
40.703179,-73.940761,195469
40.657919,-73.949217,178978
40.853773,-73.881558,250352
40.712828,-74.008296,198979
40.694782,-73.976116,192405
40.668288,-73.873005,182777
40.631169,-73.966466,169230
40.700163,-73.935675,194371
40.660605,-73.883508,179974
40.688335,-73.930144,190063
40.70285,-73.918336,195354
40.663471,-73.905278,181011
40.686471,-73.935295,189383
40.622341,-73.955743,166015
40.627218,-73.971057,167790
40.818913,-73.89355,237647
40.818255,-73.869832,237416
40.69537,-73.917486,192629
40.815994,-73.907843,236579
40.650424,-73.958175,176246
40.712972,-73.945453,199036
40.692184,-73.985753,191458
40.633477,-74.023321,170070
40.691599,-73.91884,191255
40.598158,-73.951186,157205
40.638972,-73.964689,172073
40.819754,-73.848209,237972
40.835141,-73.861061,243572
40.81667,-73.919959,236822
40.575657,-73.961105,149006
40.63357,-73.99006,170103
40.637443,-74.002173,171514
40.573838,-74.000493,148341
40.676909,-73.952667,185896
40.836585,-73.856898,244100
40.690793,-73.991825,190951
40.876315,-73.848561,258579
40.688666,-73.948775,190180
40.843886,-73.830311,246773
40.670654,-73.914575,183625
40.685579,-73.916976,189062
40.708497,-74.007477,197401
40.710353,-74.004007,198077
40.841212,-73.891989,245772
40.86967,-73.869106,256149
40.864263,-73.822023,246773
40.580542,-73.968428,150785
40.705508,-73.963702,196314
40.683365,-73.983941,188245
40.837232,-73.925706,244312
40.578026,-73.954127,149870
40.692671,-73.991785,197638
40.834198,-73.890157,243217
40.573177,-74.002509,148100
40.876062,-73.907886,258464
40.612087,-73.997288,162276
40.64386,-74.012767,173852
40.594966,-73.940825,156044
40.61405,-73.977597,162992
