site_name,latitude,longitude,x_coordinate,sponsor_vendor,gmh_site,zip_code,bbl
JASA Sue Ginsburg,40.861214,-73.859738,1023048,The Jewish Association For Services For The Aged,,10469,2044440001.0
Young at Heart Senior Center at the Flatbush YMCA,40.636511,-73.951539,997700,YMCA Of Greater New York,,11210,3052280008.0
Polish & Slavic Ctr Krakus OAC,40.731692,-73.953577,997116,Polish & Slavic Center Inc,Yes,11222,3025510014.0
JASA Bay Eden Older Adult Center,40.884011,-73.842204,1027883,The Jewish Association For Services For The Aged,Yes,10466,2049050360.0
Sister Annunciata Bethell OAC,40.874205,-73.884457,1016204,Bedford Park-Multi Service Center for Senior Citizens Inc,,10458,2033110146.0
Teresa Moore OAC,40.669208,-73.864514,1021835,"Fort Greene Council, Inc.",,11208,3044880001.0
JCC Project Relief,40.573177,-74.002509,983553,"JCC Of Greater Coney Island, Inc.",,11224,3070650001.0
Prospect Hill NSC,40.663323,-73.989165,987256,St John-St Matthew Emanuel Lutheran Church,,11215,3010530073.0
Bergen Basin Abe Stark Older Adult Center,40.649668,-73.89929,1012196,Bergen Basin Community Development Corporation,Yes,11236,3081520201.0
MBSCC Concourse Plaza Wellness Center for Older Adults,40.827401,-73.92228,1005759,Mid-Bronx Senior Citizens Council Inc,,10451,2024600001.0
Bronx House Weinberg Neighborhood Senior Center,40.856804,-73.860354,1022880,Bronx House Inc,,10461,2043287501.0
Bensonhurst Senior Center,40.606369,-73.989235,987239,Edith And Carl Marks Jewish Community House Of Bensonhurst,,11214,3062640030.0
New Beginnings (Riverdale Y),40.905009,-73.907133,1009921,Young Mens and Young Womens Hebrew Association of the Bronx,Yes,10471,2059520374.0
JASA Scheuer Coney Island OAC,40.573144,-74.001587,983809,The Jewish Association For Services For The Aged,Yes,11224,3070450031.0
NEIGHBORHOOD SHOPP,40.834198,-73.890157,1014646,Neighborhood SHOPP,,10460,2029770103.0
Bronxworks E Roberts Moore,40.812353,-73.909401,1009329,Bronxworks,,10455,2025570083.0
GRC - MAP - Patterson/Eastside Settlement House,40.815197,-73.922179,1005791,Grandparents Resource Center,,10451,2023240001.0
CCNS Glenwood OAC,40.633288,-73.921555,1006023,Catholic Charities Neighborhood Services Inc,Yes,11234,3079780001.0
Agudath Israel Brookdale Senior Center,40.629268,-73.968686,992942,Agudath Israel Of America Community Services Inc,,11230,3064960039.0
Wayside Out Van Dyke II Senior Center,40.664982,-73.903308,1011075,Wayside Out-Reach Development Inc,,11212,3037940001.0
JASA Dreiser,40.877087,-73.829619,1031368,The Jewish Association For Services For The Aged,,10475,2051410500.0
GRC - MAP - Brownsville Social Club,40.665956,-73.905923,1010349,Grandparents Resource Center,,11212,3035610001.0
Wayside Out Langston Hughes Social Club,40.667312,-73.909072,1009475,Wayside Out-Reach Development Inc,,11212,3035260021.0
Shalom,40.663388,-73.939975,1000903,Crown Heights Preservation Corp,,11203,3014267501.0
JASA BUSHWICK HYLAN NORC,40.703179,-73.940761,1000675,Jewish Association for Services for the Aged,,11206,3031290001.0
Arturo Schomburg,40.832062,-73.901641,1011469,Institute For The Puerto Rican Hispanic Elderly Inc,,10456,2029310086.0
RiseBoro Community Partnership,40.691707,-73.919907,1006461,RiseBoro Community Partnership,,11221,3033310025.0
JASA HES Older Adult Center,40.632808,-73.89122,1014443,The Jewish Association For Services For The Aged,,11236,3083180008.0
GRC - MAP - Butler/Hodson Senior Center,40.834189,-73.90854,1009559,Grandparents Resource Center,,10456,2028940001.0
Council of Peoples Organization: Satellite,40.613368,-73.963024,994516,"Council of Peoples Organization, Inc",,11230,3065920041.0
Thomas Guess OAC,40.847236,-73.888101,1015209,The Neighborhood Self-Help By Older Persons Project Inc,Yes,10457,2030940014.0
JCCGCI Kings Highway Older Adult Center,40.604098,-73.969944,992596,Jewish Community Council Of Greater Coney Island Inc,,11223,3066810225.0
JASA Bartow (Coop City NSC),40.86942,-73.829027,1031537,The Jewish Association For Services For The Aged,Yes,10475,2051410100.0
Hope of Israel Senior Citizens Center,40.83213,-73.922213,1005776,Hope of Israel Senior Citizens Center Inc,,10452,2024780007.0
LINDSAY PARK NORC,40.70428,-73.946062,999205,St Nick`s Alliance Corp.,,11206,3030770001.0
JASA Luna Park Annex,40.577347,-73.979625,989910,The Jewish Association For Services For The Aged,Yes,11224,3072660060.0
Wayside Out Rosetta Gaston Senior Center,40.66514,-73.902222,1011376,Wayside Out-Reach Development Inc,,11212,3037970001.0
Brevoort Senior Club,40.679794,-73.922153,1005842,RiseBoro Community Partnership Inc,,11233,3016880001.0
Maria Lawton OAC,40.694788,-73.934645,1002373,"Fort Greene Council, Inc.",,11206,3015950024.0
Betances,40.814544,-73.907628,1009819,Institute For The Puerto Rican Hispanic Elderly Inc,Yes,10455,2026420022.0
East Side House Borinquen Court Mitchel OAC,40.810463,-73.926028,1004727,East Side House Inc,Yes,10454,2023140015.0
RAIN Middletown OAC,40.844355,-73.828806,1031616,Regional Aid For Interim Needs Inc,,10461,2041710024.0
JASA Elder Justice Brooklyn North,40.708953,-73.943458,999926,JASA,,11206,3030260001.0
PSS City Island,40.841097,-73.784187,1043964,Presbyterian Senior Services,,10464,2056400010.0
CCNS St Charles Jubilee OAC,40.695783,-73.995117,985604,Catholic Charities Neighborhood Services Inc,,11201,3002367502.0
RiseBoro Community Partnership,40.699372,-73.935647,1006461,RiseBoro Community Partnership,,11206,3031510012.0
Bergen Basin Vandalia Older Adult Center,40.649799,-73.88676,1015673,Bergen Basin Community Development Corporation,Yes,11239,3044310100.0
Agudath Israel of America Boro Park Senior Citizens Center,40.63368,-74.000703,984055,Agudath Israel Of America Community Services Inc,,11219,3056880036.0
AMICO 59th St Senior Citizen Ctr,40.629332,-73.998022,984799,American Italian Coalition Of Organizations Inc,Yes,11219,3057120001.0
Borinquen Plaza,40.704366,-73.943775,999839,RiseBoro Community Partnership Inc,Yes,11206,3030960030.0
Wayside Out  Glenmore Plaza Social Club,40.670168,-73.907561,1009893,Wayside Out-Reach Development Inc,,11212,3035070001.0
Mid-Bronx  Senior Citizen Council,40.827401,-73.92228,1005759,"Mid Bronx Senior Citizens Council, Inc.",,10451,2024600001.0
CCNS Pete McGuinness OAC,40.729007,-73.95276,997343,Catholic Charities Neighborhood Services Inc,,11222,3025740053.0
Homecrest Bensonhurtst OAC & Ave T Brooklyn,40.612279,-74.000933,983991,Homecrest Community Services Inc,,11214,3062720007.0
Roundtable Senior,40.691707,-73.919907,1006461,RiseBoro Community Partnership Inc,Yes,11206,3033310025.0
JASA SHEEPSHEAD BAY,40.578026,-73.954127,996993,JASA,,11235,3087190073.0
Hazel Brooks OAC,40.638891,-73.958877,995663,"Fort Greene Council, Inc.",,11226,3052060062.0
JASA Einstein,40.864263,-73.822023,1033478,The Jewish Association For Services For The Aged,,10475,2051350210.0
Bergen Basin Penn Wortman Older Adult Center,40.655966,-73.888652,1015145,Bergen Basin Community Development Corporation,,11207,3043690001.0
Bergen Basin Marine Park Older Adult Center,40.608592,-73.937467,1001613,Bergen Basin Community Development Corporation,Yes,11234,3084960001.0
RAIN MULTI SERVICES FOR SENIORS,40.874872,-73.86706,1021015,RAIN MULTI SERVICES FOR SENIORS,,10467,2046240037.0
St Nicks Alliance Cooper Park Social Club,40.718837,-73.939856,1000922,St Nicks Alliance Corp.,,11211,3028670001.0
Shore Hill Older Adult Center,40.622118,-74.040172,973098,Sunset Park Health Council Inc,,11209,3060780010.0
Red Hook NSC,40.675925,-74.001961,983706,Spanish Speaking Elderly Council RAICES Inc,,11231,3005380001.0
NEIGHBORHOOD SHOPP,40.822052,-73.895879,1014646,Neighborhood SHOPP,,10459,2027037501.0
Northeast Bronx,40.833889,-73.826264,1032327,Northeast Bronx Senior Citizens Inc,,10465,2054200002.0
RAIN Eastchester Latin Soul Café OAC,40.871144,-73.851046,1025446,Regional Aid For Interim Needs Inc,,10469,2045810001.0
CCNS St Louis OAC,40.671821,-73.941982,1000344,Catholic Charities Neighborhood Services Inc,,11213,3012500025.0
Wayside Out Brownsville Social Club,40.665956,-73.905923,1010349,Wayside Out-Reach Development Inc,,11212,3035610001.0
Mill Brook OAC,40.805994,-73.917671,1007042,West Side Federation for Senior and Supportive Housing Inc,,10454,2025480002.0
PSS Davidson,40.822812,-73.901821,1011423,Presbyterian Senior Services,Yes,10459,2026780001.0
PSS Andrew Jackson,40.821439,-73.917995,1006947,Presbyterian Senior Services,,10451,2024160001.0
Sumner Senior Club,40.698582,-73.940736,1000683,RiseBoro Community Partnership Inc,,11206,3015800001.0
RAIN Nereid OAC,40.898158,-73.853568,1024732,Regional Aid For Interim Needs Inc,Yes,10466,2050460033.0
Bronxworks Twin Parks West,40.856391,-73.895991,1013022,Bronxworks,,10458,2031430155.0
Bronxworks Soundview,40.814629,-73.867422,1021068,Bronxworks,,10473,2035150040.0
CCNS New Age OAC,40.680929,-73.944383,999676,Catholic Charities Neighborhood Services Inc,,11216,3018540025.0
JASA Throggs Neck Older Adult Center,40.821662,-73.827061,1032115,The Jewish Association For Services For The Aged,Yes,10465,2055680050.0
Patterson Older Adult Centers,40.815197,-73.922179,1005791,East Side House Inc,,10451,2023240001.0
SPRING CREEK NORC,40.648735,-73.879612,1017657,"Spring Creek Senior Partners, Inc",,11239,3044520200.0
Bronxworks East Concourse (My Spot/Mi Rincon OAC),40.848936,-73.904562,1010654,Bronxworks,,10457,2028040021.0
"Southside Los Sures ""David Santiago""",40.710881,-73.96016,995295,Southside United Housing Development Fund Corp,,11211,3024320025.0
Seth Low Social Clubs,40.669205,-73.905172,1010556,"Fort Greene Council, Inc.",,11212,3037270001.0
SAGE Center Brooklyn at Stonewall House,40.693454,-73.978042,990339,Services and Advocacy for Gay Lesbian Bisexual and Transgend,,11201,
Cypress Hills Fulton Street Senior Citizens Ctr,40.682337,-73.876771,1018428,Cypress Hills-Fulton Street Senior Citizens Center Inc,,11208,3041400013.0
Times Plaza Center OAC,40.686296,-73.983223,988903,Spanish Speaking Elderly Council RAICES Inc,,11217,3001840025.0
RAIN Boston Road OAC,40.861733,-73.866616,1021145,Regional Aid For Interim Needs Inc,Yes,10467,2044310001.0
Eileen Dugan Senior Center,40.681371,-73.996391,985251,American Italian Coalition Of Organizations Inc,,11231,3003510031.0
JCCGCI Ocean Parkway Older Adult Center,40.603084,-73.965083,993946,Jewish Community Council Of Greater Coney Island Inc,,11223,3066820045.0
SBH Older Adult Center - Senior Pavilion,40.604832,-73.972263,991952,SBH Community Service Network Inc,,11223,3066580062.0
Bronx River,40.83395,-73.876147,1018523,Institute For The Puerto Rican Hispanic Elderly Inc,,10472,2038860002.0
Neighborhood SHOPP,40.822052,-73.895879,1013068,Neighborhood SHOPP,,10459,2027037501.0
Sunset Park OAC,40.649111,-74.009845,981518,Sunset Park Health Council Inc,Yes,11220,3007460039.0
CCNS Riverway OAC (ISC),40.661083,-73.908024,1009768,Catholic Charities Neighborhood Services Inc,Yes,11212,3036030025.0
RAIN Gunhill OAC,40.874872,-73.86706,1021015,Regional Aid For Interim Needs Inc,,10462,2046240037.0
JASA Williamsburg Older Adult Center,40.708879,-73.943443,999930,The Jewish Association For Services For The Aged,,11206,3030260001.0
Christopher Blenman OAC,40.662289,-73.938916,1001197,"Fort Greene Council, Inc.",Yes,11203,3047950016.0
JASA CO OP CITY NORC,40.86942,-73.829027,1031537,Jewish Association for Services for the Aged,,10475,2051410100.0
JASA TRUMPS UNITED NORC,40.579782,-73.970866,992343,Jewish Association for Services for the Aged,,11224,3072740001.0
NYC Aging Grandparents Resource Center,40.713723,-74.003586,983256,Grandparents Resource Center,,10007,1001550001.0
Wayside Out Tompkins Louis Armstrong Center,40.687303,-73.950965,997849,Wayside Out-Reach Development Inc,,11216,3018020051.0
GRC - MAP - Ingersoll Communitiy Center,40.693614,-73.982305,989157,Grandparents Resource Center,,11201,3020500001.0
CCNS BENSON RIDGE,40.692671,-73.991785,978477,CCNS,,11201,3002550008.0
Sephardic Multi Services Senior Citizens Center Inc,40.604258,-73.971654,992121,Sephardic Multi-Services Senior Citizen Center Inc,,11223,3066580048.0
Congregation Yetev Lev --Williamsburg Satmar,40.701676,-73.956155,996407,Congregation Yetev Lev DSatmar,,11206,3022250042.0
RSS Center for Ageless Living,40.878744,-73.915679,1007568,Riverdale Senior Services Inc,,10463,2057220475.0
Kips Bay Castle Hill OAC,40.819754,-73.848209,1026263,Kips Bay Boys And Girls Club,,10473,2035700001.0
RAICES  Farragut OAC Satellite,40.701304,-73.981762,989307,Spanish Speaking Elderly Council RAICES Inc,,11201,3000710001.0
Council Ctr for Senior Citizens,40.607755,-73.962822,994573,"Brooklyn Section National Council Of Jewish Women, Inc.",Yes,11223,3066420045.0
GRC - MAP - Bushwick Houses,40.703179,-73.940761,1000675,Grandparents Resource Center,,11206,3031290001.0
St Gabriels Episcopal Church NSC,40.657919,-73.949217,998340,Saint Gabriels Episcopal Church,,11225,3048140071.0
RAIN Mt Carmel OAC,40.853773,-73.881558,1017016,Regional Aid For Interim Needs Inc,,10462,2031150005.0
NEW YORK FOUNDATION CASE MANAGEMENT,40.712828,-74.008296,981950,NEW YORK FOUNDATION CASE MANAGEMENT,,10007,1001240004.0
Willoughby OAC,40.694782,-73.976116,990873,"Fort Greene Council, Inc.",,11205,3020410001.0
Cypress Hills Adult Social Club,40.668288,-73.873005,1019480,Cypress Hills-Fulton Street Senior Citizens Center Inc,,11208,3042920061.0
Council of Peoples Organization: Halal Senior Center,40.631169,-73.966466,993558,"Council of Peoples Organization, Inc.",,11230,3066860080.0
Diana Jones ISC,40.700163,-73.935675,1002086,RiseBoro Community Partnership Inc,Yes,11206,3031450100.0
GRC - MAP - Boulevard Houses,40.660605,-73.883508,1016570,Grandparents Resource Center,,11207,3043550001.0
Stuyvesant Gardens Senior Club,40.688335,-73.930144,1003623,RiseBoro Community Partnership Inc,,11221,3016360024.0
Ridgewood Bushwick,40.70285,-73.918336,1006893,RiseBoro Community Partnership Inc,Yes,11237,3032590023.0
Wayside Out Tilden Senior Center,40.663471,-73.905278,1010529,Wayside Out-Reach Development Inc,,11212,3035760001.0
Stuyvesant Heights OAC,40.686471,-73.935295,1002195,"Fort Greene Council, Inc.",,11221,3016450001.0
JCCGCI Midwood Older Adult Center,40.622341,-73.955743,996536,Jewish Community Council Of Greater Coney Island Inc,,11230,3076200025.0
JCCGCI Marien-Heim Older Adult Center,40.627218,-73.971057,992284,Jewish Community Council Of Greater Coney Island Inc,,11230,3065080006.0
SEBCO Senior Center,40.818913,-73.89355,1013714,SEBCO Development Inc,,10459,2027220040.0
SHOPP Soundview Social Club,40.818255,-73.869832,1020279,The Neighborhood Self-Help By Older Persons Project Inc,,10473,2035510001.0
Hope Gardens MultiService,40.69537,-73.917486,1007131,RiseBoro Community Partnership Inc,Yes,11221,3033240019.0
Leon OAC,40.815994,-73.907843,1009759,The Neighborhood Self-Help By Older Persons Project Inc,,10455,2026540002.0
JASA STOREFRONT,40.650424,-73.958175,995856,JASA,,11226,3050890071.0
St Nicks Alliance Swinging Sixties OAC,40.712972,-73.945453,999372,St Nicks Alliance Corp.,,11211,3027700001.0
HEIGHTS & HILLS,40.692184,-73.985753,988201,HEIGHTS & HILLS,,11201,3001480046.0
Bay Ridge Ctr for Health and Wellness,40.633477,-74.023321,977777,Bay Ridge Center Inc,,11209,3058730089.0
Palmetto Gardens Senior Club,40.691599,-73.91884,1006757,RiseBoro Community Partnership Inc,,11221,3033400020.0
JCCGCI Jay-Harama Older Adult Center,40.598158,-73.951186,997806,Jewish Community Council Of Greater Coney Island Inc,Yes,11229,3073520032.0
Dorchester Senior Citizens Center OAC,40.638972,-73.964689,994050,Dorchester Senior Citizens Center Inc,Yes,11226,3051570035.0
GRC - MAP - Castle Hill Senior Center,40.819754,-73.848209,1026263,Grandparents Resource Center,,10473,2035700001.0
RAIN Parkchester One Stop,40.835141,-73.861061,1022697,Regional Aid For Interim Needs Inc,,10462,2039387501.0
"Bronx Legal Services, Inc.",40.81667,-73.919959,1006405,"Bronx Legal Services, Inc.",,10451,2023317501.0
JASA SOUTH BKLYN,40.575657,-73.961105,995055,JASA,,11235,3086930012.0
Boro Park Y OAC,40.63357,-73.99006,987009,Young Mens and Young Womens Hebrew Association of Boro Park,,11219,3056420042.0
CCNS Narrows OAC,40.637443,-74.002173,983647,Catholic Charities Neighborhood Services Inc,,11219,3056660012.0
JASA CONEY ISLAND ACTIVE AGING NORC,40.573838,-74.000493,984113,Jewish Association for Services for the Aged,,11224,3070460022.0
Grant Sq OAC,40.676909,-73.952667,997379,"Fort Greene Council, Inc.",,11216,3012120006.0
CENTER LIGHT PARKCHESTER ENHANCED NORC,40.836585,-73.856898,1023848,Centerlight Health System,,10462,2039387501.0
"Brooklyn Legal Services, Inc.",40.690793,-73.991825,986517,"Brooklyn Legal Services, Inc.",,11201,3002710023.0
RAIN Boston East OAC,40.876315,-73.848561,1026130,Regional Aid For Interim Needs Inc,,10469,2047370105.0
Wayside Out Tompkins Park Senior Center,40.688666,-73.948775,998456,Wayside Out-Reach Development Inc,,11216,3017980040.0
JASA BRONX CASE MANAGEMENT,40.843886,-73.830311,1031200,JASA,,10461,2054000047.0
Marcus Garvey,40.670654,-73.914575,1007947,"Fort Greene Council, Inc.",,11212,3034960013.0
Saratoga Sq Senior,40.685579,-73.916976,1007276,RiseBoro Community Partnership Inc,Yes,11233,3014950013.0
"Mobilization for Justice, Inc.",40.708497,-74.007477,982177,"Mobilization for Justice, Inc.",,10038,1000680036.0
HMH Citywide Asian-American,40.710353,-74.004007,983139,HMH,,10038,1000940025.0
SAGE Center Bronx at Crotona Pride House,40.841212,-73.891989,1014136,Services and Advocacy for Gay Lesbian Bisexual and Transgend,,10457,2029527501.0
PSS Parkside,40.86967,-73.869106,1020452,Presbyterian Senior Services,,10467,2045420100.0
JASA BRONX CASE MANAGEMENT,40.864263,-73.822023,1031200,JASA,,10475,2051350210.0
JASA WARBASSE CARES NORC,40.580542,-73.968428,993020,Jewish Association for Services for the Aged,,11235,3072530001.0
Bergen Basin Independence Older Adult Center,40.705508,-73.963702,994314,Bergen Basin Community Development Corporation,,11249,3021760001.0
Wyckoff Gardens NSC,40.683365,-73.983941,988704,Spanish Speaking Elderly Council RAICES Inc,,11217,3003940001.0
PSS Highbridge,40.837232,-73.925706,1004808,Presbyterian Senior Services,,10452,2025160051.0
JASA Brooklyn,40.578026,-73.954127,996993,JASA,,11235,3087190073.0
CCNS SOUTHWEST,40.692671,-73.991785,1046080,CCNS,,11201,3002550008.0
SHOPP Casa Boricua (OAC),40.834198,-73.890157,1014646,The Neighborhood Self-Help By Older Persons Project Inc,Yes,10460,2029770103.0
JCCGCI Coney Island Seaside Older Adult Center (ISC),40.573177,-74.002509,983553,Jewish Community Council Of Greater Coney Island Inc,Yes,11224,3070650001.0
MMCC-CDC Older Adult Center Marble Hill,40.876062,-73.907886,1009724,Child Development Center of the Mosholu-Montefior Comm Ctr,,10463,1022150623.0
CCNS The Lodge OAC,40.612087,-73.997288,985003,Catholic Charities Neighborhood Services Inc,,11214,3062490006.0
United Neighborhood Senior Citizens Ctr,40.64386,-74.012767,980707,United Senior Citizens Of Sunset Park Inc,Yes,11220,3008070046.0
CCNS The Bay OAC,40.594966,-73.940825,1000684,Catholic Charities Neighborhood Services Inc,,11229,3074051001.0
Sephardic MSSCC House of Jacob Senior Center,40.61405,-73.977597,990470,Sephardic Multi-Services Senior Citizen Center Inc,,11204,3065510045.0
