program_entry_date,intake_max_severity
2016-10-21T00:00:00.000,Misdemeanor
2017-08-04T00:00:00.000,Nonviolent Felony
2017-07-21T00:00:00.000,Unknown
2017-04-25T00:00:00.000,Nonviolent Felony
2019-01-05T00:00:00.000,Misdemeanor
2019-09-08T00:00:00.000,Misdemeanor
2016-03-19T00:00:00.000,Misdemeanor
2018-10-25T00:00:00.000,Nonviolent Felony
2017-11-28T00:00:00.000,Nonviolent Felony
2018-09-21T00:00:00.000,Nonviolent Felony
2018-12-02T00:00:00.000,Nonviolent Felony
2017-01-17T00:00:00.000,Misdemeanor
2017-08-05T00:00:00.000,Misdemeanor
2020-03-09T00:00:00.000,Misdemeanor
2020-02-07T00:00:00.000,Nonviolent Felony
2018-11-15T00:00:00.000,Nonviolent Felony
2017-05-03T00:00:00.000,Misdemeanor
2019-08-16T00:00:00.000,Violent Felony
2018-11-23T00:00:00.000,Misdemeanor
2018-11-07T00:00:00.000,Misdemeanor
2017-11-09T00:00:00.000,Nonviolent Felony
2020-01-03T00:00:00.000,Misdemeanor
2019-01-21T00:00:00.000,Misdemeanor
2018-05-17T00:00:00.000,Misdemeanor
2017-02-12T00:00:00.000,Nonviolent Felony
2018-02-16T00:00:00.000,Misdemeanor
2016-10-21T00:00:00.000,Misdemeanor
2017-12-04T00:00:00.000,Misdemeanor
2019-12-20T00:00:00.000,Nonviolent Felony
2019-01-02T00:00:00.000,Misdemeanor
2017-01-15T00:00:00.000,Nonviolent Felony
2016-04-22T00:00:00.000,Nonviolent Felony
2019-07-25T00:00:00.000,Misdemeanor
2018-04-11T00:00:00.000,Misdemeanor
2017-03-25T00:00:00.000,Nonviolent Felony
2017-03-21T00:00:00.000,Misdemeanor
2017-10-27T00:00:00.000,Misdemeanor
2018-07-17T00:00:00.000,Misdemeanor
2019-03-06T00:00:00.000,Nonviolent Felony
2017-09-24T00:00:00.000,Nonviolent Felony
2016-12-22T00:00:00.000,Misdemeanor
2019-04-08T00:00:00.000,Nonviolent Felony
2017-09-05T00:00:00.000,Violent Felony
2019-11-19T00:00:00.000,Violent Felony
2017-02-19T00:00:00.000,Misdemeanor
2018-09-23T00:00:00.000,Misdemeanor
2019-10-25T00:00:00.000,Nonviolent Felony
2019-11-07T00:00:00.000,Nonviolent Felony
2018-01-19T00:00:00.000,Nonviolent Felony
2017-08-07T00:00:00.000,Misdemeanor
2016-03-09T00:00:00.000,Nonviolent Felony
2019-12-01T00:00:00.000,Nonviolent Felony
2019-01-17T00:00:00.000,Misdemeanor
2018-01-06T00:00:00.000,Misdemeanor
2020-03-06T00:00:00.000,Violent Felony
2018-06-15T00:00:00.000,Misdemeanor
2018-07-03T00:00:00.000,Nonviolent Felony
2019-10-16T00:00:00.000,Misdemeanor
2016-04-27T00:00:00.000,Misdemeanor
2017-10-11T00:00:00.000,Misdemeanor
2019-08-27T00:00:00.000,Misdemeanor
2017-08-02T00:00:00.000,Nonviolent Felony
2017-12-08T00:00:00.000,Nonviolent Felony
2020-02-17T00:00:00.000,Misdemeanor
2019-12-01T00:00:00.000,Misdemeanor
2017-03-03T00:00:00.000,Misdemeanor
2017-07-19T00:00:00.000,Nonviolent Felony
2017-03-30T00:00:00.000,Misdemeanor
2016-03-24T00:00:00.000,Nonviolent Felony
2018-05-08T00:00:00.000,Misdemeanor
2020-01-19T00:00:00.000,Violent Felony
2019-01-11T00:00:00.000,Misdemeanor
2017-11-03T00:00:00.000,Nonviolent Felony
2018-01-12T00:00:00.000,Nonviolent Felony
2019-09-13T00:00:00.000,Misdemeanor
2018-09-26T00:00:00.000,Nonviolent Felony
2019-08-17T00:00:00.000,Violent Felony
2019-10-15T00:00:00.000,Misdemeanor
2018-04-14T00:00:00.000,Nonviolent Felony
2019-12-24T00:00:00.000,Misdemeanor
2019-06-25T00:00:00.000,Violent Felony
2017-03-02T00:00:00.000,Misdemeanor
2017-07-19T00:00:00.000,Misdemeanor
2018-09-26T00:00:00.000,Nonviolent Felony
2016-08-25T00:00:00.000,Nonviolent Felony
2017-07-10T00:00:00.000,Nonviolent Felony
2019-12-12T00:00:00.000,Misdemeanor
2019-01-11T00:00:00.000,Nonviolent Felony
2018-07-16T00:00:00.000,Misdemeanor
2020-01-30T00:00:00.000,Nonviolent Felony
2019-09-03T00:00:00.000,Nonviolent Felony
2017-04-25T00:00:00.000,Nonviolent Felony
2019-06-09T00:00:00.000,Nonviolent Felony
2020-01-21T00:00:00.000,Violent Felony
2019-08-07T00:00:00.000,Nonviolent Felony
2017-09-25T00:00:00.000,Misdemeanor
2018-10-02T00:00:00.000,Unknown
2019-08-25T00:00:00.000,Misdemeanor
2020-02-19T00:00:00.000,Misdemeanor
2019-08-26T00:00:00.000,Nonviolent Felony
2018-12-06T00:00:00.000,Nonviolent Felony
2018-01-21T00:00:00.000,Misdemeanor
2020-01-19T00:00:00.000,Misdemeanor
2017-08-24T00:00:00.000,Nonviolent Felony
2018-06-14T00:00:00.000,Nonviolent Felony
2017-08-05T00:00:00.000,Misdemeanor
2017-05-19T00:00:00.000,Misdemeanor
2018-10-26T00:00:00.000,Nonviolent Felony
2019-11-27T00:00:00.000,Misdemeanor
2019-12-09T00:00:00.000,Nonviolent Felony
2019-10-27T00:00:00.000,Misdemeanor
2020-10-28T00:00:00.000,Unknown
2019-11-06T00:00:00.000,Misdemeanor
2017-07-26T00:00:00.000,Misdemeanor
2019-11-21T00:00:00.000,Misdemeanor
2019-09-11T00:00:00.000,Violent Felony
2018-12-05T00:00:00.000,Nonviolent Felony
