latitude,longitude-census_tract
40.7256,-73.944735-36047058900
40.656046,-73.953742-36047080200
40.601151,-73.992542-36047029600
40.679998,-73.942458-36047027100
40.61869,-73.932548-36047065000
40.622118,-73.936323-36047073600
40.604716,-73.942689-36047056600
40.595662,-73.950712-36047059200
40.607964,-74.003836-36047017800
40.609489,-73.953331-36047055000
40.594896,-73.955462-36047058600
40.672739,-73.966257-36047021500
40.62192,-73.908154-36047070000
40.642087,-73.973876-36047049400
40.718799,-73.957807-36047055300
40.669288,-73.976284-36047015500
40.57948,-73.967816-36047035602
40.637719,-73.960842-36047051800
40.625681,-74.016618-36047020600
40.704819,-73.928504-36047045300
40.577449,-73.962227-36047036200
40.637844,-74.005859-36047010600
40.668853,-73.90743-36047090600
40.621999,-74.019769-36047014000
40.680078,-73.99699-36047007700
40.62186,-74.028749-36047006000
40.609347,-73.97417-36047043400
40.609489,-73.953331-36047055000
40.593712,-73.94137-36047059402
40.619602,-73.916543-36047069602
40.675572,-73.958927-36047030500
40.677788,-73.937041-36047027100
40.580983,-73.964515-36047036400
40.654841,-73.910855-36047089000
40.585752,-73.953672-36047060600
