origid,name,address,latitude,longitude
91-3696-01,Ozgen Dogan M.D.,50 COURT ST.,40.692314,-73.9911
41681503,GORODINSKY EDWARD - DDS,389 COURT STREET,40.680078,-73.99699
41317067,WALTNER JONATHAN - DDS,390 BERRY STREET,40.710035,-73.965589
40839592,ICL HEALTH CARE CHOICES INC.,6209 16TH AVE,40.623596,-73.993242
50092324,COSMOPOLITAN DENTAL PC.,372 86TH ST APT 1,40.622925,-74.028898
40540850,GREENSPAN BRIAN DDS,1655 55 STREET,40.626889,-73.987687
91-2945-01,Interfaith Medical Center,1545 ATLANTIC AVENUE,40.677788,-73.937041
40506752,GREENSPAN HOWARD DC,2692 FORD ST,40.587843,-73.935665
40502336,LIBIN LIANA DDS,1513 VOORHIES AVE,40.585752,-73.953672
40498237,GRAYSON ISABEL W. - DDS,539 EAST 18 STREET,40.637719,-73.960842
40725631,VISINTINI FRANK - DDS,7710 4 AVENUE,40.62922,-74.025737
40500516,HIRSCH J. & SCHWARTZ R,2348 RALPH AVE,40.620582,-73.917384
41725400,PORTMAN RIMMA - DDS,144 NORTH 8 STREET,40.718799,-73.957807
40706700,ELIAV IGOR D.D.S.,203 NASSAU AVE,40.7256,-73.944735
40575378,JOHN VALENTINO,472 BAY RIDGE PKWY,40.629942,-74.02341
40507055,ENRICO DC FERDICO,1736 86 STREET,40.607964,-74.003836
40500964,LAWRENCE & TURE NALITT,820 BROADWAY,40.699327,-73.939466
40498785,STERN WILLIAM - DDS,1607 55 STREET,40.627397,-73.98853
50036092,NEW YORK-PRESBYTERIAN/BROOKLYN METHODIST,50 COURT ST STE 600,40.692314,-73.9911
41087026,CHAVKIN ROSS - DDS,372 86 STREET,40.622925,-74.028898
41587087,PREVENTIVE DIAGNOSTICS INC.,12 SPENCER STREET FL 2ND,40.698512,-73.95597
40584459,ESKENAZI ELLIOT - DDS,2904 AVENUE X,40.593712,-73.94137
41683093,BRAYLOVSKAYA MARIYA - DDS,2250 86 STREET,40.601151,-73.992542
40502258,ALLAN LEBOVITZ - DDS,1490 OCEAN AVENUE,40.626121,-73.956479
41677680,KENNY H. - DDS HO,816 59 STREET,40.635716,-74.008377
41217328,ROSENKRANZ ROBERT - DDS P,300 8 AVENUE,40.669288,-73.976284
50034527,BRIAN GREENSPAN DDS PC,1655 55TH ST,40.626889,-73.987687
50038156,SMILE BROOKLYN DENTAL PC,1545 ATLANTIC AVE,40.677788,-73.937041
40608123,BAKMAN VALENTIN - DDS,1505 GRAVESAND NECK ROAD,40.594896,-73.955462
50053604,HOWARD BERGER,2095 FLATBUSH AVE,40.61869,-73.932548
41424122,LREFUAH MEDICAL & DIAGN,1312 38 STREET,40.640868,-73.985194
40649981,ABELLARD BEAUVOIR - DDS,47 EAST 32 STREET,40.649788,-73.94753
41700938,LAM WAN C. - DDS P,828 55 STREET,40.637844,-74.005859
40495208,AHMED SHAHED-MD,2102 KINGS HIGHWAY,40.611001,-73.952411
41118571,KANEVSKY ALEXANDER - DDS,312 NEPTUNE AVENUE,40.580983,-73.964515
50079147,ROBERT ROSENKRANZ DDS PC,300 8TH AVE BSMT,40.669288,-73.976284
40505663,ESPOSITO ANTHONY DPM,2305 AVENUE U,40.599726,-73.948358
40501150,SUSSMAN STANLEY DDS,1802 55 STREET,40.624662,-73.984038
50006144,OCEANSIDE ANIMAL CLINIC,704 KINGS HWY BSMT 1,40.606178,-73.965459
41645860,L'REFUAH MEDICAL & REHAB,1312 38 STREET,40.640868,-73.985194
50041283,CITY MEDICAL OF UPPER EAST SIDE PLLC,2175 86TH ST,40.602225,-73.994245
40903840,ANTHONY G. - MD SALEH,7206 7 AVENUE,40.629224,-74.017865
41634474,FREYBERG ILYA - DDS,789 FLATBUSH AVENUE,40.653405,-73.959409
50054845,JAKE WONG DDS PC,8684 15TH AVE,40.609759,-74.011241
50058909,COMMUNITY URGENT CARE P.C.,5902 18TH AVE,40.622522,-73.986772
40812967,GELMAN YEVGENIYA - D.D,7601 3RD AVE,40.630641,-74.028116
40506247,INTERFAITH MEDICAL CENTER,1545 ATLANTIC AVENUE RADIOLOGY,40.677788,-73.937041
40501439,LEV J. & ROSEN J,4401 AVENUE D,40.6418,-73.934996
41595579,JOSEPH ADDABBO FAMILY HEALTH CENTER INC.,120 RICHARDS STREET 2ND FLOOR,40.677824,-74.009644
50094870,LIVE WELL DENTAL SERVICES PLLC,86 PIERREPONT ST,40.695418,-73.993848
50056641,QUENTIN SMILE DENTAL SERVICES P.C.,2148 OCEAN AVE STE 401,40.609489,-73.953331
91-3725-01,Shahrokh Abiri M.D.,1783 STILLWELL AVENUE,40.60296,-73.986434
40505696,DIXIT CHAITANYA DPM,2235 WEST 9 STREET,40.593851,-73.979919
40807400,LIKHOLETOVA TAMARA - D.D.S.,3051 OCEAN AVENUE,40.586881,-73.949026
40571711,KREYMAN ZAKHAR DDS,2001 AVENUE P SUITE A2,40.610982,-73.953452
50046413,LENOX HILL RADIOLOGY & MEDICAL ASSOCIATES PC,3245 NOSTRAND AVE,40.604716,-73.942689
91-3712-01,Robert Hyman M.D.,8115 7TH AVENUE,40.621999,-74.019769
41113252,UCHITELEV VSEVOLOD - DDS,907 ST MARKS AVENUE,40.674749,-73.941522
40717290,NIRENSTEIN J. & LEKHT A.,2841 BRAGG STREET,40.584682,-73.933079
50033021,ALISON ANIMAL HOSPITAL,224 PROSPECT PARK W FRNT,40.659952,-73.980757
50066950,QUENTIN SMILE DENTAL SERVICES P.C.,2148 OCEAN AVE STE 401,40.609489,-73.953331
50068680,UP DENTAL PLLC,1916 KINGS HWY FL 2,40.610362,-73.954386
40498136,KRIETCHMAN RAYMOND S. DD,1302 81 ST ST.,40.616681,-74.010604
50073446,DAVID WALTUCH,1475 48TH ST DEPT 1,40.633361,-73.987833
50069971,LIVE WELL DENTAL SERVICES PLLC,86 PIERREPONT ST,40.695418,-73.993848
50058220,SUNSET PARK HEALTH COUNCIL INC,309 47TH ST,40.649042,-74.012289
50073973,GARRY SHNAYDER,1512 AVENUE Z,40.588,-73.953962
50036501,AI MEDICAL URGENT CARE PLLC,76 BELMONT AVE,40.668853,-73.90743
40957890,DR. JOHNSON ALPHEIA,999 FULTON STREET,40.682663,-73.962935
40497388,ALBANO JOSEPH & JOHN,2001 EAST 55 STREET,40.613232,-73.921471
40508344,NORWEGIAN CHRISTIAN HOME,1270 67 STREET,40.625281,-74.003505
41149104,FRIEDMAN ALAN - DDS,3103 AVENUE N 1ST FLOOR,40.617346,-73.943935
41515604,MARINE PARK DENTAL,2865 NOSTRAND AVENUE,40.614541,-73.944514
41037046,CHARNOFF DANIEL - MD & W,2985 QUENTIN ROAD,40.611402,-73.941819
40586064,KAGANOVSKY LAZAR Y. - M.D.,2700 OCEAN AVE,40.595662,-73.950712
40503050,STEINBERG DANIEL DMD,405 AVENUE I,40.626346,-73.973057
40609821,DEBOCK MARK S. - DDS,7500 4 AVENUE,40.630724,-74.025136
50016023,PETER A. COSTALOS DMD PC,466 BAY RIDGE PKWY FL 1,40.63,-74.023507
50053925,MICHAEL CARAMICO,415 BAY RIDGE PKWY,40.630521,-74.024336
50074073,NYU SCHOOL OF MEDICINE,1300 AVENUE P,40.609958,-73.96026
50048759,ITNY DENTAL PC,163 8TH ST,40.671799,-73.989942
50061252,SUNSET PARK HEALTH COUNCIL INC,427 38TH ST FL 3,40.652701,-74.004743
40499273,LUTWAK ELLIS DDS,207 OCEAN PARKWAY,40.644632,-73.974354
50046617,NYU LUTHERAN ASSOCIATES- 77TH STREET PODIATRY,441 77TH ST,40.628773,-74.024609
50092923,BROOKLYN OAK DENTAL CARE PC,319 6TH AVE,40.67188,-73.980721
41736428,UVAYDOV IOSIF - DDS,2001 AVENUE P,40.610982,-73.953452
41439368,LANGROODI HOUMAN - DDS,2233 WEST 9 STREET,40.59386,-73.979919
50071404,ERIC LEIBOWITZ,4522 18TH AVE,40.630159,-73.978431
41668768,VAYSMAN YELENA - DDS,1201 OCEAN PARKWAY,40.619041,-73.969487
40846688,INTERFAITH MEDICAL CENTER(,528 PROSPECT PLACE,40.675572,-73.958927
50008176,MARINE PARK VETERINARY GROUP PC,6315 AVENUE N,40.619602,-73.916543
52-3106-01,NYC Department of Education,65 COURT ST,40.692012,-73.991227
50065963,PROHEALTH CARE ASSOCIATES,2005 CONEY ISLAND AVE,40.608496,-73.96208
40501418,BLUSTIN VLADIMIR DDS,1916 AVENUE K,40.623236,-73.956823
40505978,JACOBSON LINDA DVM,291 KINGS HIGHWAY,40.605143,-73.979746
41235062,ALAN S. BRONER - DDS,773 MONTGOMERY STREET,40.664754,-73.938953
40505586,TARTACK IRA DPM,2650 OCEAN PARKWAY,40.585466,-73.966438
50013574,BOSS DENTAL P.C,1504 AVENUE U FRNT,40.598851,-73.956169
40498076,BIENENSTOCK MARTIN DDS,2940 OCEAN PKWY,40.57948,-73.967816
41549228,PAUL MARKEL,81 WILLOUGHBY STREET,40.692184,-73.985753
41749640,CHAPMAN KENNETH - MD,1513 VOORHIES AVENUE,40.585752,-73.953672
41224034,MCDONALD MARJORIE - DDS,1908 FLATBUSH AVENUE,40.623178,-73.937471
40501267,VAYNSHTEYN SOFYA & BLINSHT,207 OCEAN PARKWAY,40.644632,-73.974354
41693057,SAPIENZA THOMAS M - DDS,7505 FORT HAMILTON PARKWAY,40.625681,-74.016618
40536428,MORGERA FRANK-D.C.,337 COURT STREET,40.682652,-73.995745
41064085,DMITRIY & ZATS TOKAR,1918 AVENUE U,40.599278,-73.952272
50086514,CITY MEDICAL OF UPPER EAST SIDE PLLC,874 FLATBUSH AVE,40.650797,-73.958827
40502464,ROYZMAN Z. & POZNYANSKY,8100 19 AVENUE,40.608697,-73.997601
40495883,ZAWAHIR M. & ZAWAHIR R.,656 72 STREET,40.62946,-74.017974
40984754,MITTAL SURESH C. - DDS,153 4 AVENUE,40.679171,-73.98184
40497125,BERNARD N. DD GRAYSON,1951 FLATBUSH AVE,40.622118,-73.936323
50003070,CHANDHOKE NIRMOLRATTAN,1154 FULTON STREET,40.68095,-73.954849
50003526,PM PEDIATRICS,240 ATLANTIC AVE,40.689305,-73.991234
41052776,KUGELEV MIKHAIL - DDS,1580 DAHILL ROAD,40.609347,-73.97417
41191389,ZHANG H.- MD HE F.-,833 58 STREET FLOOR 1,40.636139,-74.007534
50018346,BIOMECHANIX INC.,409 FULTON ST,40.692003,-73.988692
50081746,LIFE VETERINARY CLINIC PC,1087 FLUSHING AVE,40.704819,-73.928504
41350018,EZRA MEDICAL CENTER,1312 38 STREET,40.640868,-73.985194
41735438,RASKIN SIMON - DPM PC,491 FLUSHING AVENUE,40.699167,-73.955475
40500124,VOGEL MARK DDS,3502 KINGS HIGHWAY STE A9,40.620558,-73.940698
50019140,NYU LANGONE BROOKLYN MEDICAL ASSOCIATES - MARINE PARK,4013 AVENUE U,40.608458,-73.924664
41380931,ZWEIHORN CHANINAH - DDS,4119 13 AVENUE,40.639345,-73.987612
41175953,BONET MIRIAM - DDS,264 JAMAICA AVENUE,40.681012,-73.89139
50051380,BROOKLYN MEDICAL PC,410 DITMAS AVE,40.635892,-73.97483
50037944,QIAO GUO,5417 5TH AVE,40.642712,-74.012796
41735441,RASKIN SIMON - DPM PC,1471 46 STREET,40.634519,-73.98673
50035633,NASSAU DENTAL PARK PC,4522 18TH AVE,40.630159,-73.978431
50082805,MARIO VOLOSHIN,2148 OCEAN AVE,40.609489,-73.953331
50088662,PROHEALTH CARE ASSOCIATES LLP,1783 STILLWELL AVE,40.60296,-73.986434
91-3646-01,Ijaz Ahmad M.D.,76/78 BELMONT AVE,40.668853,-73.90743
41608252,SARJI JIM - DDS,443 9 STREET,40.666657,-73.981079
40504020,GOLDFARB A. & KAUDERER C. DDS/DPM,7713 13 AVENUE,40.619006,-74.008767
41633620,PATRICIA FERNANDEZ CEO,1456 FULTON STREET,40.679998,-73.942458
