median_sale_price,highest_sale_price,type_of_home,number_of_sales,lowest_sale_price
587500,900000,01 ONE FAMILY HOMES                        ,22,360000
512387,680000,03 THREE FAMILY HOMES                      ,8,405000
750000,980000,02 TWO FAMILY HOMES                        ,25,400000
535000,995000,01 ONE FAMILY HOMES                        ,35,347500
580000,580000,01 ONE FAMILY HOMES                        ,1,580000
768750,950000,02 TWO FAMILY HOMES                        ,18,500000
448525,725000,01 ONE FAMILY HOMES                        ,188,175000
492703,660000,02 TWO FAMILY HOMES                        ,21,215000
389000,730000,01 ONE FAMILY HOMES                        ,387,175000
535000,810000,03 THREE FAMILY HOMES                      ,5,390000
835500,5300000,01 ONE FAMILY HOMES                        ,66,252722
900000,1350000,03 THREE FAMILY HOMES                      ,88,180000
730000,995292,02 TWO FAMILY HOMES                        ,10,563000
765000,997885,02 TWO FAMILY HOMES                        ,4,636500
495666,749330,02 TWO FAMILY HOMES                        ,130,270000
569000,3510000,02 TWO FAMILY HOMES                        ,223,191000
444214,970000,01 ONE FAMILY HOMES                        ,90,152500
675000,900000,03 THREE FAMILY HOMES                      ,31,167000
755000,2025000,02 TWO FAMILY HOMES                        ,148,250000
601500,1900000,01 ONE FAMILY HOMES                        ,70,158000
603000,603000,03 THREE FAMILY HOMES                      ,1,603000
784000,3000000,01 ONE FAMILY HOMES                        ,51,250500
770000,3564000,02 TWO FAMILY HOMES                        ,320,225000
600000,980000,02 TWO FAMILY HOMES                        ,116,171616
610000,2900000,01 ONE FAMILY HOMES                        ,13,286850
650000,749000,02 TWO FAMILY HOMES                        ,146,165000
990000,990000,03 THREE FAMILY HOMES                      ,1,990000
495340,875000,01 ONE FAMILY HOMES                        ,50,285600
916425,1240228,02 TWO FAMILY HOMES                        ,12,710000
750000,1260000,03 THREE FAMILY HOMES                      ,6,188173
676000,1300000,02 TWO FAMILY HOMES                        ,77,200000
800000,1130000,03 THREE FAMILY HOMES                      ,15,325000
605000,730000,02 TWO FAMILY HOMES                        ,6,490500
903000,997885,03 THREE FAMILY HOMES                      ,18,530000
455000,820000,01 ONE FAMILY HOMES                        ,313,157500
835000,1500000,02 TWO FAMILY HOMES                        ,133,170000
861000,1272812,03 THREE FAMILY HOMES                      ,25,375000
659000,700000,03 THREE FAMILY HOMES                      ,73,300000
707500,1575000,01 ONE FAMILY HOMES                        ,34,300000
460000,930000,01 ONE FAMILY HOMES                        ,215,156000
850000,1100000,02 TWO FAMILY HOMES                        ,4,615000
557750,1175000,01 ONE FAMILY HOMES                        ,252,175000
764000,995000,03 THREE FAMILY HOMES                      ,22,385000
