the_geom,street,postvz_sl,postvz_sg,shape_leng
"{'type': 'MultiLineString', 'coordinates': [[[-74.11137806285625, 40.55925628050415], [-74.1106247221167, 40.558826808221575]]]}",ROBERTS DRIVE,25,NO,261.343522474
"{'type': 'MultiLineString', 'coordinates': [[[-73.98462562318305, 40.70369779113265], [-73.98466475059176, 40.703040212085135]]]}",BRIDGE STREET,20,NO,239.821213196
"{'type': 'MultiLineString', 'coordinates': [[[-73.98429005801563, 40.671599341237666], [-73.98192833480817, 40.67045688980895]]]}",5 STREET,25,NO,776.18330905
"{'type': 'MultiLineString', 'coordinates': [[[-74.08503459091044, 40.64020609675572], [-74.08720724977535, 40.63990360621899]]]}",HENDRICKS AVENUE,20,YES,612.966661193
"{'type': 'MultiLineString', 'coordinates': [[[-74.02913542083873, 40.6353809873785], [-74.02935769808063, 40.63484493199357]]]}",RIDGE BOULEVARD,25,NO,204.811899084
"{'type': 'MultiLineString', 'coordinates': [[[-74.14312922908985, 40.617830977185235], [-74.14326363442075, 40.61674847247511]]]}",COLLFIELD AVENUE,25,NO,396.146172572
"{'type': 'MultiLineString', 'coordinates': [[[-74.2124736179239, 40.51750775883252], [-74.2104061443984, 40.51788990844048]]]}",STEVENSON PLACE,25,NO,591.45835235
"{'type': 'MultiLineString', 'coordinates': [[[-74.12784817462844, 40.63728566799773], [-74.12789918780923, 40.63644285891768]]]}",RECTOR STREET,25,NO,307.384357209
"{'type': 'MultiLineString', 'coordinates': [[[-74.2170984276719, 40.54780442362648], [-74.21737643896753, 40.54848953364978]]]}",WINANT AVENUE,25,YES,261.286586061
"{'type': 'MultiLineString', 'coordinates': [[[-74.05998339760768, 40.609439379331505], [-74.05974717223845, 40.60908569731546]]]}",WADSWORTH ROAD,25,No,144.58833459
"{'type': 'MultiLineString', 'coordinates': [[[-74.01602913554444, 40.67657195996324], [-74.01665360423588, 40.67603886558772]]]}",CONOVER STREET,25,NO,260.240964708
"{'type': 'MultiLineString', 'coordinates': [[[-73.9853963576657, 40.587040089124706], [-73.98533254787642, 40.586719827853734]]]}",WEST 16 STREET,25,NO,118.017619031
"{'type': 'MultiLineString', 'coordinates': [[[-74.0005313161163, 40.62349817856423], [-74.00120366494448, 40.6228509507449]]]}",14 AVENUE,25,YES,300.730404641
"{'type': 'MultiLineString', 'coordinates': [[[-73.983532772494, 40.60296520688025], [-73.98309356024565, 40.60064211930437]]]}",WEST 11 STREET,25,NO,855.103141772
"{'type': 'MultiLineString', 'coordinates': [[[-74.14636385431488, 40.60750462765738], [-74.14646594898386, 40.60686171426828]]]}",STEWART AVENUE,25,NO,235.939212808
"{'type': 'MultiLineString', 'coordinates': [[[-74.09848665829263, 40.584463344358845], [-74.09780309031403, 40.58403441424649]]]}",SEAVER AVENUE,25,NO,245.907893847
"{'type': 'MultiLineString', 'coordinates': [[[-74.1784036524012, 40.553504386558735], [-74.17883121898917, 40.55276939501886]]]}",LUDLOW STREET,25,NO,292.952267732
"{'type': 'MultiLineString', 'coordinates': [[[-74.08051092794807, 40.608680120030314], [-74.08139587601003, 40.60780910628446]]]}",MOSEL AVENUE,25,YES,401.343900108
"{'type': 'MultiLineString', 'coordinates': [[[-73.9993464685474, 40.59662213678165], [-73.99951193339342, 40.59645004143564]]]}",BAY PARKWAY,25,NO,77.7345732355
"{'type': 'MultiLineString', 'coordinates': [[[-73.98702324724492, 40.69769007556455], [-73.9859967295648, 40.69765750078142]]]}",CONCORD STREET,25,NO,284.890908275
"{'type': 'MultiLineString', 'coordinates': [[[-74.20278740559276, 40.51663163942215], [-74.20476355345286, 40.515367161349424]]]}",HYLAN BOULEVARD,30,YES,717.029407578
"{'type': 'MultiLineString', 'coordinates': [[[-74.01456830241207, 40.6375791487281], [-74.0123650984395, 40.636250376924664]]]}",61 STREET,25,NO,779.918635533
"{'type': 'MultiLineString', 'coordinates': [[[-73.98494376478477, 40.666842068162055], [-73.9825826950703, 40.665701338763334]]]}",11 STREET,25,NO,775.733297084
"{'type': 'MultiLineString', 'coordinates': [[[-74.09295916119616, 40.569395521990444], [-74.0938744158307, 40.5684171682002]]]}",PATTERSON AVENUE,25,NO,437.844036626
"{'type': 'MultiLineString', 'coordinates': [[[-74.14066701852039, 40.61337428834568], [-74.14268294518328, 40.61369403753626]]]}",CASWELL AVENUE,25,NO,571.697317594
"{'type': 'MultiLineString', 'coordinates': [[[-74.00986484628207, 40.64210510622838], [-74.01044841867115, 40.641543698562565]]]}",6 AVENUE,25,NO,260.891385675
"{'type': 'MultiLineString', 'coordinates': [[[-74.17346128913934, 40.54005955669728], [-74.17226851937937, 40.53810419701558]]]}",EAGAN AVENUE,25,NO,785.750024618
"{'type': 'MultiLineString', 'coordinates': [[[-74.08720970173943, 40.609887191819034], [-74.08652953395476, 40.60948333464519]]]}",PIERCE STREET,25,NO,239.404153299
"{'type': 'MultiLineString', 'coordinates': [[[-73.98421883870307, 40.6357343126873], [-73.9847990483905, 40.635173727733054]]]}",15 AVENUE,25,NO,260.087051012
"{'type': 'MultiLineString', 'coordinates': [[[-74.0945771238612, 40.58942482458038], [-74.09524823492175, 40.58893815761525]]]}",HANCOCK STREET,25,NO,257.255485693
"{'type': 'MultiLineString', 'coordinates': [[[-74.07884779198106, 40.64200380830919], [-74.07912380777395, 40.64195255841594]]]}",FORT PLACE,20,YES,78.8433224014
"{'type': 'MultiLineString', 'coordinates': [[[-74.10392247537888, 40.62590507032809], [-74.10475029005117, 40.62581370058657]]]}",THAMES AVENUE,25,NO,232.191015463
"{'type': 'MultiLineString', 'coordinates': [[[-74.13855788042008, 40.61413735904526], [-74.13842483314711, 40.61471288182065]]]}",HARVEY AVENUE,25,NO,212.906873732
"{'type': 'MultiLineString', 'coordinates': [[[-74.12181689670986, 40.6329105011205], [-74.12168661065814, 40.63209926233771]]]}",ROE STREET,25,NO,297.76014382
"{'type': 'MultiLineString', 'coordinates': [[[-74.14046376462461, 40.60307821076691], [-74.14034811794353, 40.60215015667635]]]}",FOREST HILL ROAD,30,YES,339.635581728
"{'type': 'MultiLineString', 'coordinates': [[[-74.14184912928789, 40.572340837939095], [-74.14418736681962, 40.57204563329498]]]}",RICHMOND ROAD,25,NO,658.434513611
"{'type': 'MultiLineString', 'coordinates': [[[-74.0046005127606, 40.61958509106169], [-74.00240022831191, 40.618255360256406]]]}",74 STREET,25,NO,779.629032105
"{'type': 'MultiLineString', 'coordinates': [[[-74.02204101746669, 40.647630690725336], [-74.02262360599326, 40.64707134612481]]]}",1 AVENUE,25,NO,260.124514218
"{'type': 'MultiLineString', 'coordinates': [[[-74.16016778755964, 40.615267351114404], [-74.16055540309772, 40.615473948530756]]]}",LAMBERTS LANE,25,NO,131.325331937
"{'type': 'MultiLineString', 'coordinates': [[[-74.01263091795039, 40.70501101494658], [-74.01258866920895, 40.70467894784286]]]}",NEW STREET,20,NO,121.547765827
"{'type': 'MultiLineString', 'coordinates': [[[-74.13654238992363, 40.63335119634248], [-74.13711436719773, 40.632793931099556]]]}",PORT RICHMOND AVENUE,25,YES,257.728147447
"{'type': 'MultiLineString', 'coordinates': [[[-74.00862946341331, 40.672672640734646], [-74.00898476875919, 40.67197640633702]]]}",COLUMBIA STREET,25,NO,272.133273155
"{'type': 'MultiLineString', 'coordinates': [[[-74.09659868456029, 40.57593618578771], [-74.09761850835682, 40.57478080576456]]]}",MASON AVENUE,25,NO,507.392849007
"{'type': 'MultiLineString', 'coordinates': [[[-74.08734100817874, 40.606455226228626], [-74.08883361873099, 40.605024379872496]]]}",HANOVER AVENUE,25,NO,665.975003246
"{'type': 'MultiLineString', 'coordinates': [[[-73.99774745407873, 40.615444008613764], [-73.99537163899724, 40.61400346420254]]]}",74 STREET,25,NO,842.929771295
"{'type': 'MultiLineString', 'coordinates': [[[-74.0658168368684, 40.59826581989618], [-74.06592458132427, 40.59822938602764]]]}",MC CLEAN AVENUE,25,YES,32.7332229071
"{'type': 'MultiLineString', 'coordinates': [[[-74.09269087989834, 40.632028375421704], [-74.09284913383661, 40.63206421359649]]]}",SILVER LAKE ROAD,25,NO,45.8250005318
"{'type': 'MultiLineString', 'coordinates': [[[-74.01045301162031, 40.680439051690406], [-74.0110217604463, 40.68084113587448]]]}",VERONA STREET,25,NO,215.277271444
"{'type': 'MultiLineString', 'coordinates': [[[-74.10525922792554, 40.585929664115326], [-74.10588540475732, 40.58541543518722]]]}",RICHMOND ROAD,30,YES,255.63347909
"{'type': 'MultiLineString', 'coordinates': [[[-74.00549954416944, 40.68433420851488], [-74.00582070094823, 40.68366480561486]]]}",VAN BRUNT STREET,25,YES,259.639528604
"{'type': 'MultiLineString', 'coordinates': [[[-73.99287655948517, 40.67322177889868], [-73.99338050342725, 40.67261240250149]]]}",2 AVENUE,25,NO,262.357229549
"{'type': 'MultiLineString', 'coordinates': [[[-74.10722051234396, 40.629005219021685], [-74.10697631001068, 40.62768667859393]]]}",LAWRENCE AVENUE,25,NO,485.138408473
"{'type': 'MultiLineString', 'coordinates': [[[-74.10123031943114, 40.58219671660653], [-74.09909040731269, 40.58073345588234]]]}",HULL AVENUE,25,NO,798.450579107
"{'type': 'MultiLineString', 'coordinates': [[[-73.98627664429975, 40.57883166162459], [-73.98734202816281, 40.57870988900479]]]}",NEPTUNE AVENUE,25,YES,299.254527399
"{'type': 'MultiLineString', 'coordinates': [[[-74.16543794087234, 40.6083576452942], [-74.16550506126238, 40.607632188960885]]]}",ARLENE STREET,25,YES,264.958797192
"{'type': 'MultiLineString', 'coordinates': [[[-74.12784817462844, 40.63728566799773], [-74.12867195661428, 40.6373565016494]]]}",RICHMOND TERRACE,30,YES,230.085530336
"{'type': 'MultiLineString', 'coordinates': [[[-74.0017114924282, 40.6499482640788], [-74.00228840360963, 40.649384602098934]]]}",6 AVENUE,25,NO,260.383639569
"{'type': 'MultiLineString', 'coordinates': [[[-73.97949629298165, 40.619203191758295], [-73.9800810772305, 40.61864280156055]]]}",21 AVENUE,25,NO,260.844284504
"{'type': 'MultiLineString', 'coordinates': [[[-74.16425703006941, 40.54884280880817], [-74.16524180465512, 40.54873893390948]]]}",LAMOKA AVENUE,25,NO,276.282575235
"{'type': 'MultiLineString', 'coordinates': [[[-74.20396321939987, 40.54058450329839], [-74.20369044302008, 40.53995766967815]]]}",VERNON AVENUE,25,NO,240.626697761
"{'type': 'MultiLineString', 'coordinates': [[[-74.15482275217055, 40.616892525668206], [-74.15500070886951, 40.61614899483832]]]}",FARRADAY STREET,25,NO,275.356348274
"{'type': 'MultiLineString', 'coordinates': [[[-74.0154255460792, 40.632521379877026], [-74.0157494911678, 40.631772509128545]]]}",7 AVENUE,25,YES,287.268111755
"{'type': 'MultiLineString', 'coordinates': [[[-74.03185797911716, 40.61196018982503], [-74.0325597925355, 40.611164126854796]]]}",FORT HAMILTON PARKWAY,25,YES,349.406377648
"{'type': 'MultiLineString', 'coordinates': [[[-74.14054239237943, 40.554050550210064], [-74.14063346543902, 40.553932271542294], [-74.14074350398081, 40.55382192121501], [-74.1408705180483, 40.55372204110152], [-74.14101178376598, 40.55363479575576], [-74.14116400226904, 40.553561756097736]]]}",AMBOY ROAD,25,NO,251.664354753
"{'type': 'MultiLineString', 'coordinates': [[[-74.00065549235897, 40.60886863839069], [-73.99866854571955, 40.60766492342471]]]}",83 STREET,25,NO,704.765591028
"{'type': 'MultiLineString', 'coordinates': [[[-74.09490469762008, 40.57201911532941], [-74.0958773698023, 40.57097836310538]]]}",FREEBORN STREET,25,NO,465.609001003
"{'type': 'MultiLineString', 'coordinates': [[[-74.01456830241207, 40.6375791487281], [-74.01514719726394, 40.637022850478424]]]}",6 AVENUE,25,NO,258.63287183
"{'type': 'MultiLineString', 'coordinates': [[[-74.08344638199802, 40.627856688156946], [-74.08355197074245, 40.62797492990943]]]}",STONE STREET,25,NO,52.1038203811
"{'type': 'MultiLineString', 'coordinates': [[[-74.13312221649733, 40.55716809207433], [-74.13469994879664, 40.555786852368875]]]}",O'GORMAN AVENUE,25,NO,667.411852501
"{'type': 'MultiLineString', 'coordinates': [[[-74.20435507615176, 40.535168803646904], [-74.2046828957329, 40.535844077244626]]]}",FOSTER ROAD,25,YES,262.351246425
"{'type': 'MultiLineString', 'coordinates': [[[-74.08860239375153, 40.593202951487754], [-74.08879361910736, 40.592539874610935]]]}",BENTON AVENUE,25,NO,247.344549043
