condo_base_bbl_key,condo_base_block,condo_name,condo_base_boro,condo_number
1008860018100587,886,,1,587
1012870001100013,1287,,1,13
1018490031101035,1849,,1,1035
1004730006101179,473,,1,1179
3009540049300076,954,,3,76
1003770015101288,377,,1,1288
3056770064300390,5677,,3,390
3021290018301333,2129,,3,1333
1010530016100233,1053,,1,233
4049550043400276,4955,,4,276
3021310021300539,2131,,3,539
3057520058301348,5752,,3,1348
3022370017301153,2237,,3,1153
3056430063300079,5643,,3,79
3056350055300366,5635,,3,366
3022300010300737,2230,,3,737
3017340027301139,1734,,3,1139
4001600039400308,160,,4,308
1019550005101340,1955,,1,1340
3052770010300135,5277,,3,135
1009030059100321,903,,1,321
1001790010101072,179,,1,1072
4018660062400269,1866,,4,269
1006380031101211,638,,1,1211
1003920001100341,392,,1,341
1014090017100639,1409,,1,639
3009740122300847,974,,3,847
3056210056300282,5621,,3,282
5009420016500140,942,,5,140
5070540301500029,7054,,5,29
4050220048400034,5022,,4,34
1008440010101492,844,,1,1492
4018660064400270,1866,,4,270
4021190001400183,2119,,4,183
3022340024301035,2234,,3,1035
1004690035101085,469,,1,1085
1011580080100414,1158,,1,414
1006320010100962,632,,1,962
1006070061100392,607,,1,392
3011710035301500,1171,,3,1500
3056060021300140,5606,THE PROMENADE CONDOMINIUM,3,140
1005920058100788,592,,1,788
4049550117400248,4955,,4,248
3057030072300687,5703,,3,687
3022640022301283,2264,,3,1283
5053100073500109,5310,,5,109
1002020001100222,202,,1,222
3009830047300644,983,,3,644
3087200165301138,8720,,3,1138
3022410119301088,2241,,3,1088
1013030024100305,1303,,1,305
3010920037300440,1092,,3,440
1016800005100458,1680,,1,458
3002860006300051,286,,3,51
1014670045100687,1467,,1,687
3057690020301262,5769,,3,1262
1004700040100564,470,,1,564
3010660055300679,1066,,3,679
1012260007100511,1226,,1,511
3022410114300859,2241,,3,859
1014140002101465,1414,,1,1465
3064170013301413,6417,,3,1413
3064010027301418,6401,,3,1418
4155570067400179,15557,,4,179
1004340030101526,434,,1,1526
3082170046300052,8217,,3,52
1001350008100662,135,,1,662
2036510001200035,3651,,2,35
3002600048301254,260,,3,1254
3002620035300009,262,,3,9
3002430031300874,243,,3,874
3019660006301147,1966,,3,1147
1000160065100371,16,,1,371
3010530076301128,1053,,3,1128
1001320010101069,132,,1,1069
