buildingid,isaep,worktypegeneral,iscommercialdemolition,apartment,streetname,nta
812538,,DELEAD,,1T,PARKHILL AVENUE,Rosebank-Shore Acres-Park Hill
248060,,GC,,1STFLO,EAST 19 STREET,Midwood
108500,,GC,,1G,SEDGWICK AVENUE,University Heights (North)-Fordham
373056,,GC,,1,SPENCER COURT,Bedford-Stuyvesant (West)
706059,,GC,,6W,YELLOWSTONE BOULEVARD,Forest Hills
55898,,ASBEST,,,CEDAR AVENUE,University Heights (South)-Morris Heights
59251,,GC,,5G,CRESTON AVENUE,Bedford Park
424497,,DELEAD,,26,37 AVENUE,Queensbridge-Ravenswood-Long Island City
1000958,,ASBEST,,,EAGLE AVENUE,
51559,,GC,,,BRISTOW STREET,Crotona Park East
121528,,GC,,21,WEST 238 STREET,Spuyten Duyvil-Kingsbridge
23447,,GC,,,LENOX AVENUE,Central Harlem South
8160,,ELEV,,,BROADWAY,Washington Heights South
806197,,GC,,5Q,MORRIS AVENUE,Mount Hope
230100,,GC,,5C,DEKALB AVENUE,Bushwick North
21289,,GC,,46,EDGECOMBE AVENUE,Hamilton Heights-Sugar Hill
60132,,ELEC,,1 FL,CRUGER AVENUE,Allerton
810769,,ELEC,,B6,96 STREET,East Elmhurst
119640,,GC,,,WASHINGTON AVENUE,Morrisania-Melrose
96761,AEP,GC,,5E,MOHEGAN AVENUE,East Tremont
507427,,GC,,,97 AVENUE,Jamaica
116949,,GC,,,UNIVERSITY AVENUE,Kingsbridge Heights
249525,,GC,,,EAST 21 STREET,Flatbush
62917,AEP,GC,,7,EAST 139 STREET,Mott Haven-Port Morris
343662,,ASBEST,,,NEW YORK AVENUE,Flatlands
366702,,GC,,,SCHAEFER STREET,Bushwick South
42918,,GC,,2A,WEST 161 STREET,Washington Heights South
25225,,GC,,29,MANHATTAN AVENUE,Central Harlem South
842702,,GC,,,HUGHES AVENUE,Tremont
424632,,GC,,1F,37 AVENUE,Jackson Heights
64839,,GC,,,EAST 165 STREET,Longwood
99948,,GC,,3C,OAK TERRACE,Mott Haven-Port Morris
891147,,GC,,,SUMMIT AVENUE,Highbridge
26197,,PLUMB,,,OVERLOOK TERRACE,Washington Heights North
81902,,GC,,3DN,GRAND CONCOURSE,Van Cortlandt Village
633173,,GC,,1STFLO,BEACH 66 STREET,Rockaway Beach-Arverne-Edgemere
29055,,GC,,25,WADSWORTH AVENUE,Washington Heights South
41883,,GC,,3,WEST 145 STREET,Central Harlem North-Polo Grounds
48245,,GC,,,BATHGATE AVENUE,Tremont
241800,,GC,,,EAST 10 STREET,Ocean Parkway South
812535,,GC,,1M,PARKHILL AVENUE,Rosebank-Shore Acres-Park Hill
