omonumber,latitude,longitude,omoawarddate,zip,lifecycle,servicechargeflag,omostatusreason,femaeventid
EM05813,40.668712,-73.929379,2021-11-04T00:00:00.000,11213.0,Standing Building,True,Owner Refused Access,
EN01361,40.850531,-73.895089,2022-09-24T00:00:00.000,10457.0,Standing Building,True,No Access,
EK25152,40.764466,-73.939873,2020-05-11T00:00:00.000,11106.0,Standing Building,True,Owner Refused Access,
EK25154,40.665,-73.767992,2020-05-07T00:00:00.000,11434.0,Standing Building,False,OMO Completed,
EL02119,40.753596,-73.928585,2020-08-10T00:00:00.000,11101.0,Standing Building,False,OMO Completed,
EN01372,40.84902,-73.917491,2022-09-24T00:00:00.000,10453.0,Standing Building,False,OMO Completed,
EM21443,40.647009,-74.007445,2022-04-14T00:00:00.000,11220.0,Standing Building,True,No Access,
DN00463,40.85434,-73.918648,2023-05-24T00:00:00.000,10453.0,Standing Building,False,OMO Completed,
EO06041,40.615752,-74.0815,2023-09-25T00:00:00.000,10304.0,Standing Building,True,Landlord Complied,
DO00065,40.861218,-73.897213,2023-08-11T00:00:00.000,10458.0,Standing Building,False,,
EM27477,40.70554,-73.895235,2022-07-20T00:00:00.000,11385.0,Standing Building,True,No Access,
DN00265,40.804236,-73.948058,2022-11-29T00:00:00.000,10026.0,Standing Building,False,OMO Completed,
EM26842,40.825068,-73.875499,2022-07-11T00:00:00.000,10472.0,Standing Building,True,Refused Access,
DP00191,40.76648,-73.871876,,11369.0,Standing Building,False,Duplicate OMO,
EL01181,40.854252,-73.936292,,10033.0,Standing Building,False,Condition Different than Stated,
EN02147,40.8604,-73.903841,2022-08-03T00:00:00.000,10468.0,Standing Building,False,OMO Completed,
EM21153,40.725023,-73.855031,2022-04-14T00:00:00.000,11374.0,Standing Building,True,No Access,
EL02001,40.706109,-73.928957,2020-08-10T00:00:00.000,11237.0,Standing Building,False,OMO Completed,
EM01038,40.642919,-74.094224,2021-07-28T00:00:00.000,10301.0,Standing Building,False,Work Partially Completed,
