shape_leng,st_label,st_name,r_zip,l_zip,created,bike_trafd,st_width
2640.55060789,HENRY HUDSON PKWY,H HUDSON,10024.0,10024.0,2007-11-29T00:00:00.000,,32.0
265.436542737,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,54.0
300.371374979,11 AVE,11,10011.0,10011.0,2007-11-29T00:00:00.000,,35.0
75.5171179915,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,54.0
25.9657344749,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,54.0
293.660392468,WALL ST,WALL,10005.0,10005.0,2007-11-29T00:00:00.000,,22.0
265.333926285,CHURCH ST,CHURCH,10007.0,10007.0,2007-11-29T00:00:00.000,,54.0
132.831692649,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,50.0
267.359140878,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,54.0
48.3758329416,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,42.0
39.6800205754,HENRY HUDSON PKWY,H HUDSON,10023.0,10023.0,2007-11-29T00:00:00.000,,32.0
249.43959054,CHURCH ST,CHURCH,10013.0,10013.0,2007-11-29T00:00:00.000,,44.0
244.710003881,1 PL,1,10280.0,10280.0,2007-11-29T00:00:00.000,,0.0
167.239884055,WHITEHALL ST,WHITEHALL,10004.0,10004.0,2007-11-29T00:00:00.000,,15.0
32.0701391509,BATTERY PL,BATTERY,10280.0,10280.0,2007-11-29T00:00:00.000,,42.0
244.378911174,W THAMES ST,THAMES,10280.0,10280.0,2007-11-29T00:00:00.000,,60.0
152.186450827,W THAMES ST,THAMES,10280.0,10280.0,2007-11-29T00:00:00.000,,60.0
2802.3165713,12 AVE,12,10023.0,10023.0,2007-11-29T00:00:00.000,,44.0
138.870627228,HENRY HUDSON PKWY,H HUDSON,10024.0,10024.0,2007-11-29T00:00:00.000,,32.0
284.151072026,12 AVE,12,10036.0,10036.0,2007-11-29T00:00:00.000,,44.0
299.945326244,BEAVER ST,BEAVER,10004.0,10004.0,2007-11-29T00:00:00.000,,32.0
262.76257303,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,20.0
256.228122122,WHITEHALL ST,WHITEHALL,10004.0,10004.0,2007-11-29T00:00:00.000,,24.0
240.235010282,CHURCH ST,CHURCH,10007.0,10007.0,2007-11-29T00:00:00.000,FT,60.0
156.999148393,TRINITY PL,TRINITY,10006.0,10006.0,2007-11-29T00:00:00.000,,42.0
551.907785703,12 AVE,12,10018.0,10018.0,2007-11-29T00:00:00.000,,55.0
246.491828116,MORRIS ST,MORRIS,10006.0,10004.0,2007-11-29T00:00:00.000,,40.0
70.5841548372,HUGH L CAREY TUNL,BK BATTERY,10004.0,10004.0,2007-11-29T00:00:00.000,,40.0
280.444780871,BATTERY PL,BATTERY,10280.0,10280.0,2007-11-29T00:00:00.000,,42.0
203.319704441,WALL ST,WALL,10005.0,10005.0,2007-11-29T00:00:00.000,,28.0
145.873836388,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,28.0
272.410527522,12 AVE,12,10001.0,10001.0,2007-11-29T00:00:00.000,,54.0
381.08463002,12 AVE,12,10011.0,10011.0,2007-11-29T00:00:00.000,,32.0
213.647940771,HUGH L CAREY TUNL,BK BATTERY,10004.0,10004.0,2007-11-29T00:00:00.000,,40.0
541.177934899,12 AVE,12,10011.0,10011.0,2007-11-29T00:00:00.000,,34.0
366.643015291,PEARL ST,PEARL,10007.0,10007.0,2007-11-29T00:00:00.000,,30.0
287.622232088,BEAVER ST,BEAVER,10005.0,10005.0,2007-11-29T00:00:00.000,,18.0
350.423224757,STATE ST,STATE,10004.0,10004.0,2007-11-29T00:00:00.000,,50.0
83.6756959874,BROAD ST,BROAD,10004.0,10004.0,2007-11-29T00:00:00.000,,28.0
210.108935509,CHURCH ST,CHURCH,10007.0,10007.0,2007-11-29T00:00:00.000,,54.0
246.244571299,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,50.0
227.113104994,CHURCH ST,CHURCH,10007.0,10013.0,2007-11-29T00:00:00.000,FT,60.0
279.063005164,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,50.0
390.89464021,PEARL ST,PEARL,10004.0,10004.0,2007-11-29T00:00:00.000,TF,20.0
252.154464665,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,54.0
141.030685436,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,50.0
279.965005818,WATER ST,WATER,10005.0,10005.0,2007-11-29T00:00:00.000,,60.0
499.627085376,TRINITY PL,TRINITY,10006.0,10006.0,2007-11-29T00:00:00.000,,40.0
79.457426406,GREENWICH ST,GREENWICH,10006.0,10006.0,2007-11-29T00:00:00.000,,34.0
258.241404652,WATER ST,WATER,10038.0,10038.0,2007-11-29T00:00:00.000,,60.0
357.115653218,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,20.0
486.680993982,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,54.0
261.743037953,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,54.0
224.937953479,CHURCH ST,CHURCH,10007.0,10007.0,2007-11-29T00:00:00.000,,58.0
292.253569179,11 AVE,11,10011.0,10011.0,2007-11-29T00:00:00.000,,35.0
124.678954544,WATER ST,WATER,10038.0,10038.0,2007-11-29T00:00:00.000,,60.0
163.609873363,STATE ST,STATE,10004.0,10004.0,2007-11-29T00:00:00.000,,44.0
160.657404448,BROAD ST,BROAD,10004.0,10004.0,2007-11-29T00:00:00.000,TF,44.0
302.448730581,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,20.0
29.2351825075,WEST ST,WEST,10013.0,10013.0,2007-11-29T00:00:00.000,,42.0
210.271307427,PEARL ST,PEARL,10038.0,10038.0,2009-06-16T00:00:00.000,,60.0
219.080109572,CHURCH ST,CHURCH,10013.0,10013.0,2007-11-29T00:00:00.000,,60.0
244.023775571,CHURCH ST,CHURCH,10013.0,10013.0,2007-11-29T00:00:00.000,,60.0
261.856317526,12 AVE,12,10001.0,10001.0,2007-11-29T00:00:00.000,,54.0
240.410607828,CHURCH ST,CHURCH,10007.0,10007.0,2007-11-29T00:00:00.000,,60.0
328.844106469,PEARL ST,PEARL,10005.0,10005.0,2007-11-29T00:00:00.000,TF,22.0
267.00946861,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,20.0
153.570649209,WALL ST,WALL,10005.0,10005.0,2007-11-29T00:00:00.000,,18.0
248.920718739,WATER ST,WATER,10005.0,10005.0,2007-11-29T00:00:00.000,,60.0
259.186754386,12 AVE,12,10018.0,10018.0,2007-11-29T00:00:00.000,,52.0
378.292046321,HUGH L CAREY TUNL,BK BATTERY,10004.0,10004.0,2007-11-29T00:00:00.000,,18.0
175.070792629,WATER ST,WATER,10004.0,10004.0,2007-11-29T00:00:00.000,,35.0
451.583137731,BEAVER ST,BEAVER,10004.0,10004.0,2007-11-29T00:00:00.000,,22.0
189.000860619,RECTOR ST,RECTOR,10006.0,10006.0,2007-11-29T00:00:00.000,,18.0
254.947383658,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,54.0
39.8069733085,PEARL ST,PEARL,10005.0,10005.0,2007-11-29T00:00:00.000,TF,32.0
289.925047098,WEST ST,WEST,10007.0,10007.0,2007-11-29T00:00:00.000,,55.0
262.345249756,11 AVE,11,10011.0,10011.0,2007-11-29T00:00:00.000,,35.0
128.221830191,12 AVE,12,10018.0,10018.0,2007-11-29T00:00:00.000,,55.0
48.1070970052,BROAD ST,BROAD,10004.0,10004.0,2007-11-29T00:00:00.000,,46.0
148.06050057,PEARL ST,PEARL,10005.0,10005.0,2007-11-29T00:00:00.000,TF,24.0
285.192839565,WEST ST,WEST,10007.0,10007.0,2007-11-29T00:00:00.000,,55.0
17.9559911728,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,54.0
304.287822259,RECTOR ST,RECTOR,10006.0,10006.0,2007-11-29T00:00:00.000,,16.0
304.084206954,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,44.0
524.015608546,12 AVE,12,10019.0,10019.0,2007-11-29T00:00:00.000,,54.0
258.227369033,WEST ST,WEST,10014.0,10014.0,2007-11-29T00:00:00.000,,50.0
426.63766656,HENRY HUDSON PKWY,H HUDSON,10025.0,10025.0,2007-11-29T00:00:00.000,,30.0
439.186341766,BROAD ST,BROAD,10004.0,10004.0,2007-11-29T00:00:00.000,,46.0
263.119643846,12 AVE,12,10001.0,10001.0,2007-11-29T00:00:00.000,,54.0
291.634323,12 AVE,12,10036.0,10036.0,2007-11-29T00:00:00.000,,52.0
188.899308052,WALL ST,WALL,10005.0,10005.0,2007-11-29T00:00:00.000,,30.0
166.916872129,GREENWICH ST,GREENWICH,10006.0,10006.0,2007-11-29T00:00:00.000,,32.0
73.5740181461,HUGH L CAREY TUNL,BK BATTERY,10004.0,10004.0,2007-11-29T00:00:00.000,,40.0
238.139931853,RECTOR ST,RECTOR,10006.0,10006.0,2007-11-29T00:00:00.000,,20.0
337.923517582,WHITEHALL ST,WHITEHALL,10004.0,10004.0,2007-11-29T00:00:00.000,,32.0
265.948774078,WEST ST,WEST,10007.0,10007.0,2007-11-29T00:00:00.000,,52.0
229.001032106,12 AVE,12,10014.0,10014.0,2007-11-29T00:00:00.000,,32.0
180.535503932,WHITEHALL ST,WHITEHALL,10004.0,10004.0,2007-11-29T00:00:00.000,,24.0
230.478597197,CHURCH ST,CHURCH,10007.0,10013.0,2007-11-29T00:00:00.000,FT,60.0
23.81337771,PEARL ST,PEARL,10038.0,10038.0,2007-11-29T00:00:00.000,,54.0
259.579615452,12 AVE,12,10036.0,10036.0,2007-11-29T00:00:00.000,,42.0
193.420462515,BEAVER ST,BEAVER,10004.0,10004.0,2007-11-29T00:00:00.000,,30.0
