pivot-metric,pivot-value,the_geom,trafdir,snow_pri,borocode,physicalid-l_high_hn
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0129978382912, 40.703099516053015], [-74.01287851589179, 40.702664501247185], [-74.01282671055186, 40.702408626673964]]]}",TF,H,1,128-63.0
shape_leng,289.925047098,"{'type': 'MultiLineString', 'coordinates': [[[-74.01343897530212, 40.714430418461134], [-74.01325534455943, 40.71506455461134], [-74.01321811652312, 40.71520821640214]]]}",FT,C,1,258-161.0
shape_leng,62.9063573947,"{'type': 'MultiLineString', 'coordinates': [[[-74.01363266125834, 40.70679389912786], [-74.01351885460902, 40.70694327099632]]]}",FT,C,1,74-0.0
shape_leng,254.947383658,"{'type': 'MultiLineString', 'coordinates': [[[-73.99666737542213, 40.76673968306694], [-73.99622237272236, 40.7673522186317]]]}",FT,C,1,192-0.0
shape_leng,257.712806391,"{'type': 'MultiLineString', 'coordinates': [[[-74.00205785487437, 40.76072221978305], [-74.00162163509579, 40.76134698788215]]]}",FT,C,1,202-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-73.99574495408581, 40.76798999299133], [-73.99484913485443, 40.769256802792036]]]}",FT,C,1,190-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0082589089775, 40.74467384288739], [-74.00811962428791, 40.74537505055023]]]}",FT,C,1,222-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00166466865358, 40.70952276305008], [-74.00162290743312, 40.70956043427792]]]}",TW,H,1,101-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01159675068892, 40.703446660083394], [-74.01064454774598, 40.703695013770016]]]}",TF,C,1,84-71.0
shape_leng,271.345686667,"{'type': 'MultiLineString', 'coordinates': [[[-74.00998418601552, 40.7051477331705], [-74.00902906502225, 40.70531013847116]]]}",FT,H,1,140-77.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01638142202177, 40.71007837134676], [-74.01762947223385, 40.710395761085024]]]}",TW,H,1,56-398.0
shape_leng,328.274951055,"{'type': 'MultiLineString', 'coordinates': [[[-74.01396029905284, 40.707111010591895], [-74.01359196892929, 40.707967342036326]]]}",TF,H,1,66-92.0
shape_leng,128.221830191,"{'type': 'MultiLineString', 'coordinates': [[[-74.0033826474274, 40.75892977901519], [-74.00315984307318, 40.75923825343087]]]}",FT,C,1,205-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01023707839751, 40.73240086019474], [-74.01016258075191, 40.733164720337115]]]}",FT,C,1,236-395.0
shape_leng,445.618623503,"{'type': 'MultiLineString', 'coordinates': [[[-74.01020028920429, 40.70328219200393], [-74.0089875528631, 40.704084827772505]]]}",TW,C,1,118-72.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01388897924912, 40.709497733735695], [-74.0147422924871, 40.70983551791749]]]}",TF,H,1,58-30.0
shape_leng,364.818310834,"{'type': 'MultiLineString', 'coordinates': [[[-74.01638142202177, 40.71007837134676], [-74.01762947223385, 40.710395761085024]]]}",TW,H,1,56-398.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-73.99757475630608, 40.76548940089358], [-73.99712927258527, 40.76610135539957]]]}",FT,C,1,194-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00548224925218, 40.707387571654436], [-74.00432857285517, 40.707823495279854]]]}",TF,C,1,96-265.0
shape_leng,84.1546417537,"{'type': 'MultiLineString', 'coordinates': [[[-74.0147422924871, 40.70983551791749], [-74.01487672259566, 40.7098352414587], [-74.01504575792599, 40.7098313202978]]]}",TF,S,1,57-nan
shape_leng,256.228122122,"{'type': 'MultiLineString', 'coordinates': [[[-74.0129978382912, 40.703099516053015], [-74.01287851589179, 40.702664501247185], [-74.01282671055186, 40.702408626673964]]]}",TF,H,1,128-63.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0129927976973, 40.70935427038371], [-74.01283896749439, 40.709709980376886]]]}",TF,H,1,71-136.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01149590666552, 40.72297046746891], [-74.01135914238981, 40.72361797385921]]]}",FT,C,1,249-271.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01417811318568, 40.70670145862714], [-74.01396029905284, 40.707111010591895]]]}",FT,V,1,67-68.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00950279012935, 40.70637890826033], [-74.00881270660075, 40.70601231098704]]]}",FT,H,1,163-56.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0115498104063, 40.70495073496904], [-74.01155838499058, 40.7047211575981]]]}",TF,H,1,51-69.0
shape_leng,258.188009221,"{'type': 'MultiLineString', 'coordinates': [[[-73.99849707679952, 40.76424494093253], [-73.99804140885739, 40.764863136598045]]]}",FT,C,1,196-0.0
shape_leng,328.844106469,"{'type': 'MultiLineString', 'coordinates': [[[-74.00890108919573, 40.704861846669594], [-74.00869962031369, 40.70495605588047], [-74.00850770220484, 40.70506262736691], [-74.0083272269976, 40.705180661586105], [-74.00815993515327, 40.705309041899696], [-74.00800726907983, 40.70544646155277]]]}",TF,C,1,88-135.0
shape_leng,263.191604835,"{'type': 'MultiLineString', 'coordinates': [[[-74.00384100383815, 40.75829702486884], [-74.0033826474274, 40.75892977901519]]]}",FT,C,1,206-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01174301064889, 40.72162327130305], [-74.01163016792495, 40.722310028884515]]]}",FT,C,1,251-255.0
shape_leng,262.802417229,"{'type': 'MultiLineString', 'coordinates': [[[-74.00798545322678, 40.746087855458825], [-74.0078664338864, 40.74680348007818]]]}",FT,C,1,220-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01105619612144, 40.7251484098777], [-74.01094273105342, 40.725662241966305]]]}",FT,C,1,246-nan
shape_leng,25.2791665773,"{'type': 'MultiLineString', 'coordinates': [[[-74.00162290743312, 40.70956043427792], [-74.00157615385477, 40.709620004022504]]]}",TW,H,1,102-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0070256109346, 40.75379253019804], [-74.00664649267765, 40.75445090308997]]]}",FT,C,1,210-0.0
shape_leng,357.115653218,"{'type': 'MultiLineString', 'coordinates': [[[-74.00548224925218, 40.707387571654436], [-74.00432857285517, 40.707823495279854]]]}",TF,C,1,96-265.0
shape_leng,238.933016188,"{'type': 'MultiLineString', 'coordinates': [[[-74.01149590666552, 40.72297046746891], [-74.01135914238981, 40.72361797385921]]]}",FT,C,1,249-271.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0033826474274, 40.75892977901519], [-74.00315984307318, 40.75923825343087]]]}",FT,C,1,205-0.0
shape_leng,132.831692649,"{'type': 'MultiLineString', 'coordinates': [[[-74.01007533212791, 40.734225615466215], [-74.01004291133181, 40.73458937070711]]]}",FT,C,1,233-415.0
shape_leng,291.634323,"{'type': 'MultiLineString', 'coordinates': [[[-74.0010358752528, 40.761968351756735], [-74.00103326112597, 40.76197036141985], [-74.0002955726903, 40.76253746582068]]]}",FT,C,1,200-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-73.99804140885739, 40.764863136598045], [-73.99757475630608, 40.76548940089358]]]}",FT,H,1,195-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0115498104063, 40.70495073496904], [-74.01147191600678, 40.705033157565275], [-74.01061207105131, 40.705099380096485], [-74.00998418601552, 40.7051477331705]]]}",FT,H,1,139-59.0
shape_leng,193.420462515,"{'type': 'MultiLineString', 'coordinates': [[[-74.01332610865533, 40.70503078785608], [-74.01262946733641, 40.70500276104254]]]}",TF,C,1,138-13.0
shape_leng,51.7131448643,"{'type': 'MultiLineString', 'coordinates': [[[-74.00123476628733, 40.71005533303564], [-74.00113646757461, 40.71017596422536]]]}",TW,H,1,107-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00712975165223, 40.70637505436468], [-74.0067809889086, 40.706723807556656]]]}",TF,C,1,92-199.0
shape_leng,1137.84045163,"{'type': 'MultiLineString', 'coordinates': [[[-74.00984362265525, 40.73937996232994], [-74.00922295495168, 40.74049595292005], [-74.00909896150272, 40.7407568448316], [-74.00889578543955, 40.74146572184104], [-74.00869902296354, 40.74236172346079]]]}",FT,C,1,226-nan
shape_leng,426.63766656,"{'type': 'MultiLineString', 'coordinates': [[[-73.9763358671262, 40.7960634647208], [-73.97625408558243, 40.79615842365773], [-73.97617083226903, 40.79625738038131], [-73.976032994965, 40.79645298441366], [-73.97576236642037, 40.79683702798631], [-73.97564786252292, 40.79710582087967]]]}",FT,C,1,171-nan
shape_leng,2640.55060789,"{'type': 'MultiLineString', 'coordinates': [[[-73.98274152393704, 40.788004638238064], [-73.98255332431934, 40.78849114113375], [-73.98234418773892, 40.78897311160589], [-73.98216972615832, 40.78933507320896], [-73.98211444550027, 40.78944976524043], [-73.98186443003219, 40.78992034559176], [-73.98159459082979, 40.79038412386699], [-73.98158504797253, 40.790400961295084], [-73.98153404058856, 40.79048896847274], [-73.98143128400096, 40.79064968675908], [-73.98123800016651, 40.79095199417497], [-73.98070206124079, 40.79173999638607], [-73.98056778636783, 40.79192060386592], [-73.98036006183955, 40.7922000042959], [-73.98023560726946, 40.792350222330896], [-73.9797152068036, 40.792978331538094], [-73.9795823545119, 40.793138678279995], [-73.97945700755352, 40.79328996527703], [-73.97866906031061, 40.794083018892415], [-73.97844371272363, 40.794276590632606], [-73.97841993911597, 40.79429701200396], [-73.97834289808706, 40.79436812833103], [-73.97833603634825, 40.794371881779185]]]}",FT,C,1,173-nan
shape_leng,34.9385956481,"{'type': 'MultiLineString', 'coordinates': [[[-74.01214432898097, 40.70899264549829], [-74.01208718758026, 40.70907811895355]]]}",FT,H,1,78-96.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00993583928073, 40.73875050106895], [-74.00993766150148, 40.738909216734676], [-74.00992279764942, 40.73906803652941], [-74.00989132755124, 40.739225445331414], [-74.00984362265525, 40.73937996232994]]]}",FT,C,1,227-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01343897530212, 40.714430418461134], [-74.01325534455943, 40.71506455461134], [-74.01321811652312, 40.71520821640214]]]}",FT,C,1,258-161.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0070972885244, 40.71599826551069], [-74.00667419287026, 40.71653207704189]]]}",FT,C,1,152-208.0
shape_leng,292.253569179,"{'type': 'MultiLineString', 'coordinates': [[[-74.00851707994512, 40.74317447135778], [-74.00837173923539, 40.74396898132182]]]}",FT,C,1,224-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01159675068892, 40.703446660083394], [-74.01150567239777, 40.70295884366267]]]}",TW,H,1,47-105.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01092277258164, 40.72579415084571], [-74.01086996931917, 40.726084713593615]]]}",FT,C,1,244-299.0
shape_leng,160.969350427,"{'type': 'MultiLineString', 'coordinates': [[[-74.01417811318568, 40.70670145862714], [-74.01396029905284, 40.707111010591895]]]}",FT,V,1,67-68.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00902906502225, 40.70531013847116], [-74.00800726907983, 40.70544646155277]]]}",TF,H,1,141-95.0
shape_leng,259.186754386,"{'type': 'MultiLineString', 'coordinates': [[[-74.00253166830099, 40.76010885883833], [-74.00237321851532, 40.76032243455831], [-74.00205785487437, 40.76072221978305]]]}",FT,C,1,203-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00945463868723, 40.70452785694512], [-74.00890108919573, 40.704861846669594]]]}",TF,C,1,87-0.0
shape_leng,39.6800205754,"{'type': 'MultiLineString', 'coordinates': [[[-73.98687120791307, 40.78145267598638], [-73.9868200314508, 40.78151283200632], [-73.98679340457568, 40.78154413089683]]]}",FT,C,1,178-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01757437049282, 40.70683986715218], [-74.01712051881411, 40.70746253088078]]]}",TW,C,1,5-82.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00837173923539, 40.74396898132182], [-74.0082589089775, 40.74467384288739]]]}",FT,C,1,223-0.0
shape_leng,221.927584236,"{'type': 'MultiLineString', 'coordinates': [[[-74.01046533974602, 40.71153454724642], [-74.01012167536024, 40.71208469638951]]]}",FT,C,1,144-70.0
shape_leng,258.227369033,"{'type': 'MultiLineString', 'coordinates': [[[-74.00998887757267, 40.735296993104214], [-74.00993003083771, 40.73600434861673]]]}",FT,C,1,231-443.0
shape_leng,109.362860552,"{'type': 'MultiLineString', 'coordinates': [[[-74.00125702002342, 40.71349677866762], [-74.00156635613374, 40.71368306349681]]]}",FT,H,1,112-489.0
shape_leng,48.3758329416,"{'type': 'MultiLineString', 'coordinates': [[[-74.01094273105342, 40.725662241966305], [-74.0109393448893, 40.72568462133885], [-74.01092277258164, 40.72579415084571]]]}",FT,C,1,245-nan
shape_leng,364.16776824,"{'type': 'MultiLineString', 'coordinates': [[[-74.00860072436832, 40.685909564654835], [-74.00878590130911, 40.68614660179633], [-74.00913762518086, 40.686819031243694]]]}",TF,V,1,37-nan
shape_leng,214.559936791,"{'type': 'MultiLineString', 'coordinates': [[[-74.01125467663418, 40.70750763999125], [-74.01067628670197, 40.707116369075244]]]}",TW,V,1,162-20.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01318764361285, 40.70404271697225], [-74.01311348010695, 40.7035871658206]]]}",FT,C,1,132-25.0
shape_leng,24.2785799192,"{'type': 'MultiLineString', 'coordinates': [[[-74.01374945855002, 40.70238955053925], [-74.0138344107159, 40.70240570103803]]]}",TW,C,1,64-15.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01374945855002, 40.70238955053925], [-74.0138344107159, 40.70240570103803]]]}",TW,C,1,64-15.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00156635613374, 40.71368306349681], [-74.00173689530186, 40.71378576394427], [-74.00259803769322, 40.714312726655315]]]}",FT,H,1,113-519.0
shape_leng,233.336146219,"{'type': 'MultiLineString', 'coordinates': [[[-74.00950279012935, 40.70637890826033], [-74.00881270660075, 40.70601231098704]]]}",FT,H,1,163-56.0
shape_leng,93.1013435151,"{'type': 'MultiLineString', 'coordinates': [[[-74.01208718758026, 40.70907811895355], [-74.01193492725311, 40.70930588333295]]]}",FT,H,1,79-102.0
shape_leng,451.583137731,"{'type': 'MultiLineString', 'coordinates': [[[-74.0115498104063, 40.70495073496904], [-74.01147191600678, 40.705033157565275], [-74.01061207105131, 40.705099380096485], [-74.00998418601552, 40.7051477331705]]]}",FT,H,1,139-59.0
shape_leng,39.8069733085,"{'type': 'MultiLineString', 'coordinates': [[[-74.00800726907983, 40.70544646155277], [-74.00794861212007, 40.7055461878137]]]}",TF,C,1,89-155.0
shape_leng,275.846456264,"{'type': 'MultiLineString', 'coordinates': [[[-74.00812645264551, 40.704671797183195], [-74.00739218847701, 40.70518268851544]]]}",TW,C,1,121-116.0
shape_leng,253.945946883,"{'type': 'MultiLineString', 'coordinates': [[[-74.00782941972257, 40.75171391312812], [-74.00755195736613, 40.75237822573365]]]}",FT,C,1,213-0.0
shape_leng,280.444780871,"{'type': 'MultiLineString', 'coordinates': [[[-74.01712051881411, 40.70746253088078], [-74.01662578576105, 40.70813393464956]]]}",TW,C,1,6-98.0
shape_leng,278.774182498,"{'type': 'MultiLineString', 'coordinates': [[[-74.00689991891616, 40.7048242435102], [-74.00610993824033, 40.70435089866511]]]}",NV,,1,168-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01308187710583, 40.709146980592976], [-74.01388897924912, 40.709497733735695]]]}",TF,H,1,59-12.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00755195736613, 40.75237822573365], [-74.00729116852627, 40.75309914259302]]]}",FT,C,1,212-0.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01020028920429, 40.70328219200393], [-74.0089875528631, 40.704084827772505]]]}",TW,C,1,118-72.0
shape_leng,189.828272038,"{'type': 'MultiLineString', 'coordinates': [[[-74.01105619612144, 40.7251484098777], [-74.01094273105342, 40.725662241966305]]]}",FT,C,1,246-nan
shape_leng,244.378911174,"{'type': 'MultiLineString', 'coordinates': [[[-74.01662578576105, 40.70813393464956], [-74.01739796591468, 40.70845740994716]]]}",TW,C,1,24-298.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01308187710583, 40.709146980592976], [-74.0129927976973, 40.70935427038371]]]}",TF,H,1,70-126.0
shape_leng,229.03965886,"{'type': 'MultiLineString', 'coordinates': [[[-74.00925467816931, 40.71325580613428], [-74.00883196127769, 40.71379594739111]]]}",FT,C,1,147-124.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01150567239777, 40.70295884366267], [-74.01116558085066, 40.70178149404092]]]}",TW,C,1,48-129.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00384100383815, 40.75829702486884], [-74.0033826474274, 40.75892977901519]]]}",FT,C,1,206-0.0
shape_leng,262.345249756,"{'type': 'MultiLineString', 'coordinates': [[[-74.00811962428791, 40.74537505055023], [-74.00798545322678, 40.746087855458825]]]}",FT,C,1,221-0.0
shape_leng,273.167349781,"{'type': 'MultiLineString', 'coordinates': [[[-74.00689991891616, 40.7048242435102], [-74.00629274599441, 40.70423376790571]]]}",FT,C,1,167-122.0
pre_direct,W,"{'type': 'MultiLineString', 'coordinates': [[[-74.01662578576105, 40.70813393464956], [-74.01739796591468, 40.70845740994716]]]}",TW,C,1,24-298.0
shape_leng,265.948774078,"{'type': 'MultiLineString', 'coordinates': [[[-74.01292127808581, 40.71639821593498], [-74.01273066939913, 40.7171136291998]]]}",FT,C,1,256-185.0
shape_leng,248.920718739,"{'type': 'MultiLineString', 'coordinates': [[[-74.00878919300352, 40.704210902414125], [-74.00812645264551, 40.704671797183195]]]}",TW,C,1,120-98.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00667419287026, 40.71653207704189], [-74.00624902059795, 40.7170757117057]]]}",FT,C,1,153-228.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0089875528631, 40.704084827772505], [-74.00878919300352, 40.704210902414125]]]}",TW,C,1,119-nan
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00800726907983, 40.70544646155277], [-74.00794861212007, 40.7055461878137]]]}",TF,C,1,89-155.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00838690878152, 40.714362293583214], [-74.00793943414322, 40.71492697262616]]]}",FT,C,1,149-152.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01282671055186, 40.702408626673964], [-74.01266346141553, 40.7018130098396], [-74.01255063481182, 40.70150569621567]]]}",TF,C,1,129-85.0
shape_leng,136.432958534,"{'type': 'MultiLineString', 'coordinates': [[[-74.0129927976973, 40.70935427038371], [-74.01283896749439, 40.709709980376886]]]}",TF,H,1,71-136.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.01168546371265, 40.70969274309439], [-74.01123100601572, 40.71036686413972]]]}",FT,C,1,160-18.0
shape_leng,240.410607828,"{'type': 'MultiLineString', 'coordinates': [[[-74.00883196127769, 40.71379594739111], [-74.00838690878152, 40.714362293583214]]]}",FT,C,1,148-138.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.00768203466184, 40.748672005415], [-74.00772354242926, 40.74882559277673], [-74.00778393659803, 40.74897622535973], [-74.00786255356195, 40.7491219129694], [-74.00795825631906, 40.749260791081596]]]}",FT,C,1,216-0.0
shape_leng,499.627085376,"{'type': 'MultiLineString', 'coordinates': [[[-74.01296134424844, 40.70777032084529], [-74.01214432898097, 40.70899264549829]]]}",FT,H,1,77-94.0
pre_direct,,"{'type': 'MultiLineString', 'coordinates': [[[-74.0002955726903, 40.76253746582068], [-73.9995526044864, 40.763075192296775]]]}",FT,C,1,199-0.0
shape_leng,156.999148393,"{'type': 'MultiLineString', 'coordinates': [[[-74.01193492725311, 40.70930588333295], [-74.01168546371265, 40.70969274309439]]]}",FT,C,1,80-116.0
