coordinates,new_name,limits,:@computed_region_yeji_bk3q
"{'type': 'Point', 'coordinates': [-73.90464433999995, 40.64110722800007]}",Charles Rogers Way,At the intersection of 92nd Street and Flatlands Avenue,2.0
"{'type': 'Point', 'coordinates': [-73.84869196199998, 40.82185799300004]}",Reverend Dr. Jerry Mosby Way,At the intersection of Homer Avenue and Castle Hill Avenue,5.0
"{'type': 'Point', 'coordinates': [-73.95889345299997, 40.74219145100005]}",Tony Mazzarella Way,At the intersection of 2nd Street and Borden Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.85993242399996, 40.753203521000046]}",Army SPC. Alex Jimenez Way,"37 Drive at the north corners of 104, 107 and 108th Streets",3.0
"{'type': 'Point', 'coordinates': [-73.86120437399995, 40.880522314000075]}",Kings 5 Way,At the southwest corner of 216th Street and Barnes Avenue,5.0
"{'type': 'Point', 'coordinates': [-74.08075157199994, 40.629512257000044]}",Michael “Tiger” Heaney Street,On the corner of Jackson Street and Beach Street,1.0
"{'type': 'Point', 'coordinates': [-74.17055955799998, 40.604905332000044]}",SPC Marcus Brown Way,At the intersection of Dinsmore Street and Victory Boulevard,1.0
"{'type': 'Point', 'coordinates': [-73.90012515699993, 40.87597923900006]}",Father David Casella Triangle,The property bounded by Sedgwick Avenue and Reservoir Avenue,5.0
"{'type': 'Point', 'coordinates': [-73.88201413399997, 40.84720232700005]}",Pastor Marie C. Norwood Way,At the intersection of Bronx Park South and Mohegan Avenue,5.0
"{'type': 'Point', 'coordinates': [-73.98346181599999, 40.73816848800004]}",Children’s Court Way,At the northeast corner of Third Avenue and East 22nd Street,4.0
"{'type': 'Point', 'coordinates': [-74.15632423699998, 40.63141381200006]}",Principal Rhonda Whitfield Way,At the northeast corner underneath the Maple Parkway street sign of Maple Parkway and DeRuyter Place,1.0
"{'type': 'Point', 'coordinates': [-73.97402429699997, 40.59682003900008]}",Edward H. Alleva Sr. Corner,The southeast corner of the intersection of Avenue U and Lake Street,2.0
"{'type': 'Point', 'coordinates': [-73.89065193699997, 40.87063885400005]}",Luke Nee 9-11-01,On the Corner of Minerva Place and Grand Concourse,5.0
"{'type': 'Point', 'coordinates': [-73.83464498199999, 40.687499983000066]}",Allama Iqbal Avenue,At the intersection of 109th Street and 101st Avenue,3.0
"{'type': 'Point', 'coordinates': [-73.91699055899994, 40.871512041000074]}",Joseph Kellett Way,SE corner of West 217th Street and Park Terrace West,4.0
"{'type': 'Point', 'coordinates': [-73.85916627599994, 40.745143143000064]}",Edward F. Guida Sr. Way,At the northeast corner of 104th Street and 48th Avenue,3.0
"{'type': 'Point', 'coordinates': [-74.16524333599995, 40.63212796500005]}",Alafia Rodriguez Way,At the intersection of Brabant Avenue and Grandview Avenue,1.0
"{'type': 'Point', 'coordinates': [-73.98483763999997, 40.682909352000024]}",Samyia Spain Place,At the intersection of Nevins Street and Warren Street,2.0
"{'type': 'Point', 'coordinates': [-73.82386796299994, 40.82492694300004]}",John McNamara Square,"An existing triangle formed by the intersection of Randall Avenue, Calhoun Avenue and the service road of the Cross Bronx Expressway.",5.0
"{'type': 'Point', 'coordinates': [-73.94730318099994, 40.82333595600005]}",W. Haywood Burns Corner,Southwest corner of Convent Avenue and West 143rd Street,4.0
"{'type': 'Point', 'coordinates': [-73.92163790499995, 40.67886689000005]}",Chief Charles A. Joshua Plaza,"The intersection of Fulton Street, Ralph Avenue and MacDougal Street",2.0
"{'type': 'Point', 'coordinates': [-73.89778715399996, 40.81725448900005]}",Police Officer Jose Collazo Sr. Way,At the intersection of Beck Street and Longwood Avenue,5.0
"{'type': 'Point', 'coordinates': [-73.97131601999996, 40.792755019000026]}",DiDi Ford Way,At the intersection of West 94th Street and Amsterdam Avenue,4.0
"{'type': 'Point', 'coordinates': [-74.08451798099998, 40.64819401200003]}",Lisa Moudatsos Way,At the intersection of St. Peter’s Place and Richmond Terrace,1.0
