limits,:@computed_region_sbqj_enih,enactment_number,:@computed_region_92fq_4b7q
At the northside of 115th Road and Farmers Boulevard,71.0,2019/024,6.0
At the southeast corner of 43rd Street and 10th Avenue,39.0,2014/034,27.0
At the intersection of 159th Street and Broadway,21.0,2023/110,23.0
At the intersection of Stanton Street and Pitt Street,4.0,2014/034,50.0
An existing park located on the south side of West 64th Street between West End Avenue and Amsterdam Avenue,12.0,1990/008,19.0
At the southwest corner of 210th Street and Horace Harding Expressway adjacent to the Armenian Church of Holy Martyrs,69.0,2018/139,16.0
At the intersection of Overlook Terrace and Windemere Road,76.0,2012/014,14.0
At the intersection of Seaview Avenue and Father Capodanno Boulevard,76.0,2023/110,14.0
At the intersection of Marcy Place and Walton Avenue,27.0,2024/081,42.0
The intersection of Linden Street and Cypress Avenue,62.0,2004/008,30.0
At the intersection of East 78th Street and 1st Avenue,11.0,2025/121,1.0
At the intersection of Mosholu Parkway South and Perry Avenue,34.0,2018/139,40.0
At the southeast corner of 60th Street and Broadway,12.0,2013/131,10.0
At the intersection of 92nd Street and Flatlands Avenue,42.0,2023/044,8.0
At the northeast corner of Third Avenue and East 22nd Street,7.0,2017/237,50.0
"A sitting area located in the north side of the Queens Midtown Expressway, (Bordon Avenue), at the intersection of Grand Avenue and 69th Street between 68th Street and 69th Street.",62.0,1986/004,34.0
The southeast corner of the intersection of New Lane and Bay Street,74.0,2003/006,13.0
The northeastern corner of the intersection of west Forty-Second Street and Twelfth Avenue,6.0,1989/065,10.0
At the intersection of Nevins Street and Warren Street,48.0,2025/121,38.0
At the intersection of 106th Street and Park Avenue,14.0,2023/044,35.0
At the northeast corner of Union Turnpike and Bell Boulevard,69.0,2017/110,16.0
At the southeast corner of 63rd Street and Broadway,12.0,2019/024,19.0
At the southeast corner of Bedford Street and Grove Street,3.0,2015/076,10.0
At the intersection of 24th Avenue and Crescent Street,72.0,2025/010,4.0
At the intersection of Gilmore Street and 27th Avenue,73.0,2025/121,21.0
At the intersection of Lyndale Avenue and Koch Boulevard,77.0,2023/044,9.0
On the Corner of Dawson Place and Hylan Boulevard,76.0,2006/050,14.0
At the northwest side of Atlantic Avenue and 3rd Avenue,54.0,2019/158,38.0
At the northeast corner of 98th Place and 57th Avenue,68.0,2021/014,21.0
At the intersection of Avenue D and East 40th Street,40.0,2013/050,26.0
At the intersection of Austin Street and Ascan Avenue,70.0,2011/047,28.0
At the intersection of Ridge Boulevard and 89th Street,41.0,2020/026,44.0
At the intersection of West 246th Street and Henry Hudson Parkway,33.0,2016/092,40.0
At the intersection of Vincent Avenue and Amboy Road,76.0,2023/044,14.0
Intersection of Monroe Avenue and East 175th Street,29.0,2007/028,22.0
The intersection of Richmond Road and Todt Hill Road,76.0,2003/062,14.0
"An existing park located on the north side of the North Conduit, the east side of 130th Place, the south side of 135th Road and the south side of 135th Avenue",64.0,1988/082,46.0
At the intersection of Middletown Road and Stadium Avenue,28.0,2021/014,12.0
At the intersection of Grandview Avenue and Richmond Terrace,75.0,2009/046,13.0
At the intersection of Townsend Avenue and East 172nd Street,27.0,2023/110,29.0
At the intersection of 25th Street and 10th Avenue,6.0,2024/081,10.0
Southwest corner of Convent Avenue and West 143rd Street,19.0,2000/034,23.0
At the intersection of Melrose Avenue and 158th Street,23.0,2022/054,43.0
At the intersection of Williams Avenue and Riverdale Avenues,47.0,2011/047,25.0
At the intersection of 39th Avenue and 233rd Street,69.0,2022/054,20.0
At the northeast side of Metropolitan Oval at Metropolitan Avenue and Purdy Street,26.0,2024/081,31.0
At the intersection of Dongan Street and Richmond Terrace,74.0,2014/034,13.0
At the intersection of Beck Street and Longwood Avenue,24.0,2025/121,43.0
At the intersection of Bronx Park South and Mohegan Avenue,31.0,2021/014,22.0
The southeast corner of the intersection of Sanford Place and Slosson Avenue,74.0,2002/028,14.0
At the intersection of East 21st Street and Emmons Avenue,36.0,2009/092,15.0
At the northwest corner of Lefferts Boulevard and Austin Street,60.0,2020/026,28.0
The northeast corner at the intersection of West 135th Street,17.0,1998/044,36.0
At the intersection of Victory Boulevard and St. Marks,74.0,2009/046,13.0
At the intersection of 41st Street and Queens Boulevard,66.0,2013/050,33.0
Intersection at 31st Avenue and 55th Street,72.0,1992/026,4.0
At the northeast corner of Vespa Avenue and Arden Avenue,77.0,2013/131,9.0
At the northeast corner of 104th Street and 48th Avenue,68.0,2016/023,21.0
On the center median on Neptune Avenue and the corner of West 6th Street,35.0,2008/048,45.0
At the intersection of Schenck Avenue and Cozine Avenue,47.0,2022/081,25.0
"An existing triangle formed by the intersection of Randall Avenue, Calhoun Avenue and the service road of the Cross Bronx Expressway.",28.0,1985/027,12.0
At the northwest corner of Richard Avenue and Bartow Avenue,77.0,2017/045,9.0
The southeast corner off the intersection of East Broadway and Jefferson Street,4.0,1989/008,32.0
At the intersection of Crescent Avenue and Adam's Place,31.0,2022/054,22.0
The southwest corner at the intersection of Varick Street and Ericsson Place,1.0,1997/050,32.0
The intersection of Sleight Avenue and Amboy Road,77.0,2003/062,9.0
SE corner of West 217th Street and Park Terrace West,22.0,2005/131,39.0
The intersection of East 166th Street and Prospect Avenue,25.0,1990/022,43.0
At the northwest corner of 32nd Avenue and 102nd Street,73.0,2008/048,21.0
At the intersection of East 107th Street and Lexington Avenue,14.0,2025/121,35.0
At the southeast corner of Forest Avenue and Oakland Avenue,74.0,2019/024,13.0
The east corner of the intersection of the intersection of Fulton Street and Warren Street,74.0,2003/034,13.0
Port Richmond Avenue at the North side of New Street,75.0,2006/013,13.0
On the Southwest Corner of Academy Street and Vermilyea Avenues,22.0,2006/050,39.0
"37 Drive at the north corners of 104, 107 and 108th Streets",73.0,2008/048,21.0
At the intersection of West 94th Street and Amsterdam Avenue,15.0,2023/110,19.0
At the intersection of Creston Avenue and 193rd Street,34.0,2022/054,29.0
"The intersection of East Gun Hill Road, Fenton Avenue, Knapp Street, Morgan Avenue and Dewitt Place",30.0,1991/096,2.0
The property bounded by Sedgwick Avenue and Reservoir Avenue,33.0,2003/014,29.0
At the intersection of Avenue N and East 15th Street,43.0,2023/044,15.0
At the intersection of St. Peter’s Place and Richmond Terrace,74.0,2009/046,13.0
The intersection of Huguenot Avenue and Rensselaer Avenue,77.0,2003/034,9.0
At the intersection of Dinsmore Street and Victory Boulevard,75.0,2018/139,14.0
Pulaski Avenue at the southeast corner of Walker Street,75.0,2006/050,13.0
At the intersection of Erasmus Street and Bedford Avenue,40.0,2025/010,11.0
The northeast corner of the intersection of Elmira Avenue and Wescott Boulevard,74.0,2003/006,14.0
At the intersection of Homer Avenue and Castle Hill Avenue,26.0,2009/025,31.0
At the intersection of West 126th Street and Malcolm X Boulevard,18.0,2013/131,36.0
At the intersection of 157th Street and 110th Avenue,61.0,2022/054,46.0
The southeast corner of the intersection of University Place and Forest Avenue,74.0,2003/006,13.0
At the northeast corner of Forest Avenue and Harbor Road,75.0,2015/076,13.0
At the intersection of Ocean Avenue and Avenue V,36.0,2022/081,15.0
At the intersection of Water Street and Adams Street,54.0,2024/081,38.0
Corner of Walton Avenue and Cameron Place,29.0,2007/028,29.0
The northwest corner of the intersection of 64th Street and 11th Avenue,41.0,2004/063,7.0
At the southeast corner of Jerome Avenue and Kingsbridge Avenue,34.0,2022/054,29.0
At the intersection of 2nd Street and Borden Avenue,66.0,2017/045,33.0
At the intersection of Glenmore Avenue and 79th Street,64.0,2024/041,41.0
At the intersection of 64th Road and Yellowstone Boulevard,70.0,2024/081,28.0
The intersection of 92nd Street and Fort Hamilton Parkway,41.0,2001/071,44.0
At the intersection of Brabant Avenue and Grandview Avenue,75.0,2023/044,13.0
