year,development,boro,cc,number_of_public_housing
2022,JACKSON,BRONX,17,30
2022,1010 EAST 178TH STREET,BRONX,15,0
2022,1471 WATSON AVENUE,BRONX,17,<5
2022,GLENMORE PLAZA,BROOKLYN,37,13
2022,BEACH 41ST STREET-BEACH CHANNEL DRIVE,QUEENS,31,22
2022,HOWARD AVENUE-PARK PLACE,BROOKLYN,41,13
2022,LEAVITT STREET-34TH AVENUE,QUEENS,20,0
2022,MELTZER TOWER,MANHATTAN,2,0
2022,LOWER EAST SIDE III,MANHATTAN,2,<5
2022,BROWNSVILLE,BROOKLYN,41,62
2022,FHA REPOSSESSED HOUSES (GROUP X),QUEENS,27,0
2022,FULTON,MANHATTAN,3,19
2022,CONEY ISLAND I (SITE 1B),BROOKLYN,47,8
2022,FIORENTINO PLAZA,QUEENS,27,0
2022,JEFFERSON,MANHATTAN,8,35
2022,MANHATTANVILLE,MANHATTAN,7,29
2022,HIGHBRIDGE REHABS (ANDERSON AVENUE),BRONX,16,0
2022,CORSI HOUSES,MANHATTAN,8,0
2022,FHA REPOSSESSED HOUSES (GROUP III),BRONX/QUEENS,12,0
2022,CLAREMONT PARKWAY-FRANKLIN AVENUE,BRONX,16,<5
2022,GRAVESEND,BROOKLYN,47,34
2022,HUNTS POINT AVENUE REHAB,BRONX,17,<5
2022,BETANCES IV,BRONX,12,0
2022,LA GUARDIA,MANHATTAN,1,23
2022,FRANKLIN AVENUE III CONVENTIONAL,BRONX,14,0
2022,BELMONT-SUTTER AREA,BROOKLYN,36,0
2022,EAGLE AVENUE-EAST 163RD STREET,BRONX,17,<5
2022,BERRY STREET-SOUTH 9TH STREET,STATEN ISLAND,50,0
2022,AUDUBON,BROOKLYN,35,0
2022,"BETANCES II, 13",BRONX,12,0
2022,104-14 TAPSCOTT STREET,BROOKLYN,41,0
2022,FRANKLIN AVENUE I CONVENTIONAL,BRONX,14,0
2022,CONEY ISLAND I (SITES 4 & 5),BROOKLYN,47,15
2022,KINGSBOROUGH EXTENSION,BROOKLYN,41,0
2022,DREW-HAMILTON,MANHATTAN,9,22
2022,1011 EAST 178TH STREET,BRONX,15,<5
2022,GOMPERS,MANHATTAN,2,8
2022,HOE AVENUE-EAST 173RD STREET,BRONX,17,<5
2022,BARUCH HOUSES ADDITION,MANHATTAN,2,0
2022,LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,2,0
2022,BUSHWICK II (GROUPS A & C),BROOKLYN,34,0
2022,LONG ISLAND BAPTIST HOUSES,BROOKLYN,42,<5
2022,MCKINLEY,BRONX,16,9
2022,830 AMSTERDAM AVENUE,MANHATTAN,7,<5
2022,DE HOSTOS APARTMENTS,MANHATTAN,6,5
2022,BUTLER,BRONX,16,35
2022,MANHATTANVILLE REHAB (GROUP 2),MANHATTAN,7,0
2022,572 WARREN STREET,MANHATTAN,1,0
2022,HARLEM RIVER,MANHATTAN,6,0
2022,CONEY ISLAND,BROOKLYN,47,18
2022,ASTORIA,QUEENS,0,65
2022,BOULEVARD,BRONX,13,0
2022,CYPRESS HILLS,BROOKLYN,42,57
2022,BRACETTI PLAZA,MANHATTAN,2,<5
2022,BRONX RIVER,BRONX,18,28
2022,ALBANY II,BROOKLYN,36,19
2022,BLAND,QUEENS,20,9
2022,CLAREMONT REHAB (GROUP 3),BRONX,16,<5
2022,HIGHBRIDGE REHABS (NELSON AVENUE),BRONX,16,0
2022,CROWN HEIGHTS,BROOKLYN,41,7
2022,CLASON POINT GARDENS,BRONX,18,12
2022,BRYANT AVENUE-EAST 174TH STREET,BRONX,17,<5
2022,CARVER,MANHATTAN,8,34
2022,CAREY GARDENS,BROOKLYN,47,24
2022,ADAMS,BRONX,17,22
2022,BROWN,BROOKLYN,41,<5
2022,KINGSBOROUGH,BROOKLYN,41,24
2022,FHA REPOSSESSED HOUSES (GROUP IX),BROOKLYN/QUEENS,35,0
2022,INGERSOLL,BROOKLYN,35,71
2022,BREVOORT,BROOKLYN,41,40
2022,BAYCHESTER,BROOKLYN,46,0
2022,HARLEM RIVER II,MANHATTAN,6,0
2022,BOSTON SECOR,BRONX,13,16
2022,EAST NEW YORK CITY LINE,BROOKLYN,42,<5
2022,"BETANCES III, 13",BRONX,12,0
2022,BUSHWICK II (GROUPS B & D),BROOKLYN,34,0
2022,FIRST HOUSES,MANHATTAN,2,<5
2022,MARLBORO,BROOKLYN,47,54
2022,BREUKELEN,BROOKLYN,42,97
2022,HARRISON AVENUE REHAB (GROUP B),BRONX,14,<5
2022,MARCY,BROOKLYN,36,82
2022,303 VERNON AVENUE,BROOKLYN,36,0
2022,FOREST,BRONX,16,30
2022,LA GUARDIA ADDITION,MANHATTAN,1,0
2022,1162-1176 WASHINGTON AVENUE,BRONX,16,6
2022,EASTCHESTER GARDENS,BRONX,12,26
2022,335 EAST 111TH STREET,BROOKLYN,36,0
2022,ARMSTRONG II,MANHATTAN,6,0
2022,HOWARD AVENUE,BROOKLYN,41,12
2022,EAST RIVER,MANHATTAN,8,28
2022,COLLEGE AVENUE-EAST 165TH STREET,BRONX,16,0
2022,HAMMEL,QUEENS,31,26
2022,LEXINGTON,MANHATTAN,5,6
2022,AMSTERDAM,MANHATTAN,6,31
2022,FHA REPOSSESSED HOUSES (GROUP VII),QUEENS,27,<5
2022,FHA REPOSSESSED HOUSES (GROUP VIII),QUEENS,31,0
2022,DOUGLASS II,MANHATTAN,7,21
2022,GRAMPION,BROOKLYN,33,0
2022,LEHMAN VILLAGE,MANHATTAN,8,19
2022,MARSHALL PLAZA,BROOKLYN,47,0
2022,GOWANUS,BROOKLYN,33,49
2022,"BETANCES II, 9A",BRONX,12,0
2022,305 VERNON AVENUE,BROOKLYN,36,10
2022,HOLMES TOWERS,MANHATTAN,5,11
2022,FHA REPOSSESSED HOUSES (GROUP VI),QUEENS,31,0
2022,BERRY,STATEN ISLAND,50,23
2022,FHA REPOSSESSED HOUSES (GROUP IV),BRONX/QUEENS,18,0
2022,LENOX ROAD-ROCKAWAY PARKWAY,BROOKLYN,41,<5
2022,ATLANTIC TERMINAL SITE 4B,BROOKLYN,35,10
2022,ISAACS,MANHATTAN,5,11
2022,HUGHES APARTMENTS,BROOKLYN,41,17
2022,LOW HOUSES,BROOKLYN,41,28
2022,HOPE GARDENS,MANHATTAN,5,0
2022,ALBANY,BROOKLYN,36,49
2022,BORINQUEN PLAZA I,BROOKYLN,34,13
2022,BAY VIEW,BROOKLYN,46,85
2022,131 SAINT NICHOLAS AVENUE,MANHATTAN,9,<5
2022,DYCKMAN,MANHATTAN,10,26
2022,BEDFORD-STUYVESANT REHAB,BROOKLYN,36,<5
2022,CLINTON,MANHATTAN,8,20
2022,FHA REPOSSESSED HOUSES (GROUP II),BRONX/QUEENS,18,0
2022,LOWER EAST SIDE I INFILL,MANHATTAN,1,<5
2022,COOPER PARK,BROOKLYN,34,37
2022,INTERNATIONAL TOWER,QUEENS,27,0
2022,344 EAST 28TH STREET,BROOKLYN,36,0
2022,BETANCES VI,BRONX,12,0
2022,FORT WASHINGTON AVENUE REHAB,BRONX,14,0
2022,EDENWALD,BRONX,12,42
2022,LATIMER GARDENS,QUEENS,20,11
2022,BETANCES V,BRONX,12,0
2022,HOWARD,BROOKLYN,41,36
2022,ARMSTRONG I,MANHATTAN,6,0
2022,MARINER'S HARBOR,STATEN ISLAND,49,29
2022,BUSHWICK II CDA (GROUP E),BROOKLYN,34,0
2022,CARLETON MANOR,QUEENS,31,<5
2022,DOUGLASS ADDITION,MANHATTAN,7,<5
2022,EAST 173RD STREET-VYSE AVENUE,BRONX,17,<5
2022,CHELSEA,MANHATTAN,3,13
2022,HARBORVIEW TERRACE,MANHATTAN,6,<5
2022,CHELSEA ADDITION,MANHATTAN,3,0
2022,CLAREMONT REHAB (GROUP 2),BRONX,16,<5
2022,MANHATTANVILLE REHAB (GROUP 3),MANHATTAN,7,0
2022,BETHUNE GARDENS,BRONX,12,0
2022,BOSTON ROAD PLAZA,BRONX,13,<5
2022,154 WEST 84TH STREET,MANHATTAN,6,0
2022,MARCY AVENUE-GREENE AVENUE SITE B,BROOKLYN,36,0
2022,EAST 152ND STREET-COURTLANDT AVENUE,BRONX,17,<5
2022,CLAREMONT REHAB (GROUP 4),BRONX,16,<5
2022,CASTLE HILL,BRONX,18,53
2022,GLENWOOD,BROOKLYN,45,51
2022,FHA REPOSSESSED HOUSES (GROUP I),QUEENS,27,0
2022,MARBLE HILL,BRONX,10,30
2022,CASSIDY-LAFAYETTE,STATEN ISLAND,49,<5
2022,BUSHWICK,BROOKLYN,34,52
2022,AMSTERDAM ADDITION,MANHATTAN,6,<5
2022,FENIMORE-LEFFERTS,BROOKLYN,41,<5
2022,LINCOLN,MANHATTAN,9,40
2022,KING TOWERS,MANHATTAN,9,30
2022,GARVEY (GROUP A),BROOKLYN,41,16
