team_name,label_cd,borocd,cert_status,updated
Bronx  Division 4,"Bronx CD 9, 10","209, 210",Active CERT team,2021-04-26T00:00:00.000
Brooklyn 3/4,Brooklyn CD 3 & 4,303/204,Active CERT team,2015-06-16T00:00:00.000
Manhattan 7,Manhattan CD 7,107,Active CERT team,2010-05-19T00:00:00.000
Brooklyn 12,Brooklyn CD 12 and 5,312/305,Active CERT team,2016-01-11T00:00:00.000
Queens 4,Queens CD 4,404,Active CERT team,2010-05-19T00:00:00.000
Queens  Division 6,"Queens CD 12, 13","412, 413",Active CERT team,2024-05-09T00:00:00.000
Brooklyn  Division 7,"Brooklyn CD 15, 18","315, 318",Active CERT team,2024-05-09T00:00:00.000
Bronx 10 - Co-op City,Bronx CD 10,210,Active CERT team,2011-09-21T00:00:00.000
Bronx  Division 3,"Bronx CD 7, 8","207, 208",Active CERT team,2021-04-26T00:00:00.000
Staten Island Borough,"Staten Island CD 1, 2, 3","501, 502, 503",Active CERT team,2021-04-26T00:00:00.000
Bronx 3,Bronx CD 3,203,Active CERT team,2011-09-21T00:00:00.000
Queens 8,Queens CD 8,408,Active CERT team,2010-05-19T00:00:00.000
Manhattan 11,Manhattan CD 11,111,Active CERT team,2010-05-19T00:00:00.000
Brooklyn  Division 5,"Brooklyn CD 10, 11, 13","310, 311, 313",Active CERT team,2024-05-09T00:00:00.000
Brooklyn 7,Brooklyn CD 7,307,Active CERT team,2015-06-16T00:00:00.000
Queens  Division 3,"Queens CD 5, 6","405, 406",Active CERT team,2024-05-09T00:00:00.000
Brooklyn 18,Brooklyn CD 18,318,Active CERT team,2010-05-19T00:00:00.000
Manhattan  Division 5,"Manhattan CD 10, 11","110, 111",Active CERT team,2021-04-26T00:00:00.000
Brooklyn 9,Brooklyn CD 9,309,Active CERT team,2010-05-19T00:00:00.000
Bronx 12,Bronx CD 12,212,Active CERT team,2010-07-28T00:00:00.000
Queens 6,Queens CD 6,406,Active CERT team,2010-05-19T00:00:00.000
Bronx  Division 2,"Bronx CD 4, 5, 6","204, 205, 206",Active CERT team,2024-05-09T00:00:00.000
Queens  Division 6,"Queens CD 12, 13","412, 413",Active CERT team,2021-04-26T00:00:00.000
Brooklyn  Division 1,"Brooklyn CD 1, 3,  4","301, 303, 304",Active CERT team,2021-04-26T00:00:00.000
Manhattan 2,Manhattan CD 2,102,Active CERT team,2011-09-21T00:00:00.000
Bronx 4,Bronx CD 4,204,Active CERT team,2010-05-19T00:00:00.000
Manhattan 10,Manhattan CD 10,110,Active CERT team,2016-01-11T00:00:00.000
Brooklyn  Division 5,"Brooklyn CD 10, 11, 13","310, 311, 313",Active CERT team,2021-04-26T00:00:00.000
Bronx  Division 5,"Bronx CD 11, 12","211, 212",Active CERT team,2021-04-26T00:00:00.000
Bronx  Division 3,"Bronx CD 7, 8","207, 208",Active CERT team,2024-05-09T00:00:00.000
Queens 1/2,Queens CD 1 & 2,401/402,Active CERT team,2015-06-16T00:00:00.000
Manhattan 8,Manhattan CD8,108,Active CERT team,2016-01-11T00:00:00.000
Bronx 1,Bronx CD 1,201,Active CERT team,2015-06-16T00:00:00.000
Queens  Division 4,"Queens CD 7, 11, 8","407, 408, 411",Active CERT team,2024-05-09T00:00:00.000
Manhattan 12,Manhattan CD 12,112,Active CERT team,2016-01-11T00:00:00.000
Brooklyn  Division 3,"Brooklyn CD 5, 16","305, 316",Active CERT team,2024-05-09T00:00:00.000
Queens 14,Queens CD 14,414,Active CERT team,2010-05-19T00:00:00.000
Brooklyn 2,Brooklyn CD 2,302,Active CERT team,2010-05-19T00:00:00.000
Bronx 7,Bronx CD 7,207,Active CERT team,2015-06-26T00:00:00.000
Manhattan 1,Manhattan CD 1,101,Active CERT team,2010-05-19T00:00:00.000
Staten Island 1 - Port Richmond,Staten Island CD 1 & 2 & 3,501/502/503,Active CERT team,2015-06-16T00:00:00.000
Bronx 11,Bronx CD 11,211,Active CERT team,2010-05-19T00:00:00.000
Brooklyn  Division 4,"Brooklyn CD 8, 9","308, 309",Active CERT team,2024-05-09T00:00:00.000
Staten Island Division,"Staten Island CD 1, 2, 3","501, 502, 503",Active CERT team,2024-05-09T00:00:00.000
Queens 12/13,Queens CD 12 & 13,412/413,Active CERT team,2015-06-16T00:00:00.000
Brooklyn 10/11,Brooklyn CD 10 & 11,310/311,Active CERT team,2015-06-16T00:00:00.000
Queens  Division 5,"Queens CD 9, 10, 14","409, 410, 414",Active CERT team,2021-04-26T00:00:00.000
Queens 5 - GVAC,Queens CD 5,405,Active CERT team,2015-06-16T00:00:00.000
Bronx  Division 2,"Bronx CD 4, 5, 6","204, 205, 206",Active CERT team,2021-04-26T00:00:00.000
Manhattan  Division 2,"Manhattan CD 4, 5, 7","104, 105, 107",Active CERT team,2024-05-09T00:00:00.000
Queens  Division 2,"Queens CD 3, 4","403, 404",Active CERT team,2021-04-26T00:00:00.000
Manhattan 4/5,Manhattan CD 4 & 5,104/105,Active CERT team,2010-05-19T00:00:00.000
Brooklyn 6,Brooklyn CD 6,306,Active CERT team,2010-05-19T00:00:00.000
