industry_cluster,program_cip_code
Manufacturing Production Cluster,151303
"Arts, Audio/Video Technology and Communications Cluster",500102
Business Management and Administration Cluster,520101
Information Technology Cluster,151202
Architecture and Construction Cluster,460503
Manufacturing Production Cluster,470105
Law and Public Safety Cluster,430199
Architecture and Construction Cluster,460503
Information Technology Cluster,110201
Information Technology Cluster,110899
Scientific Research and Engineering Cluster,150000
Information Technology Cluster,470104
Information Technology Cluster,470104
"Arts, Audio/Video Technology and Communications Cluster",500410
Law and Public Safety Cluster,430199
Information Technology Cluster,110901
"Arts, Audio/Video Technology and Communications Cluster",90702
Information Technology Cluster,110801
Information Technology Cluster,110801
Hospitality and Tourism Cluster,120503
Information Technology Cluster,110103
Manufacturing Production Cluster,151303
"Arts, Audio/Video Technology and Communications Cluster",500411
"Arts, Audio/Video Technology and Communications Cluster",90199
"Transportation, Distribution and Logistics Cluster",470604
"Arts, Audio/Video Technology and Communications Cluster",500301
Scientific Research and Engineering Cluster,150303
Marketing Sales and Services Cluster,521902
Business Management and Administration Cluster,520701
"Arts, Audio/Video Technology and Communications Cluster",500409
Business Management and Administration Cluster,520701
Information Technology Cluster,110201
Business Management and Administration Cluster,520701
Hospitality and Tourism Cluster,520903
"Arts, Audio/Video Technology and Communications Cluster",100203
Health Science Cluster,511613
Law and Public Safety Cluster,430199
Law and Public Safety Cluster,430199
Architecture and Construction Cluster,460302
"Agriculture, Food and Natural Resources Cluster",10000
"Arts, Audio/Video Technology and Communications Cluster",500409
"Arts, Audio/Video Technology and Communications Cluster",500602
Hospitality and Tourism Cluster,120503
Information Technology Cluster,470104
Manufacturing Production Cluster,100303
Law and Public Safety Cluster,430199
Architecture and Construction Cluster,150101
Information Technology Cluster,110201
Health Science Cluster,510714
Information Technology Cluster,110803
Business Management and Administration Cluster,520701
"Arts, Audio/Video Technology and Communications Cluster",500102
Hospitality and Tourism Cluster,520903
Business Management and Administration Cluster,520304
"Transportation, Distribution and Logistics Cluster",470604
"Arts, Audio/Video Technology and Communications Cluster",500409
"Arts, Audio/Video Technology and Communications Cluster",100105
Manufacturing Production Cluster,151302
Architecture and Construction Cluster,460201
"Transportation, Distribution and Logistics Cluster",470604
"Arts, Audio/Video Technology and Communications Cluster",500407
Scientific Research and Engineering Cluster,150000
Hospitality and Tourism Cluster,520903
Architecture and Construction Cluster,151001
Manufacturing Production Cluster,100304
Business Management and Administration Cluster,520701
Health Science Cluster,511614
"Arts, Audio/Video Technology and Communications Cluster",500501
Hospitality and Tourism Cluster,120503
Business Management and Administration Cluster,520304
"Transportation, Distribution and Logistics Cluster",470616
Architecture and Construction Cluster,460302
Law and Public Safety Cluster,430199
Health Science Cluster,511614
Law and Public Safety Cluster,430107
Health Science Cluster,510802
Law and Public Safety Cluster,430107
Hospitality and Tourism Cluster,520903
"Arts, Audio/Video Technology and Communications Cluster",90102
Business Management and Administration Cluster,520304
"Arts, Audio/Video Technology and Communications Cluster",500301
"Transportation, Distribution and Logistics Cluster",490309
"Transportation, Distribution and Logistics Cluster",479999
Business Management and Administration Cluster,520701
Information Technology Cluster,110201
Scientific Research and Engineering Cluster,150000
Manufacturing Production Cluster,151303
Marketing Sales and Services Cluster,120402
Information Technology Cluster,470104
Health Science Cluster,510603
Information Technology Cluster,470101
Health Science Cluster,519999
"Arts, Audio/Video Technology and Communications Cluster",500501
"Arts, Audio/Video Technology and Communications Cluster",500407
Hospitality and Tourism Cluster,120599
Architecture and Construction Cluster,460302
Hospitality and Tourism Cluster,120503
"Arts, Audio/Video Technology and Communications Cluster",500502
Law and Public Safety Cluster,430199
Information Technology Cluster,111004
"Arts, Audio/Video Technology and Communications Cluster",500502
"Arts, Audio/Video Technology and Communications Cluster",500502
Information Technology Cluster,110201
Information Technology Cluster,470101
Manufacturing Production Cluster,151301
Architecture and Construction Cluster,460302
Architecture and Construction Cluster,150101
Hospitality and Tourism Cluster,520903
Business Management and Administration Cluster,520701
"Arts, Audio/Video Technology and Communications Cluster",500501
Architecture and Construction Cluster,151001
Architecture and Construction Cluster,460401
Information Technology Cluster,110901
Manufacturing Production Cluster,150405
Business Management and Administration Cluster,520701
Business Management and Administration Cluster,520701
Information Technology Cluster,110199
Marketing Sales and Services Cluster,190905
Business Management and Administration Cluster,520201
"Agriculture, Food and Natural Resources Cluster",30205
Health Science Cluster,511613
"Arts, Audio/Video Technology and Communications Cluster",500409
Scientific Research and Engineering Cluster,150000
Health Science Cluster,510601
Law and Public Safety Cluster,430103
