number_of_industry_partners,school_name,program_name
4,Urban Assembly New York Harbor School,Marine Science/Merchant Marine Officer
9,Transit Tech Career and Technical Education High S,"Mechanic and Repair Technologies/Technicians, Other"
5,New Utrecht High School,Entrepreneurship/Entrepreneurial Studies
2,Academy for Software Engineering,"Computer Programming/Programmer, General"
4,"The High School for Enterprise, Business and Techn","Engineering Technology, General"
2,Newtown High School,Architectural Drafting and Architectural CAD/CADD
3,Queens Technical High School,Barbering/Barber
2,Transit Tech Career and Technical Education High S,Computer Installation and Repair Technology/Technician
3,Clara Barton High School,Dental Laboratory Technology/Technician
3,Academy of Innovative Technology,"Electrical/Electronics Equipment Installation and Repair, General"
5,The Urban Assembly School for Collaborative Health,"Health Professions and Related Clinical Services, Other"
7,Fordham High School for the Arts,"Drama and Dramatics/Theatre Arts, General"
4,The High School of Fashion Industries,Fashion/Apparel Design
5,The Boerum Hill School for International Studies,"Culinary Arts and Related Services, Other"
4,Queens Technical High School,Electrician
2,Bronxdale High School,Culinary Arts/Chef Training
4,Fordham High School for the Arts,Technical Theater/Theater Design and Technology
9,High School for Law and Public Service,"Corrections and Criminal Justice, Other"
2,George Westinghouse Career and Technical Education,Web/Multimedia Management and Webmaster
5,Fiorello H. LaGuardia High School of Music & Art a,Technical Theater/Theater Design and Technology
2,Brooklyn School for Music & Theatre,Technical Theater/Theater Design and Technology
3,Urban Assembly Maker Academy,"Computer Programming/Programmer, General"
9,Transit Tech Career and Technical Education High S,"Electrical/Electronics Equipment Installation and Repair, General"
2,Brooklyn Technical High School,"Drafting and Design Technology/Technician, General"
5,High School for Energy and Technology,Electrician
2,Columbia Secondary School,Architectural Engineering Technology/Technician
1,School for Tourism and Hospitality,Tourism and Travel Services Management
3,Jacqueline Kennedy Onassis High School,Entrepreneurship/Entrepreneurial Studies
1,Brooklyn Theatre Arts High School,"Drama and Dramatics/Theatre Arts, General"
5,Bronx International High School,Construction Engineering Technology/Technician
7,The Urban Assembly School for Green Careers,Building/Property Maintenance and Manager
3,In-Tech Academy (M.S. / High School 368),Computer Systems Networking and Telecommunications
3,Brooklyn Technical High School,Robotics Technology/Technician
3,Fort Hamilton High School,Entrepreneurship/Entrepreneurial Studies
3,Academy of Finance and Enterprise,Entrepreneurship/Entrepreneurial Studies
8,Academy for Language and Technology,"Computer Science, Other"
5,The High School of Fashion Industries,Apparel and Textile Marketing Management
7,Business Of Sports School,"Business Administration and Management, General"
3,Urban Assembly New York Harbor School,"Water, Wetlands and Marine Resources Management"
4,Clara Barton High School,Licensed Practical/Vocational Nurse Training
2,Automotive High School,Graphic Design
0,Manhattan Center for Science and Mathematics,"Engineering Technology, General"
5,Clara Barton High School,Dental Assisting/Assistant
11,Brooklyn Technical High School,Criminal Justice/Law Enforcement Administration
