action_taken,park_area_id
Approached the crowd; they ignored the employee,M144-ZN02
Did not approach the crowd; the crowd remains,M037-01
Approached the crowd; they ignored the employee,Q330
Did not approach the crowd; the crowd remains,Q008
Did not approach the crowd; the crowd remains,M028-ZN04
Did not approach the crowd; the crowd remains,X039-ZN01
Approached the crowd; they ignored the employee,Q131
Did not approach the crowd; the crowd remains,Q099-ZN15
Did not approach the crowd; the crowd remains,X172
Approached the crowd; they ignored the employee,Q005-11
Did not approach the crowd; the crowd remains,Q391
Did not approach the crowd; the crowd remains,Q015-ZN06
Did not approach the crowd; the crowd remains,M042-ZN04
Did not approach the crowd; the crowd remains,X092-ZN04
Did not approach the crowd; the crowd remains,Q024-03
Approached the crowd; they ignored the employee,M144-ZN04
