recreation_unit,map,acres,status
Broadstreet Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Broadstreet_Hollow.pdf'},58.39,Open
Cape Horn,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cape_Horn.pdf'},459.32,Open
East Platner Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/East_Platner_Brook.pdf'},496.64,Open
Bagley Brook Headwaters,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bagley_Brook_Headwaters.pdf'},429.72,Open
Delaware Headwaters,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Delaware_Headwaters.pdf'},647.72,Open
East Branch Fishing Access Area,{'url': 'https://www1.nyc.gov/assets/dep/downloads/pdf/recreation/angler-maps/East_Branch.pdf'},236.11,Open
Chandler Cove,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Chandler_Cove.pdf'},285.43,Open
Davis Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Davis_Hollow.pdf'},95.36,Open
Deer Run,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Deer_Run.pdf'},119.58,Open
Farmers Mills,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Farmers_Mills.pdf'},163.55,Open
Big Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Big_Hollow.pdf'},69.67,Open
Chichester,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Chichester.pdf'},104.12,Open
Bagley Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bagley_Brook.pdf'},481.13,Open
Grinch House,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Grinch_House.pdf'},109.28,Open
Canada Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Canada_Hollow.pdf'},118.55,Open
Dixon,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Dixon.pdf'},240.4,Open
Ashokan North,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Ashokan_North.pdf'},1456.25,Open
Bryants Brook,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bryants_Brook.pdf'},330.0,Open
Big Peninsula,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Big_Peninsula.pdf'},298.8,Open
Garfield Avenue,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Garfield_Avenue.pdf'},25.03,Open
Bushkill Fishing,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bushkill_Fishing.pdf'},18.53,Open
Fox Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Fox_Hollow.pdf'},2.83,Open
Beetree Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Beetree_Hill.pdf'},624.4,Open
Blue Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Blue_Hill.pdf'},311.04,Open
Halcott,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Halcott.pdf'},115.34,Open
Bloomville,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bloomville.pdf'},354.64,Open
Gregory Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Gregory_Hill.pdf'},200.02,Open
Fall Clove Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Fall_Clove_Road.pdf'},932.65,Open
Churchill Mountain,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Churchill_Mountain.pdf'},187.68,Open
Alpaca Ridge,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Alpaca_Ridge.pdf'},717.86,Open
Ashokan Fishing Access Area,{'url': 'https://www1.nyc.gov/assets/dep/downloads/pdf/recreation/angler-maps/Ashokan.pdf'},825.09,Open
Cat Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cat_Hollow.pdf'},168.87,Open
Hickory Nut Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hickory_Nut_Hill.pdf'},94.42,Open
Hinkley,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Hinkley.pdf'},87.57,Open
Batavia Kill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Batavia_Kill.pdf'},2.09,Open
Cross River Dam Day Use Area,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cross_River_Dam_Day_Use_Area.pdf'},1.04,Open
Beech Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Beech_Hill.pdf'},251.78,Open
Boulder Hill,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Boulder_Hill.pdf'},80.09,Open
Boulevard Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Boulevard_Road.pdf'},75.98,Open
Diverting Outlet,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Diverting_Outlet.pdf'},95.45,Open
Bullet Hole,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bullet_Hole.pdf'},191.28,Open
Glen Road,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Glen_Road.pdf'},23.87,Open
Bragg Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Bragg_Hollow.pdf'},30.16,Open
Finch Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Finch_Hollow.pdf'},48.52,Open
Cozy Hollow,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Cozy_Hollow.pdf'},465.9,Open
Brodhead,{'url': 'http://www1.nyc.gov/assets/dep/downloads/pdf/recreation/area-maps/Brodhead.pdf'},111.17,Open
