cert_seq_no,cert_issue_no,provisional_replacement,list_title_desc
46,89882,N,STRUCTURE MAINTAINER - GROUP G
12,89882,N,STRUCTURE MAINTAINER - GROUP G
100,89882,N,STRUCTURE MAINTAINER - GROUP G
112,89882,N,STRUCTURE MAINTAINER - GROUP G
157,89882,N,STRUCTURE MAINTAINER - GROUP G
116,89882,N,STRUCTURE MAINTAINER - GROUP G
135,89882,N,STRUCTURE MAINTAINER - GROUP G
34,89882,N,STRUCTURE MAINTAINER - GROUP G
36,89883,N,SURVEYOR
28,89882,N,STRUCTURE MAINTAINER - GROUP G
130,89882,N,STRUCTURE MAINTAINER - GROUP G
55,89882,N,STRUCTURE MAINTAINER - GROUP G
141,89882,N,STRUCTURE MAINTAINER - GROUP G
77,89882,N,STRUCTURE MAINTAINER - GROUP G
14,89883,N,SURVEYOR
19,89882,N,STRUCTURE MAINTAINER - GROUP G
102,89882,N,STRUCTURE MAINTAINER - GROUP G
49,89882,N,STRUCTURE MAINTAINER - GROUP G
41,89882,N,STRUCTURE MAINTAINER - GROUP G
114,89882,N,STRUCTURE MAINTAINER - GROUP G
152,89882,N,STRUCTURE MAINTAINER - GROUP G
8,89883,N,SURVEYOR
144,89882,N,STRUCTURE MAINTAINER - GROUP G
37,89883,N,SURVEYOR
38,89882,N,STRUCTURE MAINTAINER - GROUP G
18,89882,N,STRUCTURE MAINTAINER - GROUP G
140,89882,N,STRUCTURE MAINTAINER - GROUP G
66,89882,N,STRUCTURE MAINTAINER - GROUP G
147,89882,N,STRUCTURE MAINTAINER - GROUP G
122,89882,N,STRUCTURE MAINTAINER - GROUP G
15,89883,N,SURVEYOR
68,89882,N,STRUCTURE MAINTAINER - GROUP G
160,89882,N,STRUCTURE MAINTAINER - GROUP G
23,89883,N,SURVEYOR
110,89882,N,STRUCTURE MAINTAINER - GROUP G
124,89882,N,STRUCTURE MAINTAINER - GROUP G
95,89882,N,STRUCTURE MAINTAINER - GROUP G
97,89882,N,STRUCTURE MAINTAINER - GROUP G
96,89882,N,STRUCTURE MAINTAINER - GROUP G
45,89882,N,STRUCTURE MAINTAINER - GROUP G
103,89882,N,STRUCTURE MAINTAINER - GROUP G
29,89882,N,STRUCTURE MAINTAINER - GROUP G
33,89883,N,SURVEYOR
136,89882,N,STRUCTURE MAINTAINER - GROUP G
93,89882,N,STRUCTURE MAINTAINER - GROUP G
34,89883,N,SURVEYOR
134,89882,N,STRUCTURE MAINTAINER - GROUP G
111,89882,N,STRUCTURE MAINTAINER - GROUP G
115,89882,N,STRUCTURE MAINTAINER - GROUP G
4,89882,N,STRUCTURE MAINTAINER - GROUP G
1,89883,N,SURVEYOR
61,89882,N,STRUCTURE MAINTAINER - GROUP G
47,89882,N,STRUCTURE MAINTAINER - GROUP G
74,89882,N,STRUCTURE MAINTAINER - GROUP G
139,89882,N,STRUCTURE MAINTAINER - GROUP G
21,89882,N,STRUCTURE MAINTAINER - GROUP G
79,89882,N,STRUCTURE MAINTAINER - GROUP G
63,89882,N,STRUCTURE MAINTAINER - GROUP G
24,89883,N,SURVEYOR
121,89882,N,STRUCTURE MAINTAINER - GROUP G
92,89882,N,STRUCTURE MAINTAINER - GROUP G
18,89883,N,SURVEYOR
27,89882,N,STRUCTURE MAINTAINER - GROUP G
154,89882,N,STRUCTURE MAINTAINER - GROUP G
12,89883,N,SURVEYOR
161,89882,N,STRUCTURE MAINTAINER - GROUP G
30,89883,N,SURVEYOR
44,89882,N,STRUCTURE MAINTAINER - GROUP G
57,89882,N,STRUCTURE MAINTAINER - GROUP G
104,89882,N,STRUCTURE MAINTAINER - GROUP G
5,89882,N,STRUCTURE MAINTAINER - GROUP G
85,89882,N,STRUCTURE MAINTAINER - GROUP G
17,89882,N,STRUCTURE MAINTAINER - GROUP G
13,89883,N,SURVEYOR
126,89882,N,STRUCTURE MAINTAINER - GROUP G
9,89883,N,SURVEYOR
32,89883,N,SURVEYOR
88,89882,N,STRUCTURE MAINTAINER - GROUP G
60,89882,N,STRUCTURE MAINTAINER - GROUP G
37,89882,N,STRUCTURE MAINTAINER - GROUP G
117,89882,N,STRUCTURE MAINTAINER - GROUP G
51,89882,N,STRUCTURE MAINTAINER - GROUP G
151,89882,N,STRUCTURE MAINTAINER - GROUP G
113,89882,N,STRUCTURE MAINTAINER - GROUP G
98,89882,N,STRUCTURE MAINTAINER - GROUP G
128,89882,N,STRUCTURE MAINTAINER - GROUP G
4,89883,N,SURVEYOR
25,89883,N,SURVEYOR
105,89882,N,STRUCTURE MAINTAINER - GROUP G
58,89882,N,STRUCTURE MAINTAINER - GROUP G
81,89882,N,STRUCTURE MAINTAINER - GROUP G
101,89882,N,STRUCTURE MAINTAINER - GROUP G
35,89882,N,STRUCTURE MAINTAINER - GROUP G
155,89882,N,STRUCTURE MAINTAINER - GROUP G
20,89883,N,SURVEYOR
29,89883,N,SURVEYOR
1,89882,N,STRUCTURE MAINTAINER - GROUP G
28,89883,N,SURVEYOR
26,89883,N,SURVEYOR
21,89883,N,SURVEYOR
16,89882,N,STRUCTURE MAINTAINER - GROUP G
19,89883,N,SURVEYOR
32,89882,N,STRUCTURE MAINTAINER - GROUP G
10,89882,N,STRUCTURE MAINTAINER - GROUP G
107,89882,N,STRUCTURE MAINTAINER - GROUP G
10,89883,N,SURVEYOR
54,89882,N,STRUCTURE MAINTAINER - GROUP G
158,89882,N,STRUCTURE MAINTAINER - GROUP G
131,89882,N,STRUCTURE MAINTAINER - GROUP G
53,89882,N,STRUCTURE MAINTAINER - GROUP G
132,89882,N,STRUCTURE MAINTAINER - GROUP G
39,89882,N,STRUCTURE MAINTAINER - GROUP G
62,89882,N,STRUCTURE MAINTAINER - GROUP G
106,89882,N,STRUCTURE MAINTAINER - GROUP G
5,89883,N,SURVEYOR
76,89882,N,STRUCTURE MAINTAINER - GROUP G
22,89883,N,SURVEYOR
2,89882,N,STRUCTURE MAINTAINER - GROUP G
11,89882,N,STRUCTURE MAINTAINER - GROUP G
25,89882,N,STRUCTURE MAINTAINER - GROUP G
82,89882,N,STRUCTURE MAINTAINER - GROUP G
9,89882,N,STRUCTURE MAINTAINER - GROUP G
8,89882,N,STRUCTURE MAINTAINER - GROUP G
16,89883,N,SURVEYOR
70,89882,N,STRUCTURE MAINTAINER - GROUP G
22,89882,N,STRUCTURE MAINTAINER - GROUP G
15,89882,N,STRUCTURE MAINTAINER - GROUP G
94,89882,N,STRUCTURE MAINTAINER - GROUP G
146,89882,N,STRUCTURE MAINTAINER - GROUP G
156,89882,N,STRUCTURE MAINTAINER - GROUP G
13,89882,N,STRUCTURE MAINTAINER - GROUP G
73,89882,N,STRUCTURE MAINTAINER - GROUP G
17,89883,N,SURVEYOR
40,89882,N,STRUCTURE MAINTAINER - GROUP G
145,89882,N,STRUCTURE MAINTAINER - GROUP G
3,89883,N,SURVEYOR
148,89882,N,STRUCTURE MAINTAINER - GROUP G
56,89882,N,STRUCTURE MAINTAINER - GROUP G
36,89882,N,STRUCTURE MAINTAINER - GROUP G
119,89882,N,STRUCTURE MAINTAINER - GROUP G
109,89882,N,STRUCTURE MAINTAINER - GROUP G
7,89883,N,SURVEYOR
80,89882,N,STRUCTURE MAINTAINER - GROUP G
14,89882,N,STRUCTURE MAINTAINER - GROUP G
2,89883,N,SURVEYOR
59,89882,N,STRUCTURE MAINTAINER - GROUP G
138,89882,N,STRUCTURE MAINTAINER - GROUP G
