dbn,qr_1_1,cap_sc_pct,gender_male_pct,qr_5_1,qr_1_3,gender_female_pct,survey_pp_ri,rating_ela_grade_8_pct_rs,qr_3_4,qr_3_1,survey_pp_se,qr_4_2,qr_1_4,survey_pp_tr
02M437,Proficient,0.017,0.686,Proficient,Proficient,0.314,0.61,2.73,Proficient,Proficient,0.62,Proficient,Proficient,0.61
11X265,Proficient,0.076,0.609,Proficient,Proficient,0.391,No Data,2.54,Proficient,Proficient,No Data,Proficient,Developing,No Data
10X445,Well Developed,0.0,0.584,Well Developed,Well Developed,0.416,0.85,4.08,Well Developed,Well Developed,0.8,Well Developed,Well Developed,0.9
08X348,Proficient,0.003,0.574,Proficient,Proficient,0.426,No Data,2.62,Proficient,Proficient,No Data,Proficient,Proficient,0.96
09X252,Proficient,0.011,0.472,Proficient,Well Developed,0.528,0.56,2.66,Well Developed,Proficient,0.61,Proficient,Well Developed,0.68
02M630,Proficient,0.018,0.334,Proficient,Proficient,0.666,0.69,3.36,Proficient,Proficient,0.68,Proficient,Proficient,0.83
02M393,Proficient,0.0,0.678,Proficient,Proficient,0.322,0.65,2.59,Proficient,Proficient,0.66,Proficient,Proficient,0.89
05M670,Proficient,0.021,0.492,Proficient,Proficient,0.508,0.67,2.84,Well Developed,Proficient,0.64,Well Developed,Well Developed,0.72
06M348,Well Developed,0.0,0.512,Proficient,Well Developed,0.488,0.81,2.88,Well Developed,Well Developed,0.79,Well Developed,Well Developed,0.92
09X543,Proficient,0.0,0.289,Proficient,Proficient,0.711,0.8,2.37,Proficient,Proficient,0.74,Proficient,Proficient,0.92
02M288,Proficient,0.0,0.406,Developing,Proficient,0.594,0.77,2.83,Proficient,Proficient,0.66,Developing,Proficient,0.69
02M432,Well Developed,0.004,0.506,Well Developed,Well Developed,0.494,0.86,2.7,Well Developed,Well Developed,0.84,Well Developed,Well Developed,0.92
02M500,Proficient,0.004,0.693,Proficient,Well Developed,0.307,0.76,2.76,Proficient,Well Developed,0.81,Well Developed,Proficient,0.89
11X509,Proficient,0.003,0.568,Proficient,Proficient,0.432,No Data,2.05,Well Developed,Proficient,No Data,Proficient,Well Developed,1
02M411,Proficient,0.0,0.394,Proficient,Proficient,0.606,0.72,3.73,Well Developed,Proficient,0.78,Proficient,Well Developed,0.91
09X250,Well Developed,0.003,0.455,Well Developed,Well Developed,0.545,0.91,2.86,Well Developed,Proficient,0.81,Well Developed,Well Developed,0.91
10X565,Proficient,0.026,0.751,Proficient,Well Developed,0.249,0.72,2.63,Well Developed,Proficient,0.73,Proficient,Proficient,0.8
03M492,Proficient,0.002,0.407,Proficient,Proficient,0.593,0.72,2.86,Well Developed,Proficient,0.66,Well Developed,Well Developed,0.81
07X600,Developing,0.048,0.876,Developing,Proficient,0.124,0.76,2.47,Proficient,Proficient,0.65,Developing,Proficient,0.83
02M605,Well Developed,0.004,0.456,Well Developed,Proficient,0.544,0.83,3.0,Proficient,Proficient,0.98,Well Developed,Well Developed,1
10X268,Developing,0.0,0.532,Developing,Developing,0.468,0.68,1.82,Developing,Developing,0.57,Developing,Developing,0.85
11X275,Proficient,0.031,0.841,Proficient,Proficient,0.159,0.77,2.75,Well Developed,Proficient,0.79,Proficient,Well Developed,0.9
02M303,Well Developed,0.0,0.523,Proficient,Well Developed,0.477,0.78,2.65,Well Developed,Proficient,0.84,Well Developed,Proficient,0.98
02M580,Proficient,0.003,0.341,Proficient,Proficient,0.659,0.84,2.86,Proficient,Proficient,0.82,Developing,Well Developed,0.9
09X231,Proficient,0.055,1.0,Developing,Proficient,0.0,0.69,2.48,Proficient,Proficient,0.61,Proficient,Well Developed,0.9
02M400,Well Developed,0.017,0.484,Well Developed,Well Developed,0.516,0.8,2.99,Proficient,Well Developed,0.73,Proficient,Well Developed,0.86
03M485,Well Developed,0.0,0.243,Well Developed,Well Developed,0.757,0.76,3.89,Well Developed,Well Developed,0.75,Well Developed,Well Developed,0.88
08X367,Proficient,0.081,0.618,Proficient,Proficient,0.382,No Data,2.55,Proficient,Proficient,No Data,Developing,Well Developed,No Data
10X524,Proficient,0.0,0.527,Proficient,Proficient,0.473,0.7,1.75,Proficient,Proficient,0.74,Proficient,Developing,0.79
02M551,Developing,0.0,0.662,Proficient,Well Developed,0.338,0.58,3.07,Well Developed,Proficient,0.64,Developing,Well Developed,0.87
09X517,Well Developed,0.009,0.547,Proficient,Proficient,0.453,0.68,2.4,Proficient,Proficient,0.74,Proficient,Proficient,0.92
